Сяўба. сузор'е|Цэфей
Севанская стронга|ишхан
Севастопаль, Сімферопаль, Цярнопаль, Мелітопаль. Назва аднаго з гэтых гарадоў відавочна выбіваецца з агульнага шэрагу. Якое?|Цярнопаль
Поўнач Францыі, на р. Скарп, адм. ц. дэпартамента Па-дэ-Кале і галоўны горад гістарычнай вобласці Артуа. (горад у Еўропе)|Аррас
Паўночная Асеція (горад)|Маздок
Паўночная марская прамысловая рыба сямейства трасковых|навага
Паўночная марская птушка|гагара
Паўночная марская рыба сямейства трасковых|пікша
Паўночная марская рыба сямейства трасковых|сайда
Паўночная марская рыба, роднасная камбале|палтус
Паўночная нацыя?|якуты
Паўночны абутак|олочи
Паўночны абутак|унт
Паўночная адзежа|маліца
Паўночная палярная вобласць зямнога шара|Арктыка
Паўночная пресноводная рыба, роднасная сігу|муксун
Паўночная прамысловая рыба|сіг
Паўночная птушка, выдатна плывучая і якая нырае|кайра
Паўночная птушка|гага
Паўночней ЗША|Канада
Паўночная марская жывёла|морж
Паўночная назва дзіцяня белага мядзведзя|умка
Сівер у даліне Дуная|кошава
Сівер|аквілон
Сівер|бораў
Паўночна-афрыканская дынастыя|Альморавид
Паўночна-афрыканская дынастыя|Альмохад
Паўночным усходзе Алжыра, адм. ц. вилайи Батна (горад у Афрыцы)|Батна
Паўночна-усходняя частка Сахары|Аравія
Паўночнаамерыканскі стэп|прэрыя
Паўночнаамерыканскія стэпы да ўсходу ад Скалістых гор|прэрыі
Паўночнаамерыканскі лугавы воўк|каёт
Паўночнаамерыканскі пастух|каўбой
Паўночнаамерыканскае млекопитающее сямействы куньих|скунс
Североантлантический блок|нато
Паўночнаафрыканская краіна, у якой выходнай дзень чацвер|Егіпет
Паўночнаафрыканская краіна|алжыр
Паўночнакаўказская мінеральная вада|нарзан
Паўночнакаўказскі і грузінскі рассольный сыр|чанах
Паўночнакаўказскі эпас|нарты
Паўночнакарэйская грашовая адзінка|вона
Паўночнікі, інш.-славянскае племя (адказ у мн. ч.)|северы
Сёння – у газеце, а заўтра – у ім|куплет
Сёння за ўсталяваныя рэкорды скакуны ў вышыню атрымліваюць нядрэнныя грошы. А вось гэты рымскі скакун за тое, што пераскочыў сцены Рыма, быў забіты. Хто гэта?|Рэм
Сёння толькі ў Маскве і яе вобласці 32 Бурбулиса, 97 Жырыноўскіх, 2 Травкина, 106 Грачевых, 2 Сосковца, 267 Руцких, 51 Ельцын і 362 Сяргея Мавроди. Дзе мы іх можам сустрэць?|псіхлячэбніцы
Седан у дачыненні да аўтамабіля|кузаў
Сівая легенда|міф
Сівізна на дрэве|шаць
Сёмая вада|сваяк
Сёмая ад Сонца вялікая планета сонечнай сістэмы, дыяметр 51 200 км, атмасфера з вадароду, гелія і метану|Уран
Сёмы месяц мусульманскага месяцовага года|раджаб
Сёмы па распаўсюджанасці ў зямной кары хим. элемент|калій
Сезон падрыхтоўкі санак|лета
Сезон уборкі і перапрацоўкі цукровага трыснёга на Кубе, у Нікарагуа|сафра
Сезон уборкі трыснёга на Кубе і стрыжкі авечак ва Ўругваі|сафра
Сезон, пара года (дзель)|зіма
Сезонная змена валасянога полага|лінька
Сезонны вецер у Юж. Азіі і інш. раёнах, дующий улетку з акіяна, узімку з сушы|мусон
Цяпер “маршал” – гэта вышэйшае вайсковае званне, а раней гэта слова пазначала – прыдворны ...?|конюх
Цяпер – навабранец, а ў старым рускім войску?|рэкрут
