Шэры пацук|пацук
Серб. пісьменнікі|Чосич
Серб. паэт|Ракич
Серб. мовазнавец|Белич
Сербская рака|Нишава
Сербскі драматург (“ОБЭЖ”, “Спадарыня міністэрка”, “Пратэкцыя”)|Нушич
Сербскі драматург, аўтар камедый “ОБЭЖ”, “Д-р”, “Спадарыня міністэрка”|Нушич
Сербскі пісьменнік. Нобелеўская прэмія (1961)|Андрич
Сербскі пісьменнік|Сремац
Сербскі паэт. Драма “Перасяленне сербаў”|Якшич
Сервер Інтэрнэт, які забяспечвае зручны доступ да рэсурсаў і наладу для пэўнага карыстача|партал
Сяргей Міхалкоў: “Ішоў з працы дзядзька Степа – відаць было за ... ”?|вярсту
Сяргей па-французску|Сяржук
Сардэчна-судзінкавае захворванне|артэрыясклероз
Сэрца бессардэчнага|камень
Сереб. манета тыпу грошена ў Нижнерейнск. вобл. з шэры. 14 ст.|альбус
Сереб. манета, выпушчаны. Англіяй 1796 для асады Золот. бераг|акки
Сереб. талераў. манета Іспанскіх Нідэрландаў, чакан. з 1612|альбертусталер
Серебр. манета Канарскіх выспаў, якая чаканілася ў 1823 г.|фіску
Серебр. манета, чаканілася ў Трапезундск. імперыі ў 1204–1561 г.|аспр
Серабрыста-белы метал, мяккі і пластычны|цын
Серабрыста-белы вельмі лёгкі метал|магній
Серабрысты метал з сіняватым адлівам|кадмій
Срэбра на скронях|сівізна
Срэбная манета 15–16 стст. у Швейцарыі і южнонем. госуд-вах|бацен
Срэбная манета ЗША, роўная 10 цэнтам|дайм
Срэбная манета Сіяма (з 1939 Тайланд)|салюнг
Срэбная манета Тыбета 17–20 стст.|тангка
Срэбная манета Туніса канца 18 стагоддзі|себили
Срэбная манета ў Старажытнай Грэцыі|драхма
Срэбная манета ў Францыі ў асяроддзяў. стагоддзі?|ліўр
Срэбная манета, уведзеная г. Кампеном (Нідэрланды) у 1595 г.|арендшиллинг
Срэбны абрыкос|гинкго
Срэбны ці залаты аклад на абразе|цата
Срэбны рубель 1654 г., руская манета|ефимок
Сярэдзіна атола|лагуна
Сярэдзіна складзенага ліста|згін
Завушніцы для прасцякоў?|локшына
Сережкино месца|мочка
Шэранькі ўлюбёнец бабулі (песеннае)|козлік
Сяржант з оперы Ж. Бизе “Кармэн”|Хозе
Серыял пра марскога льва|солти
Серыя амерыканскіх міжпланетных караблёў?|вікінг
Серыя карцін фламандскага жывапісца Ф. Снейдерса|крамы
Серыя магутных ападкавых горных парод|флиш
Серыя няўдач, кожная з якіх чаму-тое вучыць|досвед
Серыя айчынных міжпланетных станцый|месяц
Серыя айчынных аднамесных касмічных караблёў|усход
Серыя малюнкаў з тлумачэннямі, якая замяняе ў масавай культуры літаратурны тэкст форма апавядання|комікс
Серыя савецкіх касмічных караблёў?|пратон
Серыя савецкіх касмічных караблёў?|узыход
Серыя савецкіх спадарожнікаў сувязі|маланка
Сера-карычневая фарба для жывапісу акварэльнага тыпу; малюск, каракатица|сэпія
Серпень|жнівень
Серпападобны храсток, каленнага сустава?|меніск
Шэры афрыканскі чыюк|жако
Шэры заяц, які захоўвае аднолькавую афарбоўку ўзімку і ўлетку|русак
Шэры цюлень|тевяк
Завушніцы, дзеля якіх не трэба праколваць вушы?|кліпсы
Сур'ёзнае, строгае, суровае выпрабаванне|выпрабаванне
Сястра 3-х братоў, Кія, Шчака і Хорива|Лыбедь
Сястра Арыядны, сталая жонкай Тезея|Федра
Сястра Кія, Шчака, Хорива|Лыбедь
Сястра габоя|зурна
Сястра кукіша|дуля
Сястра кахання, але ад второга шлюбу|сяброўства
Сястра кахання, але ад другога шлюбу?|сяброўства
Сястра бацькі ці мацюкай у адносінах да іх дзяцей?|цётка
Сястра таты|цётка
Сетка для скачкоў-прыскокаў|батут
Сетка для спартовых скачкоў|батут
Сетка, якая прымацоўваецца да жаночага капялюша|вэлюм
Сеткавы мяшок для лоўлі рыбы|трал
Сетар, герой аповяду М. Пришвина|Ярик
Сеткаватая торба для прадуктаў|авоська
Сеткаватая тканіна, праз якую савецкі чалавек лічыў неабходным прапускаць сонечнае святло ў сваю хату|цюль
Сеткаватая тканіна; асноўны кірунак (разг.)|канва
Сеткаватая тканіна|канва
Сеткаватая, моцна аппретированная тканіна|канва
Сеткаваты валік, службовец для выраўноўвання папяровай масы, выдушванні вадзяных знакаў|эгутер
Сеткаваты мяшок на ручцы для лоўлі рыб, казурак|падхватнік
Сеткаваты снарад для лоўлі рыбы|кашэль
Сетка для залатой рыбкі|невад
Сетка для лоўлі звяроў|цянёты
Сетка для лоўлі рыбы з судоў|трал
Сетка для сну, адпачынку|гамак
Сетка, у якую трапілася залатая рыбка|невад
Сетка, закінуўшы якую, можна выдатна адпачыць|гамак
Сціск зубамі чаго-небудзь|укус
Сціснутае паведамленне пра тое, што аб'яднана агульнай тэмай|агляд
Сціснутыя историч. хронікі, летапісы|аналы
Сціснутыя да далоні пальцы рукі|кулак
Сібірская ездавая лайка?|хаски
Сібірская рака басейна Падкаменнай Тунгускі|Тея
Сібірская рака, сталая балетам А. Эшпая|Ангара
Сібірская сталіца адмірала Колчака|Омск
Сібірскія валёнкі?|пимы
Сібірскі горад, які Колчак абраў сваёй сталіцай|Омск
Сібірскі іглічны лес|урман
Сібірская назва стромкага берага|шчака
Сиваш (пераклад)|гнілое
Сявец|бурка
Сивушное масла – гэта ўвогуле вось не масла, а сумесь, кожны з кампанентаў якой – што?|спірт
Цыгарэты “Пегас”|дукат
Цыгарная краіна|Куба
Сігнал бедства (рус. літарамі)|сос
Сігнал у войскі|адбой
Сігнал у боксе; муз. прылада|гонг
Сігнал у боксе|гонг
Сігнал для канчатка якіх-небудзь дзеянняў|адбой
Сігнал пабудкі|світанак
Сігнал трывогі, небяспекі (жарг.)|шухер
Сігнал, які падаецца пальчыкам, выпадкова што дагадзілі ў мясасечку|храбусценне
Сігнал, папераджальны пра небяспеку, узяты на ўзбраенне групай “Любэ”|атас
Сігнальная сістэма моды|крык
Сігнальная прылада|званок
Сігнальны гудок, які дае рэзкі што скуголіць гук|сірэна
Сігнальная духавая прылада|горан
Сігнальны гукавы прыбор|сірэна
Сігнальны ражок|горан
Сядушку зманім. філосафа|унітаз
Сядушка ў лодцы|слоік
