Слуга-тубылец у Азіі, Афрыцы|бой
Прыслужніца, якая чытае кнігу ў ложа пані|дэкламатарка
Службовец у войскі, баец|ваяр
Службовец у панскай хаце?|слуга
Службовец у гасцініцы|парцье
Службовец у некаторых частках кавалерыі царскага войска|драгун
Службовец узброеных сіл|салдат
Службовец гасцініцы, брамнік, кіравальны выдачай ключоў, поштай і інш.|парцье
Службовец гасцініцы|парцье
Службовец для размнажэння і выжыванні ў неспрыяльных умовах зародак расліннага арганізма, а таксама некаторых найпростых жывёл|спора
Службовец казіно|круп'е
Службовец агароднай бяспекі|пудзіла
Служба сатаністаў завецца “чорная ...”|імша
Служба, занятак як крыніца заробку|праца
Службовы сабака|шныпар
Службовае масла (церковн.)|ялей
Службовае памяшканне на судне?|рубка
Службовае паведамленне, данясенне малодшага па званні старэйшаму ваеннаму начальніку|рапарт
Службовы граматычны элемент складовага выказніка|звязак
Службовы разрад|чын
Служкі і пявучыя ў праваслаўнай царкве|клір
Служкі і пявучыя праваслаўнай царквы|клір
Служка Мельпомены з казкі пра залаты ключык|Арлекін
Служка Феміды|суддзя
Служка Феміды|юрыст
Служка богаў|жрэц
Служка культу ў габрэйскай рэлігійнай абшчыне|рабін
Служка мячэці|хатыб
Служка сцэны|акцёр
Служка тэатральных падмостак|акцёр
Служка царскай службы бяспекі ў гады кіравання Івана Грознага?|апрычнік
Служка царквы|клір
Служка Мельпомены|акторка
Служка пры спадарыні?|пакаёўка
Чуткі, пляткарства|гаворка
Слыхавая костачка сярэдняга вуха|стрэмя
Слыхавая трубка|отофон
Слыхавая пляма|макула
Выпадак, асобны факт|неспадзяванка
Выпадак, які ўяўляе нешта вельмі смешнае|пацеха
Выпадак, здарэнне, гушчару смешнае|неспадзяванка
Выпадак, складаны і заблытаны з пункту гледжання права|неспадзяванка
Выпадак, які можа быць прыведзены ў тлумачэнне, у доказ|прыціх
Выпадак, здарэнне|эпізод
Выпадкова выйграны шар у більярдзе|фукс
Выпадковае парушэнне нормы, кіраваў|памылка
Выпадковае таўро|апёк
Выпадковая, неістотная ўласцівасць прадмета?|акцыдэнцыя
Выпадковая, мінучая, неістотная ўласцівасць (филос.)|акцыдэнцыя
Слухачы лекцыі, дакладу, а таксама радыё- і тэлеперадач|аўдыторыя
Чуў ... , ды не ведае, дзе ён (прымаўка)|звон
Гл. азалія (расліна)|азалея
То ж, што аншпуг|андшпуг
Гл. дэф (муз.)|даф
Гл. дэф (муз.)|дяф
Гл. каллюс|каллус
Аліва для аўтамабіляў, трактароў|аўтол
Аліва для карбюратарных рухавікоў|аўтол
Аліва для машыны Шрубкі і Шпунтика з Кветкавага горада|сіроп
Змазвальны матэрыял|аўтол
Змазвальны матэрыял|литол
Змазвальны матэрыял|нигрол
Адвага, бясстрашнасць, адвага|адвага
Сямейства птушак атрада падгалістых|чаплі
Сямейства птушак атрада падгалістых|китоглавы
Сямейства птушак атрада падгалістых|молотоглавы
Сямейства птушак атрада падгалістых|буслы
Сямейства птушак атрада падгалістых|ібісы
Сямейства птушак атрада падгалістых|челноклювы
Адважны ўкраінскі каваль, які засядлаў чорта|вакула
Адважны, вясёлы, бесшабашны (ирон.)|гусар
Зменная ўстаўка, якая ўсталёўваецца ў цыліндрах поршневых рухавікоў|гільза
Зменная цыліндрыч. дэталь поршневых рухавікоў|гільза
Зменны адчувальны элемент у некаторых асцылографах з лёгкай токаправоднай завесай (рамкай) і ўмацаваным на ёй мініяцюрным люстэркам|шлейф
Смяротная завеса ў парным катанні|тодес
Смяротны пацалунак двух самалётаў|таран
Смяротнае ложа|ложа
Смерць для бомбы|выбух
Смерць якога цара паставіла кропку на кіравальнай дынастыі Раманавых? (адказ у ім. п.)|Мікалай II
Сумесь белага віна з ромам ці каньяком|крушон
Сумесь вады і горнай пароды, якая атрымліваецца пры земляных і горных пародах гідраўлічным спосабам|пульпа
Сумесь газаў, складнік атмасферу Землі|паветра
Сумесь гіпсу з глінай у Сярэдняй Азіі|ганч
Сумесь двух кіслых поліцукрыдаў, што змяшчаюцца ў клеткавых сценках чырвонага багавіння|агар
Сумесь вадкіх тоўстых кіслот|алеін
Сумесь вадкіх вуглевадародаў?|бензін
Сумесь зададзенага складу|шыхта
Сумесь з белага віна і рому ці каньяку з садавінай|крушон
Сумесь лекавай травы, раслін|збор
Сумесь на аснове каніфолі, плавіцца пры 60–90 град., служыць для апячатвання паштовых адпраўленняў і інш.|сургуч
Сумесь насычаных вуглевадародаў|алкілат
Сумесь вызначанага складу і крупности часціц, напр., руды і вугля для плаўлення ў даменнай печы|шыхта
Сумесь розных ласункаў|ералаш
Сумесь разнастайнай зацукраванай садавіны (устар.)|ералаш
Сумесь увараны. виноградн. соку і пакуты для приготовл. чурчхела|татара
