Разбурэнне, распад?|дэструкцыя
Разбурэнне, спусташэнне|руйнаванне
Разбуральнік культурных каштоўнасцяў, варвар|вандал
Парыў адносін, грамадская ізаляцыя суб'екта|байкот
Парыў снарада ці бомбы|выбух
Разрад бажаствоў у тыбецкім будызме|дагшед
Разрад у заалогіі, біялогіі|клас
Разрад у караце, дзюдо|дадзены
Разрад ваеннаабавязаных, якія прайшлі ваенную службу ці вызваленых ад яе і што заклікаюцца ў войска пры мабілізацыі|назапасіў
Разрад выбарнікаў на Русі|курыя
Разрад выбарнікаў па саслоўным, имущ. прыкмеце|курыя
Разрад прафесійнага кіроўцы|клас
Разрад, якасць (переносн.)|гатунак
Разрад, катэгорыя каштоўных папер|серыя
Разрадка, паслабленне напругі, прадышка, адпачынак|детант
Разрадка, прадышка, адпачынак|детант
Разрады, на якія падзелены крыніцы прыбыткаў пры абкладанні іх падаходным падаткам|шедула
Разудалое баўленне часу, уласцівае толькі рускім|гульба
Розум адказвае праўдзе і хлусні, а ... дабру і злу|воля
Розум у грэкаў|нус
Разумная падстава, сэнс, довад?|рацыя
Разумная згода душы на звычайнае карыстанне сваёй воляй|вера
Разумнае ўтрыманне чаго-небудзь|толк
Разумнасць, унутраная заканамернасць чаго-небудзь?|логіка
Разумнае дзіця|разумнік
Раз'юшаная жанчына|фурыя
Рай без кахання|пекла
Рай|эдэм
Раён Манголіі|аймак
Раён Масквы, якое было сяло, дзе некалі размяшчаўся лагер Лжедимитрия II|Тушино
Раён Масквы, што быў галоўнай крэпасцю Ўзброенага паўстання маскоўскіх працоўных 1905 г.|Пресня
Раён Масквы?|Качалово
Раён Масквы|Аляксееўскае
Раён Масквы|Алтуфьево
Раён Масквы|Аніна
Раён Масквы|Балчуг
Раён Масквы|Бутава
Раён Масквы|Зюзино
Раён Масквы|Косино
Раён Масквы|Катлы
Раён Масквы|Сокал
Раён Масквы|Вузкае
Раён Масквы|Фили
Раён Масквы|Хімкі
Раён Масквы|Щукино
Раён Цэнтральнай Азіі|Тыбет
Раён у Афрыцы|Магриб
Раён горада, куды фашысты зганялі габрэяў|гета
Раён здабычы медна-никелевых руд у Расіі|Талнах
Раён і станцыя мятро ў Маскве|Перово
Раён Масквы|Выхино
Раён на паўночным захадзе Санкт-Пецярбурга|Лахта
Раён, вылучаны ўладамі для пражывання меншасці, які падвяргаецца дыскрымінацыі па расавых, нацыянальных, рэлігійных прыкметах|гета
Раён, мясцовасць Масквы|Міціна
Раённы цэнтр у Грузіі|Яны
Раённы цэнтр у Магаданскай вобл.|Ола
Раённы цэнтр у Краснаярскам краі|Канск
Райская ахвяра “змея спакусніка”|Ева
Райская птушка, салодка што спявае шчасліўчыкам|сірын
Райскія дзверы, ключы якіх захоўваліся ў апостала Пятра?|брама
Райскі ўладар|бог
Райскі спакуснік|змей
Райцэнтр у Ашхабадской вобласці|Каахка
Райцэнтр у Карэліі|Прадзіва
Райцэнтр у Кашкадарьинской вобласці, зблізку якога знаходзіцца станцыя, якая вывучае рух зямных канцавоссяў|Китаб
Райцэнтр на рацэ Риони (Грузія)|Яны
Ракетны старт|узлёт
Ракіта, брэднік, ракітнік (общ.)|вярба
Ракавіна ў прыбіральні|унітаз
Ракавіна для подмывания|биде
Ракападобная жывёла|краб
Ракападобнае|арцемія
Ралі як спаборніцтва|гонка
Рама для нацягвання тканіны для вышывання|пяльцы
Рама з фармовачнай зямлёй для залівання металу|апока
Рама з фармовачнай зямлёй для залівання металам|апока
Рама з фармовачнай сумессю, у якой зроблена паражніна для залівання металам|апока
Рама сталоў і сядушак мэблі|царга
Рамка для аптычнага шкла|аправа
Рамка з патронамі, ваенны тэрмін|абойма
Рамка, у якую ўстаўляецца, урабляецца што-небудзь|аправа
Рана, нанесеная вострым прадметам|парэз
Рангоутное дрэва, да якога мацуецца ветразь|гік
Раней так звалі зброевыя заводы|арсенал
Раней у ніўхаў хаджала так, што маці хавалі ў мядзведжай клетцы, а пра яе дзяцей казалі, як пра звяроў. А чым такім ужо незвычайным гэтыя дзеці адрозніваліся? “яны былі ...”|двайнятамі
Параненая ... – звычайная выява з песень А. Пугачовай|птушка
Раненне на спартовым “полі бою”|траўма
Раннезимние гатункі яблыні|апорт
Раннеримская бронзавая манета, известн. з канца 4 ст. да н. э.|триенс
Раннеспелый гатунак дынь, прыдатны для гадоўлі пад плёнкавай хованкай|навруз
Раннефеод. дзяржава ў цэнтр. часці Сяўбу. Каўказа 9–13 стст.|Аланія
Раннефеадальная дзяржава ў цэнтральнай частцы Сяўба. Каўказа 9–13 стст.|Аланія
Ранні гатунак бульбы|вятка
Ранняя паэма М. Лермантава|Израил
Раней – ДАІ, зараз – ДІБДР|аўтаінспекцыя
Раней – грозная колючая зброя, цяпер – спортпрыладдзе|рапіра
Раней – месца пад сонцам, цяпер – прыстанак для жабракоў|навука
Раней бываў вайсковец, зараз – турыстычны|паход
Раней звалі канторай|офіс
Раней нак звалі пелікана, потым каршуна. Яшчэ гэта назва аднаго з дняпроўскіх парогаў. А цяпер так завецца сава. Прамоўце гэта слова|няясыць
Раней так звалі забаўляльную ўстанову|вакзал
Распаленыя вуглі|жар
Гулкі і віртуозны пасаж у спеве – выкананая ў хуткім тэмпе частка мелодыі|рулада
Раскватараванне войскаў у хатах жыхароў, адна з цяжкіх павіннасцяў цяглавых людзей у Расіі|пастой
Раскватараванне частак, злучэнняў і ўстаноў узброеных сіл у месцах іх сталага знаходжання на тэрыторыі сваёй ці акупаванай краіны?|дыслакацыя
Раскол хрысціянскіх цэркваў у 11-м ст.|схізма
Расколаты напалову абцінак бервяна|плаха
Раскольніца ў оперы М. Мусаргскага “Хованщина”|Марфа
Расплаўленая глейка-вадкая сілікатная маса, якая ўтвараецца ў мантыі Землі|магма
Расчыненае|акно
Расклад руху цягнікоў|графік
Расклад ці спіс чаго-небудзь у вызначаным парадку|табель
Расклад чарговасці выйсцяў на арэну ў дореволюц. цырку, дзе для непісьменных ставілі ўмоўныя знакі|авізо
Расклад рангаў|табель
Расклад; аддзел страўніка жуйных жывёл; сузор'е|сетка
Расклад|сетка
Размаляваная ці ляпная столь|плафон
Расплаў аксідаў (пасля зацвярдзення – камнень ці шклопадобная маса), над пластом вадкага металу ў плавільных печах|дзындра
Расплаўленая маса ў глыбінях Зямлі|магма
Расплаўленая маса, якая выкідаецца вулканам|лава
Расплаўленая маса, што ўтвараецца ў глыбінных зонах зямлі|магма
Расплаўленая мінеральная маса, якая праліваецца з вулкана пры вывяржэнні|лава
Расплаўленая парода|лава
Расплаўленая сілікатная маса, што праліваецца пры вывяржэннях вулканаў?|лава
Які распластаўся глобус|карта
Адплата за кінуты плён кахання|аліменты
Размешчаны ў органе раўнавагі жывёл|аталіт
Размяшчэнне войскаў для адпачынку па-за населенымі пунктамі|бивуак
Размяшчэнне войскаў для адпачынку ці начлегу па-за населенымі пунктамі|бівак
Размяшчэнне дна бутэлькі адносна горлачка|ніз
Размяшчэнне аблокаў у выглядзе выцягнутай грады|грыва
Размяшчэнне пальцаў пры гульні на музычных прыладах|аплікатура
Размяшчэнне рытмічных адзінак у музычным такце|памер
Размешчаная над іншымі частка чаго-небудзь|верх
Размешчаныя ў вызначаным парадку літары, прынятыя ў пісьменнасці якой-небудзь мовы|алфавіт
Распорка, не давальная стуліцца мірскай пашчы вакол хрысціяніна|крыж
Распарадчыкі, адказныя наладжвальнікі чаго-небудзь|адміністрацыя
Распарадчык у вясельным абрадзе, запрашаны жаніхом|дружка
Распарадчык балю, застоллі|тамада
Распарадчык, банкір у ігральнай хаце|круп'е
Распарадак дзеў, дзеянняў|рэжым
Распарадак жыцця|рэжым
Распараджэнне магістрата ў Інш. Рыме|эдыкт
Распараджэнне на выкананне якой-небудзь працы|убор
Распараджэнне, якое выконваюць з прымусу|указка
Распараджэнне|загад
Распараджэнні прэзідэнта|указы
Размеркаванне прыбыткаў і выдаткаў|бюджэт
Размеркаваная камунікацыйная сістэма|сетка
Распродажная паніка|ажыятаж
Распаўсюд пладоў і насення ветрам|анемахарыя
Распаўсюд раслін пры міжвольным удзеле чалавека|антропохория
Распаўсюд насення раслін ветрам|анемахарыя
Распаўсюд насення раслін пры дапамозе ветра, жывёл|аллохория
Распаўсюджаная мянушка дваровага сабакі|шарык
Распаўсюджаная адзнака столовских капусты|памыі
Распаўсюджанае віруснае захворванне|грып
Распаўсюджанае грыбнае захворванне яблынь і груш|шолудзі
Распаўсюджаная назва крамы па продажы ачкоў|оптыка
Распаўсюджаны породообразующий мінерал, аксід крэмнія|кварц
Звада наадварот (зг)|лад
Звада|разлад
Распусніца (простореч.); карэта|шалава
Распусніца (простореч.)|шалава
Раса, расавы тып (адказ у мн. ч.)|аўстралійцы
Раса, расавы тып (адказ у мн. ч.)|мулаты
Раса, расавы тып (адказ у мн. ч.)|эфіёпы
Раса, расавы тып|айны
Раса, расавы тып|бушмен
Якія рассмоктваюцца з часам ніткі з барановых кішак, што ўжываюцца ў хірургіі|кетгут
Світанак наадварот|заход
Світальная песня іспанскага пастуха|альборада
Расколіна ў горах|цясніна
Безуважлівая зорная скупнасць у сузор'і Цяля|Гиады
Безуважлівы, няўважлівы чалавек|разява
Рассеяное зорная скупнасць у сузор'і Рака|Яслі
Персанаж аповяду “Тэма і Жучка”|Тэма
Аповяд : А. Чэхава; Вересаева|помста
Аповяд : А. Чэхава|помста
Аповяд : В. Шукшына; М. Шолохова|крыўда
Аповяд : В. Шукшына|крыўда
Аповяд : Гаршина; Купрына|баязлівец
Аповяд : Гаршина|баязлівец
Аповяд : О. Бальзака; А. Чэхава|ведзьма
Аповяд : О. Бальзака|ведзьма
Аповяд А. Чэхава пра дзевяцігадовага хлопчыка, які пісаў ліст на вёску дзядулю?|Ванька
Аповяд А. І. Купрына|тапёр
