Адмысловасць лекара?|рэўматолаг
Адмысловасць лекара|анатам
Адмысловасць лекара|анестэзіёлаг
Адмысловасць лекара|лор
Адмысловасць лекара|уролаг
Адмысловасць лекара|хірург
Адмысловасць матэматыка|логік
Адмысловасць працоўнага|маляр
Адмысловасць працоўнага|столяр
Адмысловасць сувязіста|радыст
Адмысловасць будаўніка|маляр
Адмысловасць навукоўца|анатам
Адмысловасць навукоўца|археолаг
Адмысловасць навукоўца|астраном
Адмысловасць навукоўца|біёлаг
Адмысловасць навукоўца|заолаг
Адмысловасць навукоўца|хімік
Адмысловасць фізіка|акустык
Адмысловыя кішэнькі на чаркеску|газыры
Адмысловыя касметычныя сродкі|грым
Адмысловы дыялект у лінгвістыцы|арго
Адмысловая доўгая скрыня з вечкам, у якім хаваюць памерлага|труна
Адмысловы джгут для змацавання снапоў у рускіх сялян|звязак
Адмысловы часопіс ці альбом; шчыльная тканіна|атлас
Адмысловы часопіс ці альбом|атлас
Адмысловы часопіс пра сабак|сябар
Адмысловы камень для шліфоўкі і кропкі|брусок
Адмысловы дыван для барацьбы дзюдо|татамі
Адмысловы пояс для ўтрымання пярэдняй брушнай сценкі|бандаж
Адмысловы бягучы рахунак у слоіку|анколь
Адмысловы скарочаны ледасек альпініста|айсбайль
Адмысловы шырокі пояс, напрананы для ўтрымання цела на вадзе|камізэлька
Адмысловая скрыня для ўтрымання пчол|вулей
Адмысловым метадам прыгатаваная свініна|бекон
Спецыфікацыя фірмовага интеллектуальн. багажу|дыплом
Спецыфічныя духі андатры|мускус
Спецыфічныя паводзіны птушак|аллопрининг
Спецыя|кубеба
Спяцоўка святара|рыза
Спецвопратка працоўнага|адзежа
Спецпокрытие падлог|паркет
Паспех на колах|гонка
Паспех дрэнная ўжо тым, што адымае шмат ... (Гилберт Честертон)?|чакай
Спешная праца, выкананая ўсім калектывам|аўрал
Спешнае апавяшчэнне|дэпеша
Спідометр карабля|лаг
Спідометр марскога судна, нічога агульнага з хваробай СНІД не мелы|лаг
Спікер у вольным перакладзе з замежнага|трапло
Спінная струна (хорда) асетр. рыб, употребл. у ежу|візіга
Спіралепадобна выгнуты арнаментальны матыў|валюта
Спіральная шрубавая нарэзка|разьба
Спірт|ксилит
Спіртны напой для апетыту?|аперытыў
Спіртны напой крэпасцю 40–50, атрымоўваны перагонкай сусла з ячменнага соладу, іржы ці кукурузы, папулярны ў Англіі і ЗША|віскі
Спіртны напой, настойка на палыне|абсэнт
Спіртны напой|ром
Спіс страў у рэстаране|меню
Спіс страў, якія толькі што скончыліся. (Леанід Левинсон)?|меню
Спіс твараў, дзейнікаў абкладанню подушной падаткам|казка
Спіс улічваемых прадметаў|вопіс
Спіс, паказальнік|індэкс
Запалкавы элемент|сера
Сплаў Сu – 89%, Sn – 11%|бронза
Сплаў алюмінія з меддзю, магніем і марганцам?|дуралюмин
Сплаў алюмінія, крэмнія і жалеза|алсіфер
Сплаў жалеза з нікелем|інвар
Сплаў жалеза з 2–4% вугляроду, звычайна далікатны|чыгун
Сплаў жалеза з алюмініем для магнитострикционных пераўтваральнікаў|алфер
Сплаў жалеза з нікелем, які валодае нікчэмным цеплавым пашырэннем|інвар
Сплаў жалеза з вугляродам і з дадатковымі дадаткамі?|сталь
Сплаў жалеза з вугляродам і з дадатковымі дадаткамі|чыгун
Сплаў жалеза з вугляродам?|чыгун
Сплаў лесу россыпам, асобным бярвеннем|моль
Сплаў марганцу, алюмінія, крэмнія, жалеза і нікеля|алюмель
Сплаў медзі і цынку для манет з часоў Аўгуста|аурихалк
Сплаў медзі з цынам і іншымі металамі|бронза
Сплаў медзі з цынкам і іншымі элементамі|латунь
Сплаў медзі з цынкам і нікелем|тампак
Сплаў медзі з цынкам, гатунак латуні|тампак
Сплаў на аснове алюмінія, выкарыстоўваны ў авіяцыі|авіяль
Сплаў на аснове свінцу для адліўкі друкарскага шрыфта?|гарт
Сплаў нікеля з алюмініем, марганцам, крэмніем, выкарыстоўваны ў тэрмапарах|алюмель
Сплаў нікеля з хромам, жалезам і марганцам|ніхром
Сплаў ртуці з іншымі металамі|амальгама
Сплаў свінцу, сурмы і медзі?|бабіт
Сплаў, які ўжываецца ў самалётабудаванні|авіяль
Сплаў|ковар
Сплаў|силал
Сплавина, тып глебы|дрыгва
Сплеценыя ў выглядзе джгута некалькі доўгіх пасмаў валасоў|каса
Сплеценыя ў кольца лісце, кветкі|вянок
Суцэльная маса дробных лятучых часціц|воблака
Суцэльны полаг, што завалакае з усіх бакоў|заслона
Суцэльны полаг, тое, што зачыняе, завалакае з усіх бакоў|заслона
Суцэльны струмень, напр., конніцы, людзей|лава
Спартовая гульня|крыкет
Паплечнік Б. Хмяльніцкага|Нячай
Паплечнік Багдана Хмяльніцкага|Небаба
Паплечнік Вішну і Шывы|Брахма
Паплечнік Е. Пугачова|Чика
Паплечнік К. Булавина|Хохлач
Паплечнік Олівера Кромвеля|Айртон
Паплечнік Спартака|Каст
Паплечнік Ф. Кастро|Гевара
Паплечнік і зяць Мухамеда|Асман
Паплечнік кіраўніка Сялянскага паўстання І. Балотнікава|Илейка
Паплечнік славянскага асветніка Мяфодзія|Кірыла
Спакойная, марудлівая гутарка|гутарка
Спакой, цішыня|свет
Бліскавіца; выбліск далёкай маланкі, асвятлялая неба на гарызонце?|паланіца
Спрэчка на грошы|заклад
Спрэчка пра што-небудзь на якую-небудзь рэч|заклад
Спрэчка|заклад
Спора грыбоў і багавіння|азигота
Споравая расліна, звычайна якое расце ў волкіх месцах на зямлі, на дрэвах, на камянях|мох
Споравая травяністая ці дрэвападобная расліна з буйным, моцна рассечаным лісцем?|папараць
Спорт плытнікаў і працоўных лясны пром-ти поўначы ЗША|белинг
Спорт. аўтамабіль|карт
Спорт. гімнаст. тэпцікі|чэшкі
Спорт. гоначная лодка|скіф
Спорт. гульня?|хакей
Спорт. гульня|крыкет
Спорт. гульня|лапта
Спорт. гульня|тэніс
Спорт. гульня|футбол
Спорт. ці турысцкае судна|яхта
Спорт. інвентар; картачны тэрмін (брыдж); галаўны ўбор|шлем
Спорт. інвентар; прадмет гетманского адрозненні|булава
Спорт. інвентар|булава
Спорт. інвентар|гіра
Спорт. інвентар|клюшка
Спорт. інвентар|ласты
Спорт. інвентар|лыжы
Спорт. інвентар|мяч
Спорт. інвентар|перш
Спорт. інвентар|плинт
Спорт. інвентар|ролікі
Спорт. інвентар|санкі
Спорт. інвентар|серфер
Спорт. інвентар|скибоб
Спорт. інвентар|шайба
Спорт. інвентар|тычка
Спорт. інвентар|шлем
Спорт. каментатар|Озеров
Спорт. комплекс каля Алма-Аты|Медео
Спорт. комплекс у Маскве|битца
Спорт. грамадства|дынама
Спорт. пальчатка|крага
Спорт. санкі|боб
Спорт. снарад (стральба); сузор'е; городошная постаць|страла
Спорт. снарад (стральба)|страла
Спорт. снарад; выгляд акулы|молат
Спорт. снарад|брусы
Спорт. снарад|кольцы
Спорт. снарад|молат
Спорт. спаборніцтва|турнір
Спорт. танец|хастл
Спорт. элемент у штангістаў|штуршок
Спорт. яхта|цмок
Спорт. яхта|тэндар
Спартовая барацьба вольнага стылю, заснаваная на кідках, падсечках, захопах|дзюдо
Спартовая барацьба|караце
Спартовая гімнастка, у 1973 г. мянушка “Рускі цуд з касічкамі”|Корбут
Спартовая вяслярная аднавёславая лодка|каноэ
Спартовая дарожка, па якой не бегаюць, а калясяць|трэк
Спартовая гульня ў мяч дзвюх каманд, па правілах якой дазваляецца гуляць толькі рукамі?|гандбол
Спартовая гульня ў мяч дзвюх каманд, па правілах якой дазваляецца гуляць толькі рукамі|рэгбі
Спартовая гульня на поле|футбол
Спартовая гульня з вялікім мячом|пушбол
Спартовая гульня з клюшкамі і драўляным мячом конна на поні|пола
Спартовая гульня з маленькім цвёрдым мячом|гольф
Спартовая гульня з мячом дыяметрам да 1,8 метра|пушбол
Спартовая гульня з мячом і ракеткамі|тэніс
Спартовая гульня з мячом, дзе ёсць вароты, але няма брамніка|рэгбі
Спартовая гульня з мячом?|крыкет
Спартовая гульня з мячом?|баскетбол
