Старадаўні рукапісны шрыфт|вязьмо
Старадаўні рус. галаўны ўбор замужняй жанчыны|повоец
Старадаўні рускі горад на Волзе|Ржэў
Старадаўні рускі горад на Ацэ|Кашира
Старадаўні рускі горад абласнога значэння|Цвер
Старадаўні рускі горад, цяпер абласны цэнтр|Пскоў
Старадаўні рускі дарожны плашч|апанча
Старадаўні рускі жаночы галаўны ўбор-покрыва|убрус
Старадаўняя руская народная шчыпковая прылада|гуслі
Старадаўняе рускае свята, русальная тыдзень|сёмуха
Старадаўні рускі танец у хуткім тэмпе|трапак
Старадаўні смычковый муз. прылада, папярэднік виол і скрыпак|фідэль
Старадаўняя пасудзіна для віна|ступня
Старадаўні стыль|рэтра
Старадаўняя струнная музычная прылада ў Англіі і Францыі|крата
Старадаўняя струнная музычная прылада ўкраінскіх, рускіх і беларускіх спевакоў|ліра
Старадаўняя струнная шчыпковая музычная прылада|гуслі
Старадаўняя струнная шчыпковая музычная прылада|лютня
Старадаўняя ўкраінская струнная шчыпковая музычная прылада|кобза
Старадаўні франц. народны і бальны танец|менуэт
Старадаўні франц. народны танец|бурре
Старадаўні франц. танец|менуэт
Старадаўні французскі народны танец|гавот
Старадаўні цэннік вайсковых злачынстваў|сцяна
Старадаўні шатландскі народны танец|экосез
Старадубка, расліна сем. казяльцовых|аданіс
Старое назв. Андыжана|андукан
Старая назва бегавога экіпажа пампавалкі|сулка
Старая назва літары “Ы”|еры
Старая назва літары “ъ” (“цвёрды знак”) у рускім алфавіце|ер
Старая назва горада Полесск|Лабиау
Старая назва горада Сафія|Средец
Старая назва егермайстра|лоўчы
Старая назва інструментальнага дуэта|дуо
Старая назва кукурузы|маіс
Старая назва літоўскага горада Обяляй|Абели
Старая назва народа саами|лапары
Старая назва ніўхаў|гілякі
Старая назва цёплай мужчынскай шапкі са слухаўкай і які апускаецца задком|треух
Старая назва чальца кансерватыўнай партыі ў Англіі|торы
Старое рус. назва хабару|абяцанка
Старое рус. назва разбойніка, злодзея|тать
Старая руская страва: аўсянае талакно з алеем|быкі
Старая руская назва клячы|одран
Старая руская назва ложа|ложа
Старая руская назва прадуктовага склада|кагал
Старая руская назва празрыстых ювелірных мінералаў|акантикон
Старая руская назва складчатых фальбон на абшэўках, каўнярах, жабо|брыжжи
Старая руская назва складчатых фальбон на абшэўках, каўнярах, жабо|брыжы
Старая руская назва курчы|курчачы
Стары, правераны сродак ад карыесу|пломба
Старамодны пояс|пояс
Старорусское назва мінерала смарагду|смарагд
Старорусская літара|ер
Старорусская мера даўжыні, роўная 500 сажням|вярста
Старорусская курча|курчачы
Старорусский шрыфт|статут
Старорусское назв. салетры|ямчуг
Старорусское пазначэнне сваркі, сваркі, лай?|рагоза
Старорусское полымя|огнь
Старорусское партманетка?|мошна
Старорусское выкраданне?|утаск
Старорусское прадпрыемства общ. сілкаванні|шынок
Старасць дня?|вечар
Старафранцузская назва красцёвай дамы|аргина
Старт (антонім)|фініш
Старт даменнай печы|задзьмуўшы
Старт касмічнай ракеты|запуск
Старт ракеты|запуск
Стартар у вершніка|шпора
Стартавая пляцоўка для ўзлёту вольнай фантазіі|канон
Старая са зморшчаным тварам з гогалеўскага “Вечара напярэдадні Івана Купала”|Яга
Старэйшае афіцэрскае званне ў флоце|адмірал
Старэйшыя анёлы|арханёлы
Старэйшы брат медалю|ордэн
Старэйшы брат скрыпкі|альт
Старэйшы дыякан у монашествующем духавенстве?|архідыякан
Старэйшы з 30 сыноў парфянского пануючы Ореда, які разграміў войска Красса|Пакор
Старэйшы манаскі сан (перад біскупам), звычайна яго маюць плябаны мужчынскіх праваслаўных манастыроў|архімандрыт
Старэйшы пастар у лютэран|пробст
Старэйшы сын Адама і Евы ў біблейскай міфалогіі|Каін
Старэйшы сын Геракла, прабацька скіфаў|Агафирс
Старэйшы сын Каіна|Енох
Старэйшы сын Тараса Бульбы|Астап
Старшына дыпламатычнага корпуса|дуаен
Старыя рваныя рэчы, анучкі, адыходы тэкстыльнай вытворчасці?|рыззё
Стары анекдот: “– Сёння вы спявалі так дрэнна, што публіка закідала вас гнілымі памідорамі.” “– Але бо былі і апладысменты?” “– Так, але яны былі...” Завошта? “за ...”|трапнае трапленне
Стары чаравік ці паўбоцік|чаравік
Стары ваяр?|ветэран
Стары слуга з п'есы Антона Чэхава “Вішнёвы сад”?|Фирс
Стары хіт на новы лад|рэмікс
Стары, злы скнара (слоўнік Даля)|аред
Стары, нямоглы чалавек, параўноўваны з развалінай|руіна
Статыстычны перапіс у Вялікабрытаніі і ЗША|цэнз
Статыстычны перапіс; прававое абмежаванне|цэнз
Статыстычны паказчык, які характарызуе змена тых ці іншых з'яў|індэкс
Статут “Яблыка” ў Дзярждуме?|фракцыя
Статут Зміцера Ларина з пушкінскага “Яўгена Онегина”|пан
Статут Роксоланы да замужжа|рабыня
Статут мяча за бакавой лініяй|аўт
Статут плахі|калода
Статут тарпеды|снарад
Статут клямкі|завала
Статуя Мікеланджэла, прысвечаная богу вінаробства|Вакх
Статуя ў старасці|антык
Статуя ляжалага льва з галавой чалавека ў древн. Егіпце|сфінкс
Статуя аголенага юнака-атлета|курос
Статуя, якой язычнікі ўшаноўваюць як бажаству|ідал
Статуя, якая падтрымлівае перакрыцце|атлант
Статуя, збудаванне велічэзных памераў|калос
Стаць, выправа|выправа
Артыкул Гогаля|жыццё
Артыкул ва ўсю кніжную частку газетнага ліста|склеп
Артыкул з часопіса, складанкі ў выглядзе асобнай брашуры|адбітак
Стаханаўская стараннасць|стараннасць
Стацыянарны пад'ёмнік прерывного дзеянні|ліфт
Стацыянарны студэнт|очник
Зграя лятучых казурак|рой
Зграя пчол; інд. кінарэжысёр|рой
Зграя рыб, птушак; дэбют у рускіх шашках|вушак
Зграя рыб, птушак|вушак
Ствол дрэва, адлучаны ад каранёвай часткі і вычышчаны ад сукоў|дубец
Ствол калоны|фуст
Ствол зброі|руля
Ствол з бельгійскімі каранямі|наган
Ствол|камель
Стволдуар|руля
Стволочистка|шомпал
Створка пекла|брама
Створка для прычынення акна|аканіца
