Стэпавае парнакапытнае полорогое жывёла|сайгак
Стэпавы грызун з роду суркоў, увосень і ўзімку які ўпадае ў спячку|абібок
Стэпавая дзікарослая трава з вузкім лісцем|кавыль
Стэпавы ці лясны пажар|упала
Стэпавая пустазельная трава, для скаціны|вастрэц
Стэпавая пустазельная трава, колосняк|вастрэц
Стэпавая пустазельная трава, што ўжываецца як корм|вастрэц
Стэпавы сурок – звярок дл. да 60 гл|абібок
Стэп у Аргентыне і Ўругваі|пампа
Стэп у Вугоршчыне|пушты
Стэрэатыпны выраз, шаблонная фраза|клішэ
Стрыжань для нерухомага злучэння металічных дэталяў|штыфт
Стрыжань для змацавання частак драўлянай канструкцыі|нагель
Стрыжань для злучэння дэталяў у механізмах|загваздка
Стрыжань для злучэння дэталяў ці іх фіксацыі пры зборцы|штыфт
Стрыжань для злучэння дэталяў|шплинт
Стрыжань для злучэння поршня з паўзуном, напр. у поршневай помпе|шток
Стрыжань для чысткі і змазкі канала ствала ручной стралковай зброі|шомпал
Стрыжань з вугля, графіту?|аловак
Стрыжань з круглявым канцом для таўчэння ў ступе|мяла
Стрыжань з разьбой|ніт
Стрыжань са спіральнай нарэзкай|шруба
Стрыжань са спіральнай разьбой|шруба
Стрыжань, бэлька круглага ці прастакутнага перасеку|брус
Стрыжань, брусок толу|шашка
Стрыжань, вручаемый машыністу на чыгунках як дазвол працягнуць шлях|жазло
Стрыжань, устаўляемы ў адтуліну дэталі (напр. ніта) для яе фіксацыі|загваздка
Стрыжань, які мацуецца да верха верацяна адміралцейскага якара перпендыкулярна плоскасці яго лап і забяспечвальны зарывание лапы ў грунт|шток
Стрыжань, на якім трымаюцца колы; уяўная прамая лінія; звяз дзяржаў|вось
Стрыжань, на якім трымаюцца колы|вось
Стрыжань, што злучае калодку кола з вобадам|спіца
Стрыжань, на якім трымаюцца колы, якія круцяцца часткі механізмаў|вось
Стрыжневая частка якара|цаўё
Стэрыльная палоска марлі на ране для прыпынку крывацёку|тампон
Стэрыльны корак для апрацоўкі раны|тампон
Збег 2–3 галосных усярэдзіне слова (краевугольны) ці на стыку слоў|зеўранне
Збег галосных усярэдзіне слова|зеўранне
Збег акалічнасцяў, не што залежаць ад волі чалавека, ход жыццёвых падзей|лёс
Стылявы кірунак у еўрапейскім мастацтве 1-й паловы 18 стагоддзі|ракако
Стылявыя варыяцыі, інструментоўка, у джазе – імправізацыя пры выкананні той ці іншай мелодыі|аранжоўка
Стылістыч. немілагучнасць тыпу “пра аазіс!”|хиатус
Стылістыч. постаць, нізанне сінанімічных вызначэнняў|ампліфікацыя
Стылістыч. постаць, состоящ. у описательн. пазначэнні твару|антономазия
Стылістыч. постаць, літаратурны намёк|алюзія
Стылістычная постаць, паўтор пачатковых частак сумежных адрэзкаў гаворкі|анафара
Стылістычная постаць, паўтор слова, радкоў ці строф|анафара
Стылістычная постаць: пропуск слова, лёгка аднаўляльнага па кантэксце|эліпс
Стылістычная постаць|анадиплосис
Стылістычная постаць|анакалуф
Стылістычная постаць|анафара
Стылістычны і паэтычны прыём гаворкі, пры якім сэнс ссоўваецца да вобразнага, пераноснаму|сцежак
Стылістычны прыём|хіязм
Стыль ХVIII ст.|ракако
Стыль у архітэктуры і мастацтве першай паловы 19 ст.|ампір
Стыль у архітэктуры|ракако
Стыль у жаночай адзежы|макси
Стыль у жывапісе 18 стагоддзі|ракако
Стыль у мастацтве 18 стагоддзі, які адрозніваецца вытанчанай складанасцю формаў і мудрагелістымі арнаментамі?|ракако
Стыль у мастацтве і архітэктуры|мадэрн
Стыль джазавай музыкі з павольным рытмам|блюз
Стыль джазавай музыкі|свинг
Стыль еўрапейскага мастацтва|мадэрн
Стыль жывапісу 20 стагоддзі, прыхільнікаў якога звалі “дзікімі”|фовизм
Стыль мастацтва|ракако
Стыль лёгкай адзежы прамога крою з кішэнямі|сафары
Стыль мэблі чырвонага дрэва|жакоб
Стыль адзежы|сафары
Стыль плавання жабы|брас
Стыль плавання па прынцыпе “памалу едзеш – далей будзеш”|брас
Стыль позняга класіцызму ў заходнееўрапейскай архітэктуры і прыкладным мастацтве|ампір
Стыль з прымешкай народнай музыкі|рэгги
Стыль з мудрагелістымі, пераборлівымі формамі ў архітэктуры і дэкаратыўным мастацтве Еўропы 18 ст.|ракако
Стыль спартовага плавання|трус
Стыль сярэднявечнай заходнееўрапейскай архітэктуры, які характарызуецца востраканцовымі збудаваннямі, спічастымі зборамі, багаццем каменнай разьбы і скульптурных упрыгожванняў|готыка
Стыль танцавальнай музыкі|дыска
Стыль французскай мэблі 17–18 стст.|буль
Стыль эстрадна-танцавальнай музыкі|рэп
Стыль, гулец на эратычных пачуццях|секси
Стыльны танец 60-х|твіст
Стымул для каня|пуга
Стымулятар, часова падвышальны фізічныя сілы і нервовую актыўнасць арганізма|допінг
Пральны парашок|ома
Верш А. Пушкіна|восень
Верш Ганны Ахматавай|рэха
Верш Ахматавай|вярба
Верш Ясеніна|вясна
Верш Ясеніна|зіма
Верш Ясеніна|калікі
Верш Ясеніна|каваль
Змоўк Ясеніна|лісіца
Верш Ясеніна|восень
Верш Ясеніна|адказ
Змоўк Ясеніна|церуха
Верш Ясеніна|паэт
Змоўк Ясеніна|сяло
Верш Ясеніна|табун
Змоўк Ясеніна|чары
Верш Ясеніна|фурман
Змоўк Лермантава|бой
Змоўк Лермантава|гукі
Верш Лермантава|лісток
Змоўк Лермантава|адказ
Змоўк Лермантава|вочы
Верш Лермантава|баль
Змоўк Лермантава|паэт
Змоўк Лермантава|Русь
Верш Лермантава|сонца
Верш Лермантава|сусед
Змоўк Лермантава|хмары
Верш Маякоўскага|Баку
Верш Маякоўскага|вясна
Верш Маякоўскага|выклік
Змоўк Маякоўскага|горад
Змоўк Маякоўскага|дахаты
Верш Маякоўскага|Жорес
Верш Маякоўскага|Казань
Верш Маякоўскага|каханне
Верш Маякоўскага|нате
Верш Маякоўскага|ноч
Верш Маякоўскага|парыж
Змоўк Маякоўскага|заклік
Змоўк Маякоўскага|Расія
Верш Маякоўскага|слуп
Змоўк Маякоўскага|трэсты
Верш Маякоўскага|баязлівец
Змоўк Маякоўскага|ханжа
Верш Пушкіна?|кветка
Змоўкла Пушкіна|Аквілон
Змоўк Пушкіна|вайна
Верш Пушкіна|герой
Змоўк Пушкіна|панна
Верш Пушкіна|Дэлія
Верш Пушкіна|Дионея
Верш Пушкіна|Дон
Змоўк Пушкіна|Дорида
Верш Пушкіна|жаніх
Змоўк Пушкіна|здрады
Верш Пушкіна|казак
Змоўк Пушкіна|конь
Змоўк Пушкіна|леда
Верш Пушкіна|ноч
Верш Пушкіна|няні
Верш Пушкіна|абвал
Змоўк Пушкіна|акно
Верш Пушкіна|паэт
Змоўк Пушкіна|прарок
Змоўк Пушкіна|птушачка
Верш Пушкіна|раманс
Змоўк Пушкіна|рада
Змоўкла Пушкіна|стары
Змоўк Пушкіна|праца
Змоўкла Пушкіна|вусы
Верш Пушкіна|рэха
Верш у прозе Тургенева|брамин
Верш у прозе Тургенева|галубы
Верш у прозе Тургенева|манах
Змоўк у прозе Тургенева|жабрак
Змоўк з Карана|аят
Верш. : А. Блока|дэман
Змоўк. : А. Пушкіна|манах
Змоўк. : М. Лермантава; А. Пушкіна|анёл
Змоўк. : М. Лермантава; А. Пушкіна|гусар
Змоўк. : М. Лермантава; А. Пушкіна|стансы
Верш. : М. Лермантава; А. Пушкіна|вязень
Змоўк. : М. Лермантава|анёл
Змоўк. : М. Лермантава|навальніца
Верш. : М. Лермантава|гусар
Змоўк. : М. Лермантава|восень
Верш. : М. Лермантава|стансы
Верш. А. Ахматавай; выгляд мастацтва|музыка
Верш. А. Ахматавай; карціна Архипова|госці
Верш. А. Ахматавай|госці
Верш. А. Ахматавай|клятва
Верш. А. Ахматавай|каханне
Верш. А. Ахматавай|музыка
Верш. А. Ахматавай|уцёкі
Змоўклі. А. Ахматавай|рыбак
Змоўк. А. Блока; горад у Італіі; фарба для жывапісу|Сіена
Верш. А. Блока; перс. іт. камедыі масак|арлекін
Змоўк. А. Блока; аповяд І. Буніна|сны
Верш. А. Блока|арлекін
Змоўк. А. Блока|галасы
Верш. А. Блока|камета
Верш. А. Блока|крылы
Верш. А. Блока|паэты
Верш. А. Блока|Расія
Верш. А. Блока|сіена
Верш. А. Блока|сны
Верш. А. Блока|сытыя
Верш. А. Пушкіна; раман Ф. Дастаеўскага|нячысцікі
Верш. А. Пушкіна|Адэлі
Верш. А. Пушкіна|нячысцікі
Верш. А. Пушкіна|спявак
Змоўк. А. Пушкіна|ружа
Верш. А. Пушкіна|хмара
Верш. Б. Пастарнака|стагі
Верш. В. Маякоўскага|раніца
Верш. В. Маякоўскага|порт
Змоўк. Д. Беднага|праўдзе
Верш. І. Буніна; цыкл змоўк. Б. Пастарнака|хвалі
