Судна для буксіроўкі воднолыжников|катэр
Судна для буксіроўкі несамоходн. судоў; буксировочн. ліна|буксір
Судна для буксіроўкі несамоходн. судоў|буксір
Судна для кіравання несамоходных судоў|буксір
Судна для перавозкі грузаў насыпам і навалам (вугаль, збожжа)|балкер
Судна для перавозкі вадкіх грузаў|танкер
Судна для перавозкі сыпкіх грузаў навалам|балкер
Судна для траіх, не лічачы сабакі|лодка
Судна норв. путешеств-ка Ф. Нансена ў вр. эксп. 1893–96 гг.|фрам
Судна ў берага|прычал
Судна экспедыцыі Р. Амундсена|мод
Судна, на борце якога нарадзілася казка пра Алісу ў Краіне цудаў|лодка
Судна, якое палявала за Моби Дзіком|пекод
Судна, што складаецца з двух злучаных палубай карпусоў ці мелае двухкилевые абводы корпуса?|катамаран
Судна-аснач|буксір
Суднавы азадак|кормы
Суднавая кухня|камбуз
Суднавыя ўсходы; газонефтяной сепаратар|трап
Суднавая шчогла|бізань
Суднавая снасць (трос для ўздыму ветразяў, сцягавых сігналаў)|фал
Суднавая снасць бегучего (рухомага) такелажачы|фал
Суднавая снасць бегучего такелажачы для ўздыму ветразяў і т. п.|фал
Суднавая снасць бегучего такелажачы|фал
Суднавая снасць|рыф
Суднавая адмысловасць Сильвера з “Выспы скарбаў”|кок
Суднавае спец. памяшканне|адсек
Суднавы груз у замежнагандлёвых аперацыях|карго
Суднавы звон; на Русі – збраяносец-целаахоўнік (15 ст.)|рында
Суднавы звон|рында
Суднавай кулинар|кок
Суднавы адстойнік|порт
Суднавы пляц|палуба
Суднавы прыбор для вызначэння пройдзенага суднам адлегласці|лаг
Суднавая тонкая ліна, трос|лін
Суднавай, прыстасаванне для ўтрымання судна ці іншага плаўсродка на месцы пры стаянцы за кошт зачэпу за грунт|якар
Суднавыя памяшканні паміж ніжняй палубай і дном для перавозкі грузаў, месцаванні механізмаў, запасаў|трум
Судоремонтный ці суднабудаўнічы завод|верф
Курча канечнасцяў (мёд.)|атэтоз
Курча?|спазм
Сутаргавы сціск, скарачэнне цягліц канечнасцяў ці цягліцавай сценкі полага органа|спазм
Сутаргавае скарачэнне дробных артэрый|ангіяспазма
Сутаргавае скарачэнне цягліц ці сценак полых органаў і пасудзін, якое звужае іх праход|спазм
Сутаргавае скарачэнне цягліц ці сценак полых органаў і пасудзін, што звужае іх праход|спазму
Сутаргавае сцягванне цягліц|курчачы
Сутаргавыя скарачэнні дыяфрагмы|ікаўка
Сутаргавы працэс, які паводле рэкламы, можа спыніць толькі “Фанта”|іканне
Суднабудаўнічае і судоремонтное прадпрыемства?|верф
Суднабудаўнічае прадпрыемства?|верф
Суднаходны праліў|праход
Лёс (паэт.)|мойра
Лёс і музыка|рок
Лёс, рок|перадвызначанасць
Лёс-зладзюжка|рок
Суддзя ў некаторых спартовых змаганнях?|рэферы
Суддзя ў арабаў|кадий
Суддзя ў мусульман|кадзі
Суддзя|арбітр
Мяркуючы па яго імі, яго продкі выйшлі са служак культу. Уладзімір Высоцкі зваў яго сваім сябрам. Аднойчы раптоўная смага, якая здарылася з ім у працоўны час, прывяла да выкрыцця таемнага агента. Аднак помнік у Адэсе яму ўсталяваны зусім не за гэта. Хто гэта?|Рабинович
Мяркуючы па гісторыі нашай дзяржавы, дэвіз расейцаў: “Праз цёрне – да ...”?|цернам
Мяркуючы па назве свайму, гэта жывёла павінна выпраменьваць, а насамрэч яно можа толькі зрабіць балюча. Што ж гэта за жывёлу?|актынія
Мяркуючы па назве, вечна якая мерзне птушачка|берасцянка
Клапатлівы, занадта рухомы чалавек, непаседа|непаседа
Марнасць, якая бескарысная і безвыніковая|марнасць
Што звужваецца брусок дрэва, металу, найпростая прылада|клін
Меркаванне, якое выказвае адзнаку, стаўленне, погляд|меркаванне
Меркаванне, што выказвае суб'ектыўную адзнаку|меркаванне
Меркаванне, стаўленне, погляд|меркаванне
Меркаванне, праверанае практыкай|праўда
Звужэнне адтуліны крайняга цела мужчынскага палавога чальца|фімоз
Звужэнне сценак пасудзіны ці органа, які абцяжарвае рух яго змесціва (мёд.)|стэноз
Звужаная частка рэчышча, часова якая пакідаецца для пропуску вады пры збудаванні плаціны і закрываемая пры завяршэнні прац|проран
