Існая, усталяваная мера|норма
Сутнасць у адрозненне ад факту ў фенаменалогіі Э. Гусэрля|эйдас
Сфагнавыя балоты на поўначы еўрапейскай часткі Расіі|мшара
Сфагнавыя торф. балоты на С. Еўроп. часці Расіі і Зап. Сиб.|мшара
Сфагнум, ягель|мох
Сфера дзеяння, распаўсюду чаго-небудзь|арбіта
Сфера непрадукцыйнай, але вельмі папулярнай дзейнасці|спорт
Сфера палавых адносін|сэкс
Сфера вольнага тавараабмену|рынак
Сфера таварнага абмену|рынак
Сфера таварнага звароту|рынак
Сферич. часціцы памерам ад мікраскапічных да гарошыны (астраном.)|хондры
Схематычна зарисованный план мясцовасці|абрыс
Сход гараджан (истор.)|веча
Сходка ў горах|лавіна
Падобнае з жабай бясхвостае земнаводнае з барадавістай скурай|жаба
Падабенства ў якім-небудзь стаўленні паміж прадметамі ці з'явамі?|аналогія
Сцэна ў цырку|арэна
Сцэнарыст, разам з С. Маршаком які прыдумаў мультфільм “Дванаццаць месяцаў”|Эрдман
Сцэнічныя маналогі, рэплікі, што вымаўляюцца “ў бок”|апарт
Сцэнічнае амплуа – наіўная дзяўчына|инженю
Сцэнічнае амплуа: ролі эфектных, самаўлюбёных і абмежаваных людзей|фат
Сцэнічнае амплуа|трагік
Сцэнічнае ўяўленне, пабудаванае на перабольшана-камічных, штукарскіх сітуацыях?|буфанада
Счэпка судоў бартамі для сутычкі ўрукапашную?|абардаж
Счэпка судоў для рукапашнага бою|абардаж
Счапленне паверхняў разнастайных целаў|адгезія
Счэпленыя адзін з адным чыгуначныя вагоны|склад
Счэплены з паравозам адмысловы вагон для паліва, воды, прылад ці прыстасаваная для гэтага задняя частка паравоза|тэндар
Шчаслівы супернік П'еро|Арлекін
Шчасце, барыш, прибыток|талан
Шчасце, да канца зразумелае толькі сляпым|зрок
Шчасце, карысць|балазе
Шчасце, з дакладнасцю да наадварот?|пошасць
Рахунак банка ў сваім банку|ностро
Рахунак паступленняў і абавязкаў дадзенай установе|дэбет
Рахунак выдаткаў і абавязкаў арганізацыі|крэдыт
Рахунак, які банк мае ў свайго банка (карэспандэнта) і на які ўносяцца ўсе яго выдаткі і паступленні|ностро
Рахунак, які адчыняецца банкам свайму банку, карэспандэнту|лора
Злічальная дошка ў старажытных рымлян|абак
Злічальная дошка, што ўжываецца для арыфметычных разлікаў у Інш. Грэцыі?|абак
Злічальны прыбор у Старажытнай Грэцыі|абак
Злічальны прыбор|арыфмометр
Лічыльнік часу|таймер
Лічыцца, што ён рэдзькі не саладзей|хрэн
Лічы, тое ж самае, што і анкетаванне|апытанне
Лічаць, што першым ... узяў сабе старажытнагрэцкі камедыёграф Арыстафан?|псеўданім
Ядомая чырвоная ягада і расліна, на якім яна расце|кизил
Ядомая ягада, расце на Каўказе і ў Крыму|ирга
Ядомае двухногае, якое паланіла чалавека сваім спевам, а затым і ножкамі. Назавіце яго|певень
Ядомыя надземныя часткі огородн. раслін у беларус. кухні|гич
Ядомы грыб для засолу|грузд
Ядомы грыб, выгляд рогатика|інвала
Ядомы грыб, вонкава падобны на баравік|сіняк
Ядомы грыб, назвай сваім непрыемна які нагадвае пра наступствы бойкі|сіняк
Ядомы грыб, што расце ў хваёвых лясах|казляк
Ядомы грыб, які расце на дрэвах|ежовік
Ядомы грыб|гладыш
Ядомы грыб|ажын
Ядомы грыб|каўпак
Ядомы грыб|осовик
Ядомы грыб|пецица
Ядомы грыб|плютей
Ядомы грыб|рыжак
Ядомы двухстворкавы марскі малюск|мідыя
Ядомы малюск|мідыя
Ядомы марскі малюск з прыгожай ракавінай|рапана
Ядомы пласціністы грыб на тонкай ножцы|апенька
Ядомы пласціністы грыб|валуй
Ядомы плён пальмы|фінік
Ядомы шаравата-белы пласціністы грыб?|шампіньён
Ядомы трапічны плён|авакада
З'езд вышэйшага духавенства хрысц. цэрквы|сабор
З'езд чальцоў масавай арганізацыі|злёт
Здымная частка свечкі|нагар
Здымачны апарат|камера
Харчовае, не якое прадугледжвае выкарыстанні сталовых прыбораў|жратва
Сыроватка пасля збівання масла (на Ўсходзе)|дуг
Сыктыўкар|Комі
Сын А. С. Пушкіна, сталы нацыянальным героем Балгарыі падчас руска-турэцкай вайны|Аляксандр
Сын Аўраама і Сарры, біблейскі персанаж|Язэп
Сын Адама і Евы, “пастыр авечак”|Авель
Сын Адама і Евы; драма Дж. Байрана|Каін
Сын Адама і Евы|Каін
Сын Геракла і хтанічнай багіні|Гелон
Сын Геракла|Ментар
Сын Гермеса ў грэцкай міфалогіі|Абдер
Сын Гермеса|Эврыт
Сын Диадоха|Эпітон
Сын Дэвіда Бэкхэма, названы ў гонар аднаго з раёнаў Нью-Ёрка|Бруклін
Сын Зеўса?|Тантал
Сын Зеўса|Геракл
Сын Язэпа і Ревекки (з біблейскай міфалогіі)|Якаў
Сын Креонта, жаніх Антигоны ў грэцкай міфалогіі|Гемон
Сын Ксенафонта|Эпит
Сын Ликаона|Финей
Сын Ликурга|Анкей
Сын Мелана|Эвриал
Сын Ноя, але не Хам|Гэтым
Сын Ноя|Иафет
Сын Пасейдона і Алкионы|Гирией
Сын Пасейдона і Амфитриты|Трытон
Сын Пасейдона і Арны|Беот
Сын Пасейдона і німфы Лівіі|Агенор
Сын Пасейдона|Амик
Сын Пасейдона|Трытон
Сын Приама (мифол.)|Парыс
