Тэорыя нераўнацэннасці чалавечых рос?|расізм
Тэорыя каштоўнасцяў|аксіялогія
Зараз у Львове яно бандеровское, а тыя, хто ў ім – бандэраўцы. А кім яны былі да гэтага?|сувораўцы
Зараз мы жывём без яго, калі верыць песне “Мой ... – Савецкі Звяз”|адрас
Цёплая верхняя жаночая адзежа мінулага стагоддзя|салоп
Цёплая вязаная кашуля без зашпілек з высокім каўняром|швэдар
Цёплая зімовая шапка|треух
Цёплая адзежа|швэдар
Цёплая шапка|вушанка
Цеплавылучальны элемент, трубка з які дзеліцца матэрыялам для атамнага рэактара|твэл
Цёплая марская плынь|Аляскінская
Цёплая марская плынь|Антыльскае
Теплоизолированный пасудзіна, у якім падтрымліваецца сталая тэмпература з дапамогай аўтаматычнага рэгулятара?|тэрмастат
Цеплаход для перавозкі кантэйнераў, лясы, праката металаў, аўтамабіляў|ролкер
Цёплыя паўбоцікі ці боцікі для зімовых шпацыраў|апрески
Цёплыя панчохі без ступні|гамашы
Цёплыя панчохі, якімі часта хібна завуць тэпцікі|гамашы
Цёплы заходні вецер у старажытных грэкаў|зефір
Цёплы плашч у паўднёвых народаў|бурка
Раздзіраючы зрокам неба і лясы, усяму чужы, иноязыкий ... , цару ў цемры велізарнасцю твару, якога ніхто іншы не бачыў. – прапушчанае слова. (Бэла Ахмадулина)|ідал
Тарка ў глотцы малюскаў для раздрабнення ежы|радула
Тэрмін антычнай філасофіі, які пазначае лагічная цяжкасць|апория
Тэрмін антычнай філасофіі, што пазначае характар якога-небудзь твару ці з'явы|этас
Тэрмін буд. міфалогіі, обознач. высш. стан свядомасці|бодхи
Тэрмін у батаніку, частка клеткі|ядро
Тэрмін у міжнародных хакейных гульнях, які азначае пракід шайбы|айсинг
Тэрмін гідрадынамікі|выдатак
Тэрмін старажытнагрэцкай філасофіі, ад якога пайшоў “святы дух”|пневма
Тэрмін покера; манета Турцыі; манета Крымскага ханства (17 ст.); медная руская манета (1771–74)|пары
Тэрмін покера|пары
Тэрмін сярэдне- і блізкаўсходняй паэтыкі|редиф
Тэрмін, уведзены В. Хлебнікавым|мудрагельства
Тэрмін, які пазначаў падараваны феадалам зямельны надзел у сярэднявечных краінах Блізкага і Сярэдняга Ўсходу|икта
Тэрмін, што пазначае ўгоды на наяўны тавар, у тым ліку біржавыя|спот
Тэрмін, які азначае, што пакупнік прымае тавар па коштах таго пункта, дзе ён знаходзіцца ў момант зняволення ўгоды|локо
Тэрмін, прапанаваны Ф. Содди у 1910 г.|ізатоп
Тэрмічная апрацоўка матэрыялаў|адпал
Тэрмічная апрацоўка металу?|адпал
Тэрытарыяльная адзінка ў складзе раёна, напрыклад у Якутыі|наслег
Тэрытарыяльны дыялект|гаворка
Тэрыторыя ва Ўсходняй Азіі|Сянган
Тэрыторыя ў Канадзе|юкон
Тэрыторыя дзяржавы, назва якой адбылося ад французскага выраза “замыкаю на ключ”.|анклаў
Тэрыторыя для правядзення экспертызы сабак|рынг
Тэрыторыя і змесцаваныя на ёй войска, запасы зброі, боепрыпасы|база
Тэрыторыя кахання (па Н. Міхалкову)|урга
Тэрыторыя паміж Чорным, Азоўскім і Каспійскім морамі|Каўказ
Тэрыторыя пры хаце|двор
Тэрыторыя з уласным дзяржаўным кіраваннем|краіна
Тэрыторыя, дзе адбываюцца ваенныя дзеянні|тэатр
Тэрыторыя, густа парослая дрэвамі|лес
Тэрыторыя, на якой вядуцца баявыя дзеянні|фронт
Тэрыторыя, абсталяваная комплексам інжынерна-тэхнічных збудаванняў, якія забяспечваюць дзейнасць авіяцыйных частак і падраздзяленняў|аэрадром
Тэрыторыя, аб'яднаная якімі-небудзь геаграфічнымі, кліматычнымі ці эканамічнымі прыкметамі|рэгіён
Тэрыторыя, што ахоплівае з захаду і ўсходу возера Байкал?|Прыбайкалле
Тэрарыстычная арганізацыя ў Францыі ў 60-е гады (аббр.)|ОАС
Тесн. родств. сувязь паміж племянн. і дзядзькоў з боку маці|авункулат
Цясніна, каньён на рацэ (местн.)|шчокі
Цясніна, вузкі праход паміж узвышшамі, воднымі перашкодамі|дэфіле
Цесны круг спрыту і весялосці|манеж
Цеста для паддонаў тартоў, пудынгаў і іншых страў|абес
Цестападобная маса|паста
Цесць кахае гонар, зяць кахае ўзяць, а ___ вока жмурыць. Устаўце ў прымаўку прапушчанае слова|швагер
Тасьма на канцах карэньчыка кнігі|каптал
Цецярук-самец|цецярук
Сшытак для любавання|альбом
Сшытак для малюнкаў, калекцый, фатаграфій|альбом
Цётачка Тома Соера|Полли
Тэхніка размалёўкі|батик
Тэхніка ўпрыгожвання вырабаў з металу (чэрнь)|ниело
Тэхніка, якая рухаецца па вадзе і па сушы|амфібія
Тэхніка-тактычны прыём у спорце, імклівы напад на суперніка|напад
Технич. прыёмы творчасці мастака; стыль|манера
Технич. прыёмы творчасці мастака|манера
Технич. вуглярод|сажа
Тэхнічная тканіна|авізэнт
Тэхнічныя і іншыя мерапрыемствы, якія даюць магчымасць весці вытворчыя працэсы без непасрэднага ўдзелу чалавека?|аўтаматызацыя
Тэхнічны выгляд спорту|аўтакрос
Тэхнічны дырэктар Спартака?|Шикунов
Тэхнічная прылада ў выглядзе якія спружыняць абцужкоў|пінцэт
Тэхнічны прыём у настольным тэнісе|запіў
Тэхнічную назву карбанату калія|паташ
Тэхнічная назва аксіду свінцу|глёт
Тэхнічная назва растваральніка метилбензол|талуол
Тэхнічная назва вуглякіслага калія|паташ
Тэхнічнае прыстасаванне, з дапамогай якога вырабляецца праца|прылада
Тэхнічная прылада|прыбор
Тэхналагічная аперацыя праверкі гатовай прадукцыі на надзейнасць|прагон
Тэхналагічны працэс адукацыі неразъемного злучэнні дэталяў машын|зварка
Тэхналогія земляробства, сістэма апрацоўкі с.-г. культур|агратэхніка
Тэхналогія выраба першых рускіх рублёў|рубка
Тэхналогія друку, пры якой фарба пераносіцца з друкаванай формы на паперу праз прамежкавы гумовы вал|афсет
Плынь у западноевр. жывапісу пачатку ХХ стагоддзі|орфизм
Плынь у музычным мастацтве, якое абвяшчае формалистический спосаб складання музыкі, заснаваны на выпадковым спалучэнні гукаў|алеаторика
Плынь у рускай паэзіі пач. 20 ст. (С. Гарадзецкі, М. Кузмин, раннія Н. Гумілёў, А. Ахматава, О. Мандельштам)|акмеізм
Плынь у совр. муз. мастацтве|алеаторика
Плынь у стараверстве, якое адлучылася ў 18 ст. ад филипповцев|ааронаўшчына
Плынь у французскім жывапісе, прадстаўніком якога быў А. Матисс|фовизм
Плыні ў мастацтве 20 ст., у пошуках новых формаў худож. выразы порвавшие з ранейшымі традыцыямі|авангардызм
Цячэ між двух берагоў, упадаючы ў канцы|рака
