Туркменскі географ|Бабаев
Туркменскі пісьменнік (“Канец крывавага водападзелу”, “Следапыт”)|Аширов
Туркменскі паэт і навуковец, бацька паэта Махтумкули|Азади
Туркменская назва шурпы|шорба
Туркменская нацыянальная страва|шурпа
Турка-гвардзеец|янычар
Турцыі, илей, адм. цэнтр г. Антакья|Хатай
Турцыя (горад у Азіі)|Тенен
Турцыя – 7–10%, ЗША – 15–20%, Швейцарыя – не больш за 10%, Малайзія – уключана ў рахунак, але ніхто не будзе супраць. Увага, пытанне. На што, калі верыць назве, ідзе гэты адсотак? “на ...”|чай
Турцыя, адміністрацыйны цэнтр иля Сакарья (горад у Азіі)|Адапазары
Турцыя, илей|Анкара
Турцыя, порт (горад у Азіі)|Измир
Турцыя, порт (горад у Азіі)|Рызе
Тутак, жалейка, дзі (агульная назва)|флейта
Тушеное страва з гародніны ці мяса|рагу
Тушеные грыбы, напрыклад, у смятане|жульен
Ганарыстасць, абвостранае самалюбства ці ганарлівасць, пыха|амбіцыя
Ты кажаш, што ты даўно шукала сустрэчы і цэлы дзень чакала, калі наступіць вечар. Так нельга. Так зусім нельга... (спявак)|Метов
Ты не Сідараў, ты забіў Сидорова і сёлаў на яго месца! – пасада Сидорова са сцэнкі, разгулянай Ильченко і Карцевым|касір
Ты адмовіла мне два разу, не жадаю, сказала ты (выгляд ансамбля)?|дуэт
Ты, я, ён, ... , разам цэлая краіна|яна
Гарбуз для сватаў|адмова
Тыльны бок|зад
Цюменскі паўвостраў|Ямал
Турэмны пакой|камера
Турэмны “штрафбат”|карцар
Цюрка. народ, кочевавший у 8–9 стст. паміж нізоўямі Волгі і Яиком?|печанегі
Цюркамоўны народ, качэўнікі|хазары
Цюркскі і мангольскі тытул: правадыр племя, васпан|хан
Цюркскае качавое племя, у 11 ст. здзяйсняла набегі на Русь|торкі
Тюрское назва гары ці хрыбта|даг
Турма на Русі|поруб
перен. устар. Турма|яма
Цюхцяй?|матрац
Гаўканне?|брэх
Тяглый селянін ці гараджанін|душа
Цяжкі абавязак, клопат|клопат
Цяжкі душэўны стан, злучанае з адсутнасцю цікавасці да атачальнага|нуда
Цягучая вадкасць у роце, якая змочвае ежу|сліна
