Фіналіст Суперкубка Еўропы ’95?|Сарагоса
Фіналіст Суперкубка Еўропы ’96?|ПСЖ
Фіналіст Суперкубка Еўропы ’97?|Боруссия Дортмунд
Фіналіст Суперкубка Еўропы ’98?|Рэал Мадрыд
Фіналіст Суперкубка Еўропы ’99?|Манчэстар Юнайтэд
Фіналіст кубка Расіі ’00?|ЦСКА
Фіналіст кубка Расіі ’01?|Анжи
Фіналіст кубка Расіі ’02?|Зеніт
Фіналіст кубка Расіі ’93?|ЦСКА
Фіналіст кубка Расіі ’94?|ЦСКА
Фіналіст кубка Расіі ’95?|Ротар
Фіналіст кубка Расіі ’96?|Спартак
Фіналіст кубка Расіі ’97?|Дынама
Фіналіст кубка Расіі ’98?|Лакаматыў Масква
Фіналіст кубка Расіі ’99?|Дынама Масква
Фінансіст|банкір
Фінансавая пастка|абавязкі
Фінансавая аперацыя (атрыманне ў абавязак грошай, каштоўнасцяў на вызначаных умовах)|пазыка
Фінансавая арганізацыя|банк
Фінансавая дапамога з дзярж. бюджэту?|датацыя
Фінансава-прамысловая група, у якой прыбытак удзельнікаў размяркоўваецца ва ўзгодненых загадзя дзелях|пул
Фінансавая ўстанова ў Голандии, дзе ў ранейшыя стагоддзі шпацыравала да дзесяці мільёнаў распісак на права набыцці цюльпанаў, якімі людзі і кампаніі адплачвалі адзін з адным нароўні з грашыма|біржа
Фінансавае акенца?|каса
Фінансавая ўстанова|біржа
Фінансавыя сродкі, якія выдаткоўваюцца на конкурснай аснове для правядзення навуковай працы|грант
Фінансавы допінг|хабар
Фінансавы працаўнік|касір
Фінікійская багіня ўрадлівасці і каханні|Астарта
Фінікійская царэўна, выкрадзеная Зеўсам|Еўропа
Фінікійскі бог, забіты і ўваскрэслы; расліна сем. казяльцовых; малая планета|аданіс
Фінікійскі бог, забіты і ўваскрэслы|Аданіс
Фінікавая пальма; дрэвы і хмызнякі|фенікс
Фініш з дакладнасцю да наадварот?|старт
Фінішныя рызманы|стужачка
Фінішнае месца|канец
Фінішны|спурт
Фінляндыя (горад у Еўропе)|Варкаус
Фінляндыя (горад у Еўропе)|Кемиярви
Фінляндыя (горад у Еўропе)|Киннула
Фінляндыя (горад у Еўропе)|Коккола
Фінляндыя (горад у Еўропе)|Коувола
Фінляндыя (горад у Еўропе)|Оулайпен
Фінляндыя (горад у Еўропе)|Пуоланка
Фінляндыя (горад у Еўропе)|Соткамо
Фінляндыя (горад у Еўропе)|Утаярви
Фінляндыя (горад у Еўропе)|Хапаярви
Фінляндыя (горад у Еўропе)|Ювяскюля
Фінляндыя (горад у Еўропе)|Кусамо
Фінляндыя (горад у Еўропе)|Васа
Фінляндыя (горад у Еўропе)|Вуотсо
Фінляндыя (горад у Еўропе)|Инари
Фінляндыя (горад у Еўропе)|Исалми
Фінляндыя (горад у Еўропе)|Каяни
Фінляндыя (горад у Еўропе)|Кюярви
Фінляндыя (горад у Еўропе)|Лахти
Фінляндыя (горад у Еўропе)|Лиекса
Фінляндыя (горад у Еўропе)|Муонио
Фінляндыя (горад у Еўропе)|Нурмес
Фінляндыя (горад у Еўропе)|Оулу
Фінляндыя (горад у Еўропе)|Раума
Фінляндыя (горад у Еўропе)|Рахе
Фінляндыя (горад у Еўропе)|Ханко
Фінляндыя (горад у Еўропе)|Ямся
Фінляндыя – Суоми, Грэцыя – ...|Элада
Фінляндыя, порт (горад у Еўропе)|Турцы
Фінляндыя|Иматра
Фін-вазак, які прыязджаў на масленіцу ў ст. Пецярбург|вейка
Фіна-вугорскае племя басейна Акі, асіміляванае рускімі|мурама
Фіна-вугорскае племя|мераючы
Фіна-вугорскае племя|печора
Фінская лазня з гарачым сухім паветрам у парнай і халодным басейнам|сауна
Фінская лазня з сухім паветрам у парнай|сауна
Фінская кампанія, асноўны пакупнік карэльскага лесу|энсо
Фінская пісьменніца, аўтар рамана “Вячэрні світанак”|Онерва
Фінскі вадзянік|ахці
Фінскі лікёр з марошкі|лакка
Фінскі маргарын|рама
Фінскі народ у Ленінградскай вобл.|ижора
Фінскі пісьменнік, аўтар рамана “Дачка пастара”|Ахо
Фінскі пісьменнік, аўтар рамана “Чацвёрты пазванок”|Ларни
Фінскі пісьменнік-сатырык, аўтар рамана “Чацвёрты пазванок”|Ларни
Фінскі пісьменнік-сатырык|Ларни
Фінскі порт, якая была ваенна-марская база СССР|Ханко
Фінскі хімік|Ашан
Фінскае мужчынскае імя|Арво
Фіялетава-чырвоная фарба|орсель
