Франц., заснавальнік рабынь. партыі|Лафарг
Франц. архітэктар, постр. “Палац рулеткі” ў Монте-Карла|Гарнье
Франц. біскуп 15 ст., які забараніў карточн. гульні|Лангрэ
Франц. жывапісец, прадстаўнік барбизонской школы|Дюпре
Франц. вынаходнік; буквопечат. телеграфн. апарат|Бода
Франц. легавая сабака|барбет
Франц. возера ў дэпартаменце Од|Лекат
Франц. радиохимик, вучаніца М. Склодовской-Кюры|Перей
Франц. стваральнік практычна прыдатнага рухавіка ўнутранага згарання|Леунар
Франц. навуковы, які прапанаваў диагност. спробу на сухоты|Манту
Франц. хімік 19 ст., у яго гонар названы мінерал вюрцит|Вюрц
Франц. хімік 19 ст., вызначыў атамную масу мыш'яку, фосфару, азоту|Пелуз
Франц. хімік і фізік, иностр. чал. Петербургск. АН з 1848|Реньо
Франц. хімік, атрымаў (1841) металлич. уран у выглядзе парашка|Пелиго
Франц. хімік, фізік (1785–1838), сконстр. водян. каларыметр|Дюлонг
Франц. хімік, адкрыў (1811) иод, яго імем назв. вул. у Дижоне|Куртуа
Франц. хімік-арганік, адкрыў аспарагін (1806), кафеін (1821)|Робике
Франц. хімік-арганік, презид. Франц. хим. пра-ў (1881, 90, 1900)|Грыма
Франц. худы., аўтар карт. “Паранены кірасір, які пакідае поле бою”|Жерико
Франц. мастак, адзін з вынаходнікаў фатаграфіі|Дагер
Францысканскі манах, адзін з вынаходнікаў навучальных карт|Мурнер
Францыя (горад у Еўропе)|Алье
Францыя (горад у Еўропе)|Рубе
Францыя, у Правансе, на р. Рона (горад у Еўропе)|Арль
Францыя, дэпартамент, адм. ц. – Безансон|Ду
Францыя, дэпартамент|Алье
Францыя, дэпартамент|Эндр
Францыя, гістарычная вобласць у Зап. Пірэнэях, галоўны горад – Па|Беарн
Францыя, гістарычная вобласць у цэнтральнай Францыі, у бас. р. Шер (бас. Луары), тэрыторыі – дэпартаменты Шер, Эндр, часткова Алье. Галоўны горад – Бурж|Берри
Францыя, гістарычная вобласць, асноўная частка дэпартамента Па-дэ-Кале, гл. горад – Аррас|Артуа
Францыя, гістарычная правінцыя|Анжу
Францыя, гістарычная правінцыя|Лионне
Францыя, гістарычная правінцыя|Мен
Францыя, гістарычная правінцыя|Онис
Францыя, гістарычная правінцыя|Савоя
Францыя, гістарычная правінцыя|Фуа
Францыя, гістарычная правінцыя|Эльзас
Францыя, на р. Гаронна (горад у Еўропе)|Бардо
Францыя, на р. Рана, адміністрацыйны цэнтр деп. Воклюз (горад у Еўропе)|Авіньён
Францыя, на р. Сомма, адміністрацыйны цэнтр дэпартамента Сомма і галоўны горад гістарычнай вобласці Пикардия (горад у Еўропе)|Амьен
Францыя, на р. Шаранта, адміністрацыйны цэнтр дэпартамента Шаранта і галоўны горад гістарычнай вобласці Ангумуа (горад у Еўропе)|Ангулем
Францыя, порт (горад у Еўропе)|Каны
Францыя, порт (горад у Еўропе)|Тулон
