Драпежнае млекопитающее сямействы куньих|харза
Драпежнае млекопитающее сямействы псовых з доўгім пухнатым хвастом, а таксама мех яго|лісіца
Драпежнае млекопитающее сямействы псовых з каштоўным мехам|пясец
Драпежнае млекопитающее паўднёвых краін, якое сілкуецца падлай?|гіена
Драпежнае млекопитающее, распаўсюджанае ў Афрыцы і ў Азіі|гіена
Драпежнае млекопитающее; сав. касманаўт; сузор'е|воўк
Драпежнае млекопитающее; верш. С. Ясеніна; рыба сем. акул|лісіца
Драпежнае млекопитающее|воўк
Драпежнае млекопитающее|лісіца
Драпежная казурка|аса
Драпежная плывучая жывёла сямействы куньих|выдра
Драпежнае членістаногае|павук
Драпежны звярок са зманлівым імем|ласка
Драпежны звярок з цёмна-жоўтым каштоўным мехам|янот
Драпежны звярок з каштоўным мехам|собаль
Драпежны звярок з каштоўным мехам|тхор
Драпежны звярок сямейства куньих з каштоўнай шаўкавістай поўсцю|собаль
Драпежны звярок сямейства куньих з каштоўным мехам|тхор
Драпежны звер з нязграбным целам і вузкай пысай|барсук
Драпежны звер сямейства куньих|барсук
Драпежны і небяспечны звер|воўк
Драпежны пушны звярок сямейства куньих|норка
Драпежны пушны звярок|ласка
Стрыманае каханне|сяброўства
Хладнокровность|флегма
Хладоноситель у халадзільных усталёўках|фрэон
Хлам, непрыдатныя рэчы|дрэнь
Хлам, непатрэбныя пажыткі|бутор
Хлеб з пшанічнай пакуты, абшмараваны смятанай і маслам|шаньга
Хлеб да вялікдня|куліч
Хлеб як знак жыцця|жыта
Хлеб новага ўраджая|навіна
Хлеб паўночнага аленя|ягель
Хлеб, выпечаны з ячменнай пакуты|аржаны хлеб
Збажына і інш. культуры, звычайна якія развіваюцца і паспяваючыя прынесці ўвосень ураджай пры вясновым пасеве|ярына
Перапечка з пшанічнай пакуты|булка
Хлебная булачка|хала
Хлебная ўнутранасць?|мякіш
Хлебная пляцёнка|хала
Хлебная рэзкая затаўка?|кмен
Хлебная трава роду сорга з высокім сцяблом, пакрытым лістотай|гаалян
Хлебная трава з венікавым суквеццем і цвёрдымі зернямі, якія чысцяцца для атрымання проса|проса
Хлебная трава|жыта
Хлебная трава|ячмень
Хлебны мякіш (антонім)|скарынка
Хлебны напой|квас
Хлебны парашок для выпечкі|пакута
Хлебабулачная прынада|калач
Хлебабулачны выраб з дзіркай|абаранак
Хлебабулачны выраб|сайка
Хвосткая зневажальная характарыстыка критикуемому чалавеку (переносн.)|цэтлік
Баваўняны пух|линт
Клапотны, надакучлівы занятак|важданіна
Хлопаўка з замкам|дзверы
Баваўняная ці шаўковая тканіна для падшэўкі|саржа
Баваўняная ці шаўковая тканіна з дыяганальным перапляценнем нітак, якая ідзе звычайна на падшэўку|саржа
Баваўняная ці шаўковая тканіна з шурпатай паверхняй|эпонж
Баваўняная ці шаўковая тканіна|рыпс
Баваўняная лёгкая тканіна|нансук
Баваўняная тканіна з тоўстага прадзіва, звычайна жоўтага колеру|нанка
Баваўняная тканіна з гладкай бліскучай паверхняй?|сацін
Баваўняная тканіна з гладкай асабовай паверхняй|сацін
