Добрыя да піва|ракі
Добрыя наступствы, выгада|карысць
Добрыя, дадатныя наступствы, балазе, выгада|карысць
Добры хлопчык, кахаючы жывёл|юннат
Добры слуга, але дрэнны гаспадар. Фрэнсіс Бэкон|грошы
Добра зафіксаваны пацыент у ... не мае патрэбу – прапушчанае слова з медычнага назірання (адказ у ім. п.)|анестэзія
Добра выкрадзенае старое|новае
Хоттабыч = ... Хоттаб|ибн
Хоць і конь, ды не мужык|конь
Хоць конь гарбаты, ды не ... брат. Той, каму конь не брат|конь
Хоць прыкладна перавядзіце на грэцкай словазлучэнне “вагавы фунт”, калі, напрыклад, па-грэцку “ворыва” – гэта “аrоs”|літр
Хоць воцат дадавай, усё адно, назва то ж. Якое?|хрэн
Хоць у Пушкіна было два сына і дзве дочкі, спадчыннікам вялікага паэта Бялінскі назваў менавіта яго. Каго?|Лермантава
Хохлатый чыюк|какаду
Храбрэц|рубака
Храм Хрыста Выратавальніка пасля выбуху|руіны
Храм культуры|тэатр
Храм-свяцілішча|чанди
Сховішча грашовай наяўнасці на прадпрыемстве|каса
Сховішча старых дакументаў|архіў
Захавальнік архіўных дакументаў|архіварыус
Захавальнік клятвы Гіпакрата?|лекар
Захавальнік старых дакументаў|архіварыус
Захавальнік, супрацоўнік архіва|архіварыус
Захоўваць гародніну|кагат
Хрыбет у Амурскай вобласці|Джагды
Хрыбет у Заходняй Саяне|Ергакі
Хрыбет у Заходніх Саянах|Ергакі
Хрыбет у Тянь-Шане; рака ў Кыргызтане|Атбашы
Хрыбет у Тянь-Шане|Атбашы
Хрыбет у Цэнтральным Забайкаллі, радовішча медных руд|Удакан
Хрыбет у цэнтральнай частцы Забайкалля|Кодар
Хрыбет да Поўначы ад Вялікіх Гімалаяў|Ладакх
Хрыбет на Алтаі|Алтынту
Хрыбет на Заходнім Каўказе|Ачышхо
Хрыбет на ўсходзе Расіі|Верхоянский
Хрыбет на о. Хансю ў Японіі|Оу
Хрыбет на японскай выспе Хансю|Хіда
Хрэн яе не саладзей?|рэдзька
Хрысц. набажэнская кніга, утрымоўвае частка Новага запавету і Апакаліпсіс|апостал
Хрысц. філосаф і рым. дзярж. дзеяч|Баэцый
Хрысціяне дзеляць Стары запавет на Кнігі паданняў, Кнігі павучанняў і... На што яшчэ? “кнігі ...”|прарокаў
Хрысціянія пасля 1924 г.|Осла
Хрысціянская святая, знакам якой лічыцца крыж|Алена
Хрысціянская секта, якая верыць у блізкасць другога прышэсця Хрыста|адвентысты
Хрысціянская секта|докеты
Хрысціянскія кнігі з тэкстамі месячных набажэнстваў гадавога цыклу|минеі
Хрысціянскае вясновае свята|Вялікдзень
Хрысціянскі горад у Сірыі|Мхардзі
Хрысціянскі манастыр паўночней Дамаска|Седная
Хрысціянскі пакутнік|Азел
Хрысціянскі пакутнік|Донат
Хрысціянскі пакутнік|Мар
Хрысціянскае свята?|полаг
Хрысціянскае каляднае свята|мясаед
Хрысціянскі святы, грузінскае аграрнае бажаство|Тедоре
