Частка экіпіявання хакейнага брамніка?|маска
Частка электрычнай машыны, якая нясе на сабе абмотку|якар
Частка электрагенератара|шчотка
Частка электрарухавіка|шчотка
Частка эстафеты|этап
Частка этыкі, што вывучае дабрадзейнасці|аретология
Частка гэтай ракі працякае ўздоўж мяжы паміж Туркменіяй і Іранам|Атрек
Частка эфеса шпагі?|гарда
Частка якара|лапа
Частка яхты|палуба
Частка, часавы адрэзак спартовай гульні|тайм
Частка, дзель чаго-небудзь дапушчальнага?|квота
Гадзіны “новых рускіх”|ролекс
Гадзіны ці спец. прыбор са зваротным адлікам часу, які па заканчэнні зададзенага прамежку падае сігнал ці выконвае зададзенае дзеянне|таймер
Чара Хрыста на Таемнай вечары, мифич. святыня велізарнай цудадзейнай сілы|грааль
Чара для религ. абрадаў|пацір
Чашеобр. адукацыя ў осн. ляшчыны, граба, дуба, каштана|плюскі
Чашеобразная ці лейкападобная западзіна, горнае кольца, якое ўзнікла на паверхні пры сутыкненні планеты з буйным метэарытам|кратар
Чашеобразное паглыбленне ў верхняй частцы гары|кар
Чашеобразное паглыбленне ў вяршыні вулкана|кратар
Чашеобразное паглыбленне на мясцовасці|кар
Кубак у форме паўшар'я на нізкай ножцы; ангельскі пунш|боуль
Кубак у форме паўшар'я на нізкай ножцы|боуль
Часцей за ўсё яна ўтворыцца ў імбрычку|шумавінне
Фанабэрыстая асоба|фря
Чарцёж дэталі, выкананы з натуры алоўкам|кракі
Чаго два ў Андрэаса Папандреу, два ў Хосни Мубарака, два ў Сулеймана Демиреля, але толькі адно ў Саддама Хусейна?|цуды свету
Чаго дамагаліся: Веласкес – апранаючы цесны абутак, Вальтэр – нюхаючы сапсаваныя яблыкі, Россини – апускаючы ногі ў халодную ваду? (адказ у ім. п.)|натхненне
Чаго пазбаўлены нонсэнс?|сэнс
Чаго мала еў худосочный?|каша
Чаго не было ў савецкіх крамах?|выбар
Чаго няма ў дзеда з унукам, а ёсць у маці з бацькам?|зубоў
Чаго асцерагаецца кожны ўладальнік аўтамабіля?|згон
Чаго-небудзь гнілое, прытхлае?|гнілата
Чеддер (харчовы прадукт)|сыр
Чый-або стаўленік, паслухмяны волі свайго заступніка?|крэатура
Чакан, баявая сякера|клявец
Чэкісты (аббр.)|НКУС
Чэкавая культура|рыс
Чалавек, які вядзе агульнапрызнаны, сацыяльна адэкватны лад жыцця і што адчувае сябе шчаслівым вылучна ад задавальнення сваіх матэрыяльных запытаў; абывацель. (Слэнг хіпі 80-х)|мажор
Чало|лоб
Чалавек “другога гатунку”, некультурны, прастачына|плебей
Чалавек без вызначанага месца жыхарства|бомж
Чалавек без стану; верш. М. Лермантава|жабрак
Чалавек без стану|жабрак
Чалавек больш за на 75% складаецца з вады. Кроў складаецца з вады на 90%, а што ў чалавечым арганізме самае сухое?|зубная эмаль
Чалавек у чэраве|плён
Чалавек, кіроўны ў вышэйшай ступені ўстрыманы лад жыцця|аскет
Чалавек вышэйшага святла, які карыстаецца ў ім вялікім поспехам|леў
Чалавек што жыве побач|сусед
Чалавек з анекдота, якога хірург пры дачы знячулення папытаў лічыць, і ён лічыў так: “...97, 98, 99, рубель, рубь-адна...”|касір
Чалавек ці животн., у якога з-за адсутнасці пігментаў неестеств. белы. колер скуры, белы. валасы, чырвоны колер вясёлкі вачэй з-за якія прасвечваюць кровенос. пасудзін|альбінос
Чалавек ці жывёла, які мае як жаночыя, так і мужчынскія прыкметы?|гермафрадыт
Чалавек, да якога прыліпла шмат часу|стары
Чалавек дужага целаскладу|атлет
Чалавек паміж двума іспытамі – выпускнымі і ўступнымі|абітурыент
Чалавек на казлах|кучар
Чалавек на стаўку (рызыка.)|гулец
Чалавек наадварот|ідыёт
Чалавек вельмі маленькага росту|карлік
Чалавек атрымлівальны “грошы за кроў”, але не донар|кілер
Чалавек-супрацьлегласць|антыпод
Чалавек з Бульвара капуцынаў у выглядзе кінастужкі|фільм
Чалавек з хваравітай прыхільнасцю навошта-або|маньяк
Чалавек з бульвара Капуцынаў|кіно
Чалавек з нестандартнымі здольнасцямі|унікум
Чалавек з повыш. нервовай стамляльнасцю|астэнік
Чалавек з процілеглымі густамі, поглядамі|антыпод
Чалавек з развітай мускулатурай|атлет
Чалавек з самым рускім прозвішчам|Іванаў
Чалавек з моцна развітымі цягліцамі|атлет
Чалавек з цёмна-русымі, каштанавымі валасамі|шатэн
Чалавек з цёмнымі, чорнымі валасамі|брунет
Чалавек з фізічным недахопам, збрыджвалым вонкавы выгляд|вырадак
Чалавек з экстраваг. паводзінамі, прэтэнцыёзна апрануты|хіпі
Чалавек самага строгага ўстрыманага жыцця|аскет
Чалавек з “дзівацтвамі”; п'еса Афиногенова|дзівак
Чалавек з “дзівацтвамі”|дзівак
Чалавек са змяінай душой|гадзіна
Чалавек, “які жуе” тое, што прыгатаваў пісьменнік|крытык
Чалавек, без якога няма сям'і|вырадак
Чалавек, блізкі па паходжанні|сваяк
Чалавек, што вядзе вельмі ўстрыманы лад жыцця, не приемлющий задавальненняў і жыццёвых выгод|аскет
Чалавек, які вядзе вельмі ўстрыманы лад жыцця?|аскет
Чалавек, кіроўны бяздзейную, поўную задавальненняў жыццё, гуляка|жуір
Чалавек, які вядзе строгі лад жыцця, што адмаўляецца ад чалавечых выгод|аскет
Чалавек, які чыніць правасуддзе|суддзя
Чалавек, што валодае мастацтвам красамоўства|аратар
Чалавек, які валодае майстэрствам казання прамовы перад шырокай публікай|аратар
Чалавек, што ўявіў сябе носьбітам самых вытанчаных густаў|сноб
Чалавек, запрэжаны ў калыску|рыкша
Чалавек, які выдае зарплату|касір
Чалавек, што выдзьмухнула мыльная бурбалка дыяметрам 15,4 м|Стейн
Чалавек, вылеплены з чырвонай гліны|Адам
Чалавек, які выйшаў са свайго ранейшага сацыяльнага стану|ізгой
Чалавек, што выяўляе недахопы твора|крытык
Чалавек, які ганяецца за модай?|сноб
Чалавек, які робіць выгляд, што прысвечаны ў адмысловыя таямніцы ці размяшчае адмысловымі звесткамі, і што выкладае іх незразумелай, мудрагелістай мовай|аўгур
Чалавек, да ашалеласці адданы сваім кумірам (жарг.)|фанат
Чалавек, добраахвотна які здае кроў|донар
