Чалец “Магутнай купкі”|Кюи
Чалец Акадэміі, навуковец|акадэмік
Чалец Парыжскай Камуны, кіраўнік абароны Парыжа ў 1871 году|Эд
Чалец ангельскага навуковага грамадства|фелло
Чалец якія змагаліся супраць Савецкай улады атрадаў, банд у Ср. Азіі ў 1920–33 г.|басмач
Чалец ваенізаванай арганізацыі, стройотряда|баец
Чалец ваенізаванай экстрэмісцкай групоўкі|баявік
Чалец ваенна-земляробчай абшчыны вольных пасяленцаў на ўскраінах дзяржавы|казак
Чалец узброенай групоўкі, якая ўваходзіць у тэрарыстычную арганізацыю|баявік
Чалец зладзейскай хеўры|урка
Чалец вышэйшай жрэцкай касты ў Індыі|брамин
Чалец дзіцячай і юнацкай арганізацыі, створанай напачатку 20 стагоддзі ў Англіі|скаўт
Чалец дзіцячай арганізацыі ў СССР|піянер
Чалец што жыве ў манастыры рэлігійнай абшчыны, які даў зарок весці строгі лад жыцця і мінулы адмысловы абрад прысвячэння|манах
Чалец каталіцкага ордэна “Грамадства Ісуса”|езуіт
Чалец качавога арабскага племя|бедуін
Чалец левай буржуазна-демократич. партыі ў старой Расіі|эсэр
Чалец міжнароднай таемнай арганізацыі|масон
Чалец моладзевага руху 80-х гадоў у ЗША|яппи
Чалец моладзевых груп, якія захапляюцца яздой у начны час па вуліцах горада на матацыклах|рокер
Чалец адной з ангельскіх палітычных партый|віг
Чалец партыі “Дашнакцутюн”|дашнак
Чалец партыі канстытуцыйных дэмакратаў (1905–1917 гг.)|кадэт
Чалец партыі эсэраў, які застрэліў Сталыпіна ў 1911 г., імя Зміцер.|Богров
Чалец партыі, якая ўяўляе інтарэсы землеўладальнікаў?|аграрнік
Чалец ратушы ці магістрата ў Расіі|ратман
Чалец религ. секты ў перыяд Рэфармацыі ў Еўропе ў 16 ст.|анабаптыст
Чалец рэлігійнай абшчыны, які даў зарок весці аскетычнае жыццё|манах
Чалец рэлігійнай абшчыны?|манах
Чалец сям'і|бацька
Чалец рады старэйшын у Старажытнай Грэцыі|геронт
Чалец фондавай біржы, які дзейнічае за свой рахунак|дылер
Чалец хрысціянскай секты ў Паўночнай Афрыцы ў IV–V стст.|агонист
Чалец экіпажа боба, у абавязкі якога ўваходзіць кіраванне снарадам|пілот
Чалец экіпажа самалёта|пілот
Чалец экіпажа самалёта|радыст
Членистоногий ткач?|павук
Членістаногае жывёла, арахнід|павук
Членістаногае на фуражцы|краб
Членістаногае, вадзяная блыха, корм для акварыумных рыбак|дафнія
