Што нараджае рашучая сіла|націск
Што самае каштоўнае ў жаночым малацэ? – Як у анекдоце адказалі на гэта пытанне?|тара
Што санітарка павінна падкласці пад хворага, які прыняў снатворнае і слабільнае адначасова?|судна
Што звяло Андрэя Болконского з Наташай Роставай|баль
Што сведчыць пра канчатак “гадзіны пік”|адток
Што згарэла ў Коткі ў казцы Самуіла Маршака|хата
Што сімвалізуе жоўтае кольца на алімпійскай эмблеме?|Азія
Што сімвалізуе жоўты колер у Мексіцы|жалоба
Што ззяла ў ілбу суджанай пушкінскага Гвидона|зорка
Што хавае ў сабе габітус|аблічча
Што хавае ў сабе заяўка?|просьба
Што хавае ў сабе арнамент|узор
Што хаваецца за вендэтай?|помста
Што хаваецца за навальніцай|дождж
Што хаваецца за дуплетам?|стрэл
Што хаваецца за імпартам?|увоз
Што хаваецца за матывам?|чыннік
Што хаваецца за ганьбай|сорам
Што хаваецца за працэсам “абляцыі”|раставанне
Што хаваецца за пункцірам|лінія
Што хаваецца за рэферэндумам?|апытанне
Што хаваецца за страхавым словам “абандон”|адмова
Што хаваецца за тангенсам?|функцыя
Што хаваецца за фугасам|зарад
Што хаваецца за коштам?|кошт
Што хаваецца за штормам?|бура
Што хаваецца за экспартам?|вываз
Што хаваецца пад эміграцыяй|выезд
Што варта крычаць, калі адкрыеш раптам закон Архімеда?|эўрыка
Што здараецца, калі з'едзенае несумяшчальна з едаком?|ваніты
Што здарылася на расійскім фінансавым рынку 17 жніўня 1998 г.|абвал
Што спачатку замешваюць, рыхтуючы пірог|цеста
Што здымаюць на кінастужку|фільм
Што збіраюць падчас жніва|ураджай
Што збіраюць з дапамогай шуфліка і веніка|смецце
Што сабой уяўляе “абдуктар”|цягліца
Што сабой уяўляе “траянка” з гогалеўскіх “Вечароў на сялібе каля Диканьки”|пуга
Што сабой уяўляе Буян у вядомай казцы А. Пушкіна|выспа
Што сабой уяўляе бор|лес
Што сабой уяўляе лістоўніца, дуб, елка?|дрэва
Што сабой уяўляюць восці|вілы
Што сабой уяўляе роўніца|прадзіва
Што сабой уяўляе сафа?|канапа
Што сабой уяўляе цыркавы камплімент|паклон
Што саве месяцамі можа замяняць ваду|кроў
Што здзяйсняе зграя саранчы на сельгасугоддзі|набег
Што злучае імглісты Альбіён з Еўропай?|тунэль
Што каштавала прамовіць М. Баярскаму, каб “тыгры ў ног яго селі”?|ап
Што пакутуе ад ринита|нос
Што будуе той, хто капае яму іншаму?|падкопы
Што стрэсваюць з папяросы|попел
Што сыплецца з вачэй пасля моцнага ўдару|іскры
Што ўтойвалася для пушкінскага прарочага Алега ў змяі з чэрапа яго ж каня|смерць
Што такое “Бленд-а-мёд”, які і чысціць зубы, і ўмацоўвае яйкі?|паста
Што такое “лятунок Драйзера”?|ровар
Што такое “горгонзола”?|сыр
Што такое “рубільнік”?|выключальнік
Што такое “трэпанг”?|галатурыя
