Вулічнае пладовае дрэва Іркуцка|ранетка
Вулічнае свяціла|ліхтар
Вулічны злодзей па-блатному|гопнік
Вулічны рабаўнік на мове калегаў|гопнік
Вулічны хлапчук; валет па блатным|малец
Вулічны хлапчук|малец
Улавіць у цішыні ледзь чутны ... на стогн|намёк
Выкрут, уяўны доказ, пры недастаткова ўважлівым логич. аналізе суб'ектыўна ўяўнае дакладным|сафізм
Выкладзеная пасма валасоў|зачос
Паляпшэнне падчас развіцці?|прагрэс
Палепшаная грунтавая дарога (устар.)|гасцінец
Усмешка, якая выказвае недавер|усмешка
Ўсмешка багіні Ириды|вясёлка
Ўсмешка ваўка|ашчэр
Усмешка звера|ашчэр
Усмешкай яснаю прырода Скрозь сон сустракае ... гады; Сінеючы бліскаюць нябёсы. Яшчэ празрыстыя, лясы Як быццам пухам рунеюць. (А. Пушкін, “Яўген Онегин”)|раніца
Ўльтрагукавы гідралакатар|сонар
Ультрафіялетавая афарбоўка|загар
Розум, свядомасць|розум
Умерана павольны тэмп у музыцы|андантино
Ўмеранае патаўшчэнне рагавога пласта скуры пры некаторых яе захворваннях|кератоз
Умераны свободолюб|ліберал
Умераны павольны тэмп у музыцы|ларгетто
Ўмераны муз. тэмп|модерато
Ўмераны тэмп у музыцы|андантино
Ўмераны тэмп у музыцы|модерато
Памерлы чалавек, нябожчык|мярцвяк
Памерлы, мёртвы чалавек|нябожчык
Уменне бываць разумней сябе|мудрасць
Уменне чытаць і пісаць|грамата
Памяншэнне памераў ці тканкі арганізма з парушэннем ці спыненнем іх функцый|атрафія
Памяншальнік ландшафту да памераў папяровага ліста|маштаб
Уменне паводзіць сябе прыстойна, паважаючы іншых|такт
Уменне казаць і паводзіць сябе паважліва, не кранаючы іншых людзей|такт
Уменне выканаўца захаваць у танцы ўстойлівасць|апломб
Уменне прапанавацца з захапленнем?|рэклама
Ўменне, выпрацаванае практыкаваннямі, звычкай|навык
Уменне, якое можна страціць|навык
Уменне, створанае звычкамі, практыкаваннямі|навык
Памяншэнне залатога ўтрымання грашовай адзінкі?|дэвальвацыя
Памяншэнне масы ледніка ці снежнага полага з-за раставанні, выпарэнні і т. п.|абляцыя
Памяншэнне памераў органа|атрафія
Паменшаная мадэль зямнога шара|глобус
Паменшаная мадэль праектаванага збудавання|макет
Паменшанае, ці ў натуральную велічыню, прайграванне чаго-небудзь|мадэль
Паменшыць. муж. імя|Вася
Паменшыць. муж. імя|Колючы
Паменшыце аднаго з трынаццаці і скажыце, як клікалі першага трэнера В. Барзова|сабака Тузик
Памяншальнае ад імя нявесты Вл. Ленского|Оля
Ўмераная мера|такт
Умерана хуткі тэмп; муз. твор у такім тэмпе|аллегретто
Ўмерана хуткі тэмп|аллегретто
Ўмерана павольны тэмп у музыцы|андантэ
Ўмераны музычны тэмп?|модерато
Ўмераны тэмп у музыцы|андантэ
Разумны ангелец, які даў сваё прозвішча разумова адсталым|Даун
Разумны асуджаны на зладзейскім жаргоне?|жыд
Выснова, у якім з двух меркаванняў варта трэцяе|выснова
Розумаспасціжнае ў супрацьлегласць спасціганаму пачуццямі|ноўмен
Разумовае развіццё|розум
Мудраванне, якое, як паказала гісторыя, крый божа, калі авалодае масамі|ідэя
Рукамыйніца, душ, туалет – адным словам|санвузел
Намер па-старорусски|догад
Наўмыснае невыкананне ці нядбайнае выкананне сваіх абавязкаў|сабатаж
Наўмысна лжывая выснова|сафізм
Универсальн. кампанент клеткавага метабалізму|вітамін
Універсальны сродак ад усіх хвароб|панацэя
Ўніверсітэт, у якім вучыўся Гамлет|Виттенберг
Універсітэцкі горад у Вялікабрытаніі|Кембрыдж
Універсітэцкі горад у Вялікабрытаніі|Оксфард
Універсальная брокерская кантора Росийской таварна-сыравіннай біржы|диброк
Універсальны “ключ” узломшчыка|крышанчык
Універсальная прылада, які ўжываўся ў астраноміі для вызначэння вышынь і азімутоў нябесных целаў|альтазімут
Універсальны электравымяральны прыбор (якім можна памераць напругу, ток, супраціў і інш.)|тэстар
Універсітэцкі горад у Вялікабрытаніі|Итон
Униполярный транзістар|алькатрон
Зневажальная назва вершаў|вершы
Знішчэнне пустазелляў на градках|праполка
Знішчэнне асобных груп насельніцтва па расавых, нацыянальных прыкметах|генацыд
Знішчэнне каго-небудзь ці чаго-небудзь|ліквідацыя
Знішчэнне асяроддзя пасялення народа, з дапамогай ужывання гербіцыдаў, разбурэнні дамбаў|экоцид
Знішчэнне, разбурэнне, смерць|згуба
Знішчальнік злачынцаў|кат
Знішчальнік свечкі?|агонь
Вынас масы з паверхні цвёрдага цела струменем гарачых газаў|абляцыя
Ўнтар-афіцэр на караблі расійскага флота, які ведаў выдачай правізіі і выпіўкі (устар.)|баталер
Унты, сабо, чуні (агульная назва)|абутак
Засмучэнне, маркота ў Яўгена Онегина|сплін
Заняпад мастацкай культуры|дэкаданс
Пакавальны матэрыял, празрыстая плёнка з віскозы|цэлафан
Пакаванне галля, але не аднайменнага печыва|вязанка
Пакаванне, тара|скрынка
Зацятасць і вытрымка ў працы|цярпенне
Спарадкаваная пара вектараў прасторы, адкладзеных ад агульнага пачатку|бівектар
Спарадкаваная пабудова цэлага з элементаў, паслядоўна ўваходных сябар у сябра|іерархія
Ўпаўнаважаны прадстаўнік дзярж-у|дыпламат
Ужыванне слова ў яго ўласным, прамым значэнні|автология
Кіраванне аўтамабілем|кіраванне
Кіраванне самалётам, планёрам|пілатаж
Кіраваны рух самалёта|пілатаж
Кіраўнік паветам на Русі да 1775 г.|ваявода
Практыкаванне ў гімнастыцы, фігурным катанні на каньках|ластаўка
Практыкаванне для дасканаласцяў. тэхнікі ў балеце, музыцы|экзэрсіс
Спрашчэнне тэксту для разумення непадрыхтаваным чытачом|адаптацыя
Пругкая сталёвая паласа, сагнутая спіраллю|спружына
Пругкая дэталь падвескі колаў транспартнага сродку, змякчальная штуршкі|рысора
Пругкая дошка, якая падкідае спартоўца (скачкі ў ваду, гімнастыка)|трамплін
Пругкая перапонка, тонкая пласцінка, здольная здзяйсняць ваганні|мембрана
Пругкае цвёрдае цела, даўжыня якога значна перавышае яго папярочныя памеры|стрыжань
Пругкі элемент падвескі аўтамабіля|торсион
Пругкі элемент падвескі транспартных машын|рысора
Пакаванне для тавара|тара
Пакаванне, пачак чаю вызначанай вагі (устар.)|цибик
Пакаванне, тара|скрыня
Пакаванне|блок
Пакаванне|тара
Упаковочн. матэрыял; выдаткі па пакаванні|амбалаж
Пакавальны матэрыял|амбалаж
Упараны сок вінаграда|бекмес
Якая ўпіраецца ў зямлю задняя частка гарматнага лафета|хобат
Укормлены карантыш з Кветкавага горада|Пончык
