Ўзмацняльнік асобы|сябар
Высілкі (як правіла, няўдалыя)|патугі
Паскарэнне палавога паспявання ў падлеткаў|акселерацыя
Паскарэнне фізічнага паспявання падлеткаў у параўнанні з папярэднімі пакаленнямі|акселерацыя
Паскарэнне хим. рэакцыі 1-м з яе прадуктаў, явл. каталізам|аўтакаталіз
Паскоранае фармаванне, развіццё|акселерацыя
Паскораны рост, уздым якіх-небудзь паказчыкаў|бум
Паскарае рост гваздзіка?|джаз
Умова допуску чалавека да выкарыстання выбарчага ці інш. правы|цэнз
Умова марской перавозкі тавара, калі ў кошт уключана кошт пагрузкі на борт і перавозчык адказвае за груз з моманту пагрузкі|фоб
Умова нараджэння праўды|спрэчка
Ўмова ўгоды, у соответсвии з якім яе ўдзельнікі палавіняць прыбыткі і страты|мета
Ўмова спрэчкі, па якім які прайграў выконвае нейкае абавязанне|заклад
Умова, што абмяжоўвае ўдзел таго ці іншага твару ў ажыццяўленні якіх-небудзь правоў|цэнз
Умоў святла зрынуўшы ... , // Як ён, адстаўшы ад мітусні, // З ім пасябраваў я ў той час. // Мне падабаліся яго рысы. (А. Пушкін, “Яўген Онегин”)|цяжар
Умовы дзейнасці, працы|рэжым
Умовы ўгоды|апцыён
Умовы, якія дапускаюць чалавека да карыстання тымі ці іншымі палітычнымі правамі|цэнз
Умоўленае рабаванне|шарап
Умоўная азбука для сакрэтнага ліста|шыфр
Умоўная адзінка вымярэння сучасных будынкаў|модуль
Умоўная адзінка адзнакі фізічнай з'явы (вятры, землятрусы)|бал
Умоўная адзінка; складовая частка|модуль
Умоўная адзінка|модуль
Умоўная пазнака на палях кнігі|значок
Умоўнае пазначэнне ў якой-небудзь класіфікацыі|індэкс
Умоўнае пазначэнне невядомага ці не званага твару|ікс
Умоўнае пазначэнне|знак
Умоўныя знакі для сакрэтнай перапіскі|шыфр
Умоўны знак злодзеяў|блат
Умоўны знак для перадачы на адлегласць якіх-небудзь звестак|сігнал
Умоўны знак якога-небудзь паняцця, з'явы, ідэі|знак
Умоўны знак якога-небудзь паняцця, ідэі|знак
Умоўны тэрмін, што ўзнік у эпоху Адраджэнні?|готыка
Ўмоўная мова|арго
Паслужлівая бюракратычная прылада|апарат
Поспех у бітве, вайне|перамога
Поспех у спартовым змаганні|перамога
Поспех, патрэбны ці пажаданы зыход справы|поспех
Поспех, перамога|трыўмф
Заспакаяльны лекавы сродак|атарактик
Прылада, на паверхні якога дэманструецца фільм|экран
Статут, збор правіл, якія вызначаюць статут, паўнамоцтвы і парадак працы|статут
Стомленасць ад смеху (разговорн.)|пацеха
Стомленасць|надлом
Якая ўсталявалася рэпутацыя|рэнамэ
Што ўсталяваўся парадак жыцця, побыт, ужытак|уклад
Які ўсталяваўся парадак грамадскага жыцця, побыту|уклад
Што ўсталяваўся парадак, якая склалася прылада жыцця, побыту|уклад
Усталёўка для зборкі і выпрабаванні машын, рухавікоў і т. п.|стэнд
Усталёўка праграмнага забеспячэння на кампутар?|усталёўка
Ўсталёўка шклоў у акварыум на абкітоўцы|умуроўка
Ўсталёўка, выкарыстоўваная пры нарыхтоўцы кормаў для скаціны?|сенасушылка
Ўсталёўка, прыбор для генерацыі пучка кагерэнтнага электрамагнітнага выпраменьвання інфрачырвонага, аптычнага і інш. дыяпазонаў|лазер
Усталёўка, зборка?|мантаж
Усталяванне аўтара і чакай стварэнні твора|атрыбуцыя
Ўсталяванне курсу валюты?|катыроўка
Ўсталяванне наяўнасці, колькасці чаго-небудзь шляхам падліку|улік
Усталяванне складу рэчыва|аналіз
Усталяваная мера, сярэдняя велічыня чаго-небудзь|норма
Ўсталяваная расцэнка тавараў ці норма аплаты|такса
Ўсталяванае вертыкальна бервяно|слуп
Усталяваны дзяржавай ці арганізацыяй збор кіраваў, якія рэгулююць якую-небудзь дзейнасць|статут
Усталяваны дзяржавай абавязковы збор|падатак
Усталяваны законам тэрмін, заканчэнне якога вабіць вызначаныя юрыдычныя наступствы?|даўнасць
Усталяваны парадак дзеяння пры здзяйсненні царкоўнага таемства|рытуал
Усталяваны парадак жыцця|рэжым
Усталяваны парадак паводзін, формаў абыходжання ў якім-небудзь грамадстве?|этыкет
Усталяваны памер зарплаты, аклад|стаўка
Устар. папяровыя грошы як прадмет калекцыянавання|боны
Устар. ед. свяцільнасці (светности)|радфот
Устар. адзінка вымярэння масы валокнаў і нітак, 1 денье (0,05 г) на 450 м|тытр
Устар. мера даўжыні. Роўны 16 вяршкам, 71,12 гл|аршын
Устар. мера даўжыні?|аршын
Устар. назв. дыямента “Юбілей”|рейц
Устар. назв. дыямента “Юбілей”|ретц
Устар. назв. нанайцаў|гольды
Устар. назва літары “Х”|хер
