Ангельцы яго п'юць гарачым?|грог
Ангелец, які славіцца папярэднікам дэкадэнцтва?|Куінсі
Андрэй Чэркізаў на НТБ вядзе праграму ... ?|гадзіна быка
Анекдот: “Што трэба чупрыне прывязаць да тэлевізійнай антэны, каб лавіць усе каналы вяшчання”?|шмат сала
Ананімку часцей за ўсё падпісвае ... ?|добразычлівец
Ансамбль музыкаў?|секстэт
Ансамбль з 4 выканаўцаў?|квартэт
Антаганіст Вовачкі?|настаўнік
Антыпод лета?|зіма
Антычная квадрыга – гэта ... ?|калясніца
Антон Палыч Чэхаў аднойчы заўважыў, што “разумны кахае вучыцца, а дурань ... ”?|вучыць
Антонім водар?|смурод
Антонім бардак, бязладзіца?|парадак
Антонім блізкасці?|далёкасць
Антонім будучы?|мінулы
Антонім узлёт?|пасадка
Антонім усё?|ніхто
Антонім пахмурны?|ясны
Антонім распранаць?|апранаць
Антонім скарачэнне?|падаўжэнне
Анчоўс?|хамса
Апостал-евангеліст з ліку 70 апосталаў, закліканых Хрыстом апроч 12-ці?|Лука
Апостал-евангеліст з ліку 70 апосталаў, закліканых Хрыстом апроч 12-ці?|Марк
Апостал-евангеліст, з ліку 12-ці, найболей каханы Хрыстом, сын Зеведеев, брат Якава. Пазней усіх напісаў сваё Евангелле. Меў мянушку Багаслоў?|Іяан
Апарат для збівання жывёльнага масла?|маслабойка
Апарат для штучных выводзін куранятаў, качанят і т. д. з яйкаў?|інкубатар
Арабская прымаўка абвяшчае: “Лепшая мова – старанна стрымваны, а лепшая гаворка – старанна абдуманая. Калі ты кажаш, словы твае павінны быць лепш...”. Чаго?|маўчанні
Арабская дзяржава ў 7–9 павеках?|халіфат
Арабская ручная агнястрэльная зброя?|модфа
Арабы завуць гэта месца забароненым. Што гэта?|гарэм
Арахнафобія – гэта боязь ... ?|павукоў
Арыстоцель пісаў: “Таму, што мы павінны навучыцца рабіць, мы вучымся ...”?|робячы
Армейская паказуха?|парад
Армейскі чын у дарэвалюцыйнай Расіі 10-го класа (з 1884)?|сотнік
Армейскі чын у дарэвалюцыйнай Расіі 12-го класа (з 1884)?|харунжы
Армейскі чын у дарэвалюцыйнай Расіі 2-го класа – Генерал-... ?|аншеф
Армейскі чын у дарэвалюцыйнай Расіі 5-го класа?|брыгадзір
Армейскі чын у дарэвалюцыйнай Расіі 8-го класа (з 1884)?|капітан
Войска княства Ліхтэнштэйн, якая налічвала 82 чалавека была распушчана князем Ліхтэнштэйна пасля таго, як не змагла абараніць краіну ад замежнага ўварвання. Хто быў вайскаводам, якія ажыццявілі гэта ўварванне?|Напалеон
Войска фашысцкай Нямеччыны ў 1935–45?|вермахт
Араматызаванае віно, настоенное на траве?|вермут
Араматычная смала?|ладан
Араматычныя смолы, возгоняемые ў кадзіле на падпаленых вуглях?|ладан
Аркавы праём у зборы сцяны?|люнет
Артыст аперэты і кінаакцёр, народны артыст СССР (Украіна)?|Вадзянік
Архідыскадоны гэта продкі ... ?|мамантаў
Архіпелаг, пра які напісаў Салжэніцын?|ГУЛАГ
Архітэктар які пабудаваў Вялікі Крамлёўскі палац?|Тон
Архітэктар, аўтар праекта будынка смольнага інстытута?|Кварэнгі
Архітэктурнае збудаванне, якое будуецца звычайна ў гонар перамогі?|арка
Архітэктурна-мастацкі ансамбль, у котром знаходзіцца палац-музей творчасці рускіх прыгонных?|Астанкіна
Архітэктурны стрыжань калоны?|фуст
Архітэктурны стыль, які сучаснікі звалі “варварскім”?|готыка
Архітэктурны стыль?|барока
Аскарбінавая кіслата – гэта вітамін ... ?|З
Асацыяцыя Ананімных Алкаголікаў лічыць, што любая перспектыўная праграма лячэння пакутлівая для пацыентаў. Таму яны кажуць: “Вы павінны пратрымацца толькі адзін дзень.” Які?|сёння
Астраном і геадэзіст, заснавальнік і першы дырэктар Пулковской абсерваторыі (1793–1864). Усталяваў наяўнасць паглынання святла ў міжзоркавай прасторы. Хто ён?|Струве
Напад казуркі?|укус
Атос, Партос, Араміс, Д’Артаньян. Смірніцкі, Старыгін, Баярскі і ... ?|Смехаў
Атрыбут бога ветра ў Старажытнай Грэцыі – гэта ... ?|арфа
