Волат, пераможаны Давыдам?|Галіяф
Вялікі князь Уладзімірскі і Маскоўскі (з 1353). Працягваў аб'яднанне рускіх земляў. Меў “парадкавы нумар” 2. Гады жыцця 1326–1359. Хто гэта?|Іван Чырвоны
Вялікі стырнік (кітай.)?|Мао
Вялікі кіраўнік Мангольскай імперыі, выдатны заступнік рэлігій, мастацтваў і навук, самы ліберальны з усіх мусульманскіх манархаў?|Акбар
Вялікі рускі спявак (бас), у 1918 году ганараваны званні народнага артыста Рэспублікі, а яшчэ праз чатыры гады назаўжды які пакінуў радзіму?|Шаляпін
Вялікі танцор Вацлаў Ніжынскі ажыццявіў пастаноўку балета, каб паказаць парыжанам сцэны паганскага жыцця Русі?|вясна
Вялікабрытанія, у Шатландыі, адміністрацыйны цэнтр р-на Грампіан. Порт (горад у Еўропе)?|Абердзін
Вялікабрытанія, порт (горад у Еўропе)?|Саўтхемптан
Велічыня сярэднявечных азіяцкіх гарадоў вымяралася адной-адзінай велічынёй, прычым лінейнай. Для шматлікіх гарадоў нават пры іх росце гэта велічыня доўга заставалася сталай. Даўжыня чаго служыла гэтай велічынёй?|прыгоннай сцяны
Велічыня, зваротная Ому – гэта ... ?|сіменс
Ровар для дваіх?|тандэм
Ровар першы вынайшаў ... ?|Мішо
Ровар з рухавіком унутранага згарання завецца ... ?|мапед
Венерычная хвароба, то ж, што ганарэя?|трыпер
Вера, што свет не складаней нашых уяўленняў пра яго. Аляксандр Круглоў?|рацыяналізм
Вярблюд-гібрыд?|нар
Вяроўка, абрэзкам якой можна нядрэнна ўзброіцца?|трос
Вяроўка?|ліна
Вертыкальнае лязо, верхавіна будынка, як правіла выцягнутай конусападобнай формы?|спічак
Верніца, якая вызнае іслам?|мусульманка
Верхні будынак?|святліца
Верхні пласт распаленага жалеза?|акаліна
Верхняя доўгая адзежа ў каталіц. духавенствы?|сутана
Верхняя адзежа часопіса і кнігі?|вокладка
Верхняя адзежа каталіц. духавенствы, носная не на набажэнстве?|сутана
Верхні бок шыі сабакі?|карак
Верхняя частка корпуса струнных муз. прылад, якая ўзмацняе гук?|дэка
Вярхоўны бог у індуізме?|Шыва
Верхавога, які кіраваў паштовай карэтай звалі ... ?|фарэйтар
Верхавы пастух, зухаваты хлопец?|каўбой
Вяршыня вулкана?|конус
Вага тавара без пакавання і без тавара?|кукіш
Вясёлы чалавек, схільны да пацешных выдумак?|забаўнік
Вясновы месяц?|красавік
Вясновы месяц?|сакавік
Веслаў Чэрмак-Навіна казаў: “З ... не выйдзеш, зразаючы куты.”?|лабірынта
Весланогія птушкі?|алушы
Увесь існы матэрыяльны свет, бязмежны ў часе і прасторы і бясконца разнастайны па формах, які прымае матэрыя падчас свайго развіцця?|сусвет
Вельмі небяспечны аксід вугляроду?|угарны газ
Галіна менавіта гэтага дрэва ўпрыгожвае зараз расійскія манеты. Якога ж?|дуб
Вецер на Ісык-Кулі?|улан
Галінка каштана госцяй нечаканай ізноў у акенца маё пастукае, жоўтае лісце, тоўстыя лісты... – хто спявае?|Вайкуле
Ветраахоўная куртка з каптуром?|анарак
Вячэрні збор для сяброўскай сустрэчы, для забаўкі?|вечарынка
“Вячэрні звон, вячэрні звон, // Як шмат дум наводзіць ён.” – Гэтыя вершы перавёў Казлоў, а напісаў Томас ... ?|Мур
Вечназялёная расліна: дрэвы і хмызнякі?|мірта
Вечназялёны хмызняк?|амела
Вечны жыд, чалавек, які не даў Хрысту адпачыць на хросным шляху да Галгофы і асуджаны Богам на вечнае жыццё і тулянні (хрысц. міф.)?|Агасфер
Рэчыва, хімічны рэактыў|індыкатар
Рэчыва – заменнік цукру?|ксіліт
Рэчыва, у вагавым эквіваленце якога вымяраецца сіла выбуху?|траціл
Рэчыва высокай цвёрдасці для апрацоўкі паверхняў?|абразіў
Рэчыва, якое дрэнна праводзіць электрычны ток?|дыэлектрык
Рэчыва, якое ўжываецца для выраба свечак?|парафін
Рэчыва, якое не праводзіць электрыч. ток (дыэлектрык)?|ізалятар
Рэчыва, якое душыць развіццё бактэрый і інш. мікраарганізмаў?|антыбіётык
Узаемапранікненне, перамешванне рэчываў за кошт цеплавога руху малекул?|дыфузія
Погляд, меркаванне?|гледжанне
Глупства, лухта ў сведкавых паказаннях?|ерась
Выбуховае рэчыва, малаадчувальнае да ўдару і трэнню?|траціл
Хабар, які плацяць заможныя людзі, каб пазбегнуць законнага пакарання за сваё злачынства?|штраф
Выгляд артылерыйскага снарада, корпус якога запаўняўся металічнымі шарыкамі (стрыжнямі, стрэламі і т. п.), здзіўлялымі адкрытыя жывыя мэты. Ужываўся ў 19 павеку, выцеснены аскепкавымі і аскепкава-фугаснымі снарадамі?|шрапнэль
Выгляд баявых дзеянняў?|абарона
Выгляд барацьбы і фізічнага ўдасканалення арганізма, поўная назва якога – Самаабарона без зброі (з рас.)?|самба
Выгляд барацьбы?|вольная
Выгляд барацьбы?|дзюдо
Выгляд барацьбы?|тхэквандо
Выгляд ваенных дзеянняў, які вызваляе акопы і “што капае” магілы?|наступ
Выгляд гарадскога транспарта да ўводзін трамвайнага руху?|конка
Выгляд гравюры на метале?|афорт
Выгляд дарогі?|аўтамагістраль
Выгляд дарогі?|аўтастрада
Выгляд дарогі?|шаша
Выгляд камедыі ці вадэвіля?|фарс
Выгляд курыцы?|пулярка
Выгляд макаронных вырабаў?|локшына
Выгляд абутку?|чаравікі
Выгляд абутку?|басаножкі
Выгляд абутку?|лапці
Выгляд абутку?|макасіны
Выгляд абутку?|сабо
Выгляд абутку?|боты
Выгляд адзежы?|швэдар
Выгляд перапляцення?|велюр
Выгляд печыва?|бісквіт
Выгляд пакрыцця будынкаў і збудаванняў?|купал
Выгляд прозы, “які змяшчаецца” ў рысачку на магільнай пліце?|біяграфія
Выгляд прама ў твар, спераду?|анфас
Выгляд спаборніцтваў на аўтамабілях ці матацыклах?|ралі
Выгляд спорту – хуткасны спуск з гор па адмысловых ледзяных трасах на санках, які зарадзіўся ў Швейцарыі ў канцы 19 стагоддзя. Уведзены ў праграму зімовых Алімпійскіх гульняў з 1924 г., чэмпіянаты свету з 1924 г.?|бабслей
Выгляд спорту, дзе гуляюць з мячом?|баскетбол
Выгляд спорту, дзе гуляюць з мячом?|ватэрпола
Выгляд спорту, дзе гуляюць з мячом?|рэгбі
Выгляд спорту, дзе гуляюць з мячом?|футбол
Выгляд спорту, які зрабіў лыжнікаў балерунами?|фрыстайл
Выгляд спартовых спаборніцтваў?|ядраштурханне
Выгляд сцэнічнага мастацтва?|балет
Выгляд ювелірнай тэхнікі?|скань
Выгляд руху каня?|алюр
Бачанне слоіка з расолам у пустым халадзільніку пры цяжкім пахмеллі?|насланне
Бачны савецкі вайскавод?|Тухачэўскі
Бачачы, што гэты напой п'юць на Русі нават слугі, Казанова прыйшоў да меркавання пра вялікае багацце рускага дваранства. Што гэта за напой?|квас
Вілападобная рыбалоўная прылада?|восці
Вінаватая таго, што “Чай удваіх” часам зараз “п'е” яго ўтрох?|Лайма
Вінаград без костачак?|кішміш
Вінаградная ...?|лаза
Вісячыя сады Семіраміды ў Вавілоне, Летні сад – у Пецярбургу... А як завецца сад, створаны японскім манахам Соами у Кіёта?|сад камянёў
Віты хлеб, пляцёнка?|хала
Унёсак у банку?|дэпазіт
Смачная тэлеперадача канала ОРТ?|смак
Смакавыя дадаткі да ежы?|спецыі
Уладальнік міфалагічных стайняў?|Аўгій
Уладзімір Высоцкі напісаў песні для некаторых персанажаў дзіцячай кнігі гэтага прафесара матэматыкі. Яго клікалі ...?|Кэрал
Уладар хрысціянскага пекла?|люцыпар
Улады горада Сухумі падарылі яму “Волгу”, нумар на якой супадаў з вынікам яго рэкорду 17–39?|Санееў
Уладар мора і ўсёй воднай стыхіі?|Пасейдон
Разам ваявалі? (адз. л.)|аднапалчанін
Разам са сваім пудзелем ён перасек усю краіну і апісаў яе ў кнізе “Вандраванне з Чарлі ў пошуках Амерыкі”?|Стэйнбэк
Ёмішча для вадкасцяў і газаў?|рэзервуар
Раптоўнае рэзкае абвастрэнне хваробы (мёд.)?|крыз
Раптоўнае рэзкае абвастрэнне хваробы (мёд.)?|крызіс
Раптоўны і звычайна кароткі прамысловы і эканамічны рост?|бум
Занясенне ў спіс у мэтах уліку?|рэгістрацыя
Вонкавы пласт зямной атмасферы, які складаецца з надзвычай разрэджанага і па-электрычнаму зараджанага паветра, дзе адбываюцца ў прамым сэнсе слова нябесныя з'явы – палярныя ззянні?|іёнасфера
Унутраны орган чалавека і жывёл; 1/25 залатніка?|нырка
Унутраны орган, які актыўна падзяляе каханне свайго гаспадара да алкаголю?|печань
Усярэдзіне “Баунці”?|какос
Унутрыкватэрны адрына?|камора
Падчас якога абраду прамаўляецца фраза: “Святы ойча, так праходзіць слава свету”?|абранне Папы
