Японец-сацыяліст|Нарита
Японія, мастацтва|ню
Японія, на о. Хансю, адм. ц. прэфектуры Аомори (горад у Азіі)|Аомори
Японія, о-ў Кюсю (горад у Азіі)|Віра
Японія, о-ў Сикоку (горад у Азіі)|Анан
Японія, о-ў Хакайда (горад у Азіі)|Икеда
Японія, о. Хансю, адміністрацыйны цэнтр (горад у Азіі)|Акита
Японія, першая сталіца (горад у Азіі)|Нара
Японія, прэфектура на о. Хансю, адм. ц. – Аомори|Аомори
Японск. штучн. спадарожнік|осуми
Японск. кампутарная фірма|атари
Японск. горад у прэфектуры Исикава на о. Хансю|Нанао
Японск. горад у прэфектуры Токусима на о. Сикоку|Анан
Японск. штучн. спадарожнік|Тансей
Японск. штучн. спадарожнік|Хакуте
Японск. штучн. спадарожнік|Шинсей
Японская “хірагана” як яна ёсць|ліст
Японская аўтамабільная марка|таёта
Японская азбука, ліст|кана
Японская вішня з ружовымі кветкамі, нацыянальны знак Японіі|сакура
Японская гарэлка|сакэ
Традыцыйны японскі алкагольны напой з рысу|сакэ
Япон. рысавая гарэлка|сакэ
Японская двухколка|рыкша
Японская дэкаратыўная вішня|сакура
Японскі грошык|ена
Японская дынастыя|Асикага
Японская адзінка масы|момме
Японская зорка пармы?|Накату
Японская кароткая дубінка|дзе
Японская медная манета|рин
Японская нацыянальная адзежа вольнага крою|кімано
Японская прэфектура на выспе Хансю|Акита
Японская радыёэлектронная фірма?|соні
Японская разнавіднасць усходніх адзінаборстваў|айкидо
Японская скульптурная мініяцюра?|нэцкэ
Японская складовая азбука|кана
Японская фігурыстка, якая ўзнімала сцяг алімпіяды ў Нагана|Ито
Японская фірма аўдыё- і відэаапаратуры|піянер
Японская фірма, вытворца аўдыё-відэаапаратуры|шарп
Японскія гуслі|кота
Японскія мініяцюрныя фігуркі|нэцкэ
Японскія снарады часоў Цусимы|шымоза
Японскі “рубель”|ена
Японскі 3-хстрочный верш|хокку
Японскі аўтамабіль|исудзу
Японскі барабан, ударны муз. прылада|тайко
Японскі біяхімік|Ягі
Японскі генерал, каманд. войскам пры аблозе Порт-Артура|Ногі
Японскі горад на выспе Хансю|Набари
Японскі горад, сталы сталіцай апошняй Белай Алімпіяды|Нагана
Японскі дыневый лікёр|мидори
Японскі штучны спадарожнік Землі|экзос
Японскі кінарэжысёр, аўтар нашумелага фільма “Імперыя пачуццяў”|Осима
Японскі кампазітар|Дадзены
Японскі кампазітар|Ямада
Японскі канцэрн, які вырабляе аўдыё- і тэлеапаратуру|хитачи
Японскі лётчык-самазабойца ва 2-й сусветнай вайне?|камікадзэ
Японскі маршал, галаўкам сухоп. войскам у вайне 1904–1905 гг.|Ояма
Японскі меч|тати
Японскі мысляр (1847–1901). Удзельнічаў у руху “минкэн ундо”|Накаэ
Японскі мысляр, матэрыяліст і атэіст|Андо
Японскі народны тэатр, паўстаў у 17 павеку|Есэ
Японская выспа|Осуми
