Ватоўка, ватоўка?|целагрэйка
Ведзьма з Блер – гэта?|міф
Ведзьмы лётаюць на веніку, а на чым ведзьмы плаваюць? “на ...”|рэшаце
Вялікі нямецкі філосаф знаходзіў іх пяць, і ўсё лічыў непераканаўчымі. Як клікалі таго, хто дадаў да іх шостае?|Воланд
Велічыня ціску вадкасці ці газу?|напор
Верлиока, умзар, борчардес, жаберволк, убещур, мордолак, жабык... Усё гэта варыянты назвы аднаго і таго ж істоты. Назавіце самае вядомае яго імя|бармаглот
Верхні ўбор духавенства і манаства?|рыза
Верхняя адзежа часопіса ці кнігі?|вокладка
Вярхоўны орган улады ў Старажытным Рыме?|сенат
Галінаваныя шклопадобныя целы, якія сустракаюцца часцей за ўсё ў пясках, завуцца фульгурытамі. Скажыце, а што служыць чыннікам іх адукацыі?|маланка
Вятракі і драўляны абутак – гэта неад'емная частка нацыянальнага каларыту гэтай краіны. А што гэта за краіна?|Галандыя
Вечназялёная расліна; дрэвы і хмызнякі|мірт
Расліна, вечназялёнае, дэкаратыўнае, плады выкарыстоўваюць для варэння і цукатов; дрэвы і хмызнякі|кинкан
Рэчыва, якое надае раслінам зялёны колер?|хларафіл
Выгляд дрэў і хмызнякоў роду вярба|ракіта
Выгляд пісьмовай школьнай працы – выклад сваіх думак, ведаў на зададзеную тэму|складанне
Выгляд самаробкі?|вышыванне
Выгляд склада?|база
Вінная кветка з успамінаў амерыканскага фантаста Рэя Бредбери|дзьмухавец
Уладальнік маёмасці?|уласнік
Пазаядзерная частка пратаплазмы жывёльных і раслінных клетак|цытаплазма
Ўнутраны канал у палачцы бузіны, чамусьці злучаны з кардыялогіяй?|асяродак
Ва 2–3 стст. існавала ерэтычная секта адамитов, проповедовшая зварот да першабытнай нявіннасці. А як завуцца цяперашнія іх ідэалагічныя паслядоўнікі?|нудысты
Падчас войн старажытныя грэкі выкарыстоўвалі яго для паведамлення абложанаму гораду ўмоў капітуляцыі. За гэта ён яшчэ тады быў уведзены ў праграму алімпіяд. Пра што ідзе гаворка?|дыск
Падчас вайны ў нямецкім штабе працаваў рускі выведнік, пра працу якога пасля быў зняты фільм. Што не давала яму выспацца чалавеча?|прафесійная звычка
Падчас другой сусветнай вайны ён стаяў за станком на заводзе, збіраў танкі, нёс патрульную службу, а яшчэ – два разу пракаціўся на слане. Хто ён?|дзядзька Сэм
Падчас напісання гэтага партрэта мастак запрашаў спевакоў, гульцоў на ліру і блазнаў для стварэння ў мадэлі адпаведнага настрою. Хто яму пазіраваў?|Джаконда
Падчас абароны Севастопаля 1854–1855 гг. забітых перавозілі на паўночны бок, дзе і хавалі. Гэтым займалася пахавальная каманда пад пачаткам унтар-афіцэра. Назавіце яго мянушку|Харон
Падчас аднаго з матчаў апошняга чэмпіянату Еўропы па футболе арбітр з'явіўся на поле ў нязвыклай чырвонай кашулі. Якія каманды ўдзельнічалі ў гэтым матчы?|Шатландыя і Нямеччына
Падчас таго, як ён атрымліваў кіраўнічыя ўказанні, яго брат сабраў скарбы і пераліў іх. Увага, пытанне! А якая кніга сваёй назвай парадыруе тое, што ў яго атрымалася?|залатое цяля
Ва ўсім свеце ў гэты дзень адзначаецца дзень свету. У Расіі ж – іншае не меней мірнае свята. Які? “дзень ...”|ведаў
Ва ўсім свеце ёсць гэтыя людзі – узнагароджаныя ягадамі лаўра. А ў нас іх пакуль няма, але хутка будуць. Хто яны?|бакалаўры
Ва ўсім свеце шырыцца рух аб'яднання і барацьбы за свае правы лысых. А чый партрэт на значку ангельскага клуба прыхільнікаў лысых? (адказ у ім. п.)|Чэрчыль
У другі раз яна з'явілася свету ў суправаджэнні трох меркурыяў, а імя ёй даў сам Людовік ХVIII. Хто ж яна?|Венера Милосская
Вось імёны дзвюх з тых сясцёр: Сцена, Эвриала. Назавіце імя трэцяй, адзінай смяротнай з іх|Медуза
Ў Францыі пры двары Людовіка ХIV складалася дзве роты мушкецёраў, якія зваліся чорнымі і шэрымі. Назавіце крытэр, па якім праводзілася гэта дзяленне?|масць канёў
У Францыі з часоў Напалеона іх было чатыры – а, b, з і d. А колькі іх было ў Расіі з часоў Пятра I?|14 чиновнических класаў
У што, па меркаванні некаторых жартаўнікоў, была ўстаўлена ў 1985 г. лямпачка Ілліча? “у ...”|пражэктар перабудовы
Воднае травы. расліна|нимфея
Багавінне, якія плаваюць густой масай?|ціна
Ўзвышэнне, з якога чытаюцца лекцыі?|кафедра
Поруч яго стаяла велізарная статуя, якая паказвае Нерона, дзякуючы якой ён і атрымаў сваю назву. Якое?|калізей
Хваля, якая двойчы ў суткі агінае зямны шар?|прыліў
Воласа, воласа... Пасярэдзіне – каўбаса|кукуруза
Наогул геральдычны колер коласа – залаты незалежна ад выгляду травы. Аднак каласы адной расліны можна маляваць і белымі. Што гэта за расліну?|рыс
Наогул гэта плён грушы бергамот. Але нам больш вядома іншае значэнне гэтага слова, сінонімам якога выступае таксама плён, але толькі інжыра. Як жа завецца плён грушы бергамот?|дуля
Наогул гэту жанчыну клікалі Таццянай. Але памылка картографа прывяла да таго, што яна стала вядомая нам як Марыя, а імя яе, прысвоенае мысу, стала назвай бухты. Хто гэта жанчына?|Прончищева
Насуперак агульнаму меркаванню, аўтарам гэтага твора быў не Эдвард Кэнэдзі, а яго трамбаніст Хуан Тизол. Назавіце гэты твор|караван
Усходняя і заходняя элонгация, усходняя і заходняя квадратура, злучэнне, супрацьстаянне... Чаго?|планет
Вось два слоўца з жаргону валютных дылераў – фед і буба. Эмісійныя слоікі якіх дзвюх краін завуцца гэтымі слоўцамі?|ЗША і ФРГ
“Вось хата смутку, дзе людзі пахаваны жыўцом”. Дзе нейкі габрэйскі мудрэц напісаў гэтыя словы? “на ...”|дзвярах турмы
