Назавіце адзінку вымярэння даўжыні?|метр
Назавіце адзінку вымярэння масы?|кілаграм
Назавіце адзінку вымярэння напругі?|вольт
Назавіце адзінку вымярэння электрычнасці?|кулон
Назавіце адзіную жывёлу, маці якога можа быць гара|мыш
Назавіце вядомую карціну рускага мастака, дзеянне ў якой адбываецца на масленіцу|узяцце снежнага мястэчка
Назавіце імя генерала Жукава?|Георгій
Назавіце імя генерала Кутузава?|Міхась
Назавіце імя генерала Суворава?|Аляксандр
Назавіце імя чалавека, які сваім усшэсцем на трон абавязаны падрыхтоўцы амлету з пабітых яйкаў|Аляксандр I
Назавіце скажонае нямецкай мовай французскае слова, якое азначае іспанскую засаўку для вокнаў і дзвярэй|шпінгалет
Назавіце лингвоним (менавіта той, што ў адказе :))|рускі
Назавіце медыцынскае прыстасаванне, якое набыло ў нас у апошні час шырокую папулярнасць, і якое старажытныя кітайскія медыкі паспяхова замянялі акулавымі сківіцамі|иппликатор Кузняцова
Назавіце адным словам: маргарын, драўляныя драбы, вядомы нават дзецям прадмет гігіенічнай працэдуры|рама
Назавіце адным словам: праграму, прызначаную для працы ў аперацыйнай сістэме ОS/2 і ядомы грыб|чырвонагаловік
Назавіце першую ад сонца планету?|Меркурый
Назавіце просты лік, якое аб'ядноўвае Джорджа Гордана Байрана, Аляксандра Сяргеевіча Пушкіна, Артюра Рембо і Ўладзіміра Ўладзіміравіча Маякоўскага|37
Назавіце прафесію людзей, якія сур'езна задумаліся пра змену сваёй тэрміналогіі пасля першых удалых досведаў па перасоўванні будынкаў у Расіі|юрысты
Назавіце расліну, радавая назва якога паказвае на сіні колер, а краявіднае на чырвоны|сіняк чырвоны
Назавіце самае вялікае возера ў Аўстраліі?|Эйр
Назавіце самае вялікае возера ў Афрыцы?|Вікторыя
Назавіце самае высокае дрэва?|эўкаліпт
Назавіце самае буйнае возера ў Расіі?|Байкал
Назавіце самую доўгую раку ў Аўстраліі?|Дарлинг
Назавіце самую доўгую раку ў Азіі?|Янцзы
Назавіце самую доўгую раку ў Паўднёвай Амерыцы?|Амазонка
Назавіце самую буйную планету ў Сонечнай сістэме?|Юпітар
Назавіце самую вялікую выспу ў Аўстраліі?|Новая Гвінея
Назавіце самую вялікую выспу ў Паўночнай Амерыцы?|Грэнландыя
Назавіце самую буйную расійскую выспу?|Сахалін
Назавіце сёмую ад Сонца планету?|Уран
Назавіце сталіцу Аргентыны?|Буэнас-Айрэс
Назавіце сталіцу Бразіліі?|Бразіліа
Назавіце сталіцу Венесуэлы?|Каракас
Назавіце сталіцу Грэцыі?|Афіны
Назавіце сталіцу Ірландыі?|Дублін
Назавіце сталіцу Іспаніі?|Мадрыд
Назавіце сталіцу Кітая?|Пекін
Назавіце сталіцу Марока?|Рабат
Назавіце сталіцу Мексікі?|Мехіка
Назавіце сталіцу Новай Зеландыі?|Велінгтон
Назавіце сталіцу Нарвегіі?|Осла
Назавіце сталіцу Швецыі?|Стакгольм
Назавіце з дакладнасцю да года, колькі гадоў прайшло паміж датамі 17 красавіка 16 гады да н. э. і 17 красавіка 86 гады н. э.?|101
Назавіце таго, хто, паводле Паскаля, народжаны, каб думаць?|чалавек
Назавіце трацінай ад Сонца планету?|Зямля
Назавіце тры рэчы, якія, па меркаванні Ўладзіслава Гжещика, развязваюцца ў самы непадыходны момант (усе тры ў мн. ч.)|гальштукі шнуркі мовы
Назавіце прозвішча лекара – загадчыка Мікольскай земскай лякарняй Сычевского земствы Смаленскай губерні ў 1916–1917 гадах|Булгакаў
Назавіце хоць бы адзін твор мастацтва, выкананае арханёлам Міхасём. “любы твор ...”|Мікеланджэла
Назавіце чацвёртую ад сонца планету?|Марс
Назавіце шостую ад сонца планету?|Сатурн
Назавіце, калі ласка, адзіную рызыкоўную гульню, па меркаванні аўтара ананімнага афарызму, благословляемую царквой?|шлюб
Найболей вядомы маршрут гэтых спаборніцтваў: Маямі – Насау, Каус – Торкі. На чым яны праводзяцца? “на ...”|катэрах
Найменшая, самая неабходная колькасць ці велічыня?|мінімум
Падаткова-фінансавае ведамства ў Старажытнай Аравіі?|канапа
Нам вядома, што нейкая катэгорыя людзей у вызначаным стане не здольная назіраць шум нейкага збудавання і замарожаную канцэнтрацыю вызначанага колеру. А што можа?|траву ў хаты
Нам зрэдку прыходзіць гэта пасланне здалёку, а каб адправіць такое пасланне, трэба скарыстацца дальнописью. Што ж гэта за пасланне?|тэлеграма
Якая напілася прамая|крывая
Напалеон III у свой час замяніў залаты посуд у палацы Цюільры на... На якую? “на ...”|алюмініевую
Кірунак у мастацтве і літаратуры?|мадэрнізм
Наркатычнае рэчыва, якое атрымліваецца са смалы індыйскіх канопляў?|гашыш
Нараст у ракавінках?|перламутр
Парушэнне правіл гандлю?|абважванне
Настойка на палыне?|абсэнт
Сапраўднае яго імя было Пудик. А які быў яго літаратурны псеўданім?|Кветачка
Сапраўднае імя героя – Иеремия Йоукахайнен Суомалайнен. У ЗША, куды гэты чалавек пераехаў жыць, яго нацыянальнасць стала яго прозвішчам. Як сталі клікаць гэтага чалавека?|Джэры Фін
Навука пра найболей агульныя законы развіцця прыроды?|філасофія
Нацыянальная кітайская страва?|рыс
Нацыянальнасць Ісуса Хрыста?|габрэй
Пачатак дзеяння гэтай аперацыі адбываецца на паўднёвым рынку г. Заречинска. Паважаныя гульцы! Назавіце, калі ласка, трох галоўных герояў|баязлівец балбес хаджалы
Пачатак, пры дапамозе якога кіруецца краіна, даўгавечна і завецца глыбокім і трывалым, вечна існым... Скончыце думку кітайскага філосафа адным словам|дао
Пачатковая частка складаных слоў, якая паказвае на іх стаўленне да зямлі, зямному шару?|гео
Нябесны анёл?|серафім
Незадоўга да нашай эры ў Кітаі вырабілі рэльефную карту краіны. З дапамогай якога хімічнага элемента малявалі рэкі і моры? “з дапамогай ...”|ртуці
Некаторы час назад Мадона выпусціла кліп, у якім арыгінальна абгульвалася ідэя нестандартнага выкарыстання кавалка лёду. Пасля гэтага яна была публічна абвінавачана ў плагіяце. Кім?|Ліндай
Некаторыя перыядычныя ці паўтаральныя выданні?|бюлетэнь
Некаторыя лічаць яго ўсяго толькі дбайным служакам, іншыя мяркуюць, што ён здзейсніў злачынства супраць чалавецтва, трэція ўнеслі яго ў святцы. Хто ён такі?|Пілат
Некаторыя навукоўцы сцвярджаюць, што вышыня гары Алімп звыш 20 км. Хто гэтыя навукоўцы?|астраномы
Некаторыя этымолагі мяркуюць, што першапачаткова гаворка ішла пра рускую народную мерку коршке. А ад чаго адкладаюць вышыню, прыкладна на 9 сантыметраў больш гэтай меркі?|чыгун
Нямецкая турыстычная фірма Ltu, адпраўляючы сваіх кліентаў у тропікі, уручае ім 30-літровы поліэтыленавы пакет, які яны павінны прывезці зваротна ў Нямеччыну. А што яны туды павінны класці?|смецце
Нямецкі бундэстаг па сваёй сутнасці?|парламент
Нямецкі гісторык ХVIII ст. Жнівень Шлецер дзяліў гэтых людзей на чатыры катэгорыі: даследнікаў, мастакоў, пісьменнікаў і збіральнікаў. Хто ж яны?|гісторыкі
Нямецкі пісьменнік Бертольд Ауэрбах лічыў, што набыццё грошай патрабуе доблесці, захаванне грошай патрабуе разважлівасці. А што, па меркаванні Ауэрбаха, патрабуе мастацтва?|марнаванне
Немцы карыстаюцца французскай, ангельцы – нямецкай, а французы – швецкай. А хто лічыцца аўтарам той, якой карыстаемся мы?|Цэльсій
Ненармальнасць, адхіленне ад нормы, хвароба?|паталогія
Неарганізаванае сборышча людзей?|арда
Непераможная і легендарная, у баях якая спазнала радасць перамог (песень.)?|войска
Некалькі гадоў назад у адной з мадэляў Паршэ ўпершыню ў гісторыі Паршэ з'явілася тое, што амерыканцы абвыклі лічыць нормай, а шматлікія еўрапейцы – раскошай. Што ж гэта?|аўтаматычная трансмісія
