Слімак, кальмар, васьміног. Агульная назва?|малюск
Ён на дне і на ланцугі.|якар
Стужку ў валасы ўпляцеш – па-іншаму назавеш.|бант
Ёсць у вавёркі, ёсць у мішкі, ёсць у шэрага зайшички. І ў халодны дзень зімы ў ёй шпацыраваць выходзім мы.|футра
Якія калёсы вязе ішак?|арба
Надпіс у ніжняй частцы кадра?|субтытр
Аптэчны працаўнік?|правізар
Не мора, а хвалюецца?|ніва
Малалетні даносчык?|данос
Злучэнне машын?|агрэгат
Прыбытак гандляра?|навар
Сакавіты “гуз”?|ананас
Калі ўсяго хапае.|дастатак
Выгляд дэфармацыі.|зрух
Ззянне вакол Сонца.|арэол
Па ёй кроў вяртаецца.|вена
Жыхар самага гумарнога з украінскіх гарадоў.|адэсіт
“Выхлапная труба” ракеты.|сопла
Бор стаматолага як ён ёсць.|свердзел
Якая цукерка гразне на зубах?|касач
Што высоўвае пракурор падчас суда?|абвінавачванне
Шафка з выпіўкай?|бар
Што хаваецца за ўсякай фобіяй?|страх
Уз'яднанне аўтамабіля з месцам стаянкі?|паркоўка
“Калода карт” для географа?|атлас
Не толькі бегае, але і страляе?|біятланіст
Пытанне рабром: “На дуля казе ...?”|баян
“Стрававальны кацёл”|казан
Хто рубель нажывае, а два пражывае?|мантач
“Я ведаў котку, якая пры першай жа з'едлівай заўвазе па адрасе яе сваякоў уздымалася з месца і з абражаным выглядам пакідала пакой” (ангел. класік)|Джером
Лідар нашай папулярнай групы “Манга-Манга” Андрэй Гардзеяў па атрыманай вышэйшай адукацыі.|ветэрынар
Адно са складанняў вялікага Петрарки названа “Мая ..., ці Кніга гутарак пра пагарду да свету”.|таямніца
“Паўдарогі да выратавання”|малітва
Спосаб ператварыць грыбы ў закуску.|засолка
Гогат у стайні.|іржанне
Ён перакідае вашы грошы з акцыі ў акцыю, пакуль яны не знікнуць.|брокер
Назапасіў, каб выяўляць уласныя думкі.|лексікон
Хоць і паветраны, але не змей.|шарык
Частка автоколеса, якая апынулася паміж дыскам і покрыўкай.|камера
Сашчэпка для валасоў?|шпілька
Інтэр'ер на колах.|салон
... – яны такія! Яны або пачынаюць сканчацца, або сканчаюць пачынацца.|грошы
(жартоўная фраза) Чуткі наконт ... апынуліся проста балбатнёй|плётак
Не зажадай жонку блізкага свайго – пачакай, пакуль ён будзе далёка ў ...|камандзіроўцы
– Мілы, ты дзе? – Я на паляванні. – А хто там так гучна дыхае? – Гэта ...|мядзведзь
У крамах Амерыкі з'явіўся гульнявы набор для дзяцей “Зараз ты паліцыянт”, у камплект уваходзяць: пісталет, пончыкі і мёртвы ..., за якога трэба помсціць...|напарнік
Навукоўцам, нарэшце вось, атрымалася скрыжаваць скунса і папалохаючы. Зараз гэта жывёла, прынамсі, ...|просіць прабачэння
Чорная кашуля ў белую крапінку – ідэальная абарона ад ...|перхаці
Калі ў госці да вас прыйшлі 10 чалавек, а ў вас ёсць толькі 8 відэльцаў для амараў – тое застаецца толькі ... вашым праблемам.|пазайздросціць
Сапраўдны вартаўнічы сабака перад тым як пошасць на парушальніка павінна выдаць 2 ... гавка ўгару.|папераджальных
Сісадмін уяўляў сябе богам сеткі, ... грубіянска развеяў гэты міф.|электрык
Банк “Удалы” праводзіць навагоднюю акцыю: адкрый унёсак і прымі ўдзел у ... на права праз год атрымаць яго зваротна.|розыгрышы
Прараб паказвае замоўцу обьект – шырачэнная студня. Той зазірае ў яго: – А навошта ўнізе лямпа? – Ну як? Усё як на чарцяжы – вось. Дае яму чарцёж. Замовец глядзіць на яго. Перагортвае ўгару нагамі. – Ідыёты! Тут павінен быць ... .|маяк
Калі мужчына парушае правілы дарожнага руху, то атачальныя лічаць, што ён або нахабнік, або ... . Калі жанчына, што гэта – дурніца без мазгоў!|стромкі
Вы ведаеце, апыняецца, полымя ў запальніцы пахне згарэлымі валасінкамі з ...|носа
Маленькага медзведзяня Умку панесла на крызе ў моры. Так бы ён і памёр ад голаду і халады, калі б не ледакол “Арктыка”, які наматаў яго на ... .|шруба
Одзін тып паслаў сябру sms: – Як справы? Атрымаў адказ: – Хорово. Зараз сядзіць і думае – дзе ж ...?|памылка друку
Жадаў быць вялікім аферыстам, стаў дробным ... .|паскуднікам
– Ты мяне не злуй – у мяне, ледзь што вежу зносіць, я адразу за ствол хапаюся! Паляванне табе потым мяне ...?|ад дрэва адрываць
Прапанову, якое складаецца з трох слоў, і ўсе тры – дзеясловы: “Сыходзь купіць ...!”|выпіць
– Абрам, вы, выпадкова, не шахцёр? – Не, я не выпадкова, я ... не шахцёр!|прынцыпова
90-60-90. Язда на аўтамабілі міма ... ДІБДР.|паста
Адпраў sms з тэкстам “Ты дзе?” на любы нумар у 4 гадзіны ночы і атрымай прышпільную ... на свой мабільнік.|рыфму
– Што такое прасторны пакой для дзіцяці новага рускага? – Гэта калі ў кутку сціпла і неўзаметку варта акварыум з ... .|бегемотамі
Купіла мама дзяўчынцы ЖЫВЫ ёгурт, прынесла дахаты, паставіла ў халадзільнік. Уначы ёгурт вылез са слоічка, зжэрла бацвінне, каўбасу, выпіў ..., забраў слоічак і сышоў зваротна ў краму.|гарэлку
– А я сваю жонку заву Тамагаўк. – Яна ў цябе што, з індзейцаў? – Ды няма, наогул яе Тамарай клічуць, толькі яна ў мяне як ... злая!|сабака
Яна: – Што гэтыя Вы, уласна, усю дарогу ідзяце за мной? Ён: – Зараз, калі Вы ..., гэта пытанне я задаю сабе сам!|павярнуліся
“Гербалайф” хутчэй бы заваяваў давер расейцаў, калі б прадаваўся ў больш звыклай для нас тары і зваўся б “...”...|Гербалайфовка
Аб'ява: Сур'ёзная арганізацыя возьме на высокааплатную пасаду дасведчанага хакера. ... просім месцаваць на галоўнай старонцы сайта www.miсrоsоft.соm|рэзюмэ
На калгасным зборы калгас “Шлях Леніна” вырашана пераназваць у калгас “Ляноту ...”.|Пуціна
