– Якая мода перайшла ад Ганны Карэнінай? – Туфлі на ...|платформе
– Вы не скажаце, дзе паблізу туалет? – Нажаль, не ведаю, але за кутом у шапіку ёсць нядрэнныя ...|памперсы
Адна дзяўчына прыходзіць уладкоўвацца на працу сакратаркай і кажа: – Я друкую тысячу дзвесце ўдараў у хвіліну... Усё войкнулі, а яна дадала ў бок: “Такая ... атрымліваецца!”|глупства
Плывуць дзве акулы. Бачаць: серфінгіст пад ветразем хвалю ловіць. Адна другі кажа: – Глядзі, які сэрвіс! Закуска, на сподачку, ды яшчэ і з ...!|салфеточкой
– Як там твой алкаш? Ізноў грошы па казіно і рэстаранам праседжвае? – Не. Я з ім сур'ёзна пагаварыла, і ён зараз не п'е, не паліць, па рэстаранах не ходзіць. Ляжыць сабе ціхенька ў ... .|рэанімацыі
– Ала! Гэта ...? Будзе тэлефанаваць мая мама – перадайце, што са мной усё ў парадку!|морг
З апісання ДТЗ: “Я ўбачыў, як марудлівы пажылы мужчына з сумным тварам зляцеў з ... майго аўтамабіля.”|капота
– Што рабіць, калі ... заспела вас знянацку? – Што рабіць, што рабіць... зняць порткі і рабіць!|дыярэя
Адкрыццё! Нашы навукоўцы навучыліся крыжаваць вішню з каноплямі. Зараз з яе можна варыць смачнае і ... варэнне.|смешнае
– Доктар, няўжо мая хвароба так жудасна безнадзейная? – Ну навошта ж так змрочна! Давайце скажам па-іншаму: калі я вас вылечу – я стану ... вядомы!|сусветна
Навіны са свету ядзернай фізікі: ... у кацяняці не больш напарстка, такім чынам, тыя два літра малака, якія ён здольны выпіць за гадзіну, знаходзяцца ў яго страўніку пад ціскам 50000 атмасфер, што ў дзесяць разоў больш ціскі ў эпіцэнтры ядзернага выбуху.|страўнік
Едзе мужык на машыне, па ўсіх правілах, нічога не парушае, хуткасць 40. Раптам спыняе яго Гибддшник: – А кудай-тыя вы так ...?!|крадзецеся
Ў нашай фірмовай АГАРОДНІННАЙ краме навагодні ...: кожнаму пакупніку – бясплатна па РЭПЕ!|неспадзеўка
Аб'ява: Прадаюцца жаночыя гадзінічкі, адзін ... – 50$.|гадзінка
– Апошні раз папярэджваю: не будзі ў мне звера! – Ой-ой-ой, не баюся я твайго ...!|хамячка
Пакуль Чып і Дэйл спяшаліся на дапамогу, Шрубка і Шпунтик раскруцілі ... .|Гаечку
... звяртаецца да кліента: – У вас шклянка пустой, ці не жадаеце яшчэ адзін? – А на хрэна мне два пустых шклянкі?|Бармэн
Рыхтуецца мент да вяселля. Прыходзіць да сябра і кажа: – Ты ў мяне на вяселлі ... будзеш?|панятым
Малако ўдвая смачней, калі гэта ... .|каўбаса
Аб'ява: Патрабуецца прыгожая, маладая жанчына для ... гаспадаркі.|уводзіны
– Што будзе, калі сакратарка зацяжарыць ад генеральнага ...? – У яе народзіцца генеральны сакратар.|дырэктары
– Таварыш прапаршчык! Вы чаму гарэлку п'яце? – П'ю таму, што вадкая. Была б цвёрдая, я б яе ___.|грыз
Знік вялікі чорны дыпламат. Які знайшоў просьба вярнуць гэтага ... у пасольства Нігерыі.|алкаголіка
Мора хвалюецца раз, мора хвалюецца два, мора хвалюецца тры... У мора – ... .|дэпрэсія
На дыскатэцы. – Дзяўчына вас можна? – Можна, але спачатку ... .|патанчым
Калі за ... зачыніліся турэмныя дзверы, пракурор зняў шапку і сказаў: – Нарэшце вось я пасадзіў дрэва!|Бураціна
– Жадаеш сухога віна? – Добра... ...!|насыпай
Жаночаму аддзяленню лазні тэрмінова патрабуюцца ... вокнаў. Мужчыны ад 25 да 30 гадоў з устойлівай псіхікай.|мыйшчыкі
Новыя пракладкі з крылцамі – зараз у два разу паменшана нагрузка на крыло і палепшана ... .|манеўранасць
Жонка гуляе на скрыпцы. Муж: – Ну добра, ...! Куплю табе новая сукенка!|спыні
Паводле дадзеных судовай статыстыкі, яшчэ ніводная жонка не застрэліла мужа ў той момант, калі ён ... .|мыў посуд
Едзе негр на чорным мерсе, тэлефануе мабільны. Негр: – Так, дарагая, купіў, дарагая... Як ты прасіла – шасцісоты...так, салон-люкс...так, як ты прасіла – ___ колеры.|целавага
– У згубы “Тытаніка” вінаватыя габрэі! – Ты што? Якія такія габрэі ??? – Лоцман, Боцман і Штурман. А больш усіх – ... .|Айсберг
– Часам, – кажа місіс Сміт новай прыслужніцы, – вам прыйдзецца дапамагаць мне падняцца па ... . – Разумею, мэм, – я таксама кахаю выпіць.|усходне
Аўтамабіль “Запарожац” – 20 мінуць ... і вы ўжо на працы.|ганьбы
– Мне больш не налівай, – кажа дзяўчына хлопцу, – а то ў мяне з нагамі штосьці дзіўнае. – Што, падкошваюцца? – Не, ...|рассоўваюцца
Цікава, ці гуляюць калі-небудзь ... у гульню “Хто жадае стаць мільянерам”?|мільярдары
Цяжка ... з пахмелля. У яго ўсё баліць.|Піражку
Ў аптэцы варта вялікая чарга. З крыкам урываецца мужчына: – Прапусціце! Прапусціце без чаргі! Там чалавек ляжыць! Чарга, натуральна, расступаецца. Мужчына падыходзіць да ...: – Пачак прэзерватываў, калі ласка.|прылаўку
Заходзіць гринписовец у пакой са штучным дыванам і зласліва пытае гаспадара: – А ты ведаеш, колькі ... мішак забілі, каб ты мог заслаць у сябе гэты дыван?|плюшавых
Прыхільнікі газавай зброі самаабароны дагэтуль спрачаюцца, што ж усёткі эфектыўней, газавы ... ці газавая труба.|ключ
Мядзведзі ўбачылі, што пасцеля медзведзяня змята, і зразумелі: тут была ...|Маша
Расійскія памежнікі затрымалі ў расійскіх тэрытарыяльных водах кітайскі рыбалоўчы ... з 50.000 закінутымі вудамі на борце.|траўлер
Уваходзіць сляпы ў краму з сабакам-павадыром. Узяў яе за хвост і пачаў круціць над галавой. Прадаўшчыца з жахам: – Навошта вы здзекуецеся над жывёлай. – Не замінай, я ... .|аглядаюся
– Ды не крычы ты так! Што прасіла, то і прынёс! Я ж не ведаў, што ... – гэта вінаград!|жаночыя пальчыкі
Славяне былі вольналюбівым народам. Іх часта зганялі ў ___, але і там яны не працавалі...|рабства
– Дзяўчына, вы што будзеце, спірт, гарэлку ці ...? – Ой, ну я прамы нават не ведаю, усё такое смачнае...|самагонка
– Доктар, не ведаю, як выказаць вам маю падзяку. – З тых часоў, як чалавецтва прыдумала ..., гэта перастала быць праблемай.|грошы
– Наша фірма шукае ... . – Але вы ж узялі ... тыдзень назад! – Вось яго вось і шукаем...|касіра
Лякарня. Вечар. Хворы глядзіць тэлевізар, заходзіць медсястра: – Хворы, хопіць глядзець тэлевізар, пара ў койку. – А нас не ...?|застукаюць
–Мілы, так жадаецца чагосьці чыстага, светлага...  –... будзеш?|Піва
Ў бар заходзіць негр з чыюком на плячы. – Дзе ты дастаў такога? – пытае бармэн. – У Афрыцы, іх там мільёны, – адказвае ... .|чыюк
Маленькі Пеця зрабіў ... . Тата замучался яго выкідваць.|бумеранг
Неяк інакш стаў глядзець касманаўт Пятроў на касманаўта Іванова, калі на касмічным караблі скончылася ... .|ежа
Дзеці ўносяць у сям'ю сяброўства: калі ў бяздзетных сем'ях муж і жонка б'юць адзін аднаго, то ў сем'ях з дзецьмі яны дружна ... .|б'юць дзяцей
Прымета: той, хто ..., засынае першым.|храпе
– Ала! Куды гэта я патрапіла? – А куды вы ...?|цалялі
– Чаму ваша дзіця так гарлапаніць? Чаго ён жадае? – ... ён жадае!|Гарлапаніць
П'яны мужык позна вяртаецца дахаты. Адкрываюць дзверы спальні і кажа: – Дарагая, пачынай на мяне крычаць, а то я не бачу дзе ... .|ложак
Каб словы не разыходзіліся з ..., трэба маўчаць і ні хрэна не рабіць.|справай
Навукоўцы з Гарвардскага ўніверсітэта высвятлілі, што ... размножваюцца значна хутчэй, калі ім не замінаюць навукоўцы з Гарвардскага ўніверсітэта.|мышы
Заходзіць у купэ маладая дзяўчына. А там ужо сядзіць хлопец, і яна села насупраць яго. Едуць, значыць, а хлопец інтэнсіўна жуе жованку. Дзяўчына глядзела, глядзела на яго і кажа: – Можаце мне казкі не распавядаць, я ўсё адно ... .|глухая
