“Машыны ва ўваходу не ставіць. Штраф – ...”.|лапатай па шкле
Хоць воўк застаўся б у жывых, калі б не загаварыў у цёмным лесе з ... дзяўчынкай у чырвоным капялюшыку.|незнаёмай
– Аркадзь, не паказвай мне мова, а то захварэеш! – Чым? – Пераломам ... і скалынаннем мозгу.|сківіцы
– Капітан, ... усплыў! – Так-а... кепская прымета.|якар
– Таварыш камандзір, што з палонным рабіць? Расстраляць ці адпусціць? – Адпусці... Калі адыдзе далей – ...!|страляй
Тэлефануе тэлефон: – Прабачыце, а ... можна? – ...? Так, калі ласка: “Ра-асцветали яблыні і грушы, паплылі туманы над ракой...”|Кацюшу
За кулісамі бегае памагаты рэжысёра: – Дзе Муму? Дзе Муму? ..., дзе Муму? А, ды што я вас пытаю...|Герасім
Слова “...” па-ранейшаму застаецца лепшым супрацьзачаткавым сродкам.|няма
Праверка парадку ў жаўнерні. Камандзір, адкрываючы чарговую тумбачку: – Чаму ... у тумбачцы?! Мышей развесці жадаеце?|гантэлі
Калі ў індыйскім фільме напачатку паказваюць ..., то ў канцы другой серыі яно абавязкова будзе спяваць і танчыць.|стрэльба
Закружыў дзяўчыне галаву так, што яе ванітавала ...|9 месяцаў
– Ці праўда, што вонкавыя ... устойлівей унутраных? – Праўда. У вонкавых чатыры ножкі і нізка размешчаны цэнтр цяжару.|мадэмы
... мірным шляхам адбылася ў Нагасонии. Мірным шляхам было забіта 260 чалавек, паранена – 742.|рэвалюцыя
Прыходзіць лекар у ... да хворага: – У мяне ёсць для вас дзве навіны: адна добрая, іншая дрэнная... – Давайце спачатку добрую. – Гэту хваробу назавуць вашым імем.|палату
– Таварышы салдаты, сёння будзем падмятаць пляц лапатамі. – Таварыш капітан, а можна ...? – Можна і ..., абы задзяўбаліся.|крышанамі
Каноплі – гэта ... . Толькі яму вырасці не даюць.|дрэва
– Аднойчы, калі я быў маленькі, мы з бабуляй зайшлі ў летняе кафэ пад голым небам, каб паабедаць. Потым пайшоў ... . Мне спатрэбілася тры гадзіны, каб даесці булён...|лівень
Аб'ява. Калі вы атрымліваеце задавальненне ад ... – то ў нас вас чакае маса задавальненняў.|працы
– Як прыгатаваць кактэйль “Тры парася”? – Вельмі проста. Трэба купіць ... і паклікаць двух сяброў.|скрыня гарэлкі
Сяржант звярнуўся да якія ступаюць у ладу салдатам: – Хто добра спявае? – ..., – пажартаваў адзін з салдатаў. – ..., запявай! – загадаў сяржант.|Карузо
– Што яшчэ трэба чалавеку, які за паўгода набыў сабе двухпавярховая хата, шыкоўную мэблю і новую машыну? – Апраўдальныя ... .|дакументы
– Скажыце, дзе вы сшылі сабе гэты гарнітур? – У Парыжы. – А гэта вельмі далёка ад нашага Бердичева? – Так, больш тысячы кіламетраў. – Скажыце, калі ласка! Такая ..., а шыюць прыстойна!|глухмень
У дзіцячым садку нарэшце вось далечы гарачую ваду. Гэта, вядома, не ..., але ўсё ж лепш, чым нічога...|макароны
Прадам калекцыю позваў у войска, не ..., ёсць розныя гады.|гашаныя
– Вось, у нас старшына быў такім гумарыстам – як што-небудзь скажа, так усё лягуць! – Ну, і што ён казаў? – ...!|Рота кладзіся
Даследаванне малдаўскіх навукоўцаў паказала, што больш за ўсё вітамінаў знаходзіцца ў ... .|аптэцы
Ты самая прыгожая, добрая, разумная, ненаглядная, рыбонька, сонейка, кветачка ты мый, Василисонька, кацяня, зайчаня, лісяня, важычаня симпатюлечка, кукушонок, сябрук, піражок, разумніца-разумніца, ягня... ну толькі дай ... , я ведаю, у цябе ёсць!!|сто грам
– Не будзіце ў мне звера, ён і так не ...|высыпаецца
