Швецкі горад|Идре
Швецкі драгун, што быў муж Кацярыны I (да Пятра I)|Крузе
Швецкі жывапісец|Ольсон
Швецкі журналіст. Нобелеўская прэмія свету (1908, сумесна з Ф. Байером)|Арнольдсон
Швецкі абаронца Венецыі?|Бьерклунд
Швецкі заапарк Кальмаарден гандлюе карцінамі ў лепшым мадэрнісцкім стылі. Кожная карціна варта 350 крон, якія паступаюць у бюджэт заапарка. Хто іх малюе?|малпы
Швецкі вынаходнік, прамысловец, учред-ці Нобел. прэмій|Нобель
Швецкі інжынер і вынаходнік, стваральнік паравой турбіны актыўнага тыпу|Лаваль
Швецкі інжынер, які прыдумаў машыну для выраба шкляных бутэлек|Лаваль
Швецкі інжынер. Нобелеўская прэмія|Далёкі
Швецкі кампазітар (1872–1960, “Горны кароль”)|Альвен
Швецкі кампазітар, педагог, дырыжор|Альвен
Швецкі народны танец|хамбо
Швецкі нейрофизиолог. Нобелеўская прэмія (1967, сумесна з Дж. Уолдом і Х. Хартлайном)|Граніць
Швецкі пісьменнік. Нобелеўская прэмія (1974)|Юнсон
Швецкі порт|Евле
Швецкі казачны хлопчык, які здзейсніў вандраванне з дапамогай гусакоў|Нильс
Швецкі скульптар, аўтар “Наяды на дэльфіне”|Миллес
Швецкі тэнісіст па імі Бьерн|Борг
Швецкі навуковец, лаўрэат Нобелеўскай прэміі па эканоміцы|Улин
Швецкі навуковец, адзін з заснавальнікаў фізічнай хіміі. Нобелеўская прэмія (1903)|Арэніус
Швецкі навуковец-прыродазнавец|Линней
Швецкі фізік і астрафізік, Нобелеўская прэмія (1970)|Альвен
Швецкі фізік, лаўрэат Нобелеўскай прэміі|Далёкі
Швецкі фізік. Нобелеўская прэмія (1924)|Сигбан
Швецкі фізік. Нобелеўская прэмія (1981)|Сигбан
Швецкі фізіёлаг. Нобелеўская прэмія (1970, сумесна з Б. Кацем і Дж. Аксельродом)|Эйлер
Швецкі футбольны клуб|аик
Швецкі хімік і мінералог 18 ст., адкрыў кобальт|Брандт
Швецкі хімік і мінералог, першаадкрывальнік літыя|Арфведсон
Швецкі хімік, лаўрэат Нобелеўскай прэміі|Арэніус
Швецкі эканаміст і палітычны дзеяч. Нобелеўская прэмія (1977)|Улин
Швейная прыналежнасць|ніткі
Швейц. архітэктар 20 ст.|Мэйер
Швейц. біяхімік|Абдергальден
Швейц. генетык|Арбер
Швейц. прыродазнавец, філосаф|Боне
Швейц. мастацтвазнавец|Долт
Швейц. матэматык, фізік, астраном, працаваў у Расіі|Эйпер
Швейц. матэматык|Крамер
Швейц. пісьменнік, раман “Гульня ў пацеркі”|Гессе
Швейц. харчовая манаполія|нестле
Швейц. паэт, крытык|Бодмер
Швейц. філосаф 19 ст.|Авенариус
Швейц. хімік-арганік (1875–1939)|Ульман
Швейц. мастак|Беклин
Швейцар. страва: волкая ялавічына, обмакнутая ў кипящ. булён|фондю
Швейцарыя (горад у Еўропе)|Жэнева
Швейцарыя (горад у Еўропе)|Люцэрнаў
Швейцарыя (сталіца, цэнтр)|Берн
Швейцарыя, адміністрацыйны цэнтр полукантона Базель-Штадт (горад у Еўропе)|Базель
Швейцарыя, кантон, адм. ц. – Берн, на р. Аарэ|Берн
Швейцарск. жывапісец, карціна “Дзень”|Ходлер
Швейцарск. мастак, карт. “Шакаладніца”|Ліятар
Швейцарск. жывапісец, графік, экспрэсіяніст|Клеі
Швейцарск. хімік-арганік і біяхімік, Нобелеўск. прэмія 1937|Каррер
Швейцарскі адвакат, Нобелеўская прэмія свету (1902, сумесна з Э. Дюкомменом)|Гоба
Швейцарскі паветраплавальнік і акіянолаг|Пикар
Швейцарскі лекар 19 ст.|Мишер
Швейцарскі генетык. Нобелеўская прэмія (1978, сумесна з Д. Натансом і Х. Смітам)|Арбер
Швейцарскі жывапісец, аўтар вядомай карціны “Шакаладніца”|Ліятар
Швейцарскі жывапісец, пісьменнік, тэарэтык мастацтва|Фюсли
Швейцарскі вынаходнік батыскафа|Пиккар
Швейцарскі гісторык і нумізмат (1877–1956)|Вегели
Швейцарскі курорт|Ароза
Швейцарскі нумізмат (1870–1954)|Форрер
Швейцарскі грамадскі дзеяч. Нобелеўская прэмія свету (1901 сумесна з французскім эканамістам і грамадскім дзеячам Ф. Пасси)|Дюнан
Швейцарскі пісьменнік, аўтар рамана “Гульня ў пацеркі”?|Гессе
Швейцарскі пісьменнік, аўтар рамана “Гульня ў пацеркі”|Хессе
Швейцарскі пратэстанцкі тэолаг|Барт
Швейцарскі скульптар, разьбяр манетных штэмпеляў (1795–1877)|Бови
Швейцарскі навуковец, лаўрэат Нобелеўскай прэміі па фізіцы|Паули
Швейцарскі навуковец, лаўрэат Нобелеўскай прэміі па хіміі|Вернер
Швейцарскі фізік-тэарэтык. Нобелеўская прэмія (1945)|Паули
Швейцарскі фізік. Нобелеўская прэмія (1920)|Гільём
Швейцарскі фізік. Нобелеўская прэмія (1986, сумесна з Э. Руской і Г. Биннигом)|Рорер
Швейцарскі фізік. Нобелеўская прэмія (1987, сумесна з Й. Г. Беднорцем)|Мюлер
Швейцарскі фізіка-хімік|Гюи
Швейцарскі физикохимик. Нобелеўская прэмія (1991)|Эрнст
Швейцарскі фізіёлаг. Нобелеўская прэмія (1949)|Хесс
Швейцарскі хімік, Нобелеўская прэмія 1975|Прелог
Швейцарскі хімік-арганік (1875–1939)|Ульман
Швейцарскі хімік-арганік, сінтэзаваў нікацін (1903)|Пикте
Швейцарскі хімік-арганік. Нобелеўская прэмія (1937)|Каррер
Швейцарскі хімік-арганік. Нобелеўская прэмія (1975, сумесна з Дж. Корнфортом)|Прелог
Швейцарскі хімік. Нобелеўская прэмія (1948)|Мюлер
Швейцарскі хірург. Нобелеўская прэмія (1909)|Кохер
Швецыя, порт (горад у Еўропе)|Евле
Швецыя, порт на о-ве Гогланд (горад у Еўропе)|Висбю
Шавялюра сапраўднага казака|кучары
Шэдэўр ад іспанца Диего Веласкеса|менины
Шейкерных дзеў майстар|бармэн
Шыйнае ўпрыгожванне з камянямі|кулон
Шыйнае ўпрыгожванне з падвескамі спераду|калье
Шэкспіраўская гераіня, сталая спадарожнікам Урана|Порцыя
Шэкспіраўская эпоха?|рэнесанс
Шэкспіраўскі Лір|кароль
Шэкспіраўскі Атэла; пісьменнік Беларусі|маўр
Шэкспіраўскі Атэла|маўр
Шэкспіраўскі герой, сталы для закаханых юнакоў намінальным імем|Ромео
Шэкспіраўскі персанаж з драмы “Кароль Лір”|Лір
Шэкспіраўскі персанаж з драмы “Атэла”|Кассио
Шэкспіраўскі персанаж з камедыі “Два веронца”|Ланс
Шэкспіраўскі персанаж з камедыі “Тимон Афінскі”|Тимон
Шэкспіраўскі персанаж з трагедыі “Генрых IV”|Грудзі
Шэкспіраўскі тынэйджар, загінулы з-за каханні, замест таго каб “вучыцца, вучыцца і вучыцца”|Ромео
Ішоў цыбаты, у сыра зямлю ўграз. (загадка)|дождж
Шоўк-сырэц|грежа
Шаўковая акацыя; дрэвы і хмызнякі|альбиция
Шаўковая ці полушелковая тканіна з гладкай бліскучай асабовай паверхняй, стваранай адмысловым перапляценнем нітак|атлас
Шаўковая ці баваўняная тканіна|аксаміт
Шаўковая ці баваўняная тонкая мяккая тканіна?|шыфон
Шаўковая ці ваўняная тканіна для абіўкі мэблі, для парцьер|штоф
Шаўковая ці ваўняная тканіна з шурпатай паверхняй|мошаст
Шаўковая празрыстая тканіна|газ
Шаўковая тканіна з густым вертыкальным ворсам на асабовым боку?|аксаміт
Шаўковая тканіна з густым ворсам|аксаміт
Шаўковая тканіна з пераліўнымі на святла разводамі|муар
Шаўковая тканіна, захапленне якой разарыла Рымскую імперыю?|атлас
Шаўковая тканіна; тып натуральнага каучуку|мошаст
Шаўковая тканіна|смуга
Шаўковая тканіна|дужэў
Шаўковы плашч шляхетных жанчын Егіпту і наогул на Ўсходзе|габара
Шалупіна насення сланечніка|луска
Шалупіна, лупіна некаторых раслін|луска
Шэпт думкі?|намёк
Шэраг па сваёй сутнасці|шэраг
Шэраг па сваёй сутнасці|лад
Шерст. халат рускага селяніна|бравэрка
Шерстокрыл|кагуан
Поўсць 1-й стрыжкі ягня|паярак
Поўсць ангорскай пароды коз|мохер
Поўсць авечкі|руно
Поўсць ягня, атрыманая ад першай стрыжкі|паярак
Ваўняная ці баваўняная шчыльная тканіна з гладкай паверхняй|сукно
Ваўняная тканіна для паліто|фуле
Ваўняная тканіна палатнянага перапляцення для верхняй адзежы|цвід
Ваўняная тканіна з падоўжным рубчыкам|корд
Ваўняная, шаўковая ці баваўняная тканіна з ворсам|плюш
Ваўнянай безворсовый двухбаковы дыван ручной працы|килим
Шерстяный полаг авечкі, састрыжаны суцэльным пластом|руно
Тычка – арыенцір|вяха
Тычка ў поле для ўказання меж зямельных участкаў|вяха
Тычка ў поле для ўказання мяжы зямельнага ўчастку|тычка
На Поўначы: тычка для кіравання нартамі|остол
Тычка для кіравання аленямі; вершаваная ступня|тхароў
Тычка для кіравання аленямі|тхароў
Тычка з доўгага тонкага ствала дрэва|жэрдка
Тычка каюра для кіравання нартамі|остол
Тычка з арканам для злову канёў|укрюк
Тычка з лопасцю для веславання|вясло
Тычка з металічным круком і лязом|бусак
Тычка, якім кіруюць ездавымі аленямі, сабакамі|тхароў
Тычка, ашэстак пад столлю ад печы да процілеглай сцяны ў сялянскай хаце|града
Тычка, службовец рычагом пры ўзняцці цяжараў|падвага
Шасцёрка, якая б'е туза|козыр
Шасцікантовік|куб
Шасцідзесятая частка секунды|тэрцыя
Шестиног, які патрос кузена Бенедыкта з рамана “пятнаццацігадовы капітан” француза Жуля Дакладная|павук
Шосты месяц фр. респ. календара|вантоз
Шосты месяц французскага рэспубліканскага календара, які дзейнічаў у 1793–1805 гг.|вантоз
Шэсцьдзесят імгненняў вясны|хвіліна
Шчаціністы вожык|тенрек
Шэф на кухні|кухар
Шэф паліцыі пры Напалеоне Банапарце|Савари
Шэф, патрон|бос
Шэф, прыдатны і для зарадкі стрэльбы|патрон
Шыя (устар.)|шыя
Шырокая алея на гарадской вуліцы|бульвар
Шырокая алея пасярод гарадской вуліцы|бульвар
Шырокая вуліца, абсаджаная дрэвамі|бульвар
Шырокая спадніца на метал. абручах (19 ст.)|крыналін
Шырокая, звычайна прамая і доўгая вуліца|праспект
Шырока выкарыстоўваны аздобны матэрыял|пластык
Шыракаполы мужчынскі капялюш, якая была ў модзе ў 20-х гг. 19 ст.|балівар
Шырокія ўсходнія шаравары|шальвары
Шырокі рамень сядла, затягиваемый пад пузам каня|папруга
Шырокі вадаспад|катаракт
Шырокая гліняная пасудзіна|скарбонка
Шырокі мужчынскі плашч, быў у модзе напачатку 19 ст.|альмавіва
Шырокі плоскі канец чаго-небудзь|лопасць
Шырыня аконнага ці дзвярнога праёму|прасвет
Шырокая доўгая адзежа, якая апранаецца па-над іншай сукенкай|мантыя
Шибкая каханне па-руску|язда
Шык; блатная назва грошай|рызыка
Шык|рызыка
Дуплятае на прабітае|абмен
Шынель, згорнутая ў трубку для нашэння праз плячо|скатка
Шынель, згорнутая ў трубку і злучаная ў кольца|скатка
Шынельная тканіна|сукно
Шып для злучэння сталярных дэталяў|шкант
Шып, з дапамогай кот. злучаюць сталярныя дэталі|шкант
Шып, стрыжань, цвік, выступоўца на паверхні і ўваходны ў адпаведную свідравіну іншай паверхні для змацавання|шпень
Шипучий апельсінавы напой|фанта
Шыпячая асістэнтка факіра|кобра
Шырокі. верхн. кашуля; свободн. жонак. кофта|блуза
Шырокі. верхн. кашуля|блуза
Шырокая Масленіца|разгул
Шырокая белая паласа на галаве каня ад ілба да верх. вусны|лысіна
Шырокая драўляная лапата для ўборкі снега на вуліцах|рухавічок
