Песня групы “Кіно”. “І мне здаецца, сонца – не больш чым сон” (назва)|казка
Песня групы “Кіно”. “Струн провада, ток па руках, тэлефон на ўсе галасы кажа пакуль” (назва)|грук
Песня групы “Кіно”. “Сіняе неба, ды сонцы круг // Усё на месцы, ды штосьці не так” (назва)|зорка
Песня групы “Кіно”. “І калі ёсць порах, дай агню // Вось так” (назва)|зязюля
Песня групы “Кіно”. “Пачынаецца новы дзень // І машыны сюды-туды” (назва)|мурашнік
Песня групы “Кіно”. “Так шмат вясёлых дзяцей // І ўсё робяць ровар” (назва)|пытанне
Песня групы “Танцы мінус”. “Я крочу па праспекце, па вялікім горадзе. Я іду, таму што ў мяне ёсць ногі, я ўмею хадзіць і таму іду.” (назва)|горад
Песня групы “Торба-на-страмчэй”. “Ліст надрукавана прынтара-а-ам, фламастарам не атрымалася”. (назва)|інтэрнэт
Песня групы “Агата Крысці”. “Мы гуляем у што захочам // Мы зваліліся // І ляцім, і ляцім” (назва)|сыходжанне
Песня групы “Агата Крысці”. “Горш карай смерцю няма жыць занадта доўга” (назва)|сірата
Песня групы “Агата Крысці”. “Ты была адна, у хаце цішыня, не працаваў нават тэлефон” (назва)|істэрыка
Песня групы “Агата Крысці”. “Шчасце маё, чаму ты журышся // Хаваеш твар і маўчыш і маўчыш” (назва)|вольна
Песня групы “Агата Крысці”. “І дасведчаным байцам жудасна нялёгка // Ім сумленне не дае ці трасуцца рукі” (назва)|малітва
Песня групы “Агата Крысці”. “Мы выпілі жыццё, але не сталі мудрэй // Мы пражылі смерць, але не сталі маладзей” (назва)|дворнік
Песня групы “Агата Крысці”. “Брава, маркіза, што за месяц // Гультаявата, капрызная і халодная” (назва)|абардаж
Песня групы “Агата Крысці”. “Ціха ў ночы, чутны толькі тоненькі свіст // Радаснае храбусценне, жаласны плач” (назва)|гвалт
Песня групы “Агата Крысці”. “Праз сорак тысяч гадоў тулянняў // Вяртаўся вецер да старой мамы” (назва)|ураган
Песня групы “Агата Крысці”. “Яна цалуе без канца // Яго вар'яцкія вочы” (назва)|марак
Песня групы “Агата Крысці”. “Мы ідзём, мы ідзём, мы ідзём сабе ідзём // Мы ідзём, мы ідзём, мы ідзём за кайфам” (назва)|паход
Песня групы “Агата Крысці”. “Крывёй пырскаючы з вачэй // У пакуце перакрыўляючы рот // Ты ў першы раз цалуеш ... // Набіраючы зварот за зваротам” (назва)|бруд
Песня групы “Агата Крысці”. “Даследнік жыцця ідзе ў чужой прасторы // За чорнымі ачкамі вока яго адкрыты” (назва)|легіён
Песня групы “Агата Крысці”. “Мы занадта крэйды, мы занадта каханы // Не бачачы святла іншых планет” (назва)|скрыўленне
Альбом групы “Агата Крысці”.|опіум
Альбом групы “Агата Крысці”.|дэкаданс
Альбом групы “Агата Крысці”.|ураган
Альбом групы “Агата Крысці”.|цуды
Былы гітарыст групы “Кіно”, удзельнік групы Вячаслава Бутусова – “Ю-Піцер”, імя Юры.|Каспарян
Да “Кіно” Віктар Цой уваходзіў у склад групы “Гарин і ...”.|гіпербалоіды
Ўдзельнік першага складу групы “Кіно”, імя Аляксей.|Рыбін
Удзельнік другога складу групы “Кіно”, імя Георгій.|Гур'янаў
Удзельнік другога складу групы “Кіно”, імя Аляксандр.|Цітоў
Басісты групы “Кіно”, імя Ігар.|Ціхаміраў
Раман Сяргея Лукьяненко пра ключнікоў і вандраванне па сямі планетам.|спектр
Раман Сяргея Лукьяненко пра працаўніка станцыі – пераходу паміж светамі.|чарнавік
Раман Сяргея Лукьяненко.|геном
Раман Сяргея Лукьяненко.|калекі
Аўтар рамана “Абралы бездань”, імя Вадзім.|Арчер
Пісьменнік, аўтар цыклу “Таемны горад”, імя Вадзім.|Паноў
Аўтар кнігі “Маскоўскі клуб”, імя Вадзім.|Паноў
Аўтар кнігі “Пахаваеце мяне за ліштвой”, імя Павел.|Санаев
Даследнік Афрыкі (1813–73), адкрыў вадаспад Вікторыя, імя Давыд.|Ливингстон
Выкарыстанне кампутара для інтэграцыі тэксту, графікі, vidео, анімацыі і гуку.|мультымедыя
Девайс, у якім утрымоўваецца розум тачкі (а не ў мазгах, як падумалі шматлікія). Выклікае здзіўленне ў дзяцей, старых і імбрычкаў.|шруба
Жаргонная назва мадэма.|момед
Як клікалі чыюка з мультыка пра Аладдина?|Яго
Як клікалі злога памагатага караля з мультыка пра Аладдина?|Джафар
Сусветнае павуцінне|інтэрнэт
Якое дзеянне выконваў у адносінах да рашэнняў чалавек з анекдота, праца якога была сартаваць апельсіны, што даводзіла яго да сталага стрэсу?|прыняцце
(разг.) Той, хто кахае спаць ці шмат спіць.|соня
Традыцыйная японская адзежа не мае кішэняў. Таму для нашэння прадметаў служылі мініяцюрныя скульптуры, якія завуцца ...|нэцкэ
Малдаўскі дзяржаўны камбінат “Малыя милешты” занесены ў кнігу рэкордаў Гинесса як уладальнік найбуйнай у свеце калекцыі ...|вінаў
Яго задаюць, калі адкуль-небудзь уцякаюць.|драпак
Рэчыва з кнігі Герберта Уэллса “Першыя людзі на месяцы”, якое было непранікальным для сілы цяжару.|кейворит
Слова, утворанае ад греч. “лодка” + “чалавек”.|скафандр
Ядро кампутарнай сістэмы, якое выконвае вызначаны набор функцый|рухавічок
(Ад сокр. ангел. “сувязі з грамадскасцю”) Комплекс мерапрыемстваў па пасоўванні паняцця, чалавека, грамадскага руху, партыі і т. д. (просты., журн.)|піяр
Кіраўнічая дзейнасць, накіраваная на ўсталяванне ўзаемавыгадных, гарманічных адносін паміж арганізацыяй і грамадскасцю, ад якой залежыць поспех функцыянавання гэтай арганізацыі.|піяр
Мастацтва фармавання спрыяльнага стаўлення грамадскасці да фірмы шляхам стварэння ўяўлення пра тое, што фірма выпускае і прадае тавар толькі ў інтарэсах пакупніка, а не дзеля атрымання прыбытку.|піяр
Апошняя чарка алкагольнага напоя перад растаннем.|адыходак
У 1810 году псіхіятр Раш сканструявала адмысловае драўлянае крэсла для пакоры буяных хворых. Крэсла ўжо даўно забыты, а вось назва засталася. Як жа звалася гэта крэсла?|транквілізатар
Якой з хімічных індыкатараў з'яўляецца распаўсюджаным слабільным?|фенолфталеін
З сучаснага пункта гледжання, галаўны мозг чалавека выконвае мноства функцый. У сярэднія вякі погляд на гэта быў некалькі іншым. Па меркаванні сярэднявечнай царквы функцыяй галаўнога мозгу было вылучэнне ...|насавой слізі
На гербе якога горада ёсць надпіс: “Яго пампуе, але ён не тоне”?|Парыж
Адзіны які дайшоў да нас раман гэтага вядомага француза завецца “Клиссон і Эжени”.|Напалеон
Назавіце фрукт, у якім утрымоўваецца найвялікае, у параўнанні з іншымі, колькасць каратынаў?|абрыкос
Чым, па меркаванні Альберта Эйнштэйна, будуць ваяваць людзі ў чацвёртай сусветнай вайне, калі ў трэцяй сусветнай вайне яны замануцца ваяваць атамнымі бомбамі?|дубцамі
Паводле шатландскага поверию, гулец у карты, калі жадаў, каб яму везла, павінен быў насіць з сабой зуб ...|барсука
Ў 1905 Отто Хан “адкрыў радиоторий”. Факт выклікаў многочисл. спрэчкі, а прафесар Болтвуд напісаў, што элемент уяўляе сабою злучэнне торыя з ...|дурасцю
Ў сталіцы Францыі Парыжы ёсць помнік вялікаму раманісту Аляксандру Дзюма. Побач з постаццю пісьменніка на пастаменце знаходзіцца постаць яшчэ аднаго чалавека. Хто гэты чалавек?|д'Артаньян
Які знак, які мае непасрэднае стаўленне да нашай краіны, ёсць на гербах некаторых афрыканскіх краін, напрыклад Анголы, Мазамбіка?|аўтамат калашнікава
Ламаносаву за оду ў гонар Лізаветы было падаравана ва ўзнагароду з казны 2000 рублёў. Чым ён атрымаў іх, калі спатрэбілася дзве фурманкі для перавозкі дзвюх тон грузу?|медзякамі
Які выгляд жывёл найболей блізкі да чалавека па структуры нервовай сістэмы, у тым ліку і галаўнога мозгу?|дэльфін
Назва гэтай прылады па-этымалагічнаму злучана з першабытным спосабам рахунку з дапамогай камянёў і адбываецца ад лат. “камень”, “каменьчык”.|калькулятар
Хто з'яўляецца аўтарам выказвання: “Усякае вынаходства складаецца з 99% транспірацыі (паценні) і толькі 1% інспірацыі (натхненні)”?|Эдысан
Чым, па меркаванні лаур. Ноб. інш. Леаніда Канторовича, павінен сілкавацца чалавек, каб максімальна задавальняць запатрабаванні арганізма ў вавёрках, тлушчах, вугляводах, вітамінах і мінералах пры мінімуме мацюк. выдаткаў?|капустай
Спачатку СНІД звалі хваробай трох Г: Гаіці (пачатак распр. эпідэміі), гераін, гомасэксуалізм. Потым дадалі яшчэ Г. Што яна азначае?|гемафілія
Як прозвішча таго першага і, мабыць, адзінага амерыканца, якога Адольф Гітлер узнагародзіў Вялікім Крыжом Германскага Арла?|Форд
Паспрабаваўшы ў гасцях стравы адной гаспадыні, Бярнард Шоў заўважыў: “Лекары хаваюць свае памылкі пад зямлёй, архітэктары пад плюшчом, а гаспадыні пад ...”|маянэзам
То, з дапамогай чаго на адной ам. фабрыцы кожнае пакаванне брыкету-канцэнтрату кашы з разынкамі праходзіць старанны кантроль, ацэньвальны раўнамернасць размеркавання разынак па ўсім аб'ёме кашы.|рэнтгенаўскі апарат
У 1738 году (г.зн. на 4 гады раней Цэльсія) нейкім навукоўцам была прапанавана стоградусная шкала практычна ў тым выглядзе, у якім мы выкарыстоўваем яе сёння. Як прозвішча гэтага навукоўца?|Линней
Які мінерал, паводле старажытнарускіх павер'яў, здольны “ўтрымліваць і вылечваць чалавека, які носіць пры сабе гэты камень, ад п'янства і заспяваючы”?|аметыст
Як вядома, фіны завуць сваю краіну “Суоми”. А што азначае гэта слова ў перакладзе з фінскай мовы?|балота
Першыя звесткі пра изгот-нді наручных гадзін ставяцца да 1809 году, калі парыжскі ювелір Нітон вырабіў па замове жонкі Напалеона два аднолькавых бранзалета з золата, украш. жэмчугам і драг. камянямі. На адным былі гадзіны, а на другім?|каляндар
Які чалавечы орган філосаф Феербах лічыў “няўдзячным” органам і зваў “чалавечай сутнасцю”, бо ён не памятае зробленага яму “дабра”?|страўнік
З 1952 гады на некаторых палях Каліфорніі для барацьбы з пустазеллямі выкарыстоўваюць адмысловую пароду гэтых жывёл. І, хоць яны ядуць не ўсе пустазеллі, ужо тыя, якія даводзяцца ім па гусце, знішчаюць лепш любога чалавека-палольшчыка.|гусакі
Ўсім вядома выраз “талер маленькі, а даражэнькі”. А колькі грам важыць адзін залатнік?|4,27
Працягнеце, калі ласка, выказванне Імануіла Канта: “У кожных ведах ёсць гэтулькі навукі, колькі...”|матэматыкі
Здымаючы тэлефонную трубку, мы звычайна кажам “Ала!”. Гэта скажонае часам англа-саксонскае “хал бео тую” – “будзь здаровы”, – выкарыстоўваюць у гэтым выпадку таксама амерыканцы, французы і ангельцы. А што часцей за ўсё кажуць, адказваючы на званок тэлефона, італьянцы?|гатовы
Ў рачнога рака маюцца дзве пары вусікаў: доўгія і кароткія. Для чаго служаць кароткія вусікі?|нюх
Канадскія ўлады мадэрнізавалі дарожныя знакі на хуткасных аўтастрадах, каб зрабіць іх зручнейшымі для ўспрымання кіроўцамі на вялікай хуткасці. Іх зрабілі... Якімі?|выпуклымі
Элемент з парадкавым нумарам 104 атрымаў у нашай краіне назва Курчатовій. А якая назва далечы гэтаму элементу амерыканскія навукоўцы?|рэзерфордый
Рэлігійнае вучэнне пра стварэнне свету богам з нічога.|креационизм
Раней гэта слова пазначала межреберное прастора, а таксама ўнутранасці забітага паляўнічымі жывёлы, змешчаныя за рэбернымі косткамі. Але ўжо 900 гадоў назад у Іпацьцеўскім летапісным спісе яно ўжывалася ў якасці лаянкі.|поскудзь
Скончыце чатырохрадкоўе Давыда Самойлова: “Ляжыць на пляжы паралон, // На паралоне Парамон, // На Парамоне плаўлення. // Які сюжэт...”|для Кафки
(перен.) Адхіленне ад нормы, памылка.|аберацыя
(перен. разг.) Тыя, хто даўно жывуць, працуюць ці вучацца дзе-або|першабытнікі
(перен.) Давер, хвала, падтрымка, якія выяўлены ці выказаны загадзя і патрабуюць апраўданні ці пацверджанні ў будучыні.|аванс
(перен.) Вядучыя, перадавыя пазіцыі.|авансцэна
(перен. разг.) Неспадзяваны збег акалічнасцяў, якое прыводзіць да няўдачы ў якой-небудзь справе ці прадпрыемстве.|аварыя
(перен.) Той, хто звяртае ў таямніцу свае адмысловыя веды ці хто робіць выгляд, што прысвечаны ў адмысловыя таямніцы (звычайна з адценнем іроніі).|аўгур
(перен. разг.) Тэрміновая ліквідацыя адставання, нагонка выпушчанага.|аўрал
(перен.) Той, хто паступае не думаючы, робіць штосьці механічна, машынальна.|аўтамат
(перен. разг.) Адзнака, атрыманая навучэнцам, студэнтам без дадатковай праверкі набытых імі ведаў і заснаваная на асабістай упэўненасці выкладчыка ў дастатковасці гэтых ведаў.|аўтамат
(перен.) Рахманы, паслухмяны чалавек.|ягня
(перен.) Апошнія спробы выратаваць сябе напярэдадні паразы ці краху.|агонія
(перен.) Становішча, сітуацыя, умовы, знаходжанне ў якіх пакутліва, невыносна.|пекла
(перен. разг.) Той, хто заступаецца за каго-або|адвакат
(перен. разг.) Выканавец чыіх-або даручэнняў (звычайна з адценнем іроніі ці жартаўлівасці).|ад'ютант
(перен. разг.) Ідэальны парадак.|ажур
(перен. разг.) Тое, што ўсім вядома, усімі прызнана.|азбука
(перен. разг.) Той, хто добра разбіраецца ў якой-небудзь справе (звычайна з адценнем жартаўлівасці).|акадэмік
(перен.) Дзеянне, з'ява, суправаджалае штосьці, якое стварае фон для чаго-небудзь|акампанемент
(перен.) Тое, што назапашвае, збірае ў сабе штосьці|акумулятар
(перен.) Прыватнасць, падрабязнасць, якія суправаджаюць галоўнае і з'яўляюцца яго прыналежнасцю.|аксэсуар
(перен.) Той, хто, прыкідваючыся, малюючыся, імкнецца здавацца не такім, які ў рэчаіснасці.|акцёр
(перен. разг.) Поспехі, дасягненні чые-або, чаго-небудзь|актыў
(перен.) Вылучэнне, падкрэсленне таго, што з'яўляецца найболей важным, істотным.|акцэнт
(перен.) Абагульненая схема якой-небудзь дзейнасці.|алгарытм
(перен.) Штосьці надзвычай каштоўнае, выдатнае, вылучнае.|дыямент
(перен.) Месца, якое выклікае глыбокая павага.|алтар
(перен.) Карысталюбства.|сквапнасць
(перен.) Гарачае жаданне чаго-небудзь, імкненне навошта-або|сквапнасць
(перен.) Спалучэнне, злучэнне чаго-небудзь разнастайнага.|амальгама
(перен. устар.) Смачная, вытанчаная ежа.|амброзія
(перен.) Тое, што знаходзіцца паміж крайнімі праявамі чаго-небудзь|амплітуда
(перен.) Становішча, роля ў грамадстве, круг заняткаў, інтарэсаў.|амплуа
(перен.) Штосьці (рэльеф мясцовасці, будынкі і т. п.), паступова якое ўзвышаецца ў выглядзе паўкружжа ці круга.|амфітэатр
(перен.) Часавае зніжэнне актыўнасці, спыненне якой-небудзь дзейнасці ў чалавека.|анабіёз
(перен.) Унутраны будынак, нябачная прылада чаго-небудзь|анатомія
(перен.) Рэзкае асуджэнне каго-або, чаго-небудзь|анафема
(перен.) Употр. як лаянкавае слова.|анафема
(перен.) Той, хто жыве адасоблена, замкнёна.|анахарэт
(перен.) Той, хто з'яўляецца ідэалам, увасабленнем, увасабленнем чаго-небудзь дадатнага.|анёл
(перен.) Той, хто клапоціцца пра іншае, апякуе слабога, пакрыўджанага.|анёл-захавальнік
(перен.) Людзі з рэзка выдатнымі, процілеглымі поглядамі, густамі ці рысамі характару.|антыподы
(перен. разг.) Перапынак у якім-небудзь дзеянні, працэсе і т. п.|антракт
(перен. разг.) Вялікі поспех, суправаджалы спектакль, канцэрт і т. п.|аншлаг
(перен.) Вышэйшая кропка, лімітавая ступень развіцця чаго-небудзь|апагей
(перен.) Блазан, блазан.|арлекін
(перен. разг.) Спартовае змаганне.|баталія
(перен. устар.) Складанне, меркаванае аўтарства якога не пацверджана і малаверагодна.|апокрыф
