Штат у Бразіліі|Амапа
Штат у Індыі; комп. групы “Lеd Zерреlin”|Кашмір
Штат у Індыі|Аджмир
Штат у Індыі|Бихар
Штат у Індыі|Гоа
Штат у Індыі|Кач
Штат у Індыі|Кашмір
Штат у Індыі|Керала
Штат у Індыі|Орисса
Штат у Індыі|Сикким
Штат у Мексіцы?|Чиуауа
Штат у ЗША, адміністрацыйным цэнтрам якога з'яўляецца горад Остин|Тэхас
Штат у ЗША, у якім пабудавалі самы высокі ў свеце фантан (160 м)|Арызона
Штат у ЗША, дзе рэгулярна лінчавалі неграў|Алабама
Штат у ЗША, дзе забіваюць прэзідэнтаў|Тэхас
Штат у ЗША, запомніўся кукурузнымі клопатамі Н. С. Хрушчова|Аёва
Штат у ЗША; прыток Місісіпі|Агаё
Штат у ЗША?|Тэхас
Штат у ЗША?|Юта
Штат у ЗША|Аляска
Штат у ЗША|Гаваі
Штат у ЗША|Канзас
Штат у ЗША|Арэгон
Штат у цэнтральнай частцы Мексікі|Агуаскальентес
Штат у цэнтральнай частцы ЗША|Аёва
Штат з кинокомедии “У джазе толькі дзяўчыны” з Мэрилин Монро ў галоўнай ролі?|Фларыда
Штат на захадзе ЗША|Невада
Штат на поўначы Атлантычнага ўзбярэжжа ЗША|Мэн
Штат на поўначы Бразіліі|Акри
Штат на поўначы ЗША|Агаё
Штат на паўночным усходзе Бразіліі|Пиауи
Штат на паўночным усходзе Індыі|Ассам
Штат на паўночным усходзе ЗША|Агаё
Штат на паўночным захадзе ЗША, пляц 216 тыс. квадратных км?|Айдаха
Штат на поўдні ЗША|Алабама
Штат на поўдні-захадзе ЗША?|Арызона
Штат святароў пры праваслаўнай царкве|клір
Штат, дзе адбываецца дзеянне шматлікіх вестэрнаў|Тэхас
Штатная сталіца Мексікі|Толука
Штатны сатырык цара Гароху|блазан
Штатны хлопальщик пры Нероне|клакёр
Штэмпель для выдушвання малюнкаў на металічных вырабах|чакан
Штэмпель для выдушвання малюнкаў на паверхні металічных вырабаў?|чакан
Шцірліц у свету|Ціханаў
Штыль, супакаенне|супакой
Шцірліц у лесе напароўся на ... . Сукі з віскам разбегліся. (анекд.)|сук
Шторки на галаве запражнога каня, якія дазваляюць бачыць толькі дарогу наперадзе|набадры
Шторм з дакладнасцю да наадварот|штыль
Штармавая адзнака|бал
Запавесы ці аканіцы з цвёрдых папярочных паралельных пласцінак|жалюзі
Штраф у адсотках ад асноўнага плацяжу ці іншага абавязання, што налічаецца за час пратэрміноўкі аплаты, выкананні працы і т. п.|пяня
Штраф за невыкананне ў тэрмін якіх-небудзь абавязанняў|пяня
Штраф за невыкананне ў тэрмін усталяваных законам ці дамовай абавязанняў|пяня
Штраф за недабор хабараў у картачнай гульні|лабет
Штраф за няўчасную плату|пяня
Штраф за забойства на Русі|віра
Штрафная плата за забойства вольнага чалавека ў карысць князя ў Старажытнай Русі|віра
Штрафны кідок у хакеі|буллит
Штрафны ўдар у хакеі|буллит
Штрафны|удар
Рыскі і цифирки на пакаванні|код
Штука капусты?|відэльцаў
Тынкоўшчык. прылада|разак
Футра на меха і з верхам з меха|даха
Шулер пры гульні ў косткі|алыра
Шулерская разметка кашуль ігральных карт|крап
Шулерский пярсцёнак|сутер
Шум марскога прыбоя|вуркатанне
Шум ад удараў ног|тупат
Шум, бязладзіца – Садом, афёра – Панама, трушчобы – Шанхай, а крыніца нечуванага ўзбагачэння?|Кландайк
Шум, які дорага варта|музыка
Шум, крык, гам|ор
Шум, ствараны шматлікімі галасамі|гоман
Шум, гукі ад удараў па вадзе|плёскат
Шумеў ... , дрэвы хіліліся, і ночка цёмная была|чарот
Шуміха, штучнае ажыўленне, часовы ўздым|бум
Шумливая група людзей, чарада|гурт
Шумная кухонная звада|сварка
Шумная песня святочных застолляў|чарот
Шумны натоўп, зборышча|чарада
Шумная балотная расліна|чарот
Шумнае стварэнне А. С. Папова|радыё
Шумнае рэшата|грукат
Шумнае зборышча|кагал
Шумнае, крыклівае зборышча, збор (ирон.)|шабас
Шумны перапалох, мітусня|буча
Шумны публічны поспех|фурор
Шумны поспех, бурная публічная ўхвала|фурор
Шумны, бліскучы поспех|фурор
Шумы ў дыхальных органах|хрып
Шуры-муры на высокім узроўні|каханне
Блазан (устар.)|гаер
Блазан у рамане А. Дзюма “Графіня дэ Монсоро”|Шыка
Блазан, бяскарна біццёвы караля|джокер
Блазан, блазан (первонач. у народным итал. тэатры)|блазан
Жарт КВЗ: “Мілыя дзяўчыны, дурное хвалявацца з-за нейкіх там плям, трэба хвалявацца калі ...”|іх няма
Жарт, розыгрыш, прыкол|жарт
Жарт: “Іх трэба мець дзве пары, другую апранаць, каб знайсці дзве першых”|ачкі
Жартаўлівая выхадка, грубіянскі жарт|фарс
Жартаўлівая прыказка: Сямейнае шчасце – гэта калі жаданні жонкі супадаюць з ... мужа?|магчымасцямі
Жартаўлівая мянушка М. Лермантава|маешка
Жартаўлівы, сатырычны малюнак чалавека|шарж
Жартаўнік з акцёрскім дыпломам|комік
Жартаўнік, гуляка|палярны хмызняк
Жартаўнік, які можа балюча ўпароць мовай|жартаўнік
Жартаўнік-прафесіянал|блазан
Жартаўнікі кажуць, што калі выняць корань квадратны з аўтамабіля, тое атрымаецца... Што?|ровар
Штукарская выхадка?|здзекі
Блазнерства, блазнаванне?|буфанада
Жартоўная гульня|фант
Жартоўная пьеска для 2-3 выканаўцаў|скетч
Жартоўны малюнак чалавека?|шарж
Жартоўны ці сатырычны малюнак каго-небудзь з карыкатурным падкрэсленнем найболей характэрных вонкавых рыс|шарж
Жартоўны ці сатирич. партрэт|шарж
Шхуна русск. экспедыцыі Э. Толля|світанак
Шчыліна, вузкае паглыбленне на паверхні|расколіна
Шчанюк сабакі (простореч.)|шчанё
Шчотка для чысткі бутэлек, бутляў, лямпавых шклоў|ёрш
Шчочка, якой ці наўрад атрымаецца футбалісту забіць гол|ягадзіца
Франт, франт|дэндзі
Шчакасты мяшэчнік (зоологич.)|хамяк
Шчолачнае крышталічнае рэчыва|сода
Щелочноземельный метал|барый
Щелочноземельный метал|радый
Шчолачны метал?|літый
Шчолачны метал|цэзій
Шчыліна, выманне, у якую ўстаўляецца выступ іншага прадмета пры змацаванні|паза
Шчанюк|цуцик
Дранка, деревян. аснова казачага сядла, гарбатага подсядзёлка|арчак
Друзачка пад скурай|стрэмка
Шчотка для чысткі ствала|баннік
Шчотка з металлич. іголкамі для расчесывания стрыжанай поўсці|карда
Шчыпковая музычная прылада народаў Сярэдняй Азіі|дутар
Шчыпковая музычная прылада, сваяк бандуры|тарбан
Шчыт Бога Зеўса ў старажытнагрэцкай міфалогіі?|эгіда
Шчыт Зеўса, знак заступніцтва і гневу богаў|эгіда
Шчыт для інфармацыі на стадыёне|табло
Шчыт для агляду экспанатаў|стэнд
Шчыт для аб'яў|дошка
Шчыт, які засцерагае прыбор, чалавека ад шкоднага ўплыву выпраменьванняў|экран
Шчыт, пульт з прыборамі, плоскі асабовы бок корпуса прыбора, прылады з органамі кіравання|панэль
Шчыт, стойка для месцавання экспанатаў выставы|стэнд
Шчыт, стойка для месцавання экспанатаў, газет і т. п.|стэнд
Шчыткі, якія абмяжоўваюць поле зроку каня|набадры
Шчыток на дзяржальні шпагі для абароны рукі|гарда
Шчупак, стронга, дэльфін, барракуда. Я пералічыў усе тыпы амерыканскіх... Чаго?|падводных лодак
