Асобнік, індывід|асобіна
Экзатычнае паляванне|сафары
Экзатычны звер на гербе горада Іркуцка (у адказе не памылка друку)|бабр
Экзатычны фрукт з касматай свідра-зялёнай скуркай|ківі
Экзатычны фрукт|анона
Экзатычны фрукт|гуаява
Ікебана па-руску|букет
Экіпаж у адну мамчыну сілу|калыска
Экіпаж са старадаўняга жыцця|каламажка
Экіпаж, на якім Чацкий з'ехаў з фамусовского хаты|карэта
Эклерный напаўняльнік|крэм
Эканамічная катэгорыя?|капітал
Эканамічная сталіца Емена, адміністрацыйны цэнтр мухафазы Аден (горад у Азіі)|Аден
Эканамічны і культурны цэнтр Іранскага Азербайджана|Тэбрыз
Эканамічны паказчык, які адлюстроўвае адносная змена сярэдняга ўзроўня коштаў|індэкс
Экранізаваная аповесць В. Пановой|Сярожа
Экранізаваная аповесць Максіма Горкага|трое
Экранізаваны аповяд А. П. Чэхава|Ионыч
Экранізаваны аповяд М. Горкага|мальва
Экс-свечка|недагарак
Экс-мужа амерыканскага прэзідэнта Джона Кэнэдзі, якая выйшла замуж за легендарнага мільярдара Аристотелеса Онасиса|Жаклин
Экс-чэмпіёнка свету па шахматах|Быкава
Экскрыменты|кал
Экскурсавод|гід
Экспедыцыйнае палярнае судна Ф. Нансена|фрам
Экспедыцыя падводных прац адмысловага прызначэння|эпрон
Эксперымент?|досвед
Экспарт|вываз
Экстензо, кароткі выклад утрымання часткі твора|абреже
Эксцэнтрычны парны побытавы танец з характэрным рухам сцёгнаў імправізацыйнага характару|твіст
Эксцэнтрычны парны танец|шейк
Эксцэнтрычная эстрадная музыка|рок
Электросоединительная арматура|штэпсель
Электрабытавы прыбор, які дапамагае прыбіраць у кватэры|пыласос
Электравакуўмны прыбор для ўзмацнення ЗВЧ ваганняў|амплітрон
Электравакуўмны прыбор, у якога ток у вызначаным дыяпазоне напружанняў практычна сталы|барэтар
Электравакуўмны прыбор|гиротрон
Электравакуўмны прыбор|клистрон
Электрод біпалярнага транзістара|эмиттер
Электрарухавік, што запускае рухавік аўтамабіля|стартар
Электрадынамічны гучнагаварыцель, у якім акустычную мембрану рухае шпулька з токам у магнітным полі|дынамік
Электравымяральны прыбор|ватметр
Электралітычнае нанясенне павярхоўнага меднага пласта|меднение
Электрамагнітная хваля|гелікон
Электрамагнітная прылада, прызначанае для індукцыйнага нагрэву|індуктар
Электронная фотанаборная машына|альфатип
Электронна-прамянёвая трубка тэлевізара|кінескоп
Электронны прыбор для ўзмацнення і генераванні ваганняў ЗВЧ|клистрон
Электрапрыбор|вібратар
Электрич. шпулька ў форме цыліндру з вялікім лікам віткоў у абмотцы|саленоід
Электрич. кантактная прылада, однополюсная відэлец|штеккер
Электрич. муз. прылада (сконстр. Римск.-Корсаковым)|эмиритон
Электрычны аналог сталага магніта: рэчыва-дыэлектрык, якое захоўвае электрызацыю|электрэт
Электрычны правадыр у выглядзе стрыжня ці пласціны|электрод
Элемент садовага ўчастку|загарадзь
Элемент рыштунка турыста|намёт
Элемент адзежы, выкарыстоўваны пры працы па хаце|фартух
Элемент афармлення памяшкання для гандлю і дэманстрацыі|вітрына
Элемент радыёпрымача|рэзістар
Элемент VI групы (хим.)|кісларод
Элемент драўлянай прыгоннай сцяны ў ХV–ХVII стст.|городня
Элемент паравога апалу|батарэя
Элемент падвескі корпуса аўтамабіля|рысора
Элемент падрыхтоўкі скаковой коні напярэдадні выступы|подгалоп
Элемент працэсара, вочка памяці для захоўвання апрацоўваных дадзеных (комп.)|рэгістр
Элементарная часціца з дадатным зарадам і масай, роўнай масе электрона|пазітрон
Элементарная часціца|гравітон
Элементарная часціца|мюмезон
Элементарная часціца|нейтрон
Элементарная часціца|нуклон
Элементарная часціца|фермион
Элементарная часціца|электрон
Эластычная пракладка, змяшчаная ў друкаваных машынах для выраўноўвання ціску|дэкель
Эластычная праслойка ў друкаваных машынах паміж паверхняй, якая прыціскае паперу, і друкаванай формай|дэкель
Эластычны матэрыял; горад у Малдавіі|гума
Эластычны матэрыял|гума
Электр. кабель|провад
Электр. кат у ЗША|крэсла
Электрык падводнага свету|пахіл
Электрычная адзінка|ампер
Электрычная іскра|разрад
Электрычная машына для ўзмацнення слабых токаў і магутнасці|амплідзін
Па-электрычнаму зараджаная часціца, аніён|іён
Электрычны вентылятар для сушкі валасоў; цёплы і сухі вецер|фен
Электрычны ці газавы пераносны прыбор для падрыхтоўкі ежы|плітка
Электрычны абагравальны прыбор?|камін
Электрычны абагравальны прыбор?|электрокамин
Электрычны прыбор для падачы гукавых сігналаў|зумер
Электрычны прыбор для падсмажвання лустачак хлеба|тостар
Электрычны прыбор для сушкі валасоў?|фен
Электрычны провад у ізалявальнай абалонцы|шнур
Электрычны провад|кабель
Электрычны правадыр, які далучаецца паралельна вымяральнаму прыбору ці інш. участку ланцуга для адгалінавання току ў яго абыход|шунт
Электрычны разрад|іскра
Электрычны святы|Эльм
Электрычны ліхтар у перадпакоі, а часам і ў задняй частцы транспартнай, сельскагаспадарчай, дарожна-будаўнічай і інш. машыны|фара
Электрычны ліхтар для асвятлення аўтадарогі?|фара
Электрычны ліхтар на транспартным сродку для асвятлення дарогі|фара
Электрычны ліхтар з адбівальнікам у пярэдняй ці задняй частцы транспартнага сродку|фара
Электрычная кантактная прылада для кіравання чыгуначнымі сігналамі|педаль
Электрычная адукацыя ахоўнага пакрыцця на металічных вырабах|анадаванне
Электрычная прылада для жарения ці выпечкі|грыль
Электра- і цеплаізаляцыйны матэрыял|фібра
Электрабытавы прыбор; спорт. снарад (керлинг)|прас
Электравакуўмны прыбор|лямпа
Электравакуўмны прыбор|митрон
Электравакуўмны прыбор|титрон
Электрод радыё- ці электратэхнічнага прыбора|анод
Электрод электрычнага прыбора|анод
Электродуховка для гарачыя на ражне ці рашотцы?|грыль
Электравымяральны прыбор?|авометр
Электравымяральны прыбор|омметр
Электролитич. спосаб выраба офсетн. печатн. формаў|алькупринт
Электрамагнітнае выпраменьванне?|святло
Электрамагнітныя хвалі ў інтэрвале чашчынь, успрыманых чалавечым вокам|святло
Электрамагнітныя хвалі даўжынёй ад 10 да 200 метраў?|кароткія хвалі
Электрамагнітны прыбор для падачы гукавых сігналаў|зумер
Электрамагнітны прыбор|рэле
Электрамашына магутнасцю з чашчынёй кручэння ротара да 30 тыс. пра.|микроэлектродвигатель
Электромашинный узмацняльнік|амплідзін
Электрамеханічны прыбор для прайгравання гуку, запісанага на грамкружэлках?|адаптар
Электронная лямпа ці транзістар|трыёд
Электронная лямпа|гексод
Электронная лямпа|гептод
Электронная лямпа|дыёд
Электронная лямпа|пентод
Электронная лямпа|эннод
