Эфіёпская срэбная манета|бер
Эфіёпскі імператар|негус
Эфирномасличное расліна|шалвея
Эфіра-алейная расліна|лаўр
Эфиромасл. расліна|айован
Эфиромасличная культура, рэзкая затаўка?|кмен
Эфиромасличное духмяная расліна, исп. у парфумерыі|ионон
Эфиромасличное лек. расліна, ад укусу змей|крапінец
Эфиромасличное расліна, рэзкая затаўка|иссоп
Эфіранос, з ядомымі пладамі; дрэвы і хмызнякі|лох
Эфироносное расліна з дробнымі кошыкамі кветак, з моцным пахам і горкім густам|палын
Эфироносный хмызняк ці дрэўца з вузкім доўгім лісцем і ядомымі ягадамі|лох
Эффективн. перадача энергіі ваганняў і рост іх размаху пры супадзенні чашчыні собствен. колеб. сістэмы з чашчынь. колеб. внешн. воздейст. (физ.)|рэзананс
Эфект пры відэаздымцы|наезд
Эфектыўны элемент парнага фігурнага катання на каньках|тодес
Эфектнае калена ў народных скоках|притоп
Эфектны нумар у цырку, на эстрадзе|атракцыён
Эфектны нумар праграмы цыркавога ці эстраднага ўяўлення|атракцыён
Эфектны ўчынак, штосьці, зробленае з адмысловым сэнсам|жэст
Эффузивная горная парода|альбитофир
Эффузивная асноўная горная парода|дыябаз
Эх, добры быў кінарэжысёр|Быкаў
Рэха зарплаты|пенсія
Ю. вецер у Афрыцы, на Блізкім Усходзе|хамсин
Ю.-амерыканскі гривастый воўк|чака
ПАР (горад у Афрыцы)|Боксбург
Юрыдычная кантора|натарыят
Юрыдычнае ці фізічная асоба, якое мае запазычанасць дадзенаму прадпрыемству|дэбітор
Юрыдычная асоба, што атрымлівае ў абавязак гроша, каштоўнасці на вызначаных умовах|пазычальнік
Юрыдычная кантора|пракуратура
Спадніца, якая пашыраецца званом на падтрымных яе знутры тонкіх абручах|крыналін
Спадніца балярыны; чарка, стос паперы|пачак
Спадніца ў Беларусі (з ваўнянай шматколернай тканіны)|андарак
Спадніца з трох палотнаў ваўнянай, звычайна паласатай ці клецістай яркай тканіны, носная сялянкамі|андарак
Спадніца на китовом вусе|фижма
Спадніца на тонкіх абручах?|крыналін
Спадніца, сукенка кароткай даўжыні|міні
Спадніца, сукенка найменшай даўжыні|міні
Спадніца, сукенка, паліто найвялікай даўжыні|макси
Спадніца, сукенка, паліто сярэдняй даўжыні|міді
Спаднічка балярыны|пачак
Спаднічныя паралелі|плісэ
Ювелірнае ўпрыгожванне, носнае на запясце|бранзалет
Ювелірны выраб, упрыгожванне ў выглядзе кольца з металу, касці|бранзалет
Ювелірны выраб, жаночае ўпрыгожванне|каралі
Ювелірны выраб|завушніцы
Ювелір. выраб; ед. электрич. зарада|кулон
Ювелір. выраб|кулон
Ювелірная адзінка масы, 0,2 г?|карат
Ювелірная тэхніка: ажурны ці напаяны на метал узор з тонкага залатога ці срэбнага дрота|скань
Ювелірны выраб у выглядзе невялікага плоскага футарала?|медальён
Ювелірны выраб з найтонкага кручанага дрота|скань
Ювелірны выраб, жаночае ўпрыгожванне|калье
Ювелірны выраб, упрыгожванне|кольца
Ювелірны камень са з'явамі астэрызму|астерикс
Ювелірны камень, якім у Старажытным Рыме насцілалі падлогі|онікс
Ювелірны камень, силикат алюмінія і кальцыя|цоизит
Поўдзень Аўстраліі (горад)|балларат
Поўдзень Турцыі, адміністрацыйны цэнтр иля Хатай (горад у Азіі)|Антакья
Поўдзень, паўднёвы вецер|зюйд
Паўднёва-усходняя ўскраіна Тыбецкага сугор'я ў Кітаі|Кам
Югосл. фізік і хімік|Савич
Югаслаўская тэнісістка|Селеш
Югаслаўскі пісьменнік, лаўрэат Нобелеўскай прэміі па літаратуры|Андрич
Югаслаўскі электратэхнік|Цеслы
Вадаспад (Юж. Амерыка)|Игуасу
Юж. пладовае дрэва і фрукт|айва
Юж. расліна сямейства кувшинковых|лотас
Юж. сузор'е; прылада скульптара|разец
Юж. сузор'е|Ветразі
Юж. сузор'е|Разец
Юж. сузор'е|Эридан
