Працоўнае памяшканне дэкаратараў|дэкаратарская
Звальненне вайскоўцаў з узброеных сіл па канчатку вайны ці тэрміна сапраўднай службы|дэмабілізацыя
Пераклад узброеных сіл і народнай гаспадаркі краіны з ваеннага становішча на мірнае|дэмабілізацыя
Заняпад маральнасці; маральнае раскладанне|дэмаралізацыя
Заняпад дысцыпліны, маральнага духу; страта здольнасці да дзеяння|дэмаралізацыя
Сямейства двухдольных раслін – травы, радзей паўхмызнякоў, хмызнякоў і дрэў, да якіх ставяцца плакун-трава, індыйскі бэз, ружовае дрэва і т. п.|дербенниковые
Група хваробатворных грыбкоў, якія паразітуюць у скуры, валасах, пазногцях чалавека і жывёльных і задзірлівых грыбковыя захворванні (дерматомикозы)|дерматомицеты
Агульная назва шэрагу метадаў (магнітнага, ультрагукавога, рэнтгенаўскага і т. п.), ужывальных для выяўлення нябачных вокам дэфектаў у матэрыялах, вырабах|дэфектаскапія
Апарат, які ўжываецца для ўхілення фібрыляцыі сардэчнай цягліцы шляхам уздзеяння на яе кароткачасовым магутным электрычным імпульсам|дефибриллятор
Ухіленне фібрыляцыі сардэчнай цягліцы шляхам уздзеяння на яе кароткачасовым магутным электрычным імпульсам (у медыцыне)|дэфібрыляцыя
Частка лінгвістыкі, у якім вывучаюцца дыялекты|дыялекталогія
Наўмыснае абмежаванне ці пазбаўленне мае рацыю, пераваг твараў, арганізацый ці дзяржаў па прыкметах расы, нацыянальнасці, дзяржаўнай прыналежнасці, маёмаснага становішча, палітычных ці рэлігійных перакананняў і т. п.|дыскрымінацыя
Памяшканне для працы дыспетчара, дыспетчараў|дыспетчарская
Пераход простага галоснага гуку ў дыфтонг (у лінгвістыцы)|дыфтангізацыя
Сляпое, педантычнае прытрымліванне вызначанай дактрыне|дактрынёрства
Пэўнае адлюстраванне сапраўдных фактаў, падзей і т. п. у літаратуры, кінематаграфіі|документализм
Здольнасць да працяглага цярпення|доўгацярпенне
Будынак чэрапа, пры якім падоўжны памер (ад падставы носа да патылічнага грудка) значна перавышае папярочны (у антрапалогіі)|даліхацэфалія
Будаўніцтва домн|домностроение
Меркаваная магчымасць, верагоднасць|допускаемость
Дарагі ювелірны выраб|каштоўнасць
Прадмет высокай каштоўнасці|каштоўнасць
Рэлігійны рух духоборов|духоборчество
Апаратура, якая служыць для стварэння дымавой завесы|дымаппаратура
Прылада для адукацыі дыму ў вяндлярных камерах|дымогенератор
Прылада для ачысткі дымавых газаў ад цвёрдых часціц|дымоуловитель
Прынцып успадкоўвання ўлады, у адпаведнасці з якім пасад перадаецца старэйшаму сыну|адзінаспадчыннасць
Парадак успадкоўвання нерухомай маёмасці, у адпаведнасці з якім яно пасля смерці бацькі ці маці пераходзіць да старэйшага сына (апроч іншых спадчыннікаў)|адзінаспадчыннасць
Жорсткасць, бязлітаснасць, бессардэчнасць|жорсткасць
Апісанне жыцця; біяграфія|жыццяпіс
Успрыманне жыцця, што атачае рэчаіснасці|жыццеадчуванне
Машына для драбнення макухі|макухадрабнілка
Запоўненасць грузам, пасажырамі|загружанасць
Прыгнечанасць, забітасць|прыгнечанасць
Наяўнасць абавязку, абавязкаў|запазычанасць
Не здадзены ў тэрмін іспыт, залік|запазычанасць
Выкладчык закона Божага ў школе (у Расійскай дзяржаве да 1917 г.)|законавучыцель
Схільнасць замярзанню|замярзальнасць
Грамадская плынь у Расійскай дзяржаве ў 40–50-х гадах ХIХ ст., прыхільнікі якога выступалі за развіццё Расіі па заходнееўрапейскім шляху|заходніцтва
Схільнасць затапленню|затапляльнасць
Здабыванне на паляванні звера, птушкі ганенняў|зацкоўванне
Плёнка, пласцінка і т. п. з запісанай гаворкай, музыкай|звуконоситель
Твар ці арганізацыя, якія валодаюць зямлёй на вызначаных прававых падставах|землеўладальнік
Валоданне зямлёй на вызначаных прававых падставах|землеўладанне
Ўчастак зямлі змешчаны ў валоданні|землеўладанне
Арганізатар і ўдзельнік паходаў у Сібір і на Далёкі Ўсход (на Русі ХVI–ХVII стст.)|землепраходзец
Землечерпательная машына|землечарпалка
