Хваляванне, трывога; турбота|неспокойствие
Прадпрыемства, што здзяйсняе здабычу нафты і газу|нефтепромысел
Нафтавая свідравіна|нафтасвідравіна
Складаны эфір гліцэрыны і азотнай кіслаты, які ўжываецца як выбуховае рэчыва і як лекавы прэпарат|нітрагіцэрын
Друкаванне нот|нотадрукаванне
Штучнае выдаленне вады з цела (цвёрдага, вадкага ці газападобнага); адмысловы выгляд сушкі|абязводжванне
Выдаленне тлушчавых рэчываў з розных матэрыялаў, а таксама з паверхні прадметаў; страта тлушчавых рэчываў матэрыяламі|абястлушчванне
Здольнасць да абнаўлення|обновляемость
Здольнасць да ўзбагачэння|узбагачальнасць
Прыбор для обрызгивания|апырсквальнік
Абяцанне ці дамова, што патрабуюць ад якое прыняло іх безумоўнага выканання|абавязанне
Грашовы пазыковы дакумент|абавязанне
Падклас млекаспажыўцоў, што характарызуюцца однопроходностью|аднапраходныя
Жыхар ці выхадзец аднаго з кім-або села, вёскі|аднавясковец
Жыхар ці выхадзец адной з кім-або станіцы|аднастанічнік
Азызлае, апухлае месца|азызласць
Кірунак у філасофіі ХVII ст., прадстаўнікі якога адмаўлялі натуральную сувязь псіхічнага – душы – і фізічнага – целы – і разглядалі іх узаемадзеянне і сувязь паміж імі як вынік умяшання Бога|окказионализм
Слова, утворанае ў часавы момант, у дачыненні да выпадку, як адна з разнавіднасцяў неалагізмаў|окказионализм
Пасада, званне акольнічага|окольничество
Адсутнасць кутоў, вуглаватасці; круглявасць формы|округленность
Увасабленне стыхійнай сілы, з'явы прыроды ў выяве жывой істоты|увасабленне
Літаратурны прыём, які складаецца ў тым, што неадушаўлёным прадметам прыпісваюцца ўласцівасці адушаўлёных|увасабленне
Частка семантыкі, што вывучае спосабы пазначэння, называнні прадметаў і з'яў|ономасиология
Апісанне з невыраженным стаўленнем да апісванага|апісальніцтва
Прыбор для апырсквання хімічнымі растворамі, фарбай і т. п.|апырсквальнік
Лячэнне прэпаратамі, вырабленымі з органаў жывёл|арганатэрапія
Пакой у лякарні для лекараў, не занятых абыходам хворых|ардынатарская
Навуковая дысцыпліна, якая вывучае розныя выгляды зброі|оружиеведение
Прамысловая гадоўля осетровых рыб|осетроводство
Апрацоўка грунтоў натрыевай соллю для барацьбы з прасочваннем вады скрозь грунт (у арашальных каналах, вадаёмах, у земляных плацінах і дамбах)|осолонцевание
Прылада з завостраным канцом|востраканечнік
Геаметрычная фігура, у якой усе ўнутраныя куты вострыя|востравугольнік
