Вандраванне пешшу на багамолле|вандроўніцтва
Комплекснае вывучэнне асобных краін з пункту гледжання геаграфіі, прыроды, эканомікі, сацыяльных умоў|краіназнаўства
Падзел, рассячэнне на пласты, на страты|стратыфікацыя
Галіна навукі і тэхнікі, якая займаецца ўзвядзеннем і рэканструкцыяй будынкаў, збудаванняў|будаўніцтва
Ўзвядзенне будынкаў, збудаванняў|будаўніцтва
Тэрыторыя, дзе будуецца|будаўніцтва
Кірунак у гуманітарных навуках, што выкарыстоўвае ў даследаваннях структурны метад, мадэляванне, элементы семіётыкі, фармалізацыі, матэматызацыі і т. п.|структуралізм
Сквапнае назапашванне грошай, маёмасці; запал да нажывы, набывальніцтву|скнарнасць
Аэрастат для палётаў у субстратасферы|субстратостат
Збудаванне для ўздыму і спуску судоў|судоподъемник
Адмысловец у вобласці суднабудавання|суднабудаўнік
Занятак, паводзіны суцяжніка|суцяжніцтва
Прыхільнасць да вядзення цяжбаў|суцяжніцтва
Наяўнасць, факт быцця|існаванне
Жыццё, быццё|існаванне
Бяздзейны, пазбаўлены мэты, сэнсу, духоўных інтарэсаў лад жыцця|існаванне
Гадоўля тытуню з прамысловай мэтай|тытуняводства
Курэнне тытуню|тытунекурэнне
Нюхание тытуню|табаконюхание
Галіна абароннай прамысловасці, якая вырабляе танкі і абсталяванне для іх|танкабудаванне
Прыстасаванне для тэатра, наданне тэатральных уласцівасцяў|тэатралізацыя
Сукупнасць спецыфічных сродкаў і прыёмаў, уласцівых тэатру як аднаму з выглядаў мастацтва|тэатральнасць
Элементы сцэнічнага ўяўлення, што выяўляюцца ў чым-небудзь|тэатральнасць
Частка мастацтвазнаўства, адведзены вывучэнню тэатра яго тэорыі і гісторыі|тэатразнаўства
Вымярэнне на адлегласці фізічных велічынь, якія характарызуюць стан кантраляваных аб'ектаў|тэлевымярэнне
Перадавальная і прымалая тэлевізійная апаратура, усталяваная ў месцы яе сталай эксплуатацыі|тэлеўсталёўка
Ўсталёўка тэлефоннай сувязі, тэлефона|тэлефанізацыя
Абарона розных прылад, памяшканняў і т. п. ад цеплавых уздзеянняў ці цеплавых страт|цеплаізаляцыя
Газ, пара ці вадкасць, якія перадаюць цяпло ў сістэмах побытавага і прамысловага цеплазабеспячэння|цепланосбіт
Удзельнік тэрмідора|тэрмідарыянец
Распрануў фізікі, што вывучае законы цеплавога руху і ўплыў цеплавога руху на фізічныя ўласцівасці цела|тэрмадынаміка
