Здольнасць прамярзаць|промерзаемость
Вадкасць, што ўводзіцца ў прамую кішку для прамывання ці з лячэбнай мэтай; клізма|прамывальнае
Галіна вытворчасці, якая ахоплівае перапрацоўку сыравіны, распрацоўку нетраў, стварэнне сродкаў вытворчасці і прадметаў спажывання|прамысловасць
Здольнасць даваць парасткі; прарастаць|прорастаемость
Сямейства двухдольных раслін; мальвовые|просвирниковые
Прастадушнасць, даверлівасць, шчырасць|шчырасць
Барацьба супраць каго-чаго-небудзь; супраціў|проціборства
Становішча планеты, змешчанай зблізку кропкі неба, процілеглай Сонцу|супрацьстаянне
Плынь, зваротнае кірунку асноўнай плыні вады, вадкасці|противотечение
Галоўны святар у вялікіх праваслаўных ці каталіцкіх саборах|протапрэсвітар
Крышталь, форма якога не адпавядае структуры ўтваралага яго мінерала; псеўдамарфоза|псеўдакрышталь
Уяўная, вонкавая вучонасць|псевдоученость
Частка псіхіятрыі, што вывучае асноўныя заканамернасці з'яўлення, механізмы развіцця псіхапатычных станаў і прынцыпы іх класіфікацыі|псіхапаталогія
Хваравітае адхіленне ў вобласці псіхікі|псіхапаталогія
Лад жыцця пустэльніка|пустынничество
Машына для выдалення пылу з паверхні дарогі|пылаачышчальнік
Апарат для ачышчэння паветра ад пылу|пылаачышчальнік
Агрэгат для механізаванай пракладкі кабеля|кабелеукладчик
Драбненне каменя|камнедробление
Аперацыя раздрабнення камянёў мачавой ці жоўцевай бурбалкі з дапамогай адмысловых прылад|камнедробление
Наданне прыроднаму каменю патрабаванай формы і вонкавага аздаблення|камнеобработка
Машына, якая ўжываецца для капання арашальных і асушальных канаў, каналаў, траншэй|канавакапальнік
Выраб лін|канатопрядение
Пазіцыя, дзеянні капітулянта|капітулянцтва
Машына для ачысткі бульбы ад зямлі, бацвіння і т. п.|бульбамыйка
Будаўніцтва катэраў|катеростроение
Лёгкі бетон, у якім запаўняльнікам з'яўляецца керамзіт|керамзітабетон
Сукупнасць розных апаратаў (здымачных, праекцыйных, гуказапісвальных і т. п.), машын і станкоў, якія ўжываюцца ў кінематаграфіі|киноаппаратура
Інфармацыя сродкамі кіно|киноинформация
Выкарыстанне кліматычных умоў мясцовасці з лячэбна-прафілактычнай мэтай|климатотерапия
Рухомая металічная рамка, што ўтрымлівае кнігі пры захоўванні на паліцах ад падзення на бок|книгодержатель
Выданне кніг|кнігадрукаванне
Вельмі буйная бібліятэка грамадскага значэння, якая ўяўляе навуковую ці гістарычную каштоўнасць|кнігасховішча
Адмыслова абсталяванае памяшканне пры бібліятэцы, кнігарні, прызначанае для захоўвання кніг і іншых твораў друку|кнігасховішча
Тканнё дыванаў як галіна вытворчасці|дыванаткацтва
Невялікі тэлескоп для пошукаў і візуальных назіранняў камет|кометоискатель
Уладанне кампетэнцыяй; правамоцтва|кампетэнтнасць
Дзейнасць, творчасць кампазітара|кампазітарства
Гадоўля завадовых канёў і стварэнне іх новых парод на конных заводах|коннозаводство
Конны завод|коннозаводство
Апрацоўка канопляў як галіна сельскай гаспадаркі|канапляводства
Кірунак у мастацтве і літаратуры ХХ ст., якое сцвярджала прынцыпы прастаты формаў і падкрэсленага ўтылітарызму|канструктывізм
Становішча, паўнамоцтвы контрагента|контрагенцтва
Кампазітар, майстэрска што валодае контрапунктом|контрапунктист
Музыка, гулец на контрафагоце|контрафаготист
Першы скрыпач – саліст сімфанічнага ці опернага аркестра|канцэртмайстар
Піяніст-акампаніятар, які развучвае партыі з выканаўцамі і што акампануе ім у канцэртах|канцэртмайстар
Баец чырвонай гвардыі|чырвонагвардзеец
Столяр, які вырабляе высакаякасную мэблю з чырвонага дрэва ці іншых дарагіх гатункаў дрэва|чырванадрэўшчык
Навука пра метады расследавання злачынстваў, збіранні і даследаванні судовых доказаў|крыміналістыка
Апарат ці форма для крышталізацыі рэчыва|крышталізатар
Працэс адукацыі крышталяў пры пераходзе рэчыва з газападобнага ці вадкага стану ў крышталічнае|крышталізацыя
Бесперапынны рух крыві па пасудзінах крывяноснай сістэмы|кровазварот
Мужчына, што ўступіў у палавую сувязь з блізкай сваячкай|кровазмяшальнік
Захворванне, якое суправаджаецца сталымі крывацёкамі; гемафілія|крывацечнасць
Гадоўля трусаў як галіна жывёлагадоўлі|трусагадоўля
Наўмыснае выкарыстанне фармальнасцяў, дробязяў для зацягвання справы, заблытванні пытання|кручкатворства
Саматужная здабыча|саматужніцтва
