Праграмны нумар у цырку?|ілюзія
Прадавец старадаўніх кніг, карцін і т. п.?|антыквар
Прадажнасць, хабарніцтва службовых асоб і палітыкаў?|карупцыя
Працягі якога мерапрыемства патрабаваў І. В. Бунша?|бяседы
Працягнеце выслоўе Скота Фитцджеральда: “Прыкмета першагатунковых мазгоў – гэта ўменне трымаць у галаве дзве ўзаемавыключальныя думкі адначасова, не губляючы пры гэтым здольнасці ...”?|думаць
Працягнеце фразу: “Жадаеш абняць увесь свет, купі ...”?|глобус
Працягласць цяжарнасці ў сланоў, у месяцах?|22
Прадукт натхнёнай працы ўсіх кулібіных?|самаробак
Прадукт жыццядзейнасці?|пот
Прадукт застойнай вады?|ціна
Прадукт знясільваючай працы?|пот
Прадукт абпалу вапняка?|вапна
Прадукт сілкавання з цеста і мяса?|пяльмені
Прадукт сілкавання?|ростбіф
Прадукт мліва збожжа?|пакута
Прадукт сухой перагонкі каменнага вугля?|кокс
Прадукт сухой перагонкі драўніны?|дзёгаць
Прадукт, з якога чалавек атрымлівае тыя ж рэчывы, якія вылучаюцца пры аргазме?|шакалад
Прадзюсар, асноўны занятак якога – дрэсіроўка музычных хлопчыкаў?|Алибасов
Падарожная дарога, выкладзеная каменем?|маставая
Праектаванне і будаўніцтва будынкаў?|архітэктура
Мянушка героя Вахтанга Кикабидзе ў аднайменным фільме Г. Данелии?|Мимино
Мянушка князя, унука Яраслава Мудрага і грэцкага імператара Кастуся (падказка: “цяжкая ты шапка ...”)?|Манамах
Мянушка падальнага на стол пасля першай шклянкі гарэлкі?|слабак
Мянушка якая смяецца па любой нагодзе дамы?|пустосмешка
Мянушка паўночнаамерыканцаў у Лат. Амерыцы?|гринго
Празрыстая бясколерная вадкасць?|вада
Празрыстая бясколерная вадкасць?|воцат
Твор усіх лікаў ад адзінкі да “Энны” завецца ... ?|фактарыял
Твор жывапісу?|карціна
Твор прафесара Праабражэнскага (“Сабачае сэрца” М. Булгакава)?|Шарыкаў
Твор Франсуа Вийона, напісанае ў чаканні смяротнага пакарання смерцю?|эпітафія
Вытворная працы па часе?|магутнасць
Самаўпраўнасць, усёдазволенасць (жарг.)?|бязмежжа
Вымаўленне, вымова?|пранонс
Вымаўленне, манера вымаўляць словы?|дыкцыя
Здарэнне ці прыгода – звычайна смешнае, цяжкае, незвычайнае?|неспадзяванка
Здарэнне, калі палюбоўнік, які сядзіць у шафе змушаны гарлапаніць: “Выносіце мэблю!”?|пажар
Прамежак часу, роўны 1/1440 сутак?|хвіліна
Прамежак часу, роўны 3600 секундам?|гадзіна
Прамежак часу, роўны 9 192 631 770 перыядаў выпраменьвання, які адказвае пераходу паміж двума звыштонкімі ўзроўнямі асноўнага стану атама цэзія-133?|секунда
Прамежак часу, пра які не варта думаць пагардліва?|секунда
Прамысловая рыба, буйны лешч?|чебак
Прамысловая рыба, якая насяляе ў рэках і азёрах Сібіры?|лянок
Промщсловое марское ракападобнае?|криль
Прамысловая назва некаторых членістаногіх выглядаў марскога рака?|криль
Прапушчанае слова з радкоў Амара Хайяма: “Маючы зносіны з дурнем, не аббярэшся сораму, Таму рада ты выслухай Хайяма: ... , мудрацом табе прапанаваны, прымі, З рук жа дурня не прымай бальзама”?|яд
Прадзёртая ці праламаная адтуліна?|дзюра
Прарок зялёнага сцяга?|Мухамед
Прасочванне растваральніка скрозь перагародку?|осмас
Услаўлены рускі адмірал, не які ведаў параз у марскіх бітвах (прозвішча)?|Ушакоў
Услаўлены хакеіст, неаднаразовы чэмпіён свету, Алімпійскіх гульняў?|Трацяк
Найпростае грузоподъемное прылада?|варот
Найпростае найнізкае шматклеткавае?|гідра
Найпростыя рычажные ці спружынныя шалі?|бязмен
Простыя і складаныя элементы – класы органич. злучэнняў (хим.)?|эфір
Просьба, разлічаная не на ветласць, а на спачуванне?|маленне
Адваротнае сумчатое жывёла?|яхідна
Противогазное прылада ў аўтамабілі?|тормаз
Проціпастаўленне сваіх поглядаў, палітыкі іншай палітыцы, поглядам?|апазіцыя
Процітанкавая перашкода ў выглядзе высокага і стромкага зрэзу пахілу, схілу, звернутага да суперніка?|эскарп
Пратакол працы праграмы?|лог
Прататып якога казачнага героя выклікае слёзы?|Чиполлино
