Адмова ад умяшання|неўмяшанне
Недастатковае ці няпоўнае спажыванне|недаспажыванне
Няпоўнасць, няскончанасць выказвання|недаказанасць
Пакіданне без ужывання, ужыванні|невыкарыстанне
Адно з плыняў у філасофіі, што імкнулася да стварэння цэласнага светапогляду на аснове абнаўлення філасофіі Гегеля|неагегельянства
Атрад млекаспажыўцоў, якія характарызуюцца няцотным лікам пальцаў|няпарнакапытныя
Здольнасць судна заставацца на вадзе і захоўваць мореходные якасці пасля затаплення аднаго ці некалькіх яго аддзяленняў|непатапляльнасць
Неадпаведнасць праўдзе, рэчаіснасці|непраўдападабенства
Ўласцівасць цела не прапускаць скрозь сябе (ваду, газы, святло і т. п.)|непранікальнасць
Ідэалогія прыхільнікаў тэорыі непраціўлення злу гвалтам, сформулированой Л. Н. Талстым|непротивленство
Ўласцівасць металаў, не давальнае магчымасці зварваць іх|несвариваемость
Рабскае і ліслівае пакланенне перад паводзіны нізкапаклонніка|нізкапаклонства
З'яўленне новых формаў ці элементаў|наватвор
Нанова ўзніклы элемент, форма і т. п.|наватвор
Вызваленне ад хваробатворных мікраарганізмаў; дэзінфекцыя|абеззаражанне
Паляпшэнне ўласцівасцяў матэрыялу (трываласці, цвёрдасці, хімічнай устойлівасці і т. п.)|акультурванне
Паляпшэнне, удасканаленне пароды жывёл, раслін|акультурванне
Рух транспартных сродкаў туды і зваротна, рух са зваротам да зыходнага пункта ў вызначаны тэрмін|абарачальнасць
Мінанне тавараў, капіталаў праз зварот|абарачальнасць
Залежнасць ад умоў, акалічнасцяў|абумоўленасць
Сукупнасць навук пра грамадства|грамадазнаўства
Сумяшчэнне з'яў у часе|адначасовасць
Наяўнасць звестак, ведаў|дасведчанасць
Прынцып, які ляжыць у аснове (якога-небудзь вучэння, тэорыі і т. п.)|асноватвор
Возлагаемое на каго-або ці ўзятае кім-або абавязанне адчытвацца ў сваіх дзеяннях і прыняць на сябе віну за магчымыя іх наступствы|адказнасць
Сур'ёзнасць, важнасць|адказнасць
Частка медыцыны, які вывучае хваробы вуха, горлы і носа, іх прафілактыку і лячэнне|оталарынгалогія
Апаратура, злучаная з радыё|радыёапаратура
Частка астраноміі, што вывучае нябесныя целы па іх радыёвыпраменьванні або шляхам радыёсігналаў, пасыланых з Зямлі і адлюстраваных ад найблізкіх нябесных целаў|радыёастраномія
Радыёпрыёмная прылада для вызначэння кірунку на перадавальную радыёстанцыю|радиопеленгатор
Прылада для выпраменьвання радыёхваль, выкарыстоўванае для радыёсувязі, радыёлакацыі і т. п.|радыёперадавальнік
Сувязь з некалькімі радыёстанцыямі шляхам пачарговага выкліку іх з мэтай узаемнай інфармацыі, абмену меркаваннямі і т. п.|радыёпераклічка
Трансляцыя перадач радыёвяшчання|радыётрансляцыя
Расследаванне, разгляд судовай справы|разгляд
Прылада, прыстасаванне для распырсквання|распырсквальнік
Дзейнасць раскольнікаў|раскольніцтва
Заняпад ці адсутнасць сіл, энергіі|млявасць
Прылада для падрыхтоўкі раствораў для каменных і тынкавых прац|растворамяшалка
Галіна сельскай гаспадаркі, якая займаецца апрацоўкай культурных раслін|раслінаводства
Частка аграноміі, што вывучае гадоўля культурных сельскагаспадарчых раслін і сыход за імі|раслінаводства
Знікненне ў кары вялікіх паўшар'яў галаўнога мозгу стану ўнутранага тармажэння пры дзеянні новага, старонняга раздражняльніка|растормаживание
Выведка мясцовасці і абароны суперніка перад пачаткам баявых дзеянняў|рэкагнасцыроўка
Папярэдняе абследаванне мясцовасці для вытворчасці геадэзічных прац|рэкагнасцыроўка
Працоўны па абслугоўванні рельсопрокатного постаці|рэйкапракатчык
Аднаўленне ваеннай моцы раней раззброенай дзяржавы ці яго асобных тэрыторый|рэмілітарызацыя
Метад лячэння рэнтгенаўскімі прамянямі|рентгенотерапия
Занятак, праца рэстаўратара|рэстаўратарства
Сямейства вадзяных двухдольных травяністых раслін|роголистниковые
Арганізацыя медыцынскай дапамогі цяжарным, парадзіхам, парадзіхам|родадапамога
Падшыпнік, у якім паміж паверхняй круцельнай дэталі і паверхняй апоры размешчаны ролікі|ролікападшыпнік
Самаадвольная ўзрушанасць фізічных з'яў|самаўзбуджэнне
Ўсхваленне самога сябе, сваіх заслуг, талентаў і т. п.|самаўсхваленне
Выраб самагонкі|самагонаварэнне
Знішчэнне |самавынішчэнне
Вышэйшая ступень асалоды, заснаваная на высокай адзнацы сваіх поспехаў, заслуг|самонаслаждение
Набыццё ведаў шляхам самастойных заняткаў па-за навучальнай установай, без дапамогі выкладчыка|самаадукацыя
Добраахвотнае абмежаванне ўласных запатрабаванняў, інтарэсаў|самаабмежаванне
Спосаб вядзення гаспадаркі, пры якім выдаткі пакрываюцца ўласнымі прыбыткамі|самаакупнасць
Права нацыі на стварэнне ўласнай нацыянальнай дзяржаўнасці|самавызначэнне
Прымус самога сябе|самапрымус
Знішчэнне самога сябе; самавынішчэнне|самазнішчэнне
Сцвярджэнне каштоўнасці і значнасці ўласнай асобы|самасцвярджэнне
Прылада для подкапывания каранёў цукровага бурака (пры ўборцы)|буракапад'ёмнік
Зніжэнне ўраджая цукровага бурака пры пасеве яе некалькі гадоў запар на адным і тым жа месцы|свеклоутомление
Маскіроўка асветленых аб'ектаў|святломаскіроўка
Харчовыя вырабы з вэнджанай свініны|свинокопчености
Здольнасць супрацьстаяць сілам, якія ўзнікаюць пад дзеяннем вагальных рухаў пры землятрусе|сейсматрываласць
Тэрмін, перыяд, прамежак часу ў семдзесят гадоў|сямідзесяцігоддзе
Ўгодкі падзеі, што адбыўся, распачатага і т. п. семдзесят гадоў назад|сямідзесяцігоддзе
Тэрмін, перыяд, прамежак часу ў сямнаццаць гадоў|семнадцатилетие
Ўгодкі падзеі, які адбыўся, распачатага і т. п. сямнаццаць гадоў назад|семнадцатилетие
Распазнанне хвароб па рэакцыі сыроваткі крыві хворага з адпаведным чужародным бялком (у медыцыне)|серодиагностика
Вучэнне пра сімптомы захворванняў (у медыцыне)|сімптаматалогія
Одзін з выглядаў усталёўкі для паскарэння цяжкіх зараджаных мікрачасцін, які ўжываецца для даследаванняў у вобласці фізікі атамнага ядра|синхроциклотрон
Занятак, рамяство кушняра|кушнерства
Ідэйна-палітычная плынь у Расійскай дзяржаве сярэдзіны ХIХ ст., прадстаўнікі якога высоўвалі ідэю самабытнага развіцця Расіі, выдатнага ад развіцця краін Заходняй Еўропы|славянафільства
Перакананні, погляды славянафіла|славянафільства
Шматслоўная, але малазмястоўная гаворка|словоизвержение
Стварэнне новых слоў|словатворчасць
Тлумачэнне значэння слова; тлумачэнне|словотолкование
Штучнае затрыманне снега на палях для павелічэння запасаў вільгаці ў глебе і для ўцяплення якія зімуюць раслін|снегазатрыманне
Машына для ачысткі ад снега праезнай часткі вуліц, пляцаў, чыгунак|снегаачышчальнік
Прыстасаванне ў малатарнях для падачы снапоў у молотильный барабан|снопоподаватель
Узрост, па дасягненні якога чалавек становіцца дзеяздольным грамадзянінам|паўналецце
Палітыка згоднікаў|згодніцтва
Паводзіны згодніка|згодніцтва
Прыстасаванне да збожжавага камбайна, што служыць для кладкі саломы ў копы|саломаскладальнік
Такое становішча дзвюх ці некалькіх целаў, прадметаў, пры якім яны датыкаюцца сваімі гранямі, часткамі|судотык
Непасрэдная блізкасць, становішча, пры якім магчыма непасрэднае сутыкненне|судотык
Перыядычная замена гатункавага насення сельскагаспадарчых культур больш высакаякасным насеннем таго ж гатункі|сортообновление
Ступень матэрыяльнага дабрабыту|заможнасць
Адначасовае ці сумеснае існаванне|суіснаванне
