Складанне і выданне законаў|заканадаўства
Карыстанне зямлёй ва ўсталяваным законам парадку|землекарыстанне
Выкарыстанне зямлі для гадоўлі сельскагаспадарчых культур|землекарыстанне
Дзейнасць вынаходніка|вынаходніцтва
Дзейнасць імправізатара|імправізатарства
Асаблівасці характару і псіхічнага склада, якія адрозніваюць аднаго індывіда ад іншых|індывідуальнасць
Чалавек як уладальнік уласцівых толькі яму рыс характару, індывідуальных асаблівасцяў; асоба|індывідуальнасць
Вобласць параўнальна-гістарычнага мовазнаўства, што займаецца вывучэннем індаеўрапейскіх моў|індаеўрапеістыка
Стварэнне буйнай, тэхнічна развітай прамысловасці – і першым чынам галін, якія вырабляюць прылады і сродкі вытворчасці, – як асновы і вядучага сектара ў народнай гаспадарцы|індустрыялізацыя
Ідэалогія і палітыка міжнацыянальнай, міжнароднай салідарнасці, заснаваныя на роўнасці і супрацоўніцтве ўсіх народаў|інтэрнацыяналізм
Аднабаковасць, абмежаванасць|выключнасць
Комплекс навуковых дысцыплін, якія вывучаюць розныя выгляды мастацтва (звычайна выяўленчага)|мастацтвазнаўства
Навуковая дысцыпліна, што займаецца апісаннем і класіфікацыяй гістарычных крыніц|крыніцазнаўства
Згодны гук, які падвергся палатализации; палатальны (у лінгвістыцы)|палаталізаваны
Цеплаабменны апарат, што выпрацоўвае пара для розных мэт|параўтваральнік
Уладальнік парахода, параходства|пароходовладелец
Патрыярхальныя звычаі, норавы і т. п.|патрыярхальнасць
Прыстасаванне для ўтрымання патронаў|патронодержатель
Рэалістычны кірунак рускага жывапісу, заснаванае перадзвіжнікамі|перадзвіжніцтва
Празмерная населенасць|перанаселенасць
Змена ранейшых поглядаў пад уплывам волі, іншай ідэалогіі і т. п.|перараджэнства
Занятак, паводзіны перасмешніка|пересмешничество
Бясталентны, нічым не выбітны чалавек|пасрэднасць
Выкананне ролі, абавязкаў правадыра|правадырства
Пасада правадыра дваранства|правадырства
Прымета, прыкмета, які прадвесціць блізкасць, наступ|прадвесце
Памяшканне перад аперацыйнай, дзе адбываецца падрыхтоўка да аперацыі|перадаперацыйная
Вельмі асцярожныя, прадбачлівыя паводзіны, стаўленне|засцярога
Мера, прадбачліва прынятая для агароджы ад небяспекі, шкоды|засцярога
Загадзя што стварылася размяшчэнне, схільнасць да наяўнасць задаткаў да развіцця|схільнасць
