Адмысловец у вобласці граматыкі|граматыст
Сямейства раслін, да якога ставіцца гранат|гранатавыя
Пераносная зброя блізкага бою для стральбы гранатамі|гранатамёт
Сталёвая прылада для гравіравання на метале|гранільнік
Даследаванне почырку з пункту гледжання адлюстравання ў ім уласцівасцяў характару, здольнасцяў і псіхічных станаў пішучага|графалогія
Прыхільнасць да пісання, да шматслоўнага бескарыснага складальніцтва|графаманія
Сямейства атрутных змей, што насяляюць у Азіі і Амерыцы; грымучыя змеі|гремучники
Прадпрыемства, якое займаецца перапрацоўкай грыбоў|грибоварня
Старадаўняя шаўковая тканіна|гроденапль
Вертыкальны металічны стрыжань, злучаны провадам з зямлёй і службовец для засцярогі збудаванняў ад прамога траплення маланак; маланкаадвод|громаадвод
Рух грузаў па шляхах зносін за вызначаны перыяд часу|грузаплынь
Начальнік губерні, вышэйшая службовая асоба губернскай адміністрацыі (у Расійскай дзяржаве да 1917 г.)|губернатар
Вышэйшая службовая асоба адміністрацыйна-тэрытарыяльнай адзінкі|губернатар
Машына для раўнамернага размеркавання атрыманых з гудрону звязальных матэрыялаў па паласе дарожнага пакрыцця пры будаўніцтве і рамонце дарог|гудронатор
Прыхільнасць да смачнай ежы, вытанчаным стравам|гурманства
Працоўны манетнага двара, які робіць гурт|гуртильщик
Густы лес|густолесье
Цвёрдае, падобнае з каучукам рэчыва белага ці жаўтлява-карычневага колеру, што атрымліваецца з зацвярдзелага соку некаторых раслін і ўжывальнае для ізаляцыі падводных кабеляў, вырабы клеючых матэрыялаў і т. п.|гутаперча
Насельніцтва Дагестана, якое складаецца з аварцаў, кумыкоў, даргінцаў і іншых народаў|дагестанцы
Прыроджаны недахоп зроку, што складаецца ў няздольнасці вока адрозніваць некаторыя колеры (звычайна чырвоны і зялёны)|дальтанізм
Пераносная пасудзіна, у якім святар трымае запасныя святыя дарункі, дзеепрыметнік для прычашчэння хворых па-за царквой|дараносіца
Рухомая маёмасць|рухомасць
Стан у шлюбе з кім-або пры наяўнасці ранейшага, не скасаванага законным парадкам шлюбу|дваяшлюбнасць
Памяшканне, у якім жыў дворнік|дворніцкая
Ваенна-служылае саслоўе, якое атрымоўвала – у адрозненне ад баярства – за службу зямлю (на Русі ХII–ХVIII стст.)|дваранства
Вышэйшае прывілеяванае саслоўе, якое складалася з абшарнікаў, іх нашчадствы і што выслужыліся службоўцаў (у Расійскай дзяржаве да 1917 г. і ў іншых краінах у эпоху феадалізму і капіталізму)|дваранства
Званне двараніна|дваранства
Расліны, якія жывуць два гады і давальнае насенне на другі год пасля пасева (капуста, морква, рэпа і т. п.)|двулетники
Два пальца правай рукі (паказальны і сярэдні), складзеныя для хроснага знака (у старавераў)|двухперсце
Плён, які падзяляецца на дзве сямянкі (у парасонавых раслін: морквы, кмена і т. п.)|двусемянка
Млекопитающее сямействы сумчатых, якое насяляе ў Амерыцы; апосум|двуутробка
Атрад бяскрылых казурак з целам, што сканчаюцца парай членистых нітак|двуххвосткі
Плывучая прыстань, замацаваная ў берага|дэбаркадэр
Выгрузка тавараў, высадка людзей з судна на бераг|дебаркация
Перыяд жыцця дзяўчыны да замужжа|дзявоцтва
Сродак для знішчэння непрыемнага паху|дэзадарант
Удзельнікі дваранскага рэвалюцыйна-вызваленчага руху, які завяршыўся ў снежні 1825 г. паўстаннем супраць самадзяржаўя і прыгону|дзекабрысты
Артыст, выступоўца з дэкламацыяй|дэкламатар
Афіцыйная, урачыстая ці праграмная заява (ад імя ўрада, партыі, міжнароднай арганізацыі і т. п.)|дэкларацыя
Назва афіцыйнага дакумента, які змяшчае важныя становішчы ці патрэбныя звесткі|дэкларацыя
Прыбор для вымярэння магнітнага скланення (кута паміж магнітным і геаграфічным мерыдыянамі), а таксама сутачных змен (варыяцый) магнітнага скланення|дэклінатар
Адхіленне магнітнай стрэлкі компаса ад геаграфічнага мерыдыяна (у фізіцы)|дэклінацыя
Безматорны лятальны апарат што плануе тыпу з дельтовидным крылом|дэльтаплан
Травяністая расліна сямейства казяльцовых з сінімі, блакітнымі ці фіялетавымі кветкамі; рагулька, рагулька|дэльфініум
Празмеру вузкі практыцызм, пры якім выпускаецца з выгляду прынцыповы, грамадска карысны бок дзеў|дзяляцтва
Ўсталяванне дзяржаўнай мяжы на мясцовасці|дэмаркацыя
Адмежаванне змярцвелых участкаў тканіны ад здаровых (у медыцыне)|дэмаркацыя
Навуковая дысцыпліна, якая вывучае насельніцтва і заканамернасці яго развіцця ў грамадска-гістарычнай абумоўленасці|дэмаграфія
Палітычны лад, пры якім улада прыналежыць народа; народаўладдзе|дэмакратыя
Прынцып арганізацыі калектыўнай дзейнасці, пры якой забяспечваецца раўнапраўны і актыўны ўдзел у ёй усіх чальцоў калектыва|дэмакратыя
Парк, у якім растуць розныя, у тым ліку рэдкія, выгляды дрэў і хмызнякоў|дендропарк
Апавяшчэнне адной дзяржавай іншага пра скасаванне зняволенага паміж імі дамовы, дамовы і т. п. (у міжнародным праве)|дэнансацыя
Высыланне з дзяржавы як мера крымінальнага ці адміністрацыйнага пакарання; выгнанне, перасяленне|дэпартацыя
Ўсталяванне дэфектаў выраба, механізму, машыны і т. п., адзнака іх прыдатнасці|дефектовка
Хімічныя прэпараты, якія выклікаюць апад лісця раслін і ўжывальныя звычайна для паскарэння паспявання бавоўніка і палягчэнні яго машыннай уборкі|дэфаліянты
Выдаленне лісця з раслін шляхам апрацоўкі іх хімічнымі прэпаратамі (дэфаліянтамі) для палягчэння машыннай уборкі ўраджая (у сельскай гаспадарцы)|дэфаліяцыя
Змена памераў, формы цвёрдага цела пад дзеяннем вонкавых сіл (звычайна без змены яго масы)|дэфармацыя
Любая змена, адхіленне ад нормы|дэфармацыя
Дэхкане|дехканство
Прылада для аўтаматычнай расшыфроўкі паведамлення, што перадаецца ўмоўнымі знакамі (кодам, шыфрам і т. п.), і перакладу якая змяшчаецца ў ім інфармацыі на мову што ўспрымае сістэмы|дэшыфратар
Чалавек, які адносіцца да прывілеяваных пластоў грамадства, строга наступны ўсталяваным у іх правілам і нормам паводзін (у Вялікабрытаніі)|джэнтльмен
Карэктны, выгадаваны, высакародны чалавек|джэнтльмен
Разнастайныя складаныя практыкаванні на што скача каню|джыгітоўка
Слова ці зварот гаворкі, якія належаць дыялекту і ўжытныя ў літаратурнай мове|дыялектызм
Філасофскае вучэнне пра ўсеагульныя законы руху і развіцці прыроды, чалавечага грамадства і мысленні, навуковы метад спазнання вечна рухомых і зменлівых з'яў прыроды і грамадствы шляхам выкрыцця ўнутраных супярэчнасцяў і барацьбы супрацьлегласцяў, што прыводзяць да скачкападобнага пераходу з адной якасці ў іншае|дыялектыка
Фатаграфічны пазітыўны малюнак на празрыстым матэрыяле для дэманстрацыі з дапамогай праекцыйнай прылады; слайд|дыяпазітыў
Распрануў медыцыны, у якім вывучаюцца прынцыпы рацыянальнага сілкавання здаровага і хворага чалавека|диетология
Інфекцыйная хвароба, якая характарызуецца пераважнай паразай тоўстага кішачніка, цяжкім агульным атручваннем і парушэннямі нервовай сістэмы|дызентэрыя
Прыбор для вымярэння сілы ці моманту сілы пры выпрабаванні машын і іх эксплуатацыі; силомер|динамометр
Прыбор для вымярэння сілы цягліц чалавека|динамометр
Шаровидные бактэрыі, што размяшчаюцца парамі і задзірлівыя шэраг інфекцыйных хвароб|дыплакокі
Дзейнасць урада, адмысловых органаў ці прадстаўнікоў дзяржавы па ажыццяўленні вонкавай палітыкі дзяржавы|дыпламатыя
Калегія дырэктараў аб'яднання прадпрыемстваў, устаноў, якая ўзначальваецца генеральным дырэктарам|дырэктарат
Урад Французскай рэспублікі з 4 лістапада 1795 г. па 10 лістапада 1799 г., якое складалася з 5 чальцоў|дырэкторыя
Паласа мясцовасці вайсковага навучальнага цэнтра ці артылерыйскага палігона для навучання асабовага склада стральбе і правядзенні вучэнняў|дырэктрыса
Адсутнасць камфорту, нязручнасць|дыскамфорт
Месцаванне вайсковых частак і ваенных устаноў на якой-небудзь тэрыторыі, размеркаванне авіяцыйных войскаў па аэрадромах, караблёў па портах|дыслакацыя
Зрушэнне пластоў зямной кары (у геалогіі)|дыслакацыя
План размяшчэння войскаў, ваенных караблёў для бою ці на месцы стаянкі|дыспазіцыя
Пісьмовы загад камандзіра, што змяшчае баявыя задачы для вайсковых частак (у войскі Расійскай дзяржавы ХVIII–ХIХ стст.)|дыспазіцыя
Падначаленне цвёрда ўсталяваным правілам, абавязковае для ўсіх чальцоў дадзенага калектыва|дысцыпліна
Галіна навуковых ведаў|дысцыпліна
Публічны распаўсюд звестак, якія ганяць каго-або|дыфамацыя
Рэчыва, практычна не што праводзіць электрычны ток; ізалятар|дыэлектрык
Радавы, прызначаны на суткі ў дапамогу дзяжурнаму для падтрымання парадку ў падраздзяленні, для аховы зброі і маёмасці і т. п.|днявальны
Дабрыня, мяккасардэчнасць; незласлівасць|лагоднасць
Твар, якое выдала даверанасць|давернік
Пачуццё ўнутранага задавальнення, задавальненні|дастатак
Паліў сельскагаспадарчых культур шляхам распырсквання вады адмысловымі машынамі і ўсталёўкамі|дажджаванне
Дадатковая запраўка палівам самалёта, касмічнага апарата, судны і т. п.|дазапраўка
Сукупнасць метадаў вызначэння дозы іянізавальных выпраменьванняў на арганізм чалавека, жывёлы і т. п.|дазіметрыя
Машына, якая выраўноўвае і размяркоўвалая шляхавы баласт (пясок, жвір) пры будаўніцтве чыгунак|дозировщик
Доўгае жыццё|даўгалецце
Камар з тонкімі доўгімі нагамі|даўганожка
Сямейства камароў з тонкімі доўгімі нагамі|даўганожкі
Жук з доўгім хабатком; слоник|шашолка
Дадатковае штучнае апыленне|доопыление
Дадатны вынік працы, дзейнасці; поспех|дасягненне
Дзіця дашкольнага ўзросту|дашкольнік
Драматычны кружок|драмгурток
Драўняная жаба|квакша
Матылёк сямейства шашаляў, якая сілкуецца драўнінай|квакша
Начны матылёк, гусеніца якой сілкуецца драўнінай|шашаль
Марская жывёла (малюск ці ракападобнае), пашкоджвальнае драўляныя часткі судоў і партовых збудаванняў|шашаль
Сямейства начных матылькоў, гусеніцы якіх сілкуюцца драўнінай|шашалі
Дровосушная печ|дровосушня
Сяброўскае размяшчэнне, добразычлівае стаўленне|прыязнасць
Тып перабудовы храмасомы, што складаецца ў падваенні яе ўчастку|дупликация
Гарэзная выхадка; свавольства|дурыкі
Духоўная, інтэлектуальная прырода, сутнасць чалавека, противополагаемая яго фізічнай, целавай сутнасці; імкненне да ўдасканалення, вышыні духу|духоўнасць
Цёплая кофта без рукавоў – звычайна на ваце, меха – як частка старадаўняга жаночага рускага гарнітура|кабат
Труба для праходу дыму|дымопровод
Дзейнасць дыякана|дыяканства
Кожны з чатырох аўтараў кананічных Евангелляў (Матфей, Марк, Лука, Іяан)|евангеліст
Прычашчэнне як адно з сямі хрысціянскіх таемстваў, якія здзяйсняюцца падчас літургіі|еўхарыстыя
Сістэма рэлігійных вераванняў, заснаваная на ўяўленні пра адзінства бажаства, пра адзінага Бога; манатэізм|адзінабожжа
Ўдзельнік адзінаборства|адзінаборац
Чалавек адной з кім-або рэлігіі, веры|аднаверац
Згода, яднанне ў думках, пачуццях, дзеяннях|аднадушнасць
Частка абрадавага ўбору святара праваслаўнай царквы ў выглядзе доўгай і шырокай паласы тканіны з малюнкамі рэлігійных знакаў, напрананай на шыю і што звешваецца спераду|епітрахіль
Клас аднаклеткавых тыпу найпростых, якія характарызуюцца наяўнасцю ў іх жгутиков|жгутиковые
Буйная бязногая змеепадобная яшчарка сямейства вераценніц|желтопузик
Пакаёвая і садовая травяністая расліна сямейства крыжакветных з жоўтымі ці чырванавата-жоўтымі кветкамі і прыемным пахам; лакфиоль|жоўтафіёль
Малюск, у ракавіне якога ўтворыцца жэмчуг|жамчужніца
Забойца сваёй жонкі|забойца жонкі
Рашэнне пытання з дапамогай жэрабя|лёсаванне
Мяса жарабяці, што ўжываецца ў ежу|жарабяціна
Ўзнёслае месца, на якім прыносіліся паганскія ахвяры|ахвярнік
Стол у алтары праваслаўнай царквы, на якім здзяйсняецца абрад праскамідыі падчас літургіі|ахвярнік
Жорсткі ўчынак|жорсткасць
Жылы пляц|жылплошча
Аплатны зварот, які здзяйсняецца без удзелу наяўных грошай|жыраабарот
Пісьмовае распараджэнне фундатара крэдытнай установе пра вытворчасць разліку з крэдыторам|жироприказ
Пражыванне, пасяленне|жыхарства
Птушаня жураўля|жураўлянё
Сямейства птушак атрада журавлеобразных|жураўліныя
