Выдумка, выдумка|выдумка
Зморшчына горных парод, у якой восевая паверхня і крылы (месцы перагіну пластоў) нахілены ў адзін бок прыкладна пад аднолькавым кутом|ізакліналь
Паралелізм у арганізацыі гукавой і сэнсавай бакоў мовы (у лінгвістыцы)|ізамарфізм
Уласцівасць рэчываў падобнага хімічнага складу ўтвараць крышталі аднолькавай формы|ізамарфізм
Жорсткасць на глебе рэлігійнага фанатызму і няцерпнасці|нялюдскасць
Варварскае стаўленне навошта-або; крайняя жорсткасць|нялюдскасць
Выезд у краіну з мэтай працяглага ці сталага знаходжання там|іміграцыя
Адмаўленне агульнаабавязковасці маральных нормаў|імаралізм
Палавое бяссілле ў мужчын, якое складаецца ў няздольнасці да здзяйснення палавога акту|імпатэнцыя
Складовая частка складанага злучэння ці змясі|інгрэдыент
Дзель, частка|інгрэдыент
Усталяванне колькасці, памеру і прывядзенне яго ў адпаведнасць з індэксам|індэксацыя
Самастойна існы жывы арганізм; асобіна|індывід
Асобны чалавек, асобная асоба|індывід
Мяса індычкі, што ўжываецца ў ежу|індычына
Памяшканне для ўтрымання індыкоў, індычак|індычнік
Уласцівасць цела захоўваць стан раўнамернага прасталінейнага руху ці супакою, калі дзейсныя на яго сілы адсутнічаюць ці ўзаемна ўраўнаважаны (у механіку)|інэртнасць
Унутранае падахвочванне да новай дзейнасці, распачынанне, пачын|ініцыятыва
Здольнасць да самастойных, актыўных дзеянняў; прадпрымальнасць|ініцыятыва
Службовая асоба, якое прымае грошы ад арганізацый, прадпрыемстваў і т. п. для рэшты іх у банк|інкасатар
Суддзя інквізіцыі|інквізітар
Судова-паліцэйская арганізацыя, заснаваная каталіцкай царквой напачатку ХIII ст. і якая адрознівалася крайняй жорсткасцю ў барацьбе з ворагамі царквы|інквізіцыя
Кніга, што адносіцца да пачатковай пары кнігадрукавання (да 1501 г.), вонкава падобная на рукапісную кнігу|інкунабула
Сувязь органаў і тканін з цэнтральнай нервовай сістэмай пасродкам нерваў (у анатоміі)|інервацыя
Грамадзянін, падданы краіны ў адносінах да іншай краіны|замежнік
Памяшканне для гадоўлі і ўтрыманні казурак у навуковых мэтах|інсектарый
Біялагічна актыўны хімічны прэпарат, які ўжываецца для барацьбы са шкоднымі казуркамі|інсектыцыд
Удых, удыханне|інспірацыя
Выхаванка інстытута (у Расійскай дзяржаве да 1917 г.)|інстытутка
Збор указанняў, кіраваў, якія ўсталёўваюць парадак і спосаб выканання ці ажыццяўленні|інструкцыя
Кіраўнічае ўказанне|інструкцыя
Прылада – звычайна ручное – для вытворчасці прац|прылада
Вылічальная прылада, прызначанае для інтэгравання|інтэгратар
Невялікая музычная п'еса, выкананая ў прамежках паміж часткамі іншага музычнага твора|интерлюдия
Невялікая п'еса рэлігійна-павучальнага, а пазней – фарсавага характару (у ангельскім тэатры ў канцы сярэдніх вякоў і пачатку эпохі Адраджэння)|интерлюдия
Самастойная сцэнка (звычайна камічнага характару), выкананая паміж дзеяннямі ці ў сярэдзіне дзеяння драмы, оперы і т. п.|інтэрмедыя
Блізкасць, сувязь|інтымнасць
Мясцовае ўшчыльненне і павелічэнне аб'ёму тканін з прычыны скупнасці ў іх эрытрацытаў, лейкацытаў, клетак наватвора і т. п.|інфільтрат
Паведамленне пра становішча спраў дзе-або; пра стан чаго-небудзь|інфармацыя
Звесткі пра навакольны свет і працякалых у ім працэсах, успрыманыя чалавекам ці адмысловымі прыладамі|інфармацыя
Дробны трапічны хмызняк сямейства мареновых, корань якога ўжываецца ў медыцыне як задзірлівае ваніты і які адхарквае сродак; ванітавы корань|іпекакуана
Сукупнасць навуковых дысцыплін, што вывучаюць мовы, літаратуру, культуру і гісторыю народаў іранскай групы|іраністыка
Навуковая дысцыпліна, якая вывучае іранскія мовы|іраністыка
Ўяўнае павелічэнне памераў светлых постацяў на чорным фоне|иррадиация
Распаўсюд працэсу ўзрушанасці ці тармажэнні ў цэнтральнай нервовай сістэме|иррадиация
Распаўсюд болевых адчуванняў за межы здзіўленага ўчастку ці органа|иррадиация
Адступ ад правіла, ад звычайнага парадку|выключэнне
Атрыманне прабачэння за зробленае коштам|адкупленне
Апарат для выпарэння вадкасці, выкарыстоўваны ў халадзільных усталёўках, пры выпрацоўцы дыстыляту для сілкавання паравых катлоў, для апраснення марской вады і т. п.|выпарнік
Спосаб, характар, якасць і т. п. вырабы|выкананне
Арэнда зямлі з наступнай аддачай паловы ўраджая, выгадаванага на ёй (у Расійскай дзяржаве да 1917 г.)|палавіншчына
Выкарыстанне, выдаткоўванне ў поўным аб'ёме, з лімітавай поўнасцю|вычарпанне
Слова ці выраз, запазычанае з італьянскай мовы; зварот гаворкі, пабудаваны па мадэлі, характэрнай для італьянскай мовы|итальянизм
Распрануў заалогіі, у якім вывучаюцца рыбы і круглоротые|іхтыялогія
Дзейнасць ката|катаўства
Твар, якое належыць да аднаго з некалькіх розных па паходжанні і мове малых народаў Поўначы (чукч, каракаў, ітэльменаў, юкагіраў, ніўхаў і т. п.)|палеаазіят
Выкапнёвае няпарнакапытнае жывёла, якое з'яўляецца найстаражытным продкам каня|палеатэрый
Старажытны рукапіс, звычайна пергаментная, з якой сцёрты першапачатковы тэкст і на яго месцы напісаны новы|палімпсэст
Цытрусавая расліна з вельмі буйнымі жоўтымі пладамі|пампельмус
Сямейства однодольных трапічных раслін з вузкім вышчэрбленым лісцем|пандановые
Аўтар панегірыка|панегірыст
Вялікая люстра са свечкамі ці вялікі падсвечнік (звычайна ў цэрквы)|панікадзіла
Лекавы прэпарат, выраблены з падстраўнікавай залозы жывёл|панкрэатын
Запаленне падстраўнікавай залозы|панкрэатыт
Музей розных характэрных рэчаў (васковых постацяў, рэдкасцяў і т. п.)|паноптыкум
Паперка, выкарыстоўваная для хатняй халоднай завіўкі валасоў|папільётка
Папяровая трубачка, напрананая на ножкі куранятаў, індычак, дзічыны, а таксама на костачкі отбивных катлет пры іх зажаривании|папільётка
Споравая бяскветкавая расліна сямейства кочедыжниковых з буйным, моцна рассечаным лісцем, якое расце ў цяністых волкіх месцах|папараць
Аўтаматычны хуткастрэльны пісталет адмысловай сістэмы|парабелум
Паверхня, што ўтвараецца рухам парабалы вяршыня якой слізгае па іншай нерухомай парабале, прычым пляцы абедзвюх парабал застаюцца ўзаемна перпендыкулярнымі|парабалоід
Урачыстасць, святочнасць, пышнасць|параднасць
Лад жыцця паразіта|паразітызм
Каучук, які здабываецца з дзікарослай гевеі старадаўнім саматужным спосабам|паракаўчук
Ілжыва пабудаванае меркаванне ў выніку ненаўмыснай лагічнай памылкі|паралагізм
Запаленне околоматочной абалоніны|параметрит
Запаленне околопочечной тлушчавай абалоніны|паранефрыт
Складанне, сувязь самастойных, непасрэдна наступных сябар за сябрам прапаноў, не аб'яднаных звязамі, інтанацыяй у складаную прапанову (у лінгвістыцы)|паратаксис
Скачкі з парашутам як выгляд спорту|парашютизм
Выкапнёвы гад, што мела на целе панцыр з касцяных бляшак|парейазавр
Кніга, якая змяшчае паремии|паремейник
Майстар, што займаецца галеннем, стрыжкай, кладкай, завіўкай і т. п. волас|цырульнік
Захворванне атачальных зубы тканін|парадантоз
Трубаправод, па якім праходзіць пара|паропровод
Група, якая ўваходзіць у склад першаснай партыйнай арганізацыі (у СССР)|партгрупа
Сукупнасць усіх ветразяў судна|паруснасць
Велічыня паверхні, на якую дзейнічае вецер|паруснасць
Араматычныя, касметычныя вырабы і гігіенічныя асвяжальныя сродкі (духі, адэкалон, духмяныя мыла і т. п.)|парфумерыя
Аўтар пасквіля|пасквілянт
Сямейства зрослапялёсткавых двухдольных раслін (бульба, памідоры, баклажаны і т. п.)|пасленовые
Службовая асоба, якое займаецца афармленнем і выдачай пашпартоў|пашпартыст
Пасада, званне пастара|пастарства
Дзейнасць пастара|пастарства
Апошні перыяд першабытна-супольнага радавога ладу, наступны за матрыярхатам, што характарызуецца панаваннем мужчыны ў гаспадарцы і грамадскіх адносінах|патрыярхат
Маёмасць, якое перайшло па спадчыне ад бацькі|патрымоній
Каханне да сваёй айчыны, адданасць свайму народу і адказнасць перад ім, гатовасць да любых ахвяр і подзвігам у імя інтарэсаў сваёй Радзімы|патрыятызм
Творы хрысціянскіх мысляроў, у якіх выкладзены асновы хрысціянскага набажэнства і хрысціянскай філасофіі|патрыстыка
Частка багаслоўя, што займаецца вывучэннем складанняў бацькоў царквы|патрыстыка
Частка багаслоўя, які займаецца вывучэннем складанняў бацькоў царквы|патралогія
Жонка патрона|патранэса
Дабрачынніца, апякунка прытулку, багадзельні і т. п.|патранэса
Найменне па продках бацькаўскай лініі|патранімія
Паталагічнае патаўшчэнне скуры ці слізістай абалонкі|пахидермия
Навуковая дысцыпліна пра выхаванне і навучанні|педагогіка
Перакручаныя палавыя адносіны мужчыны з мужчынам; педэрастыя|педэрастыя
Ўлада юнакоў, дзяцей|педократия
Сярэдняя навучальная ўстанова, якое рыхтавала настаўнікаў пачатковай школы, выхавальнікаў дзіцячых садоў і т. п.; педагагічная вучэльня (у СССР)|педвучылішча
Дужая – не хлебная – гарэлка, якая ўжываецца рэлігійнымі габрэямі на вялікдзень|пейсаховка
Пытляваная пакута|пытляванка
Прыбор для пеленгацыі, для вызначэння месцазнаходжання аб'екта|пеленгатор
Компас для пеленгацыі|пелькомпас
Прадпрыемства грамадскага сілкавання, дзе падаюцца пяльмені|пяльменная
Лячэбны прэпарат, изготовляемый з некаторых выглядаў плесневого грыбка|пеніцылін
Адмысловы прадмет з паглыбленнем для недакуркаў і тытунёвага попелу|попельніца
Перавага ў чым-небудзь (па значэнні, заслугам, якасцям)|першынство
Першае месца ў вытворчых ці спартовых спаборніцтвах|першынство
Становішча таго, хто зрабіў першым, раней усіх іншых|першынство
Спаборніцтвы, у выніку якіх прысвойваецца званне чэмпіёна|першынство
Першапачатковая, зыходная выява, выгляд чаго-небудзь; прататып|першаўзор
Первотельная карова|пяршачка
Назва падкласа вымерлых клювоголовых гадаў, што адносяцца да пермскай і триасской фармацыі|першаяшчары
Тридцатипроцентный водны раствор перакісу вадароду|пергидроль
Птушка сямейства сяўцоў атрада кулікаў|перавозчык
Паўторныя выбары ў выпадку адмены першых выбараў|пераабранні
Выбары чальцоў арганізацыі, якія праводзяцца праз вызначаныя прамежкі часу|пераабранні
Абмен меркаваннямі з кім-або з мэтай дамовіцца|перамовы
Абмеркаванне з мэтай высвятлення пазіцыі бакоў ці зняволенні дамовы|перамовы
Паўторны допыт|перадопыт
Заяўка, зробленая паўторна ці нанова|перезаявка
Шматпластовая клееная фанера|пераклейка
Праверка прысутнасці вызначаных твараў выклікам па імёнах, прозвішчам|пераклічка
