Несправядлівае, прадузятае стаўленне навошта-або; прадузятасць|прыхільнасць
Знаходжанне, асабістае знаходжанне ў якім-небудзь месцы ў дадзены момант|прысутнасць
Урадавая ўстанова (у Расійскай дзяржаве да 1917 г.)|прысутнасць
Крывадушныя паводзіны з мэтай увесці ў зман, у зман|прытворства
Сямейства дробных жукоў, якія валодаюць здольнасцю не рухацца пры пагражальнай небяспецы|притворяшки
Грубіянскае, што сцясняе волю, якое абмяжоўвае ў правах стаўленне з боку каго-або|прыгнёт
Філасофская катэгорыя для пазначэння аб'ектыўнай сувязі і ўзаемазалежнасці з'яў матэрыяльнага свету|прычыннасць
Падганянне што труцца металічных паверхняў шляхам выраўноўвання іх шаберам|прышаброўка
Рэчывы, з якіх у арганізме чалавека і жывёлы могуць утварыцца вітаміны|правітаміны
Няпоўная сярэдняя агульнаадукацыйная навучальная ўстанова для хлопчыкаў ці дзяўчынак (у Расійскай дзяржаве да 1917 г.)|прагімназія
Спосабы ўсталявання, складанні прагнозаў|прагностыка
Погляды, перакананні, настроі прагрэсіста|прогрессизм
Імкненне распаўсюдзіць сваю веру, звярнуць іншых у сваю веру|празелітызм
Асноўнае паняцце дыферэнцыяльнага вылічэння, якое характарызуе хуткасць змены функцыі (у матэматыку)|вытворная
Друкаваны ці рукапісны лісток палітычнага – звычайна агітацыйнага – утрыманні; улётка|пракламацыя
Частка медыцыны, што вывучае хваробы тоўстага кішачніка|проктология
Дзяржаўная ўстанова, якое здзяйсняе нагляд за выкананнем законаў і што прываблівае да адказнасці парушальнікаў закона|пракуратура
Развагі, якія маюць мэтай даць папярэднія звесткі пра прадмет; уводзіны ў вывучэнне|пролегомены
Клас пралетараў|пралетарыят
Культурна-асветная і літаратурна-мастацкая добраахвотная арганізацыя пралетарскай самадзейнасці ў розных абласцях мастацтва, асабліва ў літаратуры і тэатры (у Расіі ў 1917–1932 гг.); пралетарская культура|пралеткульт
Падаўжэнне тэрміна выканання абавязання, усталяванага дамовай бакоў, судовым рашэннем ці актам дзяржаўнай улады|пралангацыя
Прастора паміж заднепраходнай адтулінай і вонкавымі палавымі органамі (у чалавека і хрыбетных жывёл)|пахвіна
Прадказанне, якое з'яўляецца – па рэлігійных уяўленнях – адкрыццём Бога|вяшчунства
Прадказанне, прадбачанне|вяшчунства
Згода бацькоў нявесты на шлюб, што суправаджаецца – па старым рускім абрадзе – прошаным абедам з аб'явай жаніха і нявесты|просватание
Першая частка праваслаўнай літургіі|праскамідыя
Публічнае асуджэнне з аб'явай па-за законам твараў, занесеных у адмысловы спіс (у Старажытным Рыме)|праскрыпцыя
Кірунак лініі скрыжавання пласта горнай пароды з гарызантальнай плоскасцю|простирание
Жанчына, якая займаецца прастытуцыяй|прастытутка
Продаж жанчынамі свайго цела з мэтай здабыць сродкі да існавання|прастытуцыя
Няхітрая, наіўная даверлівасць, чыстасардэчнасць|прастадушнасць
Густое закіслае малако|сыраватка
Гутарковая гаворка малаадукаваных носьбітаў мовы (звычайна гараджан)|прастамоўе
Акцёр у старажытнагрэцкім тэатры, што выконваў галоўныя ролі ў трагедыі ці камедыі|протагонист
Галоўны дзейсны твар у мастацкім творы, звычайна драме|протагонист
Радыёактыўны элемент, бліскучы светла-шэры метал|пратактыній
Форма падначалення слабой дзяржавы мацнейшаму, пры якой слабая дзяржава губляе сваю самастойнасць|пратэктарат
Форма аднаасобнай дыктатуры, якая здзяйсняецца тварам, што кіруе дзяржавай да паўналецця спадчынніка прастола ці пры адмысловых акалічнасцях|пратэктарат
Дзяржава, змешчанае пад вярхоўным кіраваннем іншай краіны|пратэктарат
Адмысловыя ахоўныя целы, якія з'яўляюцца ў арганізме пры пранікненні ў яго мікроба; антыцелы|противотела
Старэйшы дыякан|протодьякон
Пратакольны стыль выкладу|протоколизм
Асноўнае рэчыва клеткі жывёльнага і расліннага арганізма|пратаплазма
Жонка пратапопа|протопопица
Выкапень ящерицеобразное гад|проторозавр
Пакой, прызначаная для працэдур|працэдурная
Атрад казурак з грубейшымі перадпакоямі (з дзвюх пар) крыламі і што грызуць ротавымі органамі|прямокрылые
Спявак псаломаў|псалмопевец
Спеў псаломаў|псалмопение
Вершаваныя перакладанні з Бібліі|псалмопение
Чалавек, які пакутуе псіхастэніяй|псіхастэнік
Хваравіты стан псіхікі, што выяўляецца ў падвышанай уражлівасці, няўпэўненасці ў сабе, сталых сумневах, дакучлівых думках і т. п.|псіхастэнія
Кірунак у сацыялогіі, якое зводзіць заканамернасці грамадскага жыцця да заканамернасцяў індывідуальнай ці групавой псіхалогіі|псіхалагізм
Схільнасць да паглыбленага малюнка псіхічных з'яў, глыбокаму псіхалагічнаму аналізу|псіхалагізм
Захворванне цэнтральнай нервовай сістэмы без арганічнай яе паразы (істэрыя, неўрастэнія)|псіханеўроз
Назва сялянскай вайны супраць прыгоннага прыгнёту пад правадырствам Пугачова (у Расійскай дзяржаве 1773–1775 гг.)|пугачоўшчына
Атрад казурак з вузкім доўгім целам, адно- ці двучлениковыми лапкамі з двума слаба развітымі кіпцікамі, паміж якімі знаходзіцца присасывательный бурбалка|пузыреногие
Одзін з персанажаў італьянскай народнай камедыі масак – жартаўнік і весялун, які адрозніваецца спрытам і кемлівасцю|пульчинелла
Пустэча, бязлюддзе|пустэльнасць
Кладка ці здыманне рэйкавых – чыгуначных ці трамвайных – шляхоў|пуцеўкладка
Паездка ці перасоўванне пешшу, звычайна далёка ад свайго сталага месцазнаходжання|вандраванне
Жанр мастацкай ці навуковай літаратуры, што змяшчае геаграфічныя і этнаграфічныя звесткі, апісанне ўражанняў і разважанняў аўтара і т. п.|вандраванні
Геаграфічная карта, выкананая ў маштабе пяці вёрст у цалі|пяцівёрстка
Хвароба раслін, якая выяўляецца ва ўзнікненні плям (звычайна на лісці)|плямістасць
Кабала як сярэднявечнае містычнае вучэнне і злучаныя з ім магічныя ўяўленні і абрады|каббалистика
Тэлеграма, што перадаецца па падводным кабелі сувязі|каблаграма
Салдат ці афіцэр адмысловага прывілеяванага кавалерыйскага палка (у войскі Расійскай дзяржавы ХVIII ст. – пачала ХХ ст.)|кавалергард
Аптычны прыбор у выглядзе трубкі з устаўленымі ў яе пад кутом 60 градусаў люстранымі шкламі і пакладзенымі паміж імі рознакаляровымі кавалкамі шкла, паперы і т. п., у якім можна назіраць хутка якія змяняюцца сіметрычныя каляровыя ўзоры|калейдаскоп
Мастацтва пісаць выразным, прыгожым почыркам|каліграфія
Вылічэнне сабекошту адзінкі вырабленай прадукцыі ці выкананай працы па ўсталяванай наменклатуры выдаткаў|калькуляцыя
Радовішча розных парод каменя дзе вырабляецца яго выпрацоўка|каменяломня
Травяністая расліна сямейства травы, плады якога выкарыстоўваюцца як корм для пакаёвых птушак (галоўным чынам канарак)|канарачнік
Артыст цырка, што паказвае сваё мастацтва на высока нацягнутым паміж апорамі ліне|канатаходзец
Выступоўца ў якасці кандыдата|кандыдатура
Людаедства|канібалізм
Паглынанне жывёламі асаблівей свайго выгляду|канібалізм
Вучэнне заснавальніка класічнай нямецкай філасофіі І. Канта|кантыянства
Сукупнасць вучэнняў, якія прылягаюць да вучэння Канта|кантыянства
Механізм для кантования нарыхтовак, дэталяў, вырабаў пры іх апрацоўцы, аглядзе, пакаванню і т. п.|кантователь
Слова ці зварот гаворкі, характэрныя для стылю дзелавых папер, дакументаў і т. п.|канцылярызм
Найнізкая службовая асоба ў дзяржаўных установах, якое займалася падрыхтоўкай і афармленнем дакументаў і не мелае класнага чыну (у Расійскай дзяржаве да 1917 г.)|канцылярыст
Знаходжанне ў чыне і пасады канцлера|канцлерство
Тэатральная служка, правяральны ў наведвальнікаў уваходныя квіткі, які паказвае месцы, сачыльны за парадкам і т. п.|капельдынер
Знаходжанне ў званні, чыне капітана|капитанство
Дзейнасць капітана|капитанство
Спыненне ваенных дзеянняў і рэшта пераможцу на прадыктаваных ім умовах|капітуляцыя
Дамова з пераможаным непрыяцелем пра ўмовы спынення ваенных дзеянняў (у ХVIII–ХIХ стст.)|капітуляцыя
Службовая асоба ў вайсковай частцы, якое ведала захоўваннем і выдачай харча, абмундзіраванні і зброі (у Савецкім Войску – з 1918 г. да 50-х гадоў)|каптэнармус
Народ цюркскай этноязыковой групы|каракалпакі
Грамадска-палітычны рух карбанарыяў|карбонаризм
Хвароба, якая характарызуецца з'яўленнем на целе мноства карбункулаў|карбункулез
Частка медыцыны, што вывучае будынак, функцыі і захворванні сардэчна-судзінкавай сістэмы і распрацоўвальны метады іх лячэння і прафілактыкі|кардыялогія
Паслядоўнік картэзіянства|картэзіянец
Манашка каталіцкага ордэна, заснаванага ў ХIII ст. у Францыі і падпарадкоўвальнага ордэну картэзіянцаў|картезианка
Навуковая дысцыпліна, якая вывучае метады стварэння і выкарыстанні карт; складанне карт|картаграфія
Прамая лінія, што мае з крывой адну агульную кропку, але не перасякалая яе (у матэматыку)|датычная
Сямейства однодольных шматгадовых раслін з вузкім лісцем (шматлікія – з буйнымі, ярка афарбаванымі кветкамі), да якога ставяцца гладыёлус, галубок, шафран і т. п.; ірысавыя|касатиковые
Майстар па вырабе рондаляў|кастрюльник
Частка вершазнаўства, у якім вывучаюцца рытмічныя формы канчатка верша|каталектыка
Канчатак верша скарочанай у параўнанні з астатнімі ступнёй|каталектыка
Рэчыва, якое павялічвае хуткасць хімічнай рэакцыі|каталізатар
Лік, адлюстроўванае ў дзесятковым запісе адзінкай з васямнаццаццю нулямі, а ў некаторых краінах – з трыццаццю нулямі|квинтиллион
Пакой для кялейніка, кялейніцы|келейницкая
Навуковая дысцыпліна, што вывучае агульныя заканамернасці працэсаў кіравання і перадачы інфармацыі ў арганізаваных сістэмах (у машынах, жывых арганізмах і грамадстве)|кібернетыка
Кіназдымачны апарат|кінаапарат
Навуковая дысцыпліна, якая вывучае тэорыю і гісторыю кінамастацтва, акцёрская творчасць, рэжысуру, праблемы кінадраматургіі, киномузыку, мастацтва аператара і мастака і т. п.|кіназнаўства
Одзін з жанраў кінамастацтва; кінастужка камічнага ўтрымання|кинокомедия
Кінастужка ці кіначасопіс, прысвечаныя бягучым падзеям|кінахроніка
Жанр кінамастацтва, злучаны з запечатлением бягучых падзей|кінахроніка
Сямейства раслін класа іглічных, да якога ставяцца кіпарыс, туя, ядловец і т. п.|кіпарысавыя
Прыбор для кіпячэння вады|кіпяцільнік
Ступень утрымання кіслаты|кіслотнасць
Варэнне, падрыхтоўка клею|клеяварэнне
Псіхічнае захворванне, якое выяўляецца ў схільнасці да крадзяжу|клептаманія
Палітычная і ідэалагічная плынь, што імкнецца да ўзмацнення ўплыву каталіцкай царквы і духавенствы на ўсе сферы грамадскага жыцця|клерыкалізм
Зараслі клешчавіны|клещевинник
Праява істэрыі (звычайна ў жанчын), якое выяўляецца ў сутаргавых прыпадках, выкрыках, галашэннях, вішчаннях, бурнай жэстыкуляцыі|клікунства
Конноспортивная гульня ў некаторых народаў Сярэдняй Азіі, у якой вершнікі імкнуцца адняць сябар у сябра абезгалоўленую тушу казла|козлодрание
Гадоўля хатніх коз як галіна жывёлагадоўлі|козагадоўля
Званок у форме невялікага звана|званок
Палітыка захопу асад, усталяванні ў іх каланіяльных рэжымаў|каланіялізм
Злучэнне ліній перадачы электраэнергіі, нафтаправодаў і т. п. у адзіную сістэму|кальцаванне
Начальнік буйнага вайсковага злучэння, ваеннай акругі|камандавалы
Выдумшчык камедыі|камедыёграф
Установа, якое ўзначальваецца кашталянам|камендатура
Назва шэрагу дзяржаўных і адміністрацыйных устаноў, на чале кожнага з якіх варта камісар|камісарыят
Установа ваеннага ведамства, што ведала забеспячэннем войска (у Расійскай дзяржаве да 1917 г.)|камісарыят
Фізічнае ці службовая асоба, за вызначаную ўзнагароду здзяйсняльнае ўгоды ў карысць і за кошт камітэнта, але ад свайго імя|камісіянер
Тлумачэнні да тэксту, яго тлумачэнне, тлумачэнне|каментар
Развагі, тлумачальныя заўвагі з нагоды|каментар
Аўтар каментара|каментатар
Прадстаўнік фірмы, у паездках які складаў гандлёвыя ўгоды; раз'язны агент, што прапануе тавары фірмы па ўзорах і каталогам|коміваяжор
Жанчына, якая запрашалася ў панскую хату для забаўкі ці для суправаджэння на шпацырах, у паездках і т. п. гаспадыні ці яе дочак (у Расійскай дзяржаве да 1917 г.)|кампаньёнка
Прылада для ўхілення ўплыву розных фактараў (тэмпературы, ціскі і т. п.) на стан і працу машын, прыбораў і т. п.|кампенсатар
Пакрыццё, папаўненне|кампенсаванне
Выплата працоўным і служэлым грашовых сум звыш зарплаты ў прадугледжаных законам выпадках|кампенсаванне
Ўхіленне ўплыву розных фактараў (тэмпературы, ціскі і т. п.) на працу машын, прыбораў і т. п. (у тэхніку)|кампенсаванне
Рэакцыя арганізма на пашкоджанне, якая складаецца ў пакрыцці функцый пашкоджаных тканін і органаў за кошт непашкоджаных органаў і тканін (у медыцыне)|кампенсаванне
Вобласць ведаў, круг пытанняў, у якіх хто-небудзь добра дасведчаны|кампетэнцыя
Круг паўнамоцтваў, мае рацыю органа ці службовыя асобы|кампетэнцыя
Горная парода, што складаецца са сцэментаванага галечніка з прымешкай пяску, жвіру|кангламерат
