Зладжанасць, узгодненасць дзеянняў|налаженность
Лінія, якая вызначае кірунак, па якім рухаецца прамая, што ўтварае канічную ці цыліндрычную паверхню|накіравальная
Частка станіны станка ці іншых прылад, якая вызначае рух дэталяў пры працы|накіравальны
Вайсковец ці адно з вайсковых падраздзяленняў, якія рухаюцца наперадзе (атрада войскаў)|накіравальны
Гушчыня насельніцтва|населенасць
Здольнасць убіраць у сябе вадкія рэчывы, пары, газы|насычальнасць
Выкапнёвы чалавек, што насяляў у эпоху ніжняга і сярэдняга палеаліту ў некаторых раёнах зямнога шара|неандэрталец
Непачцівы ўчынак|няветлівасць
Невыкананне|невыкананне
Нерухомая маёмасць: хата, зямельны ўчастак і т. п.|нерухомасць
Нездаволенасць, незадавальненне|незадаволенасць
Недастатковая, няпоўная ўкамплектаванасць|недакамплект
Непрыязнае стаўленне, непрыхільнасць|недружалюбнасць
Няведанне чаго-небудзь; недасведчанасць|незнаёмства
Невыкананне, нездзяйсненне|невыкананне
Няздольнасць да праявы літасці; жорсткасць|неміласэрнасць
Эвалюцыйная канцэпцыя, створаная нямецкім біёлагам А. Вейсманом у 80–90-х гадах ХIХ ст., у аснове якой ляжыць яго вучэнне, часта званае вейсманизмом|неадарвінізм
Паслядоўнік неакантыянства|неакантыянец
Адмова ад падначалення; непадпарадкаванне|непадпарадкаванне
Атрад млекаспажыўцоў жывёл са спрошчанымі па будынку зубамі ці без зубоў (у заалогіі)|неполнозубые
Некранутасць, цнота|бязгрэшнасць
Нежаданне слухацца каго-або, падпарадкоўвацца каму-або|непаслушэнства
Судовая вытворчасць, заснаванае на парушэнні мае рацыю, законаў|неправасуддзе
Ўласцівасць, асаблівасць непрыемнага|непрыемнасць
Непрыемнае здарэнне, падзея і т. п.|непрыемнасць
Стан неабыякавага|неабыякавасць
Ухіленне ад выканання чаго-небудзь, адсутнасць выканання чаго-небудзь|незахаванне
Адсутнасць супадзення|несупадзенне
Прадукт, які атрымліваецца шляхам перапрацоўкі нафты (газа, бензін, мазут і т. п.)|нафтапрадукт
Адмысловец па нівеліраванні, нівеліроўцы|нівеліроўшчык
Царкоўныя рэформы патрыярха Нікана выклікалыя раскол сярод вернікаў і якія прывялі да фармавання стараверства|ніканіянства
Хіміка-тэрмічная апрацоўка паверхні сталёвых вырабаў для надання ёй высокай цвёрдасці|нитрирование
Працэс ператварэння аміяку ў азотную кіслату|нітрыфікацыя
Зноў уведзенае; навіна|новаўвядзенне
Жыхары Новай Зеландыі|новазеландцы
Нядаўна што хрысціўся чалавек|новокрещенец
Сукупнасць ці пералік тэрмінаў, назваў, якія ўжываюцца ў вобласці ведаў, адмысловасці і т. п.|наменклатура
Круг службовых асоб, прызначэнне ці сцвярджэнне якіх ставіцца да кампетэнцыі вышэйстаячага органа|наменклатура
Сямейства двухдольных спайнолепестных раслін|норичниковые
Парода буйных даўгашэрсных сабак|ньюфаўндленд
Здольнасць да ўзбагачэння|обогатимость
Ступень узбагачэння|обогатимость
Прыбор, прыстасаванне для абагравання|абагравальнік
Сукупнасць механізмаў, прыбораў, прыстасаванняў, неабходных для вытворчасці прац|абсталяванне
Рэчыва, элемент, якія ўтвараюць штосьці|образователь
Будынак, адмыслова абсталяванае для астранамічных, метэаралагічных назіранняў|абсерваторыя
Вельмі варожае стаўленне да асветы і навуцы; цемрашальства|абскурантызм
Увасабленне, выраз чаго-небудзь у чым-небудзь аб'ектыўным, даступным успрыманню|аб'ектывацыя
Гадоўля гародніны як галіна сельскай гаспадаркі|агародніцтва
Апарат для тушэння пажару ці агню|вогнетушыцель
Захоп землеўладальнікамі супольных земляў (распачаты ў канцы ХV ст. у Англіі і атрымалы там найвялікае развіццё)|агароджванне
Прыбор, які робіць немагчымай працу машыны, прылады за межамі ўсталяваных велічынь|абмежавальнік
Знаходжанне мужчынскіх – тычиночных – і жаночых – пестичных – кветак на адной і той жа асобіны расліны|аднадомнасць
Культурны і дзікарослы выгляд полбы, што мае ў каласку адно збожжа|адназярнянка
Частка гідралогіі, які вывучае ўнутраныя вадаёмы; лімналогія|озероведение
Скамянелая жывёла, расліна ці частка іх|закамянеласць
Частка фізічнай геаграфіі, што займаецца вывучэннем мораў|акіянаграфія
Сценка плёну раслін, якая атачае насенне|каляплоднік
Вонкавая частка кветкі, што атачае тычачкі і песцік|калякветнік
Скончанасць, завершанасць|скончанасць
