Кірунак, бок, процілеглыя поўдню|поўнач
Збруя для верхавой язды ў выглядзе сядушкі для вершніка, укрепляемого на спіне каня, мула і т. п.|сядло
Скураная сядушка ў ровара, матацыкла, мотаролера|сядло
Пасажыр, які едзе ў экіпажы, а таксама ў аўтамабілі, на матацыкле і т. п.|коннік
Вершнік, верхавы|коннік
Алейная паўднёвая аднагадовая расліна; кунжут|сезам
Адно з чатырох пор года|сезон
Частка года, найболей падыходная і звычайна выкарыстоўваная для дзейнасці, заняткаў, прац, адпачынку і т. п.|сезон
Ручная рэжучая прылада для рассячэння|сякач
Механізм для разрезывания торфу на цэглу|сякач
Сталы самец з ікламі (кабан ці марскі каток)|сякач
Рэлігійная абшчына, якая адшчапілася ад панавальнай царквы|секта
Хімічны элемент – сера-чорны металлоид, што ўжываецца пры вырабе фотаэлементаў, а таксама ў шкляной прамысловасці|селен
Род аднагадовых ці шматгадовых травяністых раслін сямейства травы|селин
Народнае свята глыбокай пашаны душам памерлых, які адзначаецца на сёмым тыдні пасля Вялікдня і што суправаджаецца завіваннем вянкоў, варажбой і т. п.|сёмуха
Група блізкіх сваякоў (муж, жонка, бацькі, дзеці і т. п.), якія жывуць разам|сям'я
Група жывёл, птушак, што складаецца з самца, адной ці некалькіх самак і дзіцянятаў|сям'я
Рада старэйшын, вышэйшы орган дзяржаўнай улады ў Старажытным Рыме|сенат
Вышэйшая судова-адміністрацыйная ўстанова (у Расійскай дзяржаве з 1711 г. па 1917 г.)|сенат
Верхняя палата парламента ў некаторых дзяржавах|сенат
Головоногий малюск, у целе якога ўтрымоўваецца карычневае якое фарбуе рэчыва|сэпія
Натуральная ці сінтэтычная карычневая фарба, мала што змяняецца пад уплывам святла і паветра|сэпія
Паўднёваславянская народнасць, якая жыве на Балканскім паўвостраве|сербы
Шэраг аднастайных прадметаў, што маюць агульная, якая аб'ядноўвае прыкмета|серыя
Шэраг вырабаў, вырабленых па адзіным узоры|серыя
Разрад, катэгорыя каштоўных папер (грашовых знакаў, аблігацый), што пазначаецца лічбамі ці літарамі|серыя
Частка кінастужкі, якая дэманструецца самастойна|серыя
