Чалавек мужчынскай падлогі ва ўзросце, пераходным ад малалецтва да сталасці|юнак
Адмысловец з юрыдычнай адукацыяй; прававед|юрыст
Практычны дзеяч у вобласці права|юрыст
Лішайнік, што служыць асноўны ежай для паўночных аленяў узімку|ягель
Невялікі сакавіты плён хмызняковых ці травяністых раслін|ягада
Буйная драпежная жывёла сямействы каціных з кароткай чырванавата-жоўтай плямістай поўсцю, якое насяляе ў Паўднёвай Амерыцы і Мексіцы|ягуар
Парная мужчынская палавая залоза, што выпрацоўвае народкі і змяшчальная ў машонцы (у анатоміі)|яечка
Прыстасаванне для ўтрымання на месцы судоў, плывучых маякоў і т. п. у выглядзе прымацаванага да доўгага ланцуга металічнага стрыжня з лапамі, якія зачапляюцца за грунт|якар
Круцельная частка ў электрычных машынах і турбінах, што нясе на сабе абмотку; ротар|якар
Народ цюркскай групы, які складае асноўнае насельніцтва Якутыі|якуты
Вазніца на паштовых, ямских канях|фурман
Кучар, вазніца|фурман
Лісток на тавары з указаннем яго наймення, вагі, колькасці і т. п.|цэтлік
Найнізкая паліцэйская служка (у Маскоўскай дзяржаве ХVI–ХVII стст.)|ярыга
Дрэва сямейства маслинных з пёрыстым лісцем і шчыльнай драўнінай, якая ідзе на розныя вырабы|ясень
Ікра ў плёнцы, вынятая з рыбы|ястык
Старадаўняя назва лала, сапфіра і некаторых іншых каштоўных камянёў|яхант
Частка свяцільні, звычайна ў выглядзе каўпака, прызначаная для засяроджвання і адлюстраванні святла і абароны вачэй ад яго ўздзеяння|засня
Настойка на палыне ці мяце|абсэнт
Недарэчнасць, бяссэнсіца|абсурд
Хваравітае бязволле, поўная адсутнасць жаданняў, імкненняў да дзейнасці|абулія
Пашкоджанне, паломка механізму, машыны, дэталі і т. п. падчас працы ці рухі|аварыя
Народ нахско-дагестанскай этноязыковой групы, які складае – нароўні з лезгінамі, даргінцамі і т. п. – карэннае насельніцтва Дагестана|аварцы
Назва восьмага месяца каляндарнага года|жнівень
Багіня ранішняга світанку (у старажытнарымскай міфалогіі)|аўрора
Бясшлюбнасць|агамія
Адсутнасць падлогі (у біялогіі)|агамія
Ўсе чальцы сям'і, якія адбываюцца па мужчынскай лініі ад аднаго родапачынальніка, а таксама што ўвайшлі ў сям'ю ў выніку шлюбу ці ўсынаўленні (у праве старажытных рымлян)|агнаты
Крэўныя сваякі-мужчыны, злучаныя паходжаннем па мужчынскай лініі (у праве старажытных германскіх народаў)|агнаты
Стан, папярэдняе наступу смерці|агонія
Вострая духмяная заправа да мясных і рыбных страў|аджыка
Аднагадовая ці шматгадовая травяністая расліна сямейства казяльцовых з буйнымі жоўтымі кветкамі|аданіс
Настой з кветак і лісця светніка, які ўжываецца для лячэння сардэчна-судзінкавых захворванняў|аданіс
Мінерал, празрыстая ці напаўпразрыстая бясколерная разнавіднасць каліевага палявога шпата; месяцовы камень|адуляр
Дэкаратыўная хмызняковая расліна з буйнымі лейкападобнымі кветкамі рознай афарбоўкі|азалія
Сукупнасць літар, выкарыстоўваных у сістэме ліста, пабудаванага на аснове славянскіх літар; алфавіт|азбука
Кніга, табліца і т. п., выкарыстоўваная пры навучанні грамаце|азбука
Сістэма ўмоўных знакаў, якая служыць для перадачы, малюнкі|азбука
Кут паміж плоскасцю мерыдыяна кропкі назірання і вертыкальнай плоскасцю, што праходзіць праз дадзеную кропку і свяціла, вымераны па гарызонце (у астраноміі і геадэзіі)|азімут
Кут, які ўтвараецца зададзеным кірункам руху і кірункам на поўнач|азімут
Мінерал сіняга колеру – водосодержащий карбанат медзі, выкарыстоўваны для выраба сіняй фарбы, атрыманні меднага купарваса, выплаўленні медзі; медны блакіт|азурыт
Высокае хуткарослае дрэва з непарноперистыми лісцем і дробнымі кветкамі, сабранымі ў венікавыя суквецці|айлант
Вымаўленне ў пераднаціскных складах замест гуку [о] гуку [а] ці гуку, блізкага да [а], уласцівае рускай літаратурнай мове, паўднёварускім гаворкам і беларускай мове|аканне
Хвароба раслін, жывёл ці чалавека, што выклікаецца абцугамі|акароз
Трапічная і субтрапічная расліна сямейства мімозавых, некаторыя выгляды якога маюць каштоўную драўніну|акацыя
Спалучэнне некалькіх гукаў рознай вышыні, успрыманае слыхам як гукавое адзінства|акорд
Атрутная травяністая расліна сямейства казяльцовых з сінімі, фіялетавымі ці жоўтымі кветкамі, некаторыя выгляды якога выкарыстоўваюцца ў медыцыне|аканіт
Саранчовая казурка|акрида
Націск (у лінгвістыцы)|акцэнт
Вылучэнне гуку ці акорда шляхам яго ўзмацнення (у музыцы)|акцэнт
Адмысловы характар вымаўлення, які выяўляецца ў адступе ад моўнай нормы і ўласцівы носьбітам мовы ці дыялекту, размаўлялым не на роднай мове|акцэнт
Згода скласці дамову на прапанаваных умовах (у правазнаўстве)|акцэпт
Адна з асноўных формаў безнаяўнага разліку паміж арганізацыямі (у эканоміцы)|акцэпт
Згода на аплату грашовых дакументаў – аплатных патрабаванняў, рахункаў, вэксаляў і т. п. – праз банк|акцэпт
Народ эскімоса-алеўцкай этноязыковой сем'і, які насяляе Алеўцкія і Командорские выспы|алеўты
Пунсовы колер|алость
Месца ахвярапрынашэнняў; ахвярнік (у старажытных народаў)|алтар
Галоўная, усходняя частка хрысціянскага храма, адлучаная алтарнай перашкодай, а ў праваслаўных храмах – іканастасам|алтар
Мінерал, выкарыстоўваны для атрымання галыну, гліназёму і т. п.|алуніт
Пераплеценыя ў выглядзе кнігі ці сшыткі чыстыя лісты, прызначаныя для малявання, запісы вершаў, для захоўвання калекцый марак, паштовак і т. п.|альбом
Аб'яднаныя тэмай рэпрадукцыі, чарцяжы, фатаграфіі і т. п. (звычайна з тлумачальным тэкстам), выдадзеныя ў выглядзе кнігі|альбом
Камплект з дзвюх і больш пласцінак|альбом
Ніша ў сцяне для ложка ці канапы, адгароджаная ад асноўнай часткі пакоя заслонай, аркай ці калонамі|алькоў
Аб'яднанне, звяз дзяржаў, палітычных партый на аснове дамоўных абавязанняў|альянс
Бясколерны газ з рэзкім пахам, які ўяўляе сабою злучэнне азоту з вадародам|аміяк
