Моцная шкода; згуба|пагібель
Труп жывёлы|падла
Паласа тканіны, маскіравалая на сцэне верхнія пралёты над дэкарацыямі, светлавую апаратуру і т. п.|падуга
Прастора паміж грудзьмі і прылеглай да яе адзежай|пазуха
Паглыбленне, западзіна, выманне ў чым-небудзь|пазуха
Паражніна ў некаторых органах цела (у анатоміі)|пазуха
Паглыбленне паміж падставай ліста і сцяблом (у батаніку)|пазуха
Дуга збору (у архітэктуры)|пазуха
Пакой, дзе ляжаць хворыя ў лячэбных установах|палата
Назва некаторых дзяржаўных ці грамадскіх устаноў|палата
Складовая частка парламента ці іншага вышэйшага органа дзяржаўнай улады|палата
Назва некаторых судовых і адміністрацыйных органаў (у Расійскай дзяржаве да 1917 г.)|палата
Цяжкая дубінка з патоўшчаным канцом, якая ўжывалася даўней як зброя|булава
местн. Частка сахі ці плуга, якая служыць для паліцы зямлі пры пахании|булава
Частка царкоўнага ўбору вышэйшага духавенства ў выглядзе парчовага квадрата|булава
Прамысловая рыба сямейства камбаловых, што насяляе ў паўночных і далёкаўсходніх морах|палтус
Суцэльнае гарызантальнае перакрыцце на судне ў выглядзе падлогі|палуба
Расліна, распаўсюджанае ў гарачых краінах, якое культывуецца аднак і як дэкаратыўнае (звычайна ў выглядзе дрэва з прамым неветвистым ствалом і сабранымі на вяршыні вечназялёным буйным пёрыстым ці веерападобным лісцем)|пальма
Паляўнічы нож на доўгім тронку-дзяржальні|пальма
Здольнасць запамінаць, захоўваць і прайграваць у свядомасці ранейшыя ўражанні|памяць
Запас уражанняў, што захоўваюцца ў свядомасці і якія могуць быць прайгранымі|памяць
Успамін|памяць
Здольнасць думаць, разважаць, аддаваць справаздачу ў сваіх учынках, пачуццях; свядомасць|памяць
Летні шыракаполы капялюш, плеценая ці крамнінная|панама
Буйнае махлярства з подкупам вышэйшых службовых асоб|панама
Тканіна са штучнага шоўка, звычайна аднакаляровая|панама
Нахільная пакатая пляцоўка для ўезду ці ўваходу ў будынак, на мост, для пераезду з паверху на паверх і т. п.|пандус
Дарожка для пешаходаў па краях вуліцы, пакрытая каменем, асфальтабетонам і т. п.; ходнік|панэль
Аздабленне – драўляная ашалёўка, абклейванне, афарбоўка і т. п. – ніжняй часткі сцен памяшкання, пакоі|панэль
Элемент канструкцыі будынка, які мае форму вялікай пліты, што ўжываецца ў зборным будаўніцтве|панэль
Мармуровая, пластмасавая і т. п. дошка, якая з'яўляецца часткай шчыта ці пульта энергетычнага, прамысловага, транспартнага і т. п. кіраванні|панэль
Участак шахтавага поля, які выдаткоўваецца пры распрацоўцы гарызантальных ці пакатых пластоў карыснага выкапня для ачысткі вымання|панэль
Спадніца з трох палотнаў ваўнянай, звычайна паласатай ці клецістай яркай тканіны, носная сялянкамі|панева
Раптоўнае замяшанне, праява страху пры сапраўднай ці ўяўнай небяспецы, звычайна як масавая з'ява|паніка
Высакародны ці плямісты алень з пантамі|пантач
Пладовае трапічнае дрэва; дынное дрэва|папая
Прадстаўнік аднаго з плямёнаў, што насяляюць Новую Гвінею і некаторыя іншыя выспы Меланезии|папуас
