Якая дэзінфікуе алеістая вадкасць чырвона-бурага колеру|лізол
Дужы, салодкі, духмяны спіртны напой з фруктовых і ягадных сокаў, настояў травы|лікёр
Заліў у нізоўях ракі ці салёнае возера зблізку мардуючы (звычайна багатае лячэбнымі гразямі)|ліман
Лімітавая норма|ліміт
Субтрапічнае вечназялёнае цытрусавае дрэва сямейства рутовых з жоўтымі, кіслага густу пладамі|цытрына
Бясколерная вадкасць у целе чалавека і хрыбетных жывёл, што ўтвараецца з плазмы крыві шляхам яе фільтравання ў межтканевые прасторы і забяспечвальная абмен рэчываў паміж крывёй і тканкамі арганізма|лімфа
Разнавіднасць аптычнага шкла з крывалінейнымі – звычайна сферычнымі – паверхнямі|лінза
Форма залягання горных парод і руд у выглядзе сачавіцы з якая змяншаецца да краёў магутнасцю (у геалогіі)|лінза
Мяжа паверхні, што мае толькі адно вымярэнне – даўжыню – і вызначаная як след рухомай кропкі ці месца скрыжавання дзвюх паверхняў (у матэматыку)|лінія
Рыса, праведзеная на паверхні; вузкая палоска|лінія
Абрыс, контур|лінія
Сістэма прылад для тэлеграфнай ці тэлефоннай сувязі, для перадачы і размеркаванні электраэнергіі|лінія
Старая руская мера даўжыні, якая ўжывалася да ўводзін метрычнай сістэмы мер і роўная адной дзясятай (а раней – адной дванаццатай) цалі|лінія
Аўтар лірычных твораў; лірычны паэт|лірык
Балтыйскія плямёны жывёлагадоўцаў і земляробаў, што прыйшлі ў басейны рэк Нёман і Даугава (папярэднікі сучасных літоўцаў)|літва
Хімічны элемент, серабрыста-белы, мяккі, вельмі лёгкі шчолачны метал|літый
Надзвычайнае набажэнства (у праваслаўных)|літыя
Выплаўлены кавалак металу|литка
Адліваныя металічныя вырабы|ліццё
Сярэдняя агульнаадукацыйная навучальная ўстанова|ліцэй
Прывілеяваная мужчынская навучальная ўстанова для дзяцей дваран, якое рыхтавала вышэйшых дзяржаўных службоўцаў (у Расійскай дзяржаве да 1917 г.)|ліцэй
Прамысловая рыба сямейства кефаляў|лабач
Грудок на зрашчэнні пярэдніх костак таза|лабок
Невялікае судна|лодка
Назва некаторых выглядаў ваенных судоў|лодка
Одзін з прадметаў сталовага прыбора, службовец для зачэрпвання вадкай ці рассыпістай ежы|лыжка
Ўдарная народная музычная прылада|лыжкі
Павойная ці завітая пасма валасоў|пасма
Доўгая нагода, які ўжываецца на манежы пры аб'езджванні канёў; корда|лонжа
