Пяхотнік, узброены крамянёўкай (у войскі Расійскай дзяржавы пачатку ХVIII ст.)|фузилер
Залежная зменная велічыня (у матэматыку)|функцыя
Праява жыццядзейнасці арганізма, тканін, клетак і т. п. (у фізіялогіі)|функцыя
З'ява, якое залежыць ад іншай, асноўнай з'явы і служэлае формай яго праявы ці ажыццяўленні|функцыя
Тычка з дзяленнямі на футы і цалі, прызначаны для вымярэння ўзроўня вады ў вадаёмах невялікай глыбіні|футшток
Цёплая вязаная, без рукавоў ці з рукавамі, кашуля, напрананая для цяпла|фуфайка
Корпус лятальнага апарата, што нясе крылы, шасі і службовец для месцавання экіпажа, пасажыраў, грузу|фюзеляж
Дзяржава, на чале якога варта халіф|халіфат
Рэлігійна-палітычная арганізацыя, усталяванне, пры якім духоўная ўлада над усімі мусульманамі прыналежыць халіфу|халіфат
Званне, тытул хана|ханства
Краіна, вобласць, якая кіруецца ханам|ханства
Адно з дзвюх пачвар, што насялялі на прыбярэжнай скале па адну з бакоў марскога праліва і якое губіла мараплаўцаў (у старажытнагрэцкай міфалогіі)|харибда
Наделенность аўтарытэтам, заснаваным на вылучных – інтэлектуальных, духоўных ці іншых – якасцях асобы|харызма
Густоветвистый безлистный хмызняк з класа голанасенных; эфедра|хвойник
Група голосемянных раслін, да якой ставяцца хвоя, елка, піхта, лістоўніца, ядловец, кіпарыс, туя і т. п.|іглічныя
Сухія, якія адпалі сукі ці галінуй|галлё
Разнавіднасць печыва з тонкіх, далікатных, што выгнуліся падчас варэння ў масле палосак ці завіткоў цеста|галлё
Невялікая костачка, якой сканчаецца хрыбетны слуп; хвостцовая костка, хвасцец|хвасцец
Адыходы пры павеве збожжа|хвасцец
Анёл, які стаіць на адной з вышэйшых (пасля Серафіма) прыступак нябеснай іерархіі (у рэлігійнай міфалогіі)|херувім
Сямейства марскіх рыб атрада окунеобразных|хірургі
Злачыннае прысваенне чужога – звычайна дзяржаўнага ці грамадскага – маёмасці; крадзеж, рабаванне, крадзеж|крадзеж
Атрад млекаспажыўцоў – звычайна пажадлівых – з развітымі ікламі і кіпцюрамі|драпежнікі
Сямейства жукоў падатрада разноядных, асобіны якіх сілкуюцца дробнымі казуркамі і іх лічынкамі|драпежнікі
Прастакутны плашч з зашпількай (у старажытных грэкаў)|халаміда
Корм для пчол у выглядзе кветкавага пылка; пярга|хлебина
Рыбалоўная ці паляўнічая снасць, якой палохаюць рыбу ці звера, каб загнаць у сеткі, у пастку|хлопуша
Салі хлорноватой кіслоты|хлораты
Злучэнні хлору з іншымі элементамі|хларыды
Група слюдоподобных породообразующих мінералаў|хларыты
Солі хлорыстай кіслаты|хларыты
Дэталь верхняй адзежы, што сцягвае яе ў станы на спіне, якая складаецца з вузкай палоскі матэрыі, пришиваемой ці скрепляемой на гузіках, ці з дзвюх палосак, скрепляемых спражкай|хлясцік
Выцягнуты ў трубку рот некаторых членістаногіх, службовец для смактання, абмацванні, праколванні|хабаток
Прыстасаванне для дзіцяці, які вучыцца хадзіць|ходунки
Чалавек з імпульсіўным, выбухным тэмпераментам, што адрозніваецца шпаркасцю дзеянняў, моцнымі і хутка якія ўзнікаюць пачуццямі, якія адлюстроўваюцца на яго паводзінах|халерык
Злучальная дэталь колцавай формы|хамуцік
Заціск у металарэзным станку, што перадае вырабу кручэнне ад патрона|хамуцік
Папярочная планка на рамцы стрэльбавага прыцэла|хамуцік
Народ, які складае асноўнае насельніцтва Харватыі|харваты
Чатырохскладовая ступня, утвораная спалучэннем харэя і ямба, як вершаваны памер у антычным вершаскладанні|харыямб
Старадаўні масавы танец у славянскіх народаў, што суправаджаецца песнямі і драматычным дзеяннем|карагод
Кольца якія ўзяліся за рукі людзей (гульцоў, танцуючых і т. п.)|карагод
Вялікае палатно на доўгім тронку з малюнкам Хрыста ці святых (звычайна якое выносіцца падчас хросных хадоў)|харугва
Жаданне|жаданне
Пучок валасінак на пладах у некаторых раслін сямейства сложноцветных, што спрыяе іх распаўсюду пры дапамозе ветра, воды|хохлік
Адважны чалавек|храбрэц
Наяўнасць хрыпу ў голасе|хрыпата
Назва ўвасаблення другой асобы святой Сёмухі – богачалавека Ісуса, вера ў якога ляжыць у аснове хрысціянскай рэлігіі|Хрыстос
Сплаў нікеля з хромам, які валодае ўстойлівасцю пры высокіх тэмпературах|хромель
Уласцівасць кандыбы|кульгавасць
Запіс падзей у іх часавай паслядоўнасці, вырабляная сучаснікам|хроніка
Назва літаратурнага твора, што складаў у сабе гісторыю грамадскіх, палітычных, сямейных і т. п. падзей|хроніка
Кароткая інфармацыя пра бягучыя падзеі ў перыядычным друку, радыё, кіно і т. п.|хроніка
Дакументальны фільм пра падзеі бягучага жыцця|хроніка
Сын цара|царэвіч
Дачка цара|царэўна
Дзяржава, якое кіруецца царом, царыцай|царства
Кветнік, градка ці садок, дзе растуць кветкі|кветнік
Жук, лічынка якога сілкуецца бутонамі і кветкамі раслін|кветаед
З'яўленне кветкавых сцеблаў у першы год жыцця ў двулетних раслін, што квітнеюць звычайна толькі на другі год|цвітуха
Недахоп часу на абдумванне хадоў у шахматнай ці шашечной партыях|цэйтнот
Зарок бясшлюбнасці ў каталіцкага духавенства|цэлібат
Некрануты, непашкоджаны стан|цэласць
Тонка размолотый бой цэглы, выкарыстоўваны ў якасці гідраўлічнага дадатку да вапны|цемянка
Сістэма дзяржаўнага нагляду за друкам і сродкамі масавай інфармацыі|цэнзура
Выкананне абавязкаў цэнзара ў Старажытным Рыме|цэнзура
Адзінка вымярэння вагі ў метрычнай сістэме мер, роўная 100 кг|цэнтнер
Адзінка масы ў некаторых краінах, роўная 100 фунтам; у Нямеччыне, Вугоршчыны, Даніі – 50 кг|цэнтнер
Група мінералаў, якія адносяцца да водных кремнекислым злучэнням|цэаліты
Маленькі і тонкі ланцуг|ланцужок
Шэраг, чарада|ланцужок
Рэлігійная арганізацыя духавенства і вернікаў, аб'яднаная агульнасцю вераванняў і абраднасці|царква
Будынак, у якім адбываецца хрысціянскае набажэнства; храм|царква
Хатняя птушка атрада курыных|цацарка
Мех, выделываемый са шкуры танкарунных авечак цигайской пароды|цигейка
Бесхрыбтовыя жывёлы атрада весланогіх рачкоў, звычайна насялялыя ў пресноводных вадаёмах, што маюць няпарнае лобнае вока|цыклопы
Травяністая расліна сямейства сложноцветных|цыкорый
Цела, якое ўтвараецца кручэннем прастакутніка вакол адной з яго бакоў (у геаметрыі)|цыліндр
Асноўная дэталь поршневых машын (рухавіка ўнутранага згарання, паравой машыны і т. п.)|цыліндр
Струнная музычная прылада ў выглядзе плоскай скрыначкі з металічнымі струнамі, па якіх, гуляючы, удараюць малаточкамі|цымбалы
Шчыльны плецены выраб з саломы, трыснёга і т. п.|цыноўка
Расліна сямейства осоковых|циперус
Прылада для вычэрчвання акружнасцяў, для фіксацыі даўжыні адрэзка з мэтай вымераць ці адкласці яе ў іншым месцы і т. п.|рогіль
Асаблівасць вымаўлення, якая складаецца ў неразличении гукаў [ц] і [ч], у вымаўленні [ц] на месцы [ч], характэрная для шэрагу рускіх паўночных гаворак (у лінгвістыцы)|цокание
Будан, жыллё чабана|чабарня
Пасудзіна для захоўвання сухога чаю|чайніца
Чайная ў Сярэдняй Азіі, Іране|чайхана
Кілімок з чакана|чаканка
Чараўнік, вядзьмак|чарадзей
Масавы рэвалюцыйны рух ангельскіх працоўных сярэдзіны 30-х – пачала 50-х гадоў ХIХ ст., якія змагаліся за дэмакратызацыю дзяржаўнага ладу|чартызм
Удзельнік чартызму|чартист
Невялікі царкоўны будынак з абразамі, але – у адрозненне ад царквы – без алтара|капліца
Стараверская малельня|капліца
Невялікая частка, маленькая дзель цэлага|часціца
Найпростая, элементарная частка ў складзе рэчыва|часціца
