Палюбоўнік, змешчаны на ўтрыманні жанчыны|альфонс
Прэтэнзіі, дамаганні|амбіцыі
Абвостранае самалюбства, празмерная ганарлівасць; фанабэрыя, пыха|амбіцыя
Адна з пяці частак свету, што ўтвараецца двума мацерыкамі: Паўночнай Амерыкай і Паўднёвай Амерыкай|Амерыка
Каштоўны камень, празрысты мінерал фіялетавага ці блакітнавата-фіялетавага колеру; разнавіднасць кварца|аметыст
Выбуховая сумесь, якая ўжываецца пры розных выглядах выбухных прац|аманал
Злучэнне азоту і вадароду, што ўваходзіць у склад шматлікіх соляў, якія ўжываюцца ў тэхніку і сельскай гаспадарцы|амоній
Камбінаванае ўгнаенне, якое змяшчае азот і фосфар|амафос
Парушэнне памяці, адсутнасць уяўленняў пра сваё мінулае|амнезія
Хрыбетная земнаводная жывёла|амфібія
Транспартная (аўтамабіль, аэрасанкі і т. п.) ці баявая (танк, бронетранспарцёр і т. п.) машына, адмыслова абсталяваная для перасоўвання па сушы і па вадзе; самалёт, прыстасаваны для ўзлёту і пасадкі на ваду і на сушу|амфібія
Стан раслінных і жывёльных арганізмаў, якое характарызуецца рэзкім запаволеннем жыццёвых працэсаў у мэтах выжывання пры неспрыяльных умовах (у біялогіі)|анабіёз
Звесткі пра ўмовы жыцця, перанесеных захворваннях, гісторыі развіцця хваробы, атрыманыя ад хворага ці яго блізкіх|анамнез
Вершаваны памер, трохскладовая ступня з націскам на трэцім складзе|анапест
Адмаўленне дзяржаўнай улады, уласцівае анархізму|анархія
Адлучэнне ад царквы, царкоўны праклён (у хрысціянстве)|анафема
Стылістычны прыём у вершаскладанні, што складаецца ў паўторы адных і тых жа гукаў, слоў, словазлучэнняў, прапаноў і т. п. напачатку сумежных ці блізка размешчаных радкоў, строф ці фраз|анафара
Дабраякасная пухліна, якая складаецца з крывяносных ці лімфатычных пасудзін|ангіёма
Горная парода вулканічнага паходжання, выкарыстоўваная як кислотоупорный матэрыял і будаўнічы камень|андэзіт
Кароткі аповяд пра выдуманую падзею, пацешным выпадку|анекдот
Вусновы кароткі аповяд з нечаканым дасціпным канцом|анекдот
Барометр, прынцып дзеяння якога – у адрозненне ад вадкаснага – заснаваны на дэфармаванні скрынкі са створаным усярэдзіне вакуумам|анероід
Сістэма ўяўленняў пра наяўнасць у чалавека, жывёл, раслін і прадметаў незалежнага духоўнага пачатку – душы; адухаўленне сіл і з'яў прыроды|анімізм
Нерухомасць сустава, звычайна што ўзнікае з прычыны зрашчэння сустаўных паверхняў (у медыцыне)|анкілоз
Мінерал групы палявых шпатаў|анартыт
Страта нюху, якая назіраецца пры хваравітых зменах слізістай абалонкі носа, пры катары, у выніку мазгавых захворванняў і т. п. (у медыцыне)|аносмия
Дужка для рамяня ў стрэльбы ці ручнога кулямёта|антабка
Лекавы прэпарат, які ўжываецца пры лячэнні алкагалізму|антабус
Траісты звяз Вялікабрытаніі, Францыі і царскай Расіі, што сфармаваўся ў 1904–1907 гг. і аб'ядноўвалы падчас першай сусветнай вайны 1914–1919 гг. супраць германскай кааліцыі больш дваццаці дзяржаў|Антанта
Адмысловая прылада для выпраменьвання і прыёму радыёхваль|антэна
Рухомыя членистые прыдаткі на галаве, службоўцы для дотыку і нюхі ў членістаногіх; вусікі|антэны
Лекавы прэпарат, які ўжываецца для абясшкоджвання што патрапіў у арганізм яду; проціяддзе|антыдот
Друкарскі лацінскі шрыфт з акругленымі контурамі (у адрозненне ад гатычнага шрыфта, які мае прастакутную, вуглаватую форму)|антыква
Гіпатэтычны касмічны аб'ект (звычайна зорка ці галактыка), уяўлялы сабою адмысловую форму матэрыі, утвораную з антырэчыва|антысвет
Слова з процілеглым у адносінах да іншага слова значэннем|антонім
Перапынак паміж дзеяннямі тэатральнага спектакля, паміж аддзяленнямі канцэрту ці цыркавога ўяўлення|антракт
Музычная п'еса, што з'яўляецца ўступам да аднаго з дзеянняў – акрамя першага – опернага, балетнага ці драматычнага спектакля, звычайна выкананая непасрэдна перад узняццем заслоны|антракт
Бог сонца (у старажытнагрэцкай міфалогіі)|Апалон
Заступнік мастацтваў, а ў паэтычнай гаворцы ХIХ ст. – заступнік паэзіі|Апалон
Буйны матылёк сямейства ветразнікаў з чорнымі і чырвонымі плямамі на белых крылах|апалон
Кожны з дванаццаці вучняў Хрыста, якія прапаведавалі яго вучэнне|апостал
Рэлігійны абрад абагаўлення героя, імператара (у Старажытнай Грэцыі і Старажытным Рыме)|апафеоз
Услаўленне, узвелічэнне твару, з'явы, падзеі|апафеоз
Заключная ўрачыстая масавая сцэна спектакля, канцэртнай праграмы, цыркавога ўяўлення і т. п.|апафеоз
Прыбор, прыстасаванне, тэхнічная прылада|апарат
Сістэма органаў чалавека, жывёлы ці расліны, якія выконваюць вызначаную функцыю|апарат
Установа ці сістэма ўстаноў, што здзяйсняюць кіраўніцтва якой-небудзь вобласцю гаспадарання|апарат
Штат супрацоўнікаў установы|апарат
Адчуванне голаду, жаданне ёсць|апетыт
Набор медыкаментаў для аказання доврачебной дапамогі|аптэчка
Пастава ў класічным балетным танцы, пры якой адна нага паднята і адведзена назад|арабеск
Слова ці выраз, запазычанае з арабскай мовы, ці зварот гаворкі, пабудаваны па мадэлі, характэрнай для арабскай мовы|арабізм
Старадаўняя ручная кідальная зброя, якое ўяўляе сабою сталёвы лук, умацаваны на драўляным станку; самастрэл|арбалет
Будаўнічы матэрыял, што ўяўляе сабою разнавіднасць лёгкага бетону, які вырабляецца з драўняных адыходаў і цэменту і што валодае трываласцю, вогнеўстойлівасцю, добрымі цеплаізаляцыйнымі ўласцівасцямі|арбаліт
Усходні завадовы верхавы конь|аргамак
Вышэйшы орган судовай і палітычнай улады (у Старажытных Афінах)|арэапаг
Невялікая арыя (звычайна адрозная прастатой формы, песенным характарам мелодыі)|арыета
Механічная музычная прылада, разнавіднасць катрынкі|арыстон
Парушэнне звычайнага рытму скарачэнняў сэрца|арытмія
Шчаслівая краіна, жыхары якой – бестурботныя пастухі і пастушкі – адрозніваліся патрыярхальнай прастатой нораваў (у антычнай літаратуры і пастаралях ХVI–ХVIII стст.)|Аркадзя
Бестурботнае, ціхамірнае жыццё|аркадзя
Месца, дзе бестурботна, шчасліва жывецца|аркадзя
Традыцыйны персанаж італьянскай “камедыі масак” (слуга-хітрун, звычайна ў гарнітуры з рознакаляровых лапікаў і ў чорнай паўмасцы)|арлекін
Склад зброі, боепрыпасаў і ваеннага рыштунка|арсенал
Крывяносная пасудзіна, па якім кроў ад сэрца паступае да органаў і тканінам|артэрыя
Службовае слова, якое ўжываецца ў некаторых мовах пры назоўніках і што з'яўляецца паказчыкам пэўнасці ці нявызначанасці, а таксама роды, лікі, склону (у лінгвістыцы)|артыкль
Тып выраба, тавара|артыкул
Яго лічбавае ці літарнае пазначэнне|артыкул
Травяністая расліна сямейства сложноцветных з буйнымі фіялетавымі кветкамі|артышок
Слова, зварот гаворкі ці граматычная форма, састарэлыя, якія выйшлі з агульнага ўжывання (у лінгвістыцы)|архаізм
Прадмет побыту, з'ява, паняцце і т. п., састарэлыя, не адпаведныя сучаснасці|архаізм
Ранні этап у гістарычным развіцці з'явы|архаіка
Старажытнасць, даўніна|архаіка
Найболей старажытны – звычайна невядомы – тэкст пісьмовага помніка, які з'явіўся першакрыніцай для наступных дзід|архетып
Гіпатэтычна што рэканструюецца ці фактычна засведчаная моўная форма, зыходная для найпозніх адукацый (у лінгвістыцы)|архетып
Народ іберыйска-каўказскай этноязыковой групы, які жыве ў Дагестане|арчынцы
Судовая пасада (у Старажытным Рыме, у сярэднявечнай Еўропе, у некаторых дзяржавах, а таксама ў Расійскай дзяржаве з пачатку ХVIII ст. да другой паловы ХIХ ст.)|асэсар
Частка дэманаў, злы дух, разбуральнік шлюбаў (у старажытнагабрэйскай апакрыфічнай літаратуры)|Асмодей
Стан, якое характарызуецца агульнай слабасцю, падвышанай стамляльнасцю, няўстойлівым настроем|астэнія
Палітычная паліцыя ў Грэцыі|асфалия
Выкапнёвая смалістая парода чорнага колеру, што ўтвараецца з нафты|асфальт
Штучная чорная смалістая маса – сумесь бітуму з пяском, жвірам, друзам і т. п., выкарыстоўваная пры будаўніцтве дарог і ў некаторых галінах прамысловасці|асфальт
Наяўнасць у жывых арганізмаў прыкмет, уласцівых іх далёкім продкам|атавізм
Парушэнне каардынацыі рухаў (у медыцыне)|атаксія
Філасофскае вучэнне пра перарывісты, дыскрэтны будынак матэрыі, паводле якога матэрыя складаецца з надзвычай малых непадзельных часціц – атамаў|атамізм
Дыскрэтнасць, раскладальнасць на складовыя часткі аб'ектаў, з'яў, працэсаў рэчаіснасці|атамізм
Неабходная, істотная, неад'емная ўласцівасць аб'екта ці з'явы ў адрозненне ад выпадковых, мінучых яго станаў|атрыбут
Прадмет, які з'яўляецца неад'емнай прыналежнасцю|атрыбут
Вызначэнне (у лінгвістыцы)|атрыбут
Атрутнае рэчыва, што ўжываецца ў медыцыне як болесуцішальны сродак|атрапін
Памяншэнне масы, аб'ёму органа ці тканіны, якое суправаджаецца паслабленнем ці спыненнем іх функцыі|атрафія
Твар, правяральны стан фінансава-гаспадарчай дзейнасці кампаніі на аснове кантракту, зняволенага з кіраўніцтвам кампаніі, і па адмысловым дазволе дзяржаўных органаў|аўдытар
Пасада судовага следчага і пракурора ў ваенна-судовых установах (у Расійскай дзяржаве да 1917 г.)|аўдытар
Вучань духоўнай семінарыі, бурсы і некаторых грамадзянскіх навучальных устаноў, які прызначаўся настаўнікам правяраць заданні ў сваіх таварышаў (у Расійскай дзяржаве да 1917 г.)|аўдытар
Спосаб публічнага продажу, пры якім пакупніком становіцца той, хто прапанаваў больш высокі кошт|аўкцыён
Млекопитающее сямействы дэльфінаў|афалина
Паўднёва-заходні гарачы вецер, дующий у вярхоўях Амудар'і|афганец
Народ іранскай этноязыковой групы, які складае асноўнае насельніцтва Афганістана|афганцы
Кароткае выслоўе, з лімітавай лаканічнасцю і дакладнасцю што выказвае думка|афарызм
Металургічны працэс атрымання высакародных металаў высокай чысціні|афінаж
Адмыслова абсталяваная пляцоўка, абароненая ад сонечных прамянёў, для прыняцця паветраных ваннаў|аэрарый
