З'яўленне, наступ чаго-небудзь ізноў|зварот
Гучны ўсклік, выкрык|вокліч
Заключныя словы малітваў, якія вымаўляюцца святаром з падвышэннем і ўзмацненнем голасу|вокліч
Колькасць гадоў ад нараджэння, з'яўленні на святло, ад стварэння чаго-небудзь|узрост
Перыяд у развіцці чалавека, жывёлы, расліны|узрост
Практыкаванне для правільнай пастаноўкі голасу, што складаецца ў спеве мелодыі, якая складаецца толькі з галосных гукаў|вакаліз
Штучная мова, вынайдзены ў канцы ХIХ ст., які спрабавалі выкарыстоўваць у якасці міжнароднага|валапюк
Выхадзец ці жыхар Паволжа|волгарь
Уздуцце скуры, якое ўтвараецца ў выніку дзеяння на яе раздражняльнікаў (укусаў казурак, атрутных рэчываў і т. п.)|пухір
Жыхары Паволжа|валжане
Пустазельная расліна сямейства бурачниковых|пакрывец
Тонкая і трывалая непряденая нітка расліннага, мінеральнага, жывёльнага ці штучнага паходжання, якая служыць сырцом у тэкстыльнай вытворчасці|валакно
Ніткападобная адукацыя, што ўваходзіць у склад раслінных і жывёльных клетак, тканін і органаў|валакно
Ніткападобны атожылак на скурцы раслін; варсінка|валасінка
Тонкі металічны дрот у электрычнай лямпе ці спружына ў механізме, прыборы|валасінка
Тэрыторыя, падпарадкаваная адной улады, звычайна княжай (на Русі IХ–ХIII стст.)|воласць
Найнізкая адміністрацыйна-тэрытарыяльная адзінка (у Расійскай дзяржаве да 1917 г. і ў СССР да ўводзін у 1929–1930 гг. сістэмы раянавання)|воласць
Народная духавая музычная прылада, які складаецца з трубак і скуранога меха ці бурбалкі і што выдае цягучыя, аднастайныя гукі|дуда
Дакумент пра вызваленне селяніна ад прыгоннай залежнасці; адпускная|вольная
Невялікая драпежная жывёла сямействы куньих з каштоўным мехам, якое выдае рэзкі смуродны пах; скунс|смуроднік
Маленькая сера-карычневая птушачка сямейства ткачиковых, што жыве звычайна зблізку жылых будынкаў|верабей
Варажба на картах, бабах, кававай гушчы і т. п.|варажба
Привораживание|варажба
Замаўленне (звычайна ад хваробы)|варажба
Шматгадовая атрутная травяністая расліна сямейства казяльцовых з пэндзлем дробных кветак і з чырвонымі ці чорнымі ягадамі|варанец
Прыстасаванне ў форме конусу з трубкай на вузкім канцы, якое служыць для пералівання вадкасцяў у пасудзіны з вузкім горлачкам|варонка
Яма, што ўтварылася ў зямлі на месцы выбуху бомбы, снарада|варонка
Ручная прылада для кручэння рэжучых прылад (разгортак, метчыкаў, свердзелаў, круглых плашчакоў і т. п.)|калаўроцік
Гульня, у якой адны ўдзельнікі, становячыся парамі і паднімаючы рукі, утвораць праход для іншых|веснічкі
Незвычайна радасны стан, моцны ўздым радасных пачуццяў|захапленне
Феадальная зямельная ўласнасць, радавы маёнтак на Русі (да ХVIII ст. перадаваныя па спадчыне)|вотчына
Ваксаваная папера, тканіна|вашчанка
Кавалак воску для ваксавання ніткі (у гаворкі краўцоў, шаўцоў)|вашчанка
Паглыбленне, паглыбленае месца|западзіна
Якое ўдалося, запалае месца на твары, часці целы|западзіна
Шырокае паніжэнне зямной паверхні на сушы ці на дне акіянаў|западзіна
Ўсеагульнае абавязковае навучанне дзяцей школьнага ўзросту|усепрасвета
Шырокая прапаганда асноў ведаў|усепрасвета
