Прамысловая рыба сямейства ласосевых|гарбуша
Сямейства рыб атрада окунеобразных|аполкі
Выпуклая з аднаго боку дошка, што атрымліваецца пры падоўжнай распилке бервяна з яго вонкавай часткі|аполак
Марская прамысловая рыба атрада окунеобразных|аполак
Снасць, пры дапамозе якой ветразь падцягваецца да рэі|гордень
Надмерны гонар|ганарыстасць
Прыстасаванне для гарэння вадкасці ці газу ў асвятляльных ці ацяпляльных прыборах|гарэлка
Прылада для распылення і спальванні газу ці вадкага паліва пры зварачных і іншых працах|гарэлка
Старадаўняя руская народная гульня, у якой удзельнікі становяцца парамі, а стаячы наперадзе (той, хто водзіць) па сігнале ловіць іх, якія ўцякаюць ад яго па чарзе парамі|гарэлкі
Падзеі, акалічнасці, што выклікаюць душэўныя пакуты, перажыванні, засмучэнні; няшчасці, беды|гаротнасці
Самая буйная чалавекападобная малпа, якая жыве ў Экватарыяльнай Афрыцы|гарыла
Невялікая лясная птушка сямейства галубіных|турчык
Украінскі танец|турчык
Біялагічна актыўныя рэчывы, выпрацоўваемыя ў арганізме і што ўдзельнічаюць у рэгуляцыі ўсіх жыццёва важных працэсаў|гармоны
Руская народная гульня, у якой з вызначанай адлегласці палкай, бітай выбіваюцца драўляныя калодачкі; выгляд спорту|мястэчкі
Група жылых, службовых і т. п. будынкаў (у чорце населенага пункта ці за яго межамі), аб'яднаных па сваім прызначэнні|мястэчка
Пачатковы аддзел дыхальных шляхоў, размешчаны паміж глоткай і трахеяй|гартань
Травяністая расліна сямейства крыжакветных з жоўтымі кветкамі|гарчыца
Паліва для рухавікоў (бензін, газа і т. п.), ядзерных рэактараў (уран, плутоній)|гаручае
Дзяржаўны планавы камітэт (орган, які здзяйсняў планаванне эканамічнага і сацыяльнага развіцця краіны і кантроль за выкананнем планаў у СССР)|дзяржплан
Гаспадар і яго сям'я ў адносінах да прыслугі|спадары
Адно з найменняў Бога ў хрысціянскай рэлігіі|Бог
Прыёмы гравіравання на паверхні адмысловай пласціны з наступным друкаваннем рэльефнага ці паглыбленага малюнка|гравюра
Выгравіраваны малюнак|гравюра
Адбітак з клішэ, вырабленага шляхам гравіравання|гравюра
Адна часціца граду|градзіна
Ўменне чытаць і пісаць, веды правіл граматыкі|грамата
Разрыўнай снарад для паразы жывой сілы і тэхнікі суперніка|граната
Спартовы снарад для кідання|граната
Група мінералаў, што адносяцца да силикатам|гранаты
Ўмоўная лінія, якая падзяляе сумежныя вобласці, валодання, участкі і т. п., якая з'яўляецца мяжой тэрыторыі; рыса распранула|мяжа
Дапушчальныя нормы, межы|межы
Дробны шчыльны камячок рэчыва ў выглядзе збожжа|гранула
Спосаб выканання малюнка шляхам процарапывания вострай прыладай паперы, кардона, залітых тушшу|граттаж
Выгляд выяўленчага мастацтва, асновай якога з'яўляецца малюнак з выкарыстаннем контурных ліній, рысак, тонаў і плям у кантрасце з белай, каляровай ці чорнай паверхняй паперы|графіка
Сукупнасць сродкаў пісьменнасці; напісанні літар, знакаў|графіка
Жонка графа|графіня
Дачка графа|графіня
Даўгаватая пласцінка з шэрагам зуб'яў па адной ці абодвум бакам для расчесывания волас, змацаванні жаночай прычоскі|грэбень
Выступ косткі ў чалавека і хрыбетных жывёл, што павялічвае пляц прымацавання да яе цягліц|грэбень
Машына для планоўкі і прафіляванні пляцаў і адхонаў, разравнивания і перасоўванні грунта, сыпкіх матэрыялаў пры пабудове і рамонце дарог, гідратэхнічных збудаванняў і т. п.|грэйдар
Грузозахватное прыстасаванне пад'ёмнага механізму|грэйфер
Прыстасаванне ў апаратах, машынах для замацавання апрацоўванага прадмета; захоп|грэйфер
Слова ці выраз, запазычанае з грэцкай мовы, ці зварот гаворкі, пабудаваны па мадэлі, характэрнай для грэцкай мовы|грэцызм
Травяністая меданосная расліна, з насення якога вырабляюць крупы і пакуту|грэчка
Грэшны чалавек|грэшнік
Жук, які жыве ў грыбах і гнілой драўніне і што сілкуецца звычайна грыбніцай|грыбаед
Шакаладныя цукеркі з начыннем з падсмажаных арэхаў у цукры|грыльяж
Наўмыснае ці міжвольнае скажэнне выраза, чорт твару|грымаса
Стрыжань з адмысловага выгляду гліністага сланцу для пісання на адмысловай дошцы|грыфель
Пішучы стрыжань усярэдзіне алоўка|грыфель
Прадмет, збудаванне і т. п. вельмі вялікіх памераў|гмах
Мноства прадметаў, якія ўтвараюць кучу, груду і т. п.|гмах
Сельская абшчына на Ўкраіне і ў Беларусі да пачатку ХХ ст.|гмах
Мастацкі прыём у мастацтве, заснаваны на празмерным перабольшанні, парушэнні меж праўдападабенства, спалучэнні рэзкіх, нечаканых кантрастаў|гратэск
Арнамент у выглядзе мудрагеліста, фантастычна якія пераплятаюцца раслін, жывёл, фігурак людзей, масак і т. п.|гратэск
Даўгаватая плоская костка ў сярэдзіне пярэдняй сценкі грудной клеткі, якая злучае рэбры|грудзіна
Невялікі груз (кавалак свінцу, камень і т. п.), подвешиваемый да лёскі вуды, да сеткі і т. п. для ўтрымання іх на глыбіні|грузіла
Народ картвельскай этноязыковой групы, які складае асноўнае насельніцтва Грузіі|грузіны
Атрад млекаспажыўцоў, да якога ставяцца вавёрка, байбак, андатра, мыш, пацук і т. п.|грызуны
Заснавальнік прадпрыемстваў, акцыянерных грамадстваў, банкаў і т. п., звычайна які займаецца біржавымі спекуляцыямі|грундар
Частка плуга – падоўжны брус, да якога прымацоўваюцца нож, запражны крук і т. п.|дышаль
Хребтовая, самая трывалая частка сырамятнай скуры, якая ідзе на запражныя гужы|гужоўка
Грашовая адзінка Нідэрландаў, роўная 100 цэнтам|гульдэн
