Кавалак палатна|палатно
Мяккі валік са скуры ці тканіны, набіты воласам, вяхоткаю і т. п., складальны покрыўку абцугоў хамута|хамуціна
Дабраякасная пухліна, якая складаецца з храстковай тканіны|хондрома
Тып жывёл, што характарызуюцца наяўнасцю хорды|хордавыя
Начны матылёк сямейства чубатак з лускаватымі хохлікамі па баках, на грудзі і на пярэдніх крылах|чубатка
Травяністая лекавая расліна сямейства макавых з кветкамі ў пэндзлях|чубатка
Сямейства начных матылькоў з лускаватымі хохлікамі па баках, на грудзі і на пярэдніх крылах|чубаткі
Зубчасты механізм, які дапускае перадачу кручэння толькі ў адным кірунку; храповой механізм|храпавік
Каштоўны камень аліўкава-зялёнага колеру, што з'яўляецца разнавіднасцю алівіну ці празрыстага зялёнага граната|хрызаліт
Мінерал групы серпентина, тонкавалакністы, светла-залацістага колеру з шаўкавістым бляскам|хризотил
Рэчыва клеткавага ядра, добра якое афарбоўваецца пры гистологической апрацоўцы (у біялогіі)|храмацін
Шкло высокай якасці з вялікім утрыманнем вокісу свінцу, што адрозніваецца адмысловым бляскам, прыгожым звонам і моцна пераламляльнае святло|крышталь
Назва храстковай рыбы|хрящевик
Падклас осетровых рыб, да якіх ставяцца бялуга, сяўруга і т. п.|храстковыя
Ранка на целе ці пашкоджанне на прадмеце ў выглядзе вузкай палоскі, пакінутай рухам вострага ці тонкага|драпіна
Кветкавае сцябло|цветонос
Палітычны рэжым на чале з ненаследственным манархам, якія прыйшлі да ўлады як узурпатар|цэзарызм
Напаўпразрысты мінерал белага і нябесна-блакітнага колеру, прыродны сернокислый стронцый|цэлестын
Плёнка з цэлюлозы|цэлафан
Адукацыя тлушчавых адкладаў у падскурнай абалоніне|целлюлит
Астранамічны прыбор, што дазваляе назіраць нябесныя свяцілы, якія перамяшчаюцца з-за бачнага сутачнага кручэння нябеснай сферы|цэластат
Хімічнае злучэнне жалеза з вугляродам|цэментыт
Кошт чаго-небудзь, выяўленая ў грошах; кошт|каштоўнасць
Плынь усярэдзіне партый II Інтэрнацыяналу, што займала прамежкавае становішча паміж рэфармісцкім і рэвалюцыйным шляхамі развіцця грамадскага жыцця|цэнтрызм
Пазіцыя фракцый выбарных органаў улады, якая складаецца ў промежуточности пазіцыі паміж “левым” і “правым” крылом|цэнтрызм
Вайсковае падраздзяленне ў Старажытным Рыме, першапачаткова што складаецца са ста чалавек|цэнтурыя
Дырыжабль цвёрдага тыпу – з металічным каркасам – у выглядзе цыгары, напоўнены газам лягчэй паветра|цэпелін
Травяністая расліна сямейства первоцветных з буйнымі ярка афарбаванымі кветкамі; альпійская фіялка|цикламен
Плоская крывая, апісваная кропкай акружнасці, якая коціцца без слізгацення па прамой (у матэматыку)|цыклоіда
Гэбель з зубчастым лязом, што ўжываецца для надання шурпатасці склеиваемым паверхням|цынубель
Хімічны элемент, серабрыста-белы метал, які ўжываецца ў тэхніку|цырконій
Пісьмовае распараджэнне, што рассылаецца падведамным установам ці падпарадкаваным як дырэктыва|цыркуляр
Ёмістасць для захоўвання ці перавозкі вадкасцяў|цыстэрна
Пашырэнне анатамічнай адукацыі, які змяшчае вадкасць|цыстэрна
