Моцнае кружэнне вады; вір|калаўрот
Традыцыйны персанаж італьянскай народнай камедыі масак – прыслужніца, якая ўдзельнічае ў развіцці інтрыгі, умілаваная арлекіна|каламбіна
Старадаўняе рачное грузавое – звычайна бяспалубнае – судна тыпу баркі|коломенка
Шэраг ці шэрагі калон знадворку ці ўсярэдзіне будынка, аб'яднаных гарызантальным перакрыццем|каланада
Чыгунныя дэталі колосниковой рашоткі з адтулінамі для падводу паветра пад паліва ў печах|каласнікі
Прылада ў верхняй частцы сцэны для ўмацавання дэкарацый|каласнікі
Насціл з жэрдак на гумне, у рызе і т. п. для сушкі ці захоўванні снапоў іржы, п'янячы і т. п.|каласнікі
Першы ранні грыб|колосовик
Зёлкавыя расліны, якія маюць суквецці ў выглядзе коласа|колосовые
Драўлянае прыстасаванне, якім стукаў начны вартаўнік пры абыходзе ахоўванага ўчастку|выбівачка
Прадмет, у які ўдараюць для вымання гуку|выбівачка
Драўляны малаток|выбівачка
Селянін як чалец калгасу|калгаснік
Натуральная ці штучная аблога глею і рачных адкладаў у поймах рэк, на прыморскіх нізінах і т. п., спрыяльнае падвышэнню ўрадлівасці глебы і ўзняцці паверхні ўчастку|кольматаж
Вайсковае званне вышэйшага каманднага складу ў Чырвоным Войску ў 1935–1940 гг.; камандуючы войскам|камандарм
Сухая пажыўная кармавая сумесь для скаціны, складзеная ў вызначаных прапорцыях; камбінаваны корм|камбікорм
Начальнік войскаў крэпасці ці ўмацаванага раёна|кашталян
Службовая асоба ў войскі, кіравальнае наглядам за нясеннем гарнізоннай службы і за падтрыманнем дысцыпліны вайскоўцаў у гарнізоне і ў грамадскіх месцах|кашталян
Твар, назіралае за правільнасцю перасоўвання войскаў, вайскоўцаў і ваенных грузаў на шляхах зносін|кашталян
Кіраўнік хатай, якія належаць установе ці занятай установай, прадпрыемствам|кашталян
Міжнародная рэвалюцыйная пралетарская арганізацыя, што аб'ядноўвала камуністычныя партыі розных краін Камуністычны Інтэрнацыянал, 3-й Інтэрнацыянал|камінтэрн
Гандаль, гандлёвыя аперацыі, прадпрымальніцкая дзейнасць у сувязі з купляй-продажам ці са зваротам тавара|камерцыя
Грамадска-эканамічная фармацыя, заснаваная на грамадскай уласнасці на сродкі вытворчасці і мелая сваімі мэтамі пабудова бяскласавага грамадства, поўная сацыяльная роўнасць усіх чальцоў грамадства і ажыццяўленне прынцыпу “ад кожнага – па здольнасцях, кожнаму – па запатрабаваннях”|камунізм
Грамадства сацыяльнай справядлівасці|камунізм
Чалавек, які характарызуецца імкненнем да сацыяльнай справядлівасці, высокім пачуццём абавязку, самаахвяраваннем дзеля ідэі ці пэўнай справы|камуніст
Камуністычная партыя|кампартыя
Складовая частка|кампанент
Прыбор для прабівання ці выдушванні ўмоўных знакаў кантролю на праязных квітках і іншых дакументах|компостер
Пасроднік паміж замежным капіталам і нацыянальным рынкам (звычайна ў каланіяльных і краінах у стадыі развіцця)|кампрадор
Электронная вылічальная машына (ЭВМ)|кампутар
Камандны склад|камсастаў
Баец коннага войска|конармеец
Награвальны прыбор, што ўжываецца ў сістэмах цэнтральнага апалу|канвектар
Перанос цеплыні, масы ці электрычных зарадаў рухомым асяроддзем|канвекцыя
Міжнародная дамова, дамова ў адмысловай вобласці|канвенцыя
