Чалец секцыі|секцыянер
Змешчаны ў брушнай паражніне хрыбетных жывёл і чалавека крывятворны орган, які ўдзельнічае ў абмене рэчываў і выконваючы розныя ахоўныя функцыі|селязёнка
Сямейства рыб, да якога ставяцца селядцы, салака, кількі, хамса і т. п.|сельдевые
Агародная расліна, карані і лісце якога ўжываюцца ў ежу як заправа|салера
Старажытныя туркменскія плямёны, якія стварылі ў ХI ст. у выніку заваёў шырокая дзяржава на тэрыторыі  і  Азіі|сельджукі
Значэнне, сэнс моўнай адзінкі (марфемы, словы, словазлучэнні і т. п.)|семантыка
Частка мовазнаўства, які вывучае сэнсавы бок мовы|семантыка
Частка семіётыкі, што вывучае знакавыя сістэмы як сродкі выраза сэнсу|семантыка
Частка логікі, які вывучае адносіны лагічных знакаў да паняццяў|семантыка
Частка рускага насельніцтва Забайкалля (нашчадкі старавераў, выселеных туды разам з сем'ямі пры Кацярыне II)|семейские
Ўжывальны ў лясной гаспадарцы апарат для збору што ападаюць з дрэў насення і вызначэнні іх колькасці|семеномер
Спартовае змаганне, якое складаецца з сямі выглядаў практыкаванняў|семиборье
Тэрмін, перыяд, прамежак часу ў сем гадоў|сямігоддзе
Ўгодкі падзеі, што адбыўся, распачатага і т. п. сем гадоў назад|сямігоддзе
Няпоўная сярэдняя агульнаадукацыйная школа з сямю гадамі навучання (у СССР)|сямігодка
Сямігадовы план развіцця народнай гаспадаркі (у СССР)|сямігодка
Назва сярэдніх духоўных навучальных устаноў|семінарыя
Назва сярэдніх педагагічных навучальных устаноў у Расійскай дзяржаве да 1917 г.|семінарыя
Навуковая дысцыпліна пра знакі і знакавых сістэмах|семіётыка
Сістэма сяўбазвароту з часткай поля на сем участкаў|сяміполле
Ніткападобны атожылак, які прымацоўвае насенне да сценкі плёну і семязавязь да сценак завязі|семяножка
Месца ўзнікнення семязавязі ў завязі|насенняносец
Зародак насення|семязавязь
Парода буйных, пераважна длинношерстых, сабак|сенбернар
Атрад членістаногіх класа павукападобных|сенокосцы
Адмыслова ўладкованае памяшканне, падстрэшак для сушкі сена|сеносушка
Сельскагаспадарчая машына для захватывания вялікіх бярэмяў сена і падачы іх на вышкі ці ў адрыну|сенападавальня
Сена, нарыхтаванае для корму скаціне|сенафураж
Выслоўе павучальнага характару|сентэнцыя
Апарат для аддзялення аднаго рэчыва ад іншага ці для вылучэння аднаго рэчыва са складу іншага|сепаратар
Металічная абойма для падзелу шарыкаў ці ролікаў у падшыпніках (у машынабудаванні)|сепаратар
Аддзяленне аднаго рэчыва ад іншага, вылучэнне аднаго рэчыва са складу іншага|сепарацыя
Аддзяленне ад дзяржавы вызначанай часткі яго тэрыторыі; падзел на складовыя часткі|сепарацыя
Аднагадовая кармавая расліна сямейства бабовых, выкарыстоўванае таксама як зялёнае ўгнаенне|сырадэля
Цыганскі народны танец, выкананы ў хуткім тэмпе|сербіянка
Рабская дагодлівасць|сервилизм
Унутраная частка розных машын, апаратаў, прыбораў і т. п.|стрыжань
Унутраная частка электрамагніта з абмоткай з дрота|стрыжань
Шматгадовая трава сямейства крыжакветных з пэндзлямі белых ці фіялетавых кветак|стрыжань
Знаўца чалавечага сэрца, душэўных рухаў чалавека|сэрцавед
Навуковая дысцыпліна, якая вывучае ўласцівасці сыроваткі крыві жывёл і людзей|сералогія
Пяскі з прымешкай шэразёму|серопески
Доўгая вузкая стужка з каляровай паперы, што кідаецца ў публіку на балях, карнавалах і т. п.|серпантин
Паласаты мінерал разнастайных адценняў зялёнага колеру; змеявік|серпентин
Дзяржальня сярпа|ручка сярпа
Птушка атрада кулікаў з дзюбай, формай якія нагадваюць серп|серпадзюб
Дробная разменная манета ў Старажытным Рыме|сестерций
Скаргі, шкадаванні|жальбы
Мешанка чорна-бурай і рудай лісіцы|сівадушка
Ярлычок на прыгатаваным у аптэцы леках, што ўяўляе сабою копію рэцэпту|сігнатура
Ярлычок, этыкетка, якія прымацоўваюцца|сігнатура
Лічба, што пазначае парадкавы нумар друкаванага ліста ў кнізе ці часопісе і якая друкуецца ў ніжнім левым куце на першай старонцы кожнага друкаванага ліста (у паліграфіі)|сігнатура
Таемная палітычная паліцыя ў манархічнай Румыніі ў 1921–1944 гг.|сігуранца
Заворванне ў глебу зялёнай масы бабовых раслін для падвышэння ўрадлівасці глебы|сідэрацыя
Арганічнае зялёнае ўгнаенне|сідэрацыя
Выснова, у якім з двух меркаванняў-пасылак атрымліваецца трэцяе – выснова (у логіцы)|силлогизм
Мастак, які займаецца сілуэтамі|сілуэтыст
Гатунак вінаграда|сильванер
Кірунак у мастацтве і літаратуры канца ХIХ ст. – пачала ХХ ст., абвясцілае асноўным мастацкім прыёмам знак як выразнік неспасціжнай сутнасці прадметаў і з'яў|сімвалізм
Супамернае, прапарцыйнае размяшчэнне частак у адносінах да цэнтра, сярэдзіне|сіметрыя
Нарада па навуковым пытанні (звычайна з удзелам прадстаўнікоў розных краін)|сімпозіум
Стварэнне лжывага ўражання, уяўленні пра што-або; прытворства|сімуляцыя
Творчасць у вобласці сімфанічнага мастацтва|сімфанізм
Метад стварэння музычных твораў, які спрыяе глыбокаму і ўсебаковаму расчыненню іх утрымання|сімфанізм
Кампазітар, што стварае сімфанічныя творы|сімфаніст
Збор жыццяў святых|сінаксарый
Выкапнёвы чалавек, які жыў у перыяд ніжняга палеаліту і што з'яўляецца прадстаўніком найстаражытнай стадыі развіцця чалавека|сінантрап
Рада арыстакратаў і старэйшын у Іерусаліме ў III–I стст. да н. э., пасля ўсталявання рымскага панавання – вярхоўны суд Юдэі|сінедрыён
Стылістычны прыём, які ўяўляе сабою ўжыванне назвы часткі замест цэлага, дзелі замест агульнага і наадварот (прыватны выпадак метаніміі)|сінекдаха
Саматужнік, што займаўся набіванкай і афарбоўкай палотнаў (звычайна ў сіні колер)|синельщик
Сінтэтычны прэпарат, які валодае ўласцівасцямі жаночага палавога гармона фалікуліну|синестрол
Сукупнасць навук, што вывучаюць Кітай і яго культуру; кітаязнаўства|сіналогія
Падабенства слоў па значэнні пры адрозненні іх гучання ці напісанні|сінанімія
Навуковая дысцыпліна, якая вывучае атмасферныя працэсы, што ўплываюць на змены надвор'я, з мэтай вызначэння дакладнага прагнозу надвор'я|сіноптыка
Навуковая дысцыпліна, якая вывучае правілы спалучэння слоў і будынкі прапаноў|сінтаксіс
Сістэма моўных катэгорый, злучаная з правіламі спалучэння слоў і будынкі прапаноў|сінтаксіс
Сінтэтычныя матэрыялы|сінтэтыка
Хвалепадобная крывая лінія, графічна што паказвае змены сінуса ў залежнасці ад змены кута (у матэматыку)|сінусоіда
Назва сямейства шматгадовай травы, да якога прыналежаць синюха, флёкс і т. п.|синюховые
Стан сіраты|сіроцтва
Машына для сартавання прадуктаў памолу (крупок) з дапамогай бруі паветра, падведзенай пад сіта|сітавеялка
Стваральнік, а таксама апавядальнік ці спявак былін, казак і іншых твораў вусновай народнай творчасці|казачнік
Апавядальнік, выдумшчык казак|баечнік
Галоўны чалец прапановы, які пазначае дзеянне ці стан прадмета, выяўленага дзейнікам (у лінгвістыцы)|выказнік
Невялікі металічны хірургічны нож|скальпель
Казна (даўней на Ўкраіне)|скарбніца
Месца захоўвання казны|скарбніца
Катанне на скейце|скейтборд
Сельскагаспадарчая машына для перавозкі сцірт|тарпавоз
Занясенне грошай, прадуктаў на агульную справу яго ўдзельнікамі|складчына
Адхіленне, ухіленне|скланенне
Змена імёнаў, займеннікаў і дзеепрыметнікаў па склонах (у лінгвістыцы)|скланенне
Сукупнасць імёнаў, займеннікаў ці дзеепрыметнікаў з аднолькавымі формамі змены|скланенне
Круглая з загнутымі краямі металічны посуд для жарения|патэльня
Мясная ці малочная ежа|скорам
Почырк старажытных рукапісаў, у якім – у адрозненне ад статуту і паўустава – літары злучаюцца адна з іншай|хуткапіс
Сабака, што пераследвае падчас палявання замест звера скаціна, хатнюю птушку (у гаворкі паляўнічых)|скотинник
Месца, дзе крыжуецца, перасякаецца|перакрыжаванне
Слабасць розуму, разумовая абмежаванасць|прыдуркаватасць
Мастак, які стварае творы скульптуры|скульптар
Спартовец, кіраўнік скутарам|скутарыст
Слова ці зварот гаворкі, што ўвайшлі ў рускую мову з царкоўна-славянскай мовы|славянізм
Слова ці зварот гаворкі, запазычаныя неславянскай мовай са славянскай мовы|славянізм
Лік, якое складаецца з адным ці некалькімі іншымі пры складанні|складнік
Складовая частка цэлага|складнік
Майстэрня па ручной апрацоўцы металу, зборцы машын і абсталяванні|слясарня
Твар, якая атрымала філалагічная адукацыя; філолаг|славеснік
Памяшканне для сланоў што жывуць у няволі|сланоўнік
Чалавек, прыстаўлены да сланоў для сыходу за імі; паганяты сланоў|слоновщик
Царкоўная кніга, якая змяшчае тэксты, па якіх здзяйсняецца служба|служэбнік
Найнізкі службовец у некаторых установах|служка
Непасрэдная блізкасць|сумежнасць
Прыбор, машына, апарат для механічнай падрыхтоўкі сумесяў, для змешвання|змяшальнік
Хмызняк сямейства крыжовниковых з ядомымі кіслявымі ягадамі чорнага, чырвонага, белага і жоўтага колеру|парэчка
Вымаўленне з дадатковым да асноўнай артыкуляцыі ўздымам сярэдняй часткі спінкі мовы да цвёрдага неба; палатализация (у лінгвістыцы)|змякчэнне
Задавальненне матэрыяльных запатрабаванняў краіны, насельніцтвы, вобласці дзяржаўнага, грамадскага жыцця|забеспячэнне
Святар саборнай царквы|соборянин
Паседжанне з мэтай сумеснага абмеркавання|нарада
Пачуццё смутку, смуткуй, раскаянні, што выклікаецца свядомасцю страты ці непапраўнасці|шкадаванне
