Адрэзак часу; муз. інтэрвал|секунда
Адтуліна ў абор. збудаваннях; праём у сцяне|амбразура
Зваротнае дзеянне; узаемадзеянне химич. рэчываў|рэакцыя
Аддалены выбліск на небасхіле – водбліск маланкі; дзіцячая ваенна-спартовая гульня|паланіца
Аддзел журн. Сучаснік у 1859–1863 гг.; атрыбут ДАІ|свісток
Асобнае селішча; хата на селі са службамі і ўгоддзямі|сядзіба
Асобны чалавек, асоба; асобны арганізм (биол.)|індывід
Адчуванне радасці; горад у Луганскай вобл.; раман Павленко|шчасце
Аповяд: А. Чэхава; Вересаева|пісьменнік
Аповяд А. Чэхава; маладая|нявеста
Аповяд А. Чэхава; п'еса М. Горкага|дачнікі
Аповяд Вересаева; аповесць Т. Шаўчэнка|княгіня
Аповяд І. Тургенева; кіраўнік маёнткам|бурмістр
Аповяд І. С. Тургенева з “Цыдулак паляўнічага”|Муму
Растанне; верш. : А. Ахматавай; А. Пушкіна|расстанне
Праца, то, чым заняты; уступ у пасаду|занятак
Роўнасць, раўнапраўе бакоў; суадносіны паміж валютамі розных краін|парытэт
Выведнік, герой СССР; сав. кінаакцёр; сав. баксёр; барацьбіт|Кузняцоў
Выведнік, капітан, Герай Савецкага Звяза (1944, пасмяротна). У Вялікую Айчынную вайну начальнік выведвальна-дыверсійнай групы ў Адэсе. Пакараны румынскімі акупантамі.|Малайчын
Частку медыцыны; аповяд А. Чэхава|хірургія
Дзіця; аповесць С. Баброва (1966); фільм яп. рэжысёра Н. Осимы (1969)|хлопчык
Рос. рэжысёр (1900–59); рос. канструктар парашутнай тэхнікі (1909–78); сав. хакеіст|Лабачоў
Рос. дзярж. дзеяч і дыпламат (1768–1834); суддзя, які паведаміў Пятру I пра здраду Мазепы (1640–1708)|Кочубей
Рос. канструктар (1904–79, танкі БТ-7, Т-34); рос. прадпрымальнік, мецэнат (1862–1905)|Марозаў
Рос. эстр. спявак; кіргіз. паэт|Маликов
Рос. артыст, кароль карточн. фокусаў|Данилин
Расійскі спартовец-барацьбіт; расійскі вандроўца і натураліст|Карелин
Расійскі харавы дырыжор (1812–85); сав. хакеіст|Ломакин
Расійскі мастак-керамист (1905–84); савецкі біятланіст|Круглов
Расійскі біёлаг і селекцыянер (1855–1935); расійскі архітэктар (1700–63)|Мічурын
Расійскі гісторык (1906–76); драма Дж. Байрана|Манфрэд
Расійскі лётчык-выпрабавальнік, Герай Савецкага Звяза (1981). Правёў завадскія і дзяржаўныя выпрабаванні першага ў СССР самалёта вертыкальнага ўзлёту і пасадкі.|Дексбах
Расійскі тэатральны рэжысёр; расійскі выканавец на домры (1882–1934)|Любімаў
Расійскі фармаколаг (1865–1924); расійскі фізіёлаг (1893–1951)|Кравков
Род ліян; да іх ставіцца амурскі агрэст|актынідыя
Род марскога чырвонага багавіння; адзін з выглядаў выгадоўваецца для атрымання агар-агара|анфельция
Род шматгадовай травы сямейства амарылісавых; сын бога Кефиса|нарцыс
Сваяк; аповяд Вересаева; паэма Н. Некрасова|дзядуля
Рок-група Б. Гребенщикова; стекл. пасудзіна для рыбак|акварыум
Раман Ф. Купера; произвед. А. Авдеенко|следапыт
Раман Ю. Сямёнава; выгляд химич. рэакцыі|гарэнне
Рус.: балетмайстар; гісторык|Горскі
Рус. адмірал; сав. касманаўт; рускі пісьменнік (“Рэйд Чорнага Жука”); горад у Сахалінскай вобл.|Макараў
Рус. акцёр; сав. веласіпедыст|Москвин
Рус. афтальмолаг; сав. акцёр|Філатаў
Рус. раманс; п'еса Арбузова; карціна Дега|чаканне
Рус. мастак-перадзвіжнік; сав. хакеіст; рус. рэвалюцыянер|Камянеўшы
Рус. мастак; сав. валейбаліст|Антропов
Рус. дзекабрыст; сав. драматург|Кавуноў
Рус. кампазітар 19 ст.; сав. пісьменнік; герой 1812 г.|Бородин
Рус. кампазітар; сав. мастак|Глазунов
Рус. матэматык; сав. акцёр|Стеклов
Рус. мера даўжыні; адрэзак навучальнага года ў школе|чвэрць
Рус. мера пляца; частка ўраджая, якая спаганялася царквой|дзесяціна
Рус. мараплавец, камандзір “Мірнага” (1788–1851); рос. генерал, удзельнічаў у паланенні Шаміля|Лазарев
Рус. мараплавец; сав. акцёр|Лазарев
Рус. мітрапаліт, пісьменнік (1482–1563); рускі гісторык (1816–82); хрысціянскі пакутнік|Макарий
Рус. паэт, сябар П. І. Чайковского; сав. футбаліст|Апухтин
Рус. паэт-дзекабрыст; сав. акцёр|Раеўскі
Рус. паэт; сав. : акцёр; баксёр; хакеіст; спявак|Міхайлаў
Рус. паэт; сав. : спартовец-барацьбіт; хакеіст|Зміцераў
Рус. паэт; сав. акцёр|Державин
Рус. пісьменнік-асветнік; рус. дзекабрыст|Фонвизин
Рус. пісьменнік; сав. : футбаліст; барацьбіт|Салаўёў
Рус. фізік; швейц. філосаф 19 ст.; рускі пісьменнік|Авенариус
Рускі акцёр; сав. : паэт; хакеіст|Мартынаў
Рускі акцёр; футбаліст ЦСКА 70-х гадоў|Тарханаў
Рускі мастак, аўтар карціны “Абарона Севастопаля 1855 г.”|Айвазоўскі
Рускі выдавец і кнігагандляр (1854–1926); акторка і рэжысёр (1898–1985)|Кнебель
Рускі паэт 18 ст.; сав. мастак (“Внузаўкі”); контр-адмірал, герой абароны Севастопаля|Истомин
Рускі паэт; рускі акцёр|Давыдаў
Рускі пісьменнік (“Зрок і каханне”); дзяк, пісьменнік, набліжаны Івана III|Курицын
Рускі пісьменнік; паплечнік В. Леніна; сав. веласіпедыст|Зиновьев
Рускі пісьменнік; сав. архітэктар|Гинзбург
Рускі пісьменнік; сав. веласіпедыст|Мелихов
Рускі пісьменнік; касманаўт|Палякаў
Рускі філосаф-эканаміст; герой рамана І. Тургенева|Кірмашоў
Мяжа; верш. М. Светлова; фільм Я. Рыбковского|мяжа
Кіраўнік арганізацыі; п'еса Алешина|дырэктар
Ручная дарожная торба з замкам; ручная дарожная торба|сакваяж
Рым. феод. род; вертыкальная апора (база, капітэль, ствол)|калона
Рымскі імператар (12–41); п'еса А. Камю (1944)|Калігула
Рыба сем. карповых; горад у ліпецкай вобл.|Ялец
Рыба; верш К. Павловой|матылёк
Шэраг войскаў, драпак.; дыван-карціна; рашотка для павойных раст.; бумаж. шпалеры|шпалера
“Sоttо vосе” па-руску|напаўголасу
Танец з цотным лікам пар, якія робяцца сябар супраць сябра і па чарзе выканаўцаў танцавальныя постаці; у канцы агульны рух|кадрыля
Татуяванне; упрыгожванне з карунак, тканіны на жаночай прычосцы|наколка
То ж, што бацька; праваслаўны святар|бацечка
Тое, што выйграна; прыбытак, атрыманы ўладальнікам латарэйнага квітка|выйгрыш
Тое, што накрышана, скрышана; ежа з кавалачкамі чаго-небудзь накрышанага|мешаніна
Тое, што наматана, скрутак; намотванне|намотванне
Той, хто робіць замову рамесніку; замовец, што прадстаўляе свой матэрыял|давалец
Трава сямейства парасонавых; некаторыя выгляды ўжываюць як рэзкая затаўка|бядрынец
Трагедыя Еўрыпіда; у міф. Інш. Грэцыі – мужа Гектора|Андромаха
Трохстворкавае люстэрка; тонкая рашотка для павойных раст.|трэльяж
Трапічны стэп; рака ў ЗША|савана
Цвёрдая частка фуражкі, якая выступае трэба лбом; невялікі падстрэшак|брыль
Цвёрды полаг некаторых жывёл; браня|панцыр
Цвярдыня, апора; раман Кронина|цытадэль
