Найвялікая, лімітавая колькасць найвялікая велічыня, вышэйшая ступень|максімум
Зарасніка, кусты маліны|маліннік
Адмысловае цукрыстае рэчыва, якое атрымліваецца пры дзеянні соладу на крухмал, прамежкавы прадукт расшчаплення крухмалу, выкарыстоўваны ў піваварстве і вінакурэнні; саладовы цукар|мальтоза
Густая каша з кукурузнай пакуты ці крупы|мамалыга
Сплаў марганцу і нікеля|манганин
Галоўны мінерал марганцевых руд, што сустракаецца ў выглядзе тонкакрышталічных мас чорнага ці бурага колеру|манганіт
Зарасніка вечназялёных дрэў і хмызнякоў з надземнымі каранямі на нізкіх глейкіх узбярэжжах тропікаў, затопляемых марскім прылівам|мангрова
Цытрусавае дрэва сямейства рутовых, з невялікімі пладамі, якія нагадваюць апельсіны|мандарын
Дзяржаўны службовец у феадальным Кітаі|мандарын
Шматгадовая травяністая расліна сямейства розоцветных з зелянявымі кветкамі і складчатыми лісцем; росник|манжетка
Дэкларацыя палітычнай партыі, грамадскай арганізацыі і т. п. праграмнага, прынцыповага характару|маніфест
Прыбор для вымярэння ціску вадкасцяў і газаў|манометр
Жылое памяшканне на гарышчы пад пахілам даху|мансарда
Карункавая ці шаўковая накідка, якая зачыняе галаву і плечы (у іспанак)|мантылля
Лёгкая кароткая накідка, палярына, звычайна з падоўжанымі канцамі|мантылля
Дробавая частка дзесятковага лагарыфма (у матэматыку)|мантыса
Гатунак дэсертнага лікёру з кіслых вішань|мараскін
Хімічны элемент, серабрыста-белы далікатны метал, што сустракаецца ў прыродзе ў выглядзе злучэнняў (аксідаў, карбанатаў і т. п.)|марганец
Харчовы тлушч, прыгатаваны галоўным чынам з сумесі раслінных і жывёльных тлушчаў|маргарын
Імкненне дзяржавы ўсталяваць сваё панаванне на моры шляхам павелічэння колькасці ваенных караблёў, збудаванні ваенна-марскіх баз і т. п.|марынізм
Мастак, які малюе марскія пейзажы|марыніст
Пісьменнік, паэт, што апісвае мора, жыццё маракоў|марыніст
Мінерал класа сульфідаў, які з'яўляецца сырцом для атрымання сернай кіслаты, а таксама выкарыстоўваны для выраба розных упрыгожванняў; прамяністы калчадан|марказіт
Кіраўнік маркі|маркграф
Спадчынны тытул валадара феадальнага княства (у сярэднявечнай Нямеччыне)|маркграф
Лёгкая (звычайна баваўняная) тканіна з тонкага кручанага прадзіва|маркізэт
Філасофскае і сацыяльна-палітычнае – створанае К. Марксам у садружнасці з Ф. Энгельсам – вучэнне пра законы развіцця грамадства, пра непазбежнасць яго рэвалюцыйнага пераўтварэння праз дыктатуру пралетарыята ў бяскласавае камуністычнае|марксізм
Кандытарскі выраб у выглядзе желеобразной масы ці цукерак з фруктовага ці ягаднага пюрэ, зваранага з цукрам|мармелад
Старадаўняя лёгкая мяккая шаўковая тканіна; род тафты|марселин
Насельнікі планеты Марс|марсіяне
Маленькая малпа з роду узконосых малп, якая адрозніваецца крайняй жвавасцю і рухомасцю|малпа
Цеста, прыгатаванае з працёртага міндаля ці арэхаў з цукрам|марцыпан
Страва з варанай гародніны пад соусам|маседуан
Баль, удзельнікі якога з'яўляюцца ў масках і розных фантастычных гарнітурах; касцюмаваны баль|маскарад
Скульптурнае ўпрыгожванне ў выглядзе твару чалавека ці галовы жывёлы, зрэзаных ззаду і што нагадваюць маску|маскарон
Сталовы посуд для сметанковага масла|маслёнка
Прыстасаванне для змазкі частак машын алівай, складам|маслёнка
Прылада для падачы змазвальных рэчываў на якія труцца паверхні машын і механізмаў|маслёнка
Ядомы грыб з алеістым слізістым жоўта-бурым капялюшыкам|масляк
Прылада тынкоўшчыкаў і муляроў у выглядзе металічнай лапатачкі з дзяржальняй для нанясення раствора|кельня
Тонкая пругкая лапатачка ці нож, службоўцы ў мастакоў для расцірання фарбаў, нанясенні грунта, чысткі палітры|мастыхін
Неапрацаванае рэчыва, сыравіна і т. п., з чаго вырабляецца, вырабляецца, будуецца|матэрыял
Тканы, сінтэтычны ці трыкатажны выраб, прызначанае для швіва; тканіна|матэрыял
Звесткі, дадзеныя, крыніца, службоўцы асновай ці доказам|матэрыял
Найболей буйнае вочка ў вуллі для выводзін і ўтрыманні пчалінай маткі|матачнік
Прыстасаванне для лоўлі пчалінай маткі пры раенні|матачнік
Памяшканне для ўтрымання матак хатняй скаціны|матачнік
Расліна, выкарыстоўванае для гадоўлі новых раслін|матачнік
Участак, дзе растуць насеннікі ці высадкі раслін|матачнік
Частка песціка, завязь у раслін|матачнік
Прылада для нарезания ўнутранай шрубавай разьбы; метчык|матачнік
Формавая блуза матросаў з вялікім адкладным каўняром адмысловага крою|матроска
Расліна сямейства крыжакветных з духмянымі кветкамі; ляўконія|мацыёла
Матэрыяльная частка|матчастка
Мяса, пераважна каніна (у татараў, башкір і некаторых іншых народаў)|маханина
Дрэва, прыдатнае для выраба шчоглаў|мачтовка
Судна са шчоглай|мачтовка
Працоўны, кіраўнік машынай|машыніст
Адмысловец радавога складу на караблях флота, у абавязкі якога ўваходзіць кіраванне галоўнымі машынамі і дапаможнымі механізмамі і сыход за імі|машыніст
Працаўнік чыгуначнага транспарта, метрапалітэна, які водзіць цягнікі|машыніст
Працаўнік, у вядзенні якога знаходзіцца абсталяванне сцэны, змена дэкарацый падчас спектакля і т. п. (у тэатры)|машыніст
Вялікія літары, пераважна ва ўжыванні да старажытнай лацінскай і грэцкай пісьменнасці|маюскулы
Ювелірны выраб – звычайна авальнай ці круглай формы – у выглядзе невялікага плоскага футарала, у які змяшчаецца малюнак ці ўкладваецца памятнае, носнае на шыі|медальён
Авал, службовец рамкай для малюнка ці ўпрыгожванні|медальён
Казурка атрада прямокрылых, з тоўстым целам, пакрытым кароткімі аксаміцістымі валасінкамі, якое жыве ў зямлі і што з'яўляецца шкоднікам сельскагаспадарчых культур|мядзведка
