Паэт, пішучы оды|одописец
Шыйнае ўпрыгожванне з каштоўных камянёў, жэмчугі, манет і т. п.|каралі
Надзеі на штосьці, разлікі, здагадкі|чаканні
Пераход газаў у вадкі стан пры астуджэнні|ожижение
Здольнасць раслін супрацьстаяць халадам і неспрыяльным зімовым умовам; зімаўстойлівасць|озимость
Мінерал з нафтавым пахам, па хімічным складзе ўяўлялы сабою вуглевадарод; горны воск|азакерыт
Прыбор для азанавання, абіркі паветра|азанатар
Свавольствы, пястота|свавольства
Сукупнасць тых абласцей зямнога шара, якія заселены чалавекам|айкумена
З'ява паглынання газаў некаторымі металамі і вуглём (у хіміі)|аклюзія
Суадносіны зубоў верхняй і ніжняй сківіц у стуленым стане (у медыцыне); прыкус|аклюзія
Ўдзельнік акупацыі; захопнік|акупант
Частка мясной тушы каля таза|акавалак
Сямейства рыб падатрада колючеперых|акунёвыя
Парнакапытная жывёла сямействы полорогих, распаўсюджанае ў Афрыцы|аленябык
Дзіцяня аленя|аленяня
Машынная аліва|олеонафт
Бог, насельнік Алімпу (у старажытнагрэцкай міфалогіі)|алімпіец
Супадзенне слоў ці іх формаў у напісанні пры поўным адрозненні значэнняў|аманімія
Раскладанне арганічных злучэнняў вадой ці шчолачамі|амыленне
Драўляная ці металічная форма будучага збудавання, наполняемая бетонам і якая здымаецца пасля яго зацвярдзення|апалубка
Адмысловец, што выконвае працу па кіраванні ці абслугоўванню складанага абсталявання ці ўсталёўкі|аператар
Адмысловец, які вырабляе кіно- ці тэлездымку|аператар
Службовая асоба на транспарце, што прымае распараджэнні дыспетчара і паведамляльнае яму звесткі пра рух|аператар
Каманда ці серыя каманд праграмы, складзенай на адным з моў праграмавання|аператар
Хірургічная лячэбная дапамога, наўмыснае парушэнне цэласці хворага органа цела ці тканіны – выкрыццё, адсячэнне і т. п. – з мэтай іх лячэння|аперацыя
Шэраг ваенных дзеянняў, падпарадкаваных адзінаму стратэгічнаму плану|аперацыя
Асобная фаза тэхналагічнага ці іншага працэсу|аперацыя
Гандлёвая ці фінансавая ўгода|аперацыя
Пёры ў птушак|апярэнне
Музычна-драматычны твор – нярэдка камедыйнага характару – з элементамі гутаркі і танцаў|аперэта
Памылка ў тэксце, дапушчаная пры друкаванні|памылка друку
Славеснае – вусновае ці пісьмовае – малюнак|апісанне
Пласт глебы, зрушаны са схілаў ці адхонаў у перыяд дажджоў, снегараставанні і т. п.|оплывина
Зрушэнне, слізгаценне ўніз па схіле масы горнай пароды|апоўзень
Якая апусцілася ў выніку зрушэння частка горнай пароды|апоўзень
Служылы дваранін, ваяр, што складаўся ў войсках апрыччыны ў валадаранне Івана IV (Грознага)|апрычнік
Аптычны вымяральны прыбор для асоба дакладнага вымярэння лінейных памераў|оптиметр
Бадзёрае і жыццярадаснае светаадчуванне, пры якім чалавек верыць у светлую будучыню, у поспех|аптымізм
Пропуск|апушчэнне
Музычны твор для хору, аркестра і салістаў, напісанае на драматычны сюжэт і прызначанае для канцэртнага выканання|араторыя
Частка, прызначаная для якія моляцца (у каталіцкім храме)|араторыя
Любая жывая істота, жывое цела з яго согласованно дзейснымі органамі|арганізм
Назва розных невялікіх аўтаматычных завадных музычных прылад|органчик
Вандроўны музыка з органчиком|органщик
Назва аднаго з двух, трох лікаў, што вызначаюць становішча кропкі на плоскасці адносна прастакутнай сістэмы каардынат (у геаметрыі)|ардыната
Арыгінал|арыгінал
Тэкст, які з'явіўся прадметам перакладу на іншую мову|арыгінал
Рукапіс ці тэкст, прызначаныя для паліграфічнага прайгравання|арыгінал
Мастацкае ўпрыгожванне, узор, для якога характэрна рытмічнае размяшчэнне геаметрычных ці стылізаваных раслінных і жывёльных элементаў малюнка|арнамент
Упрыгожванне мелодыі (пра пошчакі, фіярытурах і т. п.)|арнамент
Сістэма ўзорных нормаў літаратурнага вымаўлення|арфаэпія
Круглая пляцоўка паміж сцэнай і месцамі для гледачоў, на якой знаходзіўся хор, які ўдзельнічаў у драматычным уяўленні (у старажытнагрэцкім тэатры)|орхестра
Сямейства однодольных шматгадовых травяністых раслін, наземных і з паветранымі каранямі; ятрышниковые|орхидные
Доўгі чуб на цемрадзі голенай галавы ва ўкраінцаў (даўней)|чуб
Звязальнае адчуванне ў роце ад кіслага ці даўкага|аскома
Верхняя частка ствала дрэва|оследина
Двулетнее расліна з пахкімі жоўтымі кветкамі, што расчыняюцца ўвечар|асліннік
Мяса асла|асляціна
Паганяты, пастух аслоў|ослятник
Сістэма снасцяў судна; такелаж|абсталяванне
Сукупнасць тэхнічных прыстасаванняў на станку, прыборы і т. п.|абсталяванне
Сямейства аднагадовых раслін, да якога ставяцца асот, чарот, папірус і земляны міндаль|осоковые
Каштоўная прамысловая марская рыба сямейства кефаляў|вастранос
Жывёла роды марскіх головоногих малюскаў з мешковидным целам і васьмю доўгімі шчупальцамі з прысоскамі; спрут|васьміног
Успрыманне адчуванняў, якія атрымліваюцца пры дакрананні розных цвёрдых ці вадкіх целаў да скуры і слізістым абалонкам|дотык
Прылада, прылада для адбівання|отбойник
Горнарабочы, што выконвае працы, злучаныя з адбойкай карысных выкапняў|адбойшчык
Гэбель для выгаблёўвання фігурных ліній|адборнік
Той, каму прад'яўлены судовы пазоў|адказнік
Прылада для адшрубоўвання і зашрубоўванні шруб|адвёртка
Працоўны стекольно-парцалянавай вытворчасці, які займаецца адводкай посуду|отводчик
Адтуліна для выйсця паветра|аддуха
Прыбор, прыстасаванне для адціску, адцісканні|отжимник
Прыстасаванне ў грэйдара, дарожнай машыны, для апрацоўкі адхонаў канаў|адкоснік
Навучэнец, што атрымаў выдатныя адзнакі па асноўных навучальных прадметах|выдатнік
Званне, прысвойванае за выдатнае выкананне абавязкаў|выдатнік
Разнавіднасць, адценне той ці іншай масці жывёлы|отмастка
След ад чаго-небудзь; пазнака, знак|метка
Пляма іншага колеру на поўсці жывёлы ці апярэнні птушкі|метка
Палоска меха, скуры ці тканіны, нашитая ці пришитая па краях|аблямоўка
Адыход судна ад берага; адпраўленне ў плаванне|адплыццё
Строгае і неўхвальнае пярэчанне, вымова|адпавяданне
Невялікія новыя ўцёкі расліны, які адыходзіць ад сцябла ці кораня|атожылак
Селянін, што выйшаў з абшчыны на адрубы, які валодае водрубам|отрубник
Канчатковае звальненне са службы|адстаўка
Цёплае надвор'е, надыходзячая сярод зімы ці ранняй вясной і задзірлівая раставанне снега|адліга
Малітва, чытаная над што памірае|адыходная
Стан крайняй безнадзейнасці, безвыходнасці|роспач
Найменне па бацьку, якое складаецца з асновы імя бацькі і суфіксаў: -ович, -авена, -евич, -евна, -ич, -ична, звычайна прибавляемых да ўласнага імя|імя па бацьку
Працаўнік рэстарана, сталовай ці чалавек з хатняй прыслугі, што падае стравы, які прыслугоўвае за сталом|афіцыянт
Мастак, што працуе ў тэхніку афорта|афартыст
Пісьменнік, журналіст, пішучы нарысы|нарысіст
Псіхічны працэс, які складаецца ў адлюстраванні органамі пачуццяў чалавека асобных уласцівасцяў ці бакоў матэрыяльнага свету|адчуванне
Перажыванне, уражанне ад бачанага, чутага, выпрабаванага і т. п.|адчуванне
Прэпарат ёду ў выглядзе жоўта-зялёных крышталяў з рэзкім пахам як антысептычны сродак|ёдаформ
Парода свінняў, якія адрозніваюцца хуткім ростам, вялікай вагай і пладавітасцю|йоркширы
Прылада для астуджэння ў рухавіках унутранага згарання, у халадзільных усталёўках і т. п.|радыятар
Награвальны прыбор цэнтральнага апалу|радыятар
Выпраменьванне, якое ідзе ад крыніцы|радыяцыя
Радыёактыўнае выпраменьванне|радыяцыя
Група ўсходне-славянскіх плямёнаў, што жылі ў I тысячагоддзі ў міжрэчча Дняпра і Дзёсны па плыні рэк Сожа і Іпуці|радзімічы
Навуковец, які займаецца вывучэннем радыёактыўнасці|радыёлаг
Лекар, што карыстаецца метадамі радыётэрапіі|радыёлаг
Радыёсігнал, які з'яўляецца адлюстраваннем пасланага радыёсігналу|радыёрэха
Марская рыба сямейства губановых з вясёлкавай афарбоўкай|радужник
Палявы шпат з вясёлкавым адлівам; лабрадор|радужник
Вайсковая група (падраздзяленне, дазор і т. п.), занятая зборам звестак пра суперніка і пра займаную ім мясцовасці|выведка
