Акумулятар механічнай энергіі|махавік
Акт самагубства японскага самурая|харакіры
Акт пра парушэнне грамадскага парадку|пратакол
Акцёр Тэатра імя Вахтангова|Абрыкосаў
Акцёр у ролі без слоў, удзельнік масоўкі (устар.)|статыст
Акцёр тэатра і кіно з Санкт-Пецярбурга|Лебедев
Акцёр, які згуляў у фільме Аперацыя Ы і іншыя прыгоды Шурыка роля хулігана, што адбывае пакаранне на будоўлі|Смірноў
Акцёр, які быў міністр культуры Расіі|Губенко
Акцёр, упершыню выступалы перад публікай|дэбютант
Акцёр, што выступаў на сцэне Мхата|Тарханаў
Акцёр, гулец першыя ролі|прэм'ер
Акцёр, выканаўца другарадныя ролі без слоў|статыст
Акцёр, выканаўца першыя, галоўныя ролі|прэм'ер
Акцёр, народны артыст СССР, які выступаў на сцэне Мхата|Тарханаў
Акцёр, народны артыст СССР, што гуляў на сцэне МХАТ|Ливанов
Акцёр-трагік, адзін з першых акцёраў Малога тэатра|Мочалов
Акцёр|Калныньш
Акторка Маскоўскага тэатра сатыры|Аросева
Акторка Маскоўскага тэатра ім. Евг. Вахтангова|Барысава
Акторка тэатра і кіно, народная артыстка СССР|Пельтцер
Акторка, якая згуляла Герду ў киносказке пра Снежную каралеву|Проклова
Акторка, зорка рускага нямога кіно|Халоднае
Актыўнае каханне да чужых праблем|альтруізм
Актыўнасць, працаздольнасць|энергія
Актыўны супраціў грамадскаму прагрэсу|рэакцыя
Акцыянерная кампанія, што ўсталявала кантроль над іншымі праз куплю кантрольных пакетаў акцый|холдынг
Аляксандраў разам з Эйзенштейном здымалі карціну “Жыве ...” (фільм не быў скончаны)|Мексіка
Алгебраічная крывая трэцяга парадку|циссоида
Алгебраічны тэрмін, асобны этап рашэння задачы|дзеянне
Алк. напой|чинзано
Алкалоід, содерж. у кары кораня барбарыса|берберын
Алкалоід, які здабываецца з чилибухи|стрыхнін
Алкагольны напой на медыцынскай службе|бальзам
Алкагольны напой, изготовляемый саматужным спосабам|самагонка
Алкагольны напой|гарылка
Алтайскі край (горад)|Рубцовск
Алфавітны спіс, рэестр слоў у слоўніку|словаспіс
Альбом І. Аллегровой|угонщица
Альбом засушаных раслін|гербарый
Альбом, які выйшаў пасля смерці Віктара Цоя, завецца ...|чорны
Альманах па сваёй сутнасці|складанка
Альпійская варона|клушица
Альпініст-правадыр, першы заваёўнік Эльбруса ў 1829|Хаширов
Альтэрнатыва вадзяністасці|гушчыня
Альтэрнатыўная транслітарацыя Варанаши, святога горада індусаў|Бенарес
Альтэрнатыва карбюратару|інжэктар
Алюмініевы сплаў для ліцця|сілумін
Ам. верхавыя коні, якія адбываюцца ад іспанскіх буланых|паломино
Ам. вынаходнік перфакарты|Холлерит
Ам. да/рэжысёр, родапачынальнік камедыйнай школы ў кіно ЗША|Сеннетт
Ам. кинореж., осн-іч докум. кіно|Флаэрти
Ам. пісьменнік-рэаліст|Фолкнер
Ам. пісьменнік-фантаст|Брэдбери
Амер. астранаўт, першы чалавек на Месяцы|Армстронг
Амер. астранаўт|Гэрриот
Амер. астранаўт|Масгрейв
Амер. астранаўт|Петерсон
Амер. астранаўт|Слейтон
Амер. астранаўт|Торнтон
Амер. астранаўт|Швейкарт
Амер. архітэктар 20 ст.|Джонсан
Амер. архітэктар 20 ст.|Салливен
Амер. акторка|Пикфорд
Амер. арбітальная станцыя|скайлэб
Амер. хімік (1886–1965), разраб. метад подводн. изоляц. кабеляў|Уільямс
Амер. хімік, падчас 2-й свет. войны атрымліваў уран высокай чысціні|Спеддинг
Амер. баскетбаліст|Джордан
Амер. бальны танец|уанстеп
Амер. горад, дзе збіраюць ядзерную зброю|Амарилло
Амер. штучн. спадарожнік|гэллакси
Амер. кінарэжысёр|Скорсезе
Амер. кінарэжысёр|Спілберг
Амер. маммут як аўтамабіль|грузавік
Амер. міжпланетная станцыя|вояджер
Амер. нейрофизиолог|Дельгадо
Амер. прэзідэнт, чыё імя носіць аэрапорт у Нью-Ёрку|Кэнэдзі
Амер. телепроповедник|Сваггерт
Амер. фізік, нобелеўск. лаўрэат 1952 г.|Парселл
Амер. цэнтр кінематаграфіі|Галівуд
Амерык. горад-порт у штаце Аляска|Анкоридж
Амерык. фірма-стваральнік РЕТ, масавага персанал. кампутара|коммодор
Амерыканская сістэма пісталета|беретта
Амерыканская спартовая гульня дзвюх каманд у мяч|бейсбол
Амерыканская арбітальная станцыя для палёту па калязямной арбіце|скайлэб
Амерыканская касмічная станцыя|скайлэб
Амерыканская міжпланетная аўтаматычная станцыя|маринер
Амерыканскае аўта|шэўрале
Амерыканскае возера на паўвостраве Фларыда|Окичоби
Амерыканская назва віхраслупу|тарнада
Амерыканскія індзейцы (адказ у мн. ч.)|алгонкины
Амерыканскія індзейцы (адказ у мн. ч.)|гуарани
Амерыканскія індзейцы (адказ у мн. ч.)|тотонаки
Амерыканскія індзейцы, ЗША (адказ у мн. ч.)|іракезы
Амерыканскія індзейцы|гуатусо
Амерыканскія індзейцы|катукина
Амерыканскія індзейцы|чонтали
Амерыканскія індзейцы|шириана
Амерыканскія кеглі|боўлінг
Амерыканскі астранаўт|Криппен
Амерыканскі астраном|Барнард
Амерыканскі адмысловец у вобласці квантавай фізікі|Фейнман
Амерыканскі адмысловец па ўзвядзенні які наязджае даху|гангстар
Амерыканскі штотыднёвік|ньюсуик
Амерыканскі хімік, адкрыў (1956) мевалоновую кіслату|Фолкерс
Амерыканскі хімік, што атрымаў нейлон у 1934 г.|Каротерс
Амерыканскі хімік-арганік (1853–1942)|Міхаэль
Амерыканскі хімік|Бакеланд
Амерыканскі бальны танец, ад якога пайшлі уанстеп, тустэп і факстрот|регтайм
Амерыканскі бальны танец|факстрот
Амерыканскі бальны танец|чарлстон
Амерыканскі верабей|танагра
Амерыканскі горад, дзе ўпершыню прыгатавалі кока-калу|Атланта
Амерыканскае мястэчка ў Аклахоме – цёзка амерыканскага прэзідэнта|Клінтан
Амерыканскі штучны спадарожнік сувязі|телестар
Амерыканскі выканавец рамантычных песень|Синатра
Амерыканскі інстытут|каледж
Амерыканскі спявак і трубач|Армстронг
Амерыканскі папулярны кінарэжысёр па імі Стывен|Спілберг
Амерыканскі асветнік, дзяржаўны дзеяч, навуковец|Франклін
Амерыканскі прамысловец, чыім імем названы ці ледзь не самая прэстыжная канцэртная зала Нью-Ёрка|Карнегі
Амерыканскі вандроўца, чыім імем названы паўвостраў на крайняй поўначы Грэнландыі|Пири
Амерыканскі піяніст, лаўрэат конкурсу ім. Чайковского|Клиберн
Амерыканскі пісьменнік Эдгар Па як пісьменнік|рамантык
Амерыканскі пісьменнік пад псеўданімам Твен|Клеменс
Амерыканскі пісьменнік, аўтар папулярных дэтэктыўных раманаў|Чандлер
Амерыканскі пісьменнік|Болдуин
Амерыканскі тэлесерыял|Скарлетт
Амерыканскі фантаст, які распавёў пра віно з дзьмухаўцоў|Брэдбери
Амерыканскі фізік, што адкрыў у касмічных прамянях пазітроны|Андерсон
Амерыканскі физикохимик (1873–1951)|Харкинс
Амерыканец, рады якога ў плане чалавечых адносін набылі велізарную павагу ў масах|Карнегі
Амерканск. хімік, прэзідэнт Амерыканскага хим. пра-ў (1931)|Гомберг
Кудмень|талісман
Свіран, памяшканне для хлеба, збожжа|жытніца
Амінакіслата, якая змяшчаецца ў большасці бялкоў|гистидин
Амінакіслата, асабліва неабходная дзецям|треонин
Амінакіслата|гистидин
Амінакіслата|глютамін
Амінакіслата|орнитин
Амплуа акцёра ў старым тэатры|рэзанёр
Амплуа акцёра|палюбоўнік
Амплуа акцёра|субрэтка
Амплуа акцёра|травесці
Амплуа акцёраў (шляхетныя жанчыны)|грандам
Амплуа спартоўца|форвард
Амплуа пісьменніка А. Азимова|фантаст
Амплуа цыркавога артыста з соотв. традиц. нумарамі (глытанне агню і т. п.)|факір
Амфисбена|двуходка
Амфібія трыясавага перыяду, вёў прыдновы лад жыцця|бентозух
Амфітэатр Флавиев у Рыме, помнік інш.-грэцкай архітэктуры|Калізей
Аналогія|падабенства
Анатомія Землі|геалогія
Ансамбль з чатырох выканаўцаў|квартэт
Анестэзавалы сродак|анестэтык
Анхуза, травяністая расліна, меданос|пакрывец
Анёл смерці (военн.)|снайпер
Анёл, які стаіць на адну прыступку ніжэй серафіма ў нябеснай іерархіі|херувім
Анёл, што належыць да аднаго з вышэйшых анёльскіх абліччаў|херувім
