Соў. хімік, гл. рэд. ж-ла “Хімія драўніны” з 1974|Калнинь
Соў. хімік, спец. па хіміі бялку і пептыдаў (1907–1971)|Порошин
Соў. хімік-аналітык (1905–1965)|Рабчыкаў
Соў. хімік-аналітык (1908–1990)|Талипов
Соў. хімік-аналітык (1909–1976)|Ляликов
Соў. хімік-арганік, рэз. Всес. хим. пра-ў ім. Мендел. (1950–54)|Радзівонаў
Соў. хімік-арганік, Герай Соцтруда|Мнджоян
Соў. хімік-арганік|Бабичев
Соў. хімік-арганік|Наметкин
Соў. хімік-неорганик і металург (1907–1979)|Зефиров
Соў. хімік-неорганик, Дзярж. прэмія СССР 1946 г.|Гринберг
Соў. хімік-неорганик|Болдырев
Соў. хімік-неорганик|Манвелян
Соў. хімік-неорганик|Фурманаў
Соў. хімік-тэхнолаг (1865–1924)|Ланговой
Соў. хімік-тэхнолаг|Асцярожнай
Соў. хімік|Буслаев
Соў. хімік|Пшеницын
Соў. навуковец у вобл. теоретич. асноў хим. тэхналогіі|Куцепаў
Соў. навуковец у вобласці горнай справы|Докукин
Соў. навуковец, акадэмік|Вавилов
Соў. баскетбаліст|Бочкарев
Соў. баскетбаліст|Бутаутас
Соў. баскетбаліст|Гоборов
Соў. баскетбаліст|Каўпакоў
Соў. баскетбаліст|Курикша
Соў. баскетбаліст|Лопатов
Соў. баскетбаліст|Поленов
Соў. баскетбаліст|Поливода
Соў. баскетбаліст|Пузанаў
Соў. баскетбаліст|Респиги
Соў. баскетбаліст|Хомичус
Соў. баскетбалістка|Барышева
Соў. баскетбалістка|Еремина
Соў. баскетбалістка|Захарава
Соў. баскетбалістка|Клімава
Соў. баскетбалістка|Кобзева
Соў. баскетбалістка|Овечкина
Соў. баскетбалістка|Пыркова
Соў. баскетбалістка|Равдоне
Соў. баскетбалістка|Салимова
Соў. баскетбалістка|Чаусова
Соў. баскетбалістка|Чиянова
Соў. балярына, адна з найвядомых прадстаўніц айчыннага балета|Уланова
Соў. балярына|Комлева
Соў. бабслеіст|Экманис
Соў. баксёр|Артемьев
Соў. баксёр|Ганыкин
Соў. баксёр|Грейнер
Соў. баксёр|Ерещенко
Соў. баксёр|Засыпко
Соў. баксёр|Рискиев
Соў. баксёр|Феклуша
Соў. баксёр|Ягубкин
Соў. баксёр|Яновский
Соў. біятланіст, чэмпіён Алімпійскіх гульняў (1968, 1972)|Маматов
Соў. біятланіст|Елізараў
Соў. біятланіст|Жданавіч
Соў. біятланіст|Кашкаров
Соў. біятланіст|Круглов
Соў. біятланіст|Редькин
Соў. біятланістка|Головина
Соў. біяхімік, удзельнік бальзамавання цела В. І. Леніна|Збарский
Соў. біяхімік, акад. з 1929 г. Адзін з першых біяхімікаў Расіі|Гулевич
Соў. біёлаг, селекцыянер|Мічурын
Соў. біёлаг, раслінавод|Вавилов
Соў. ватэрпаліст|Гойхман
Соў. ватэрпаліст|Долгушин
Соў. ватэрпаліст|Кабаноў
Соў. ватэрпаліст|Куранай
Соў. веласіпедыст|Комнатов
Соў. веласіпедыст|Краснов
Соў. веласіпедыст|Нелюбин
Соў. веласіпедыст|Семенец
Соў. веласіпедыст|Шпундов
Соў. веласіпедыстка|Конкина
Соў. веласіпедыстка|Салумяэ
Соў. вайскавод, Герай Савецкага Звяза|Неделин
Соў. вайскавод, генерал войска|Штеменко
Соў. вайскавод, маршал (1902–60, загінуў пры выбуху ракетнай усталёўкі)|Неделин
Соў. валейбаліст|Артамонаў
Соў. валейбаліст|Галушка
Соў. валейбаліст|Качарава
Соў. валейбаліст|Молибога
Соў. валейбаліст|Смугилев
Соў. валейбаліст|Сорокава
Соў. валейбалістка|Никулина
Соў. валейбалістка|Огиенко
Соў. валейбалістка|Поняева
Соў. валейбалістка|Рыскаль
Соў. валейбалістка|Салихова
Соў. валейбалістка|Сарычева
Соў. валейбалістка|Шкурнова
Соў. генетык, акадэмік|Дубинин
Соў. гідратэхнік|Авяр'янаў
Соў. гидроэнергетик|Графтио
Соў. гімнастка, алімп. чэмпіёнка|Латынина
Соў. гімнастка|Дерюгина
Соў. драматург|Бокарев
Соў. драматург|Погодин
