Перавядзіце на арабскі “пакора”.|іслам
Перавядзіце на галандскую мову слова “селянін”.|свідар
Перавядзіце на грэцкі “зіготкая агністая дзіда”.|балід
Перавядзіце на грэцкую мову “навука пра чыннікі”.|этыялогія
Перавядзіце на грэцкую мову фразу “расшчапленне думкі”.|шызафрэнія
Перавядзіце на кітайскую мову “чалавек-корань”.|жэньшэнь
Перавядзіце на латынь слова “супрацьзаконнае прысваенне”|плагіят
Перавядзіце на тыбецкую мову слова: “Вышэй няма”.|лама
Перавядзіце на французскую мову слова “шкілет”.|каркас
Перавядзіце на французскі “хавай чыгун”.|кашпо
Перавядзіце на французскі “выпадак”.|рызыку
Перавядзіце на французскую мову слова “скрыначка”.|касета
Перавядзіце на японскі “нітка жэмчугу”.|рэндзю
Перавядзіце з балгарскага “читалище”.|бібліятэка
Перавядзіце са старажытнагабрэйскай мовы: “жыхар пустэльні, бедуін”?|араб
“Перакаваць сярпы на мячы” (аўтар)?|Вяргілій
“Птушыны” конь (мифол.)|Пегас
Песіміст вывучае кітайскую мову, аптыміст – ангельскі, а рэаліст – ...?|зброя
“Питбуль”, гулец зборнай Галандыі|Давидс
“Пішу, чытаю без лампады, І ясныя спячыя гмахі Пустэльных вуліц, і светлая Адміралцейская ...” (А. Пушкін, “Медны вершнік”)|іголка
“Харчовая” царкоўная служба|абедня
Планета; бог гандлю; марка амер. аўтамабіля.|Меркурый
Пляценне спіцамі; злучаная рэч ці рэч, якую вяжуць.|вязанне
Плоскі круглы выраб з печанага цеста; лекавы ці кандытарскі выраб.|аладка
Плоскі верикальный выступ на сцяне будынка; костка плечавага пояса; мыс п-ова Камчатка.|лапатка
Платон казаў пра сваіх вучняў Ксенократе і Арыстоцелю: “Калі першы мае патрэбу ў шпорах, то другі...” У чым жа мае патрэбу Арыстоцель? “у ...”|аброці
“Дрэнны чалавек” з кинокомедии “Джэнтэльмены поспеху”?|радыска
Плютарх у “Жыццяпісе Фемистокла” кажа: “Дзеці, мы б загінулі, калі б не ...”. Завершыце фразу.|гінулі
Плютарх казаў: “Не патрэбен мне сябар, які змяняецца разам са мной і паўтарае кожны мой кіў. Гэта значна лепш робіць...” Хто?|мой цень
