Сінонім лепра (мёд.)|свавольства
Сінонім летапісец|аналіст
Сінонім логіка|мысленне
Сінонім гультай|дармаед
Сінонім хітрасць, зман|хітрасць
Сінонім кахаць|любіць
Сінонім людаед|канібал
Сінонім ляссе|закладка
Сінонім маскіроўка (біёлаг.)|мімікрыя
Сінонім маскіроўка|камуфляж
Сінонім чараўнік|чарадзей
Сінонім маіс|кукуруза
Сінонім травень|травень
Сінонім манеру|звычка
Сінонім мерзнуць|калець
Сінонім мор|эпідэмія
Сінонім манітор|дысплей
Сінонім мультыплікацыя|анімацыя
Сінонім мім|акцёр
Сінонім млекопитающее|жывёла
Сінонім надакучыць|надакучыць
Сінонім спадчыннасць|генафонд
Сінонім узнагарода|рэгалія
Сінонім начотчык|гелертар
Сінонім непрыязнасць|антыпатыя
Сінонім мараль, павучанне|мараль
Сінонім нораў|характар
Сінонім нюх|нюх
Сінонім пан|спадар
Сінонім пераказванне|парафраз
Сінонім перабудова, пераўтварэнне|рэарганізацыя
Сінонім скрыжаванне|скрыжаванне
Сінонім ростань|ростань
Сінонім амбасадар|дыпламат
Сінонім пасланец|дэлегат
Сінонім пасланец|дэпутат
Сінонім пасланне|эпістала
Сінонім пабудова|будынак
Сінонім партманеткі|папернік
Сінонім нагода|падстава
Сінонім паглынальнік|адсарбент
Сінонім падробка (вінаробства)|сурагат
Сінонім подчивать|частаваць
Сінонім пошук|шуканне
Сінонім заступніцтва|патранат
Сінонім полиуретан|паралон
Сінонім паліў|абрашэнне
Сінонім гад|рэптылія
Сінонім прэстыж|аўтарытэт
Сінонім прахалода|свежасць
Сінонім паходжанне, узнікненне|генэза
Сінонім інтрыгі|інтрыгі
Сінонім супрацьлегласць|антыпод
Сінонім прывід|здань
Сінонім прысуд|рашэнне
Сінонім хавацца|знікаць
Сінонім пустэча|паражніна
Сінонім палохацца|баяцца
Сінонім дрэннай|кепскі
Сінонім п'яніца (састарэўшы.)|гуляка
Сінонім карчма|карчма
Сінонім татуяванне|наколка
Сінонім трэльяж|люстэрка
Сінонім туалет|прыбіральня
Сінонім тканіна|палатно
Сінонім фартух|фартух
Сінонім фруктоза|левулоза
Сінонім флейта|жалейка
Сінонім цедент|крэдытор
Сінонім чабан|пастух
Сінонім нюх, праніклівасць|інтуіцыя
Сінонім скула|фурункул
Сінонім шалапут|абармот
Сінонім эскалоп|шніцаль
Сінонім экспазіцыя ў выяўленчым мастацтве|выстава
Сінонім экспазіцыя ў фотоделе|вытрымка
Сінонім эпістала|пасланне
Сінонім з'едлівасць|яхіднасць
Сінонім выскачка|парвеню
Сінгапур (сталіца, цэнтр)|сінгапур
Синтетич. валакно|поліамід
Синтетич. валакно|полиэфир
Сінтэтычнае валакно, назва якога можна ўбачыць на цэтліку нашай адзежы|акрыл
Сінтэтычнае валакно|віскоза
Сінтэтычнае валакно|кашмилон
Сінтэтычнае валакно|кримплен
Сінтэтычнае валакно|фториан
Сінтэтычнае валакно|эластык
Сінтэтычны палімер|карболит
Сітуацыя, якая абвастрае звычайныя чалавечыя адносіны|эксцэс
Ззяе, бліскае, выпраменьвае, азарае, струменіць прамяні (па сярэднявечнай канцэпцыі)|прыгажосць
Ззянне адлюстраванага святла|водбліск
Казачная сімфанічная карціна А. Лядова|кікімара
Казачная райская птушка з чалавечым тварам, часты персанаж на лубачных малюначках|алконост
Казачная царэўна, якая пакутавала дэпрэсіямі|Несмеяна
Казачная істота ў выглядзе жанчыны з рыбіным хвастом|русалка
Казачная істота, іншая назва лесуна|лясун
Казачная пачвара з галавой пеўня, тулавам жабы, хвастом змяі і каронай на галаве, што забівала поглядам|васіліск
Казачны уходяга|піражок
Казачны драўляны чалавек|Бураціна
Казачны меч, параўнальны па забойнасці з сучаснай зброяй масавай паразы|кладзінец
Казачны прыхільнік п'явак|Дуремар
Выказнік па-навуковаму|прэдыкат
Казка А. Н. Талстога|вадзянік
Казка А. Н. Талстога|русалка
Казка К. І. Чуковского|Мойдодыр
Казкі на Русі|дакумент
Скалісты ўступ у ледніковай даліне|рыгель
Скальпель па сваёй сутнасці|нож
Лаўка з квадратнай ці круглай сядушкай|зэдлік
Скандал, буйная сварка (ирон.)|баталія
Скандаліст, буян, задзіра|дэбашыр
Скокі і бегі, у якіх удзельнічаюць коні розных узростаў і добрых якасцяў|гандикап
Хуткаспелы гатунак памідораў, прыдатны для пакаёвай гадоўлі|юрмалас
Хуткастрэльная прылада ці буйнакаліберны кулямёт для стральбы па паветраных мэтах|зенітка
Хуткасная спартовая моталодка|глісер
Хуткасная аўтаматычная зброя|кулямёт
Хуткасць, імклівасць|шпаркасць
Слізгальныя зрушэнні мас горных парод па схілах|апоўзні
Колькі да яго ні ідзі, а ён не набліжаецца|гарызонт
Скупнасць абломкаў горных парод, адкладзенае ледніком пры яго раставанні|марэна
Скупнасць абломкаў горных парод|агламерат
Скупнасць лёду і снягі|снежник
Скупнасць нервовых клетак|ганглій
Скупнасць каштоўных мінералаў у друзлых абломкавых адкладах|россып
Сціпласць, несмелость|нясмеласць
Скругление кута на дэталях машын|галтэль
Утоеная сіла, магчымасць, здольнасць, якая выяўляецца ў вядомых умовах|патэнцыя
Ўтоенае процідзеянне|сабатаж
Утоеныя дзеянні для дасягнення, інтрыгі|інтрыга
Ўтоеныя дзеянні, накіраваныя да дасягнення заганных мэт|інтрыгі
Скульптар, аўтар помніка Ф. М. Дастаеўскаму ў Маскве|Меркуров
Скульптар, нар. мастак СССР (помнік Леніну ў Горках)|Кербель
Скульптар|разьбяр
Скульптур, стваральнік помніка першадрукару Івану Фёдараву ў Маскве|Волнухин
Скульптура ці архітэктурнае збудаванне|помнік
Скульптура, лепка|пластыка
Скульптура, прысвечаная чый-або памяці|помнік
Скульптура, з'яўленне якой магчыма толькі ўзімку|снегавік
Скульптурнае ўпрыгожванне ў выглядзе маскі чалавека ці жывёлы|маскарон
Скульптурнае ўпрыгожванне над кутом будынка ці на франтоне|акротерий
Скульптурны малюнак ці арнамент, якое выступае на плоскай паверхні  напалову аб'ёму намаляванага прадмета|барэльеф
Скульптурны малюнак ці арнамент|гарэльеф
Скумбрыя, род рыб атрада окунеобразных|макрэль
Зніжка з аптовых коштаў тавараў, якасць якіх ніжэй прадугледжанага дамовай|рефакция
Зніжка з кошту|дысконт
Вандроўца з торбай на плячах|валацуга
Тулянне, стомныя хаджэнні|мыкание
Склад зброі і ваеннага рыштунка|арсенал
Склад для захоўвання чаго-небудзь|крама
Склад маёмасці ў вайсковай частцы, а таксама ў цэху, гаражы, на будоўлі|капцёрка
Склад кароткачасовага захоўвання ў крытым памяшканні пры станцыі, мытні, у порце|пакгауз
Склад асобы чалавека|характар
Зморшчына брушыны|брыжэйка
Зморшчына на скуры твару, целы|маршчына
Складаны абраз з неск. абліччамі|складень
Складаны капялюш-цыліндр са спружынамі ў версе|шапакляк
Схіл адмысловай формы для скачкоў на лыжах|трамплін
Схільнасць да ідэалізацыі|ідэалізм
Слабаалкагольны напой, лёгкае віно|аперытыў
Слабоскрученная нітка, з якой вырабляецца прадзіва|роўніца
Слабы спіртны напой для ўзрушанасці апетыту|аперытыў
