Спецыялізацыя пісьменніка|фантаст
Спецыялізацыя птушкагадоўцы|гусегадовец
Спецыялізаваны ваенны карабель|авіяносец
Адмысловая вадкасць для ліста на паперы|чарніла
Адмысловая плоская торба з празрыстым верхам для нашэння карт|планшэт
Адмыслова абсталяванае месца для спаборніцтваў па веласпорце|веладром
Адмыслова абсталяванае месца для правядзення спаборніцтваў аўта- і авіямадэляў|кордодром
Адмыслова абсталяванае памяшканне ці збудаванне для хованкі ад сродкаў паразы: куль, бомбаў, снарадаў, атрутных рэчываў|сховішча
Адмыслова абсталяваны роўны ўчастак зямлі, адведзены для адмысловых мэт|пляцоўка
Адмыслова абсталяваны ўчастак для будаўнічых прац|пляцоўка
Адмыслова абсталяваны ўчастак для конных скаканняў|іпадром
Адмыслова навучаны стралок|снайпер
Адмыслова падабраная сумесь чаго-небудзь, набор|асарці
Адмысловасць спартоўца|яхтсмен
Адмысловасць будуе. працоўнага|цясляр
Адмысловасць працоўнага|ліцейнік
Адмысловасць мастака, якую некаторыя партыйныя кіраўнікі прымалі за габрэйскае прозвішча|дызайнер
Адмысловасць навукоўца|географ
Адмысловасць навукоўца|тапограф
Адмысловасць Віктара Міхайлавіча Полесова з рамана “Дванаццаць крэслаў” І. Ильфа і Е. Пятрова|слесар
Адмысловасць лекара|дыетолаг
Адмысловасць лекара|лагапед
Адмысловасць лекара|нарколаг
Адмысловасць лекара|анколаг
Адмысловасць лекара|ортопед
Адмысловасць лекара|педыятр
Адмысловасць лекара|псіхіятр
Адмысловасць лекара|тэрапеўт
Адмысловасць лекара|фізіёлаг
Адмысловасць чыгуначніка|абходчык
Адмысловасць, прафесія|рамяство
Адмысловае вудзіла з бакавымі шчочкамі, вынайдзена Пиньатели|муштук
Адмысловая навучальная ўстанова|тэхнікум
Адмысловы будынак для месцавання вайсковых частак|жаўнерня
Адмысловае ці асобнае вайсковае фармаванне|атрад
Адмысловае памяшканне ў цэрквы для захоўвання начыння|рызніца
Адмысловае памяшканне для кіназдымак|павільён
Адмысловыя сігналы для апазнання радыёстанцыі, судны, вайсковай часткі|пазыўны
Адмысловы суд для сялян у 18–19 стст.|расправа
Адмысловы суддзя, які займаецца высвятленнем чыннікаў загадкавай смерці|коронер
Адмысловы ўчастак чыгункі|раз'езд
Адмысловае мястэчка для спартоўцаў – удзельнікаў Алімпійскіх гульняў|вёска
Адмысловы галаўны ўбор лётчыкаў, касманаўтаў|шлемофон
Адмысловы люк на караблі, падводнай лодцы|кінгстон
Адмысловая плоская скрыня з прыладдзем для жывапісу|эцюднік
Адмысловай выявай запечаная свініна|бужаніна
Паспех, напружанасць у працы, справах з-за перагружанасці, недахопы часу|запарка
Паспех, напружанасць у працы з-за недахопы часу|запарка
Спосаб актыўнай абароны ў спорце|прэсінг
Спосаб самагубства ў самураяў|харакіры
Спосаб злучэння дэталяў|баянет
Спосаб існавання, калі рускі чалавек сапраўды расквітае|застолле
Спосаб спартовага плавання|дэльфін
Спосаб спартовай рыбнай лоўлі|нахлыст
Спосаб спартовай лоўлі рыбы|нахлест
Спосаб узбагачэння карысных выкапняў, заснаваны на адрозненні ў смачиваемости вадой часціц падзяляных мінералаў|флатацыя
Спосаб апрацоўкі металаў ціскам|пракатка
Спосаб апрацоўкі шкур|папяленне
Спосаб адукацыі разьбы|накочванне
Спосаб ачысткі паверхні металлич. вырабаў|галтовка
Спосаб развагі ад агульных становішчаў да прыватных высноў|дэдукцыя
Спосаб развагі ад прыватных фактаў да агульных высноў|індукцыя
Спосаб размнажэння аднаклеткавых арганізмаў|дзяленне
Спосаб размнажэння і адначасовага вылічэння яго хуткасці|дзяленне
Спосаб майстэрстваў. апрацоўкі металу|чаканка
Спосаб упрыгожвання мелодый|мордент
Спосаб уліку аптымістаў|латарэя
Спосаб бясполага размнажэння жывёл і раслін|апомиксис
Спосаб беспалымянага падрывання, заснаваны на выкарыстанні працякалай усярэдзіне патрона хімічнай рэакцыі адмысловай сумесі|гідрокс
Спосаб бегу каня (пэўны)|інахадзь
Спосаб бегу каня (агульнае)|бег
Спосаб ваенных дзеянняў|абарона
Спосаб выясн. правасці ў ср.-стагоддзе. суд. працэсе (агнём, вадой)|ордалия
Спосаб дзеяння для дасягнення чаго-небудзь|сродак
Спосаб палацавага ўзяцця|прыступ
Спосаб нарыхтоўкі некаторых прадуктаў|засолка
Спосаб глядзельнай сігналізацыі на флоце|семафор
Спосаб кулінарнай апрацоўкі прадуктаў|падагрэў
Спосаб перапрацоўкі гародніны|квашанне
Спосаб перапрацоўкі гародніны|саленне
Спосаб перапрацоўкі нафты|крэкінг
Спосаб перадачы графічна выкананай інфармацыі і дакументацыі|тэлефакс
Спосаб перасоўвання нецвярозага чалавека|карачкі
Спосаб перасоўвання пры дапамозе фанты (рекл.)|аўтастоп
Спосаб пабудовы складанай фабулы ў рамане, драме|інтрыга
Спосаб падрыхтоўкі грыбоў|засолка
Спосаб скачку ў вышыню|перакат
Спосаб плоскага друку на афсетнай машыне|альграфия
Спосаб, якім ловяць ментуза ў аповядзе А. Чэхава|мацанне
Здольная да размнажэння лічынка нек-рых амбистом|аксалотль
Здольнасць устойліва пераносіць пакуту, боль, нязручнасць|цярпенне
Здольнасць арганізма размножвацца на ранн. стадыях развіцця|неотения
Здольнасць вызначаць адлегласць без прыбораў|вакамер
Здольнасць быць цярплівым у смуткі|вытрымка
Здольнасць доўга, настойліва і спакойна рабіць штосьці|цярпенне
Здольнасць індывіда эмацыйна адклікацца на перажыванні іншых людзей|эмпатия
Здольнасць да саманазірання, самааналізу|интроспективность
Здольнасць да разумовай дзейнасці|розум
Здольнасць да творчага ўяўлення|фантазія
Здольнасць металу падвяргацца апрацоўцы ціскам|коўкасць
Здольнасць мужчыны да сэксу, палавога жыцця|патэнцыя
Здольнасць знайсці і прыняць рашэнне без разваг|інтуіцыя
Здольнасць назапашваць энергію на падзеленых адзін ад аднаго металічных пластах (физич.)|ёмістасць
Здольнасць некаторых арганізмаў размножвацца на ранніх стадыях развіцця, напрыклад у лічынкавым стане|неотения
Здольнасць чалавека разважаць, разумець атачальнае|свядомасць
Спрэчка пры абмеркаванні якіх-небудзь пытанняў|палеміка
Спрэчка пры абмеркаванні праблем, пытанняў|палеміка
Спрэчка, абмеркаванне|палеміка
Спора, якая развіваецца на адмысловых вырастах грыбніцы|канідый
Спороносный пласт клетак, што высцілае пладовыя целы шматлікіх грыбоў|гимений
