“Мэта апраўдвае сродкі” – чый гэта лозунг?|Макиавелли
Краіна, якой абавязана сваім паходжаннем “царкоўнае” віно – кагор|Францыя
Чарцёжная прылада; доўгі шматмесцавы адкрыты конны экіпаж|лінейка
Чарцёжная прылада; конны экіпаж|лінейка
Чалавек, заняты гадоўляй канёў; конюх|конегадовец
Чалавек, які выдае глухія невыразныя гукі; нерашучы чалавек|крахтун
Чалавек, адданы Радзіме; кінатэатр у Маскве|патрыёт
Чалавечая здольнасць да прайгравання рэчаіснасці ў мысленні; псіхічная дзейнасць як адлюстраванне рэчаіснасці|свядомасць
“Цуд – не тое, што супярэчыць законам прыроды, а тое, што супярэчыць нашым ведам гэтых законаў”. Аўтар?|Аўгустын
Часта, кажучы пра выяўленчае мастацтва, ангельцы і галандцы згадваюць “ціхае жыццё”. А як гэта завём мы і французы?|нацюрморт
Чым запоўнена возера ў Трынідадзе, званае “смаляным”?|асфальтам
Чым на Русі адрозніваліся ад астатніх “чорныя” дзвесце гадоў з 11 па 17 стагоддзе?|голадам
Чым стала тое, што першапачаткова лічылася “годным даверы”? (чым?)|верагодным
“Чацвёртая ўлада”, якую абазвалі на тры літары|СМІ
Службовец у візантыйскім дзярж. апараце; вялікі канцлер у Малдаўскай дзяржаве 15–19 стст.|логофет
Чалец камуністычнай абшчыны ў ЗША (1848–95); жыхар выспы Ікарыя ў Эгейскім моры.|икариец
Што скалынае страх?; каленныя сухажыллі (разг.).|падкаленкі
“Чытальнік-декларатор” на тэлебачанні|дыктар
Што Альфонс Доде зваў “гневам слабых”?|нянавісць
Што Байран зваў “лепшым прарокам для будучыні”?|мінулае
Што Г. Р. Державин зваў “люстэркам часоў”?|гісторыю
Што Леанарда ды Вінчы называў “сокам жыцця”? (адказ у вінаў. п.)|ваду
Што Ніцшэ зваў “розумам дурняў”?|досвед
Што было ў “кнізе Сівілы”?|прадказанні
Што ў Англіі ў ХVIII ст. звалі “моднай хваробай”, калі лічылася, што яе ў Еўропу завезлі маракі Калумба?|пранцы
Што ў Англіі завуць “рымскімі шалямі” і “хуткімі шалямі”?|бязмен
Што ў Індыі сімвалічна завуць “пажыральнікам ахвяр”?|агонь
Што ў Іспаніі апошняй траціны ХV ст. звалі “вышукам сіньёры Ізабелы”?|інквізіцыю
Што ў сярэдзіне мінулага стагоддзя ў Англіі звалася “Dаndу-hоrsе”?|ровар
Што ў сярэднія вякі ў Еўропе звалі “германскай чумой”?|рэфармацыю
Што за “свінкі” ляжаць на набярэжнай Нявы?|сфінксы
Што за “мурлы” насілі на Русі ў Каляды?|Маскі
Што на салдацкім жаргоне часоў 1-ой сусветныя войны звалася “каўбасой у небе”?|дырыжабль
Што азначала ў Парыжы выраз: “здзейсніць шпацыр да сетак Сен-Клу”, мястэчка ўніз па плыні Сены ад Парыжа?|утапіцца
Што азначала мараль спартанцаў: “не садзіся на меру збожжа”?|не лянуйся
Што адказвае намаляваная на плакаце Дзіцячага фонду ААН афрыканская дзяўчынка на пытанне: “Які ты жадаеш быць, калі вырасцеш?”|жывы
Што першыя хрысціяне пагардліва звалі “знакам звера”?|крыж
Што падумаў бы мангол, пачуўшы яшчэ нядаўна раздававшиеся на ўсіх з'ездах заклікі “Ўра КПСС!”?|смерць КПСС
Што атрымаецца, калі да цюркскай “ношы”, “цяжары” дадаць “У”?|уюк
Што ўяўляе сабою фамусовский куфэрак, у якім “ні ўстаць, ні сесці”?|труна
Што такое “верющее ліст”?|даверанасць
Што такое “талерчаты гарбуз”?|патысон
Што ў кітайскіх будыстаў азначае фраза “пакінуць межы чатырох мацерыкоў”?|памерці
Што французы завуць “рускай салатай” і лічаць усяго толькі “соусам з воцату, салі і маслы” (у якім воцат зроблены з вінаграднай кіслаты)?|вінегрэт
Што жадаюць сказаць у Індыі, калі кажуць пра чалавека, што ён “глядзіць вачамі ведаў”, ці што “ў яго вочы цяжкадасягальнага спазнання”?|што ён слеп
Што, нягледзячы на “за”, з'яўляецца пачаткам мяжы, пачала, межы і канца адначасова?|закон
Што, па меркаванні Мантэня “Благословленнейший дарунак прыроды, які падтуплівае нашу чуствительность і што дапамагае нам перажываць разнастайныя бедствы”?|звычка
Што, па меркаванні старажытных грэкаў, “знаходзіцца ў народзе”?|эпідэмія
“Што? Дзе? Калі?”?|гульня
Каб скончыць “Таемную вячэру”, Леанарда ды Вінчы ў плыні года штодня хадзіў у Боргетто – адзін з горшых раёнаў Мілана. Які ж дэталі бракавала на карціне?|галовы Юды
Шахм.; кіно.|прагляд
“Шарнір”, створаны прыродай|сустаў
“Варушыліся ў кветкі ўсе чатыры пялёстка”?|матылёк
“Шасцісотае” крэсла|крэсла
“Шакалад М&М – растае ў роце, а не ў руках”. Усім, напэўна, знаёмая гэта рэклама. А для каго ўпершыню былі выраблены гэтыя шакаладкі, якія растаюць у роце, а не ў руках?|салдаты
Штат у ЗША; горад у Балгарыі; французскі мадэльер-дызайнер.|Монтана
Штат на поўначы ЗША; раман Ж. Санд.|Индиана
“Экстрапаляцыя праўды праз аўтарытэт”. Назавіце адным словам|вера
Элемент ацяпляльнай сістэмы; вайсковае падраздзяленне.|батарэя
Элемент перагоннага апарата; старажытнарускі медальён (11–15 стст.).|змеявік
Энтані Джэй у сваёй кнізе “Кіраванне і Макиавелли” казаў: “Эканоміцы не патрэбныя бухгалтары. Ёй патрэбныя...” Працягнеце думку Джэя.|празорцы
“Эрнэст Хэмінгуэй аднойчы сказаў: свет – гэта выдатнае месца, і за яго варта змагацца. З другой часткай я згодзен.” Фраза з якога фільма Д. Финчера?|сем
Гэта малітва ў ангельцаў пачынаецца так: “Яго ёсць сіла і слава па век вякоў”. А як гэту малітву чытаюць праваслаўныя?|ойча наш
Гэтыя істоты жаночага роду заўсёды вырашалі зыход бітваў. Літаральны іх пераклад як “абіралыя забітых”. Іх выявы скарыстаны ў паэзіі і музыцы. Хто яны?|валькірыі
Гэта ангельскае слова перакладаецца як “выява дзеяння”, “звычай”, а які больш вядомы пераклад?|мода
Гэта арабскае слова перакладаецца на рускі як “рахунак”. А як жа яно гучыць на роднай мове, але ў рускай транскрыпцыі?|алгебра
Гэта звалі “найвялікай катастрофай ХХ стагоддзі”. У 1928 г. пра гэта знялі першы фільм, у 1980 г. пачалі пошукі, а ў 1986 яны ўвянчаліся поспехам. Пра што ідзе гаворка?|Тытанік
Гэта рускае бажаство ў найвялікай меры адпавядае грэцкаму Дзіянісію. Яму прысвячаліся святы звычайна ў канцы вясны, калі разгульваліся яго “пахаванні”. Хто гэта?|Ярыла
Гэта рускае слова адбылося ад слоў “верацяно”, “круціць” і пазначае тое, што ні павярнуць, ні спыніць пакуль нікому не атрымалася. Ды і ці наўрад атрымаецца. Назавіце гэта слова?|час
Гэта слова літаральна азначае: “Адварочванне галавы прочкі ад непрыемнага паху”. Што гэта за слова?|агіда
Гэта слова адбылося ад лацінскага “аltus” – высокі і азначае прадмет, уласцівы большасці сусветных рэлігій для здзяйснення рэлігійных абрадаў. Які прадмет маецца на ўвазе?|алтар
Гэта слова адбылося ад цюркскага “кара авыл”, што азначае “ахоўвай паселішча”. А як мы кажам цяпер?|варта
Гэта слова происхожит ад слова “Эмір”, было ўведзена генуэзцамі, а затым перавандравала ў Францыю. У Расіі гэта слова можна было дастасаваць да Пятру I. Назавіце яго.|адмірал
Гэта слова сначало мела дачыненне да паганства, і літаральна азначала “рабіць богам; шанаваць, як бога”. Што ж гэта за слова? (адказ – дзеяслоў)|любіць
“Гэта займальны быў атракцыён, так яшчэ ніхто не жартаваў – ні я, ні ён” – спявачка?|Успенская
Гэты напой складаецца з 5 асноўных частак. Менавіта таму яго назва адбываецца ад індзейскага слова “пяць”. Што гэта за напой?|пунш
Гэты тэрмін, які прыйшоў у побыт хутчэй з фізікі, чым з медыцыны, адбываецца ад лацінскага слова, у перакладзе што азначае “выспа”. Назавіце яго.|ізаляцыя
